Org_Name,Original_Text,Reported_Date,Cleaned_Date,URL,Name_Processing
Brunswick Corporation,"Brunswick Corporation, May 05, 2016 ","May 05, 2016 ",5/5/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/brunswick-20160505.pdf,"Brunswick Corporation, May 05, 2016 "
Brunswick Town of,"Brunswick, Town of, May 15, 2015 ","May 15, 2015 ",5/15/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/brunswick-20150515.pdf,"Brunswick Town of, May 15, 2015 "
BST & Co. CPAs LLP,"BST & Co. CPAs, LLP, July 28, 2017 ","July 28, 2017 ",7/28/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/bst-20170728.pdf,"BST & Co. CPAs LLP, July 28, 2017 "
B.T.C.E.Inc. dba HomeBrewIt.com,"B.T.C.E., Inc. dba HomeBrewIt.com, April 11, 2018 ","April 11, 2018 ",4/11/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/btce-20180411.pdf,"B.T.C.E.Inc. dba HomeBrewIt.com, April 11, 2018 "
Bucknell University,"Bucknell University, June 22, 2016 ","June 22, 2016 ",6/22/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/bucknell-university-20160622.pdf,"Bucknell University, June 22, 2016 "
Bucknell University,"Bucknell University, June 03, 2016 ","June 03, 2016 ",6/3/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/bucknell-university-20160603.pdf,"Bucknell University, June 03, 2016 "
Buena Vista University,"Buena Vista University, July 14, 2010 ","July 14, 2010 ",7/14/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/buena-vista-university-20100714.pdf,"Buena Vista University, July 14, 2010 "
Buke Law P.C.,"Buke Law, P.C., January 2, 2019 ","January 2, 2019 ",1/2/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/buke-law-20190102.pdf,"Buke Law P.C., January 2, 2019 "
Bulk Reef SupplyInc.,"Bulk Reef Supply, Inc., April 30, 2015 ","April 30, 2015 ",4/30/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/bulk-reef-supply-20150430.pdf,"Bulk Reef SupplyInc., April 30, 2015 "
Bulk Reef SupplyInc.,"Bulk Reef Supply, Inc., February 27, 2015 ","February 27, 2015 ",2/27/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/bulk-reef-supply-20150227.pdf,"Bulk Reef SupplyInc., February 27, 2015 "
Bulletproof 360Inc.,"Bulletproof 360, Inc., November 27, 2017 ","November 27, 2017 ",11/27/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/bulletproof-20171127.pdf,"Bulletproof 360Inc., November 27, 2017 "
Bulletproof 360Inc.,"Bulletproof 360, Inc., September 15, 2017 ","September 15, 2017 ",9/15/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/bulletproof-20170915.pdf,"Bulletproof 360Inc., September 15, 2017 "
Bulletproof 360Inc.,"Bulletproof 360, Inc., March 21, 2017 ","March 21, 2017 ",3/21/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/bulletproof-20170321.pdf,"Bulletproof 360Inc., March 21, 2017 "
Burdette Smith & Bish LLC,"Burdette Smith & Bish LLC, July 14, 2017 ","July 14, 2017 ",7/14/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/burdette-smith-bish-20170714.pdf,"Burdette Smith & Bish LLC, July 14, 2017 "
Burdette Smith & Bish LLC,"Burdette Smith & Bish LLC, June 26, 2017 ","June 26, 2017 ",6/26/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/burdette-smith-bish-20170626.pdf,"Burdette Smith & Bish LLC, June 26, 2017 "
Butler Schein Animal Health,"Butler Schein Animal Health, December 08, 2011 ","December 08, 2011 ",12/8/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/butler-schein-20111208.pdf,"Butler Schein Animal Health, December 08, 2011 "
Butler University,"Butler University, June 26, 2014 ","June 26, 2014 ",6/26/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/butler-university-20140626.pdf,"Butler University, June 26, 2014 "
BWTX Associates,"BWTX Associates, November 21, 2016 ","November 21, 2016 ",11/21/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/bwtx-20161121.pdf,"BWTX Associates, November 21, 2016 "
C&S Wholesale GrocersInc.,"C&S Wholesale Grocers, Inc., July 18, 2019 ","July 18, 2019 ",7/18/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/cs-wholesale-20190718.pdf,"C&S Wholesale GrocersInc., July 18, 2019 "
CA Inc.,"CA Inc., July 16, 2008 ","July 16, 2008 ",7/16/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/ca-20080716.pdf,"CA Inc., July 16, 2008 "
Cabrillo Community Colleg,"Cabrillo Community Colleg, October 05, 2017 ","October 05, 2017 ",10/5/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cabrillo-community-20171005.pdf,"Cabrillo Community Colleg, October 05, 2017 "
Caesars Entertainment,"Caesars Entertainment, November 28, 2016 ","November 28, 2016 ",11/28/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/caesars-20161128.pdf,"Caesars Entertainment, November 28, 2016 "
CafePress Inc.,"CafePress Inc., September 5, 2019 ","September 5, 2019 ",9/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/cafepress-20190905.pdf,"CafePress Inc., September 5, 2019 "
Cain Watters & Associates,Cain Watters & Associates August 20 2018 ,August 20 2018 ,8/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cain-watters-20180823.pdf,"Cain Watters & Associates, August 20 2018 "
Caleb Foundation,"Caleb Foundation, July 17, 2009 ","July 17, 2009 ",7/17/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/caleb-foundation-20090717.pdf,"Caleb Foundation, July 17, 2009 "
Calibre CPA Group,"Calibre CPA Group, September 10, 2019 ","September 10, 2019 ",9/10/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/calibre-20190910.pdf,"Calibre CPA Group, September 10, 2019 "
California State University East Bay,"California State University, East Bay, October 08, 2018 ","October 08, 2018 ",10/8/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/california-state-university-20181008.pdf,"California State University East Bay, October 08, 2018 "
California State University East Bay,"California State University, East Bay, September 05, 2014 ","September 05, 2014 ",9/5/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/california-university-east-bay-20140905.pdf,"California State University East Bay, September 05, 2014 "
California State University Fresno,"California State University, Fresno, March 06, 2018 ",6-Mar-18,3/6/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/california-university-fresno-20180306.pdf,"California State University Fresno, March 06, 2018"
Calista Corporation,"Calista Corporation, June 27, 2019 ","June 27, 2019 ",6/27/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/calista-20190627.pdf,"Calista Corporation, June 27, 2019 "
Calypso St. BarthInc.,"Calypso St. Barth, Inc., November 26, 2014 ","November 26, 2014 ",11/26/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/calypso-st-barth-20141126.pdf,"Calypso St. BarthInc., November 26, 2014 "
Cambridge Health Alliance,"Cambridge Health Alliance, March 28 2018 ",March 28 2018 ,3/28/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cambridge-health-20180328.pdf,"Cambridge Health Alliance, March 28 2018 "
Campbell Taylor & Company,"Campbell Taylor & Company, April 07, 2017 ","April 07, 2017 ",4/7/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/campbell-taylor-20170407.pdf,"Campbell Taylor & Company, April 07, 2017 "
Campbell Taylor & Company,"Campbell Taylor & Company, March 18, 2017 ","March 18, 2017 ",3/18/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/campbell-taylor-20170318.pdf,"Campbell Taylor & Company, March 18, 2017 "
Cancer Treatment Centers of America,"Cancer Treatment Centers of America, May 12, 2019 ","May 12, 2019 ",5/12/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/cancer-treatment-centers-20190512.pdf,"Cancer Treatment Centers of America, May 12, 2019 "
Canto Rausch Deek & Co. P.A.,"Canto, Rausch, Deek & Co., P.A., November 4, 2019 ","November 4, 2019 ",11/4/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/canto-rausch-deek-20191104.pdf,"Canto Rausch Deek & Co. P.A., November 4, 2019 "
Cape May-Lewes Ferry,"Cape May-Lewes Ferry, October 30, 2014 ","May-Lewes Ferry, October 30, 2014 ",10/30/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/cape-may-lewes-ferry-20141030.pdf,"Cape, May-Lewes Ferry, October 30, 2014 "
Capella University,"Capella University, February 14, 2013 ","February 14, 2013 ",2/14/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/capella-university-20130214.pdf,"Capella University, February 14, 2013 "
Capital Asset Management GroupInc.,"Capital Asset Management Group, Inc., February 27, 2019 ","February 27, 2019 ",2/27/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-asset-20190227.pdf,"Capital Asset Management GroupInc., February 27, 2019 "
Capital City Bank GroupInc.,"Capital City Bank Group, Inc., January 28, 2019  ","January 28, 2019  ",1/28/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-city-bank-20190128.pdf,"Capital City Bank GroupInc., January 28, 2019  "
Capital Digestive Care,"Capital Digestive Care, April 23, 2018 ","April 23, 2018 ",4/23/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-digestive-care-20180423.pdf,"Capital Digestive Care, April 23, 2018 "
Capital First Trust Company,"Capital First Trust Company, May 10, 2017 ","May 10, 2017 ",5/10/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-first-trust-20170510.pdf,"Capital First Trust Company, May 10, 2017 "
Capital Integration Systems LLC,"Capital Integration Systems LLC, June 25, 2018 ","June 25, 2018 ",6/25/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-integration-20180625.pdf,"Capital Integration Systems LLC, June 25, 2018 "
Capital One,"Capital One, May 18, 2010 ","May 18, 2010 ",5/18/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/capital-one-20100518.pdf,"Capital One, May 18, 2010 "
Cardinal Health,"Cardinal Health, October 08, 2010 ","October 08, 2010 ",10/8/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/cardinal-health-20101008.pdf,"Cardinal Health, October 08, 2010 "
Cardinal Health,"Cardinal Health, September 07, 2010 ","September 07, 2010 ",9/7/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/cardinal-health-20100907.pdf,"Cardinal Health, September 07, 2010 "
CareCentrixInc.,"CareCentrix, Inc., March 21, 2016 ","March 21, 2016 ",3/21/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/carecentrix-20160321.pdf,"CareCentrixInc., March 21, 2016 "
CareCentrixInc.,"CareCentrix, Inc., September 18, 2014 ","September 18, 2014 ",9/18/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/carecentrix-20140918.pdf,"CareCentrixInc., September 18, 2014 "
Care.com,"Care.com, May 5, 2019 ","May 5, 2019 ",5/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/care-com-20190508.pdf,"Care.com, May 5, 2019 "
Care.com Inc.,"Care.com Inc., March 10, 2016 ","March 10, 2016 ",3/10/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/care-com-20160310.pdf,"Care.com Inc., March 10, 2016 "
"Career & Technology Education Centers of Licking County ""C-TEC""","Career & Technology Education Centers of Licking County ""C-TEC"", July 06, 2018 ","July 06, 2018 ",7/6/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/career-technology-education-20180706.pdf,"Career & Technology Education Centers of Licking County ""C-TEC"", July 06, 2018 "
CareFirst,"CareFirst, May 20, 2015 ","May 20, 2015 ",5/20/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/carefirst-20150520.pdf,"CareFirst, May 20, 2015 "
Carl's GolflandInc. ,"Carl's Golfland, Inc. , August 28, 2019 ","August 28, 2019 ",8/28/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/carls-golfland-20190828.pdf,"Carl's GolflandInc. , August 28, 2019 "
Carlyle Group The,"Carlyle Group, The, April 5, 2019 ","April 5, 2019 ",4/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/carlyle-group-20190405.pdf,"Carlyle Group The, April 5, 2019 "
Carpenters Benefit Funds of Philadelphia,"Carpenters Benefit Funds of Philadelphia, September 13, 2018 ","September 13, 2018 ",9/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/carpenters-benefit-funds-20180913.pdf,"Carpenters Benefit Funds of Philadelphia, September 13, 2018 "
Cartier North America,"Cartier North America, February 25, 2013 ","February 25, 2013 ",2/25/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/cartier-20130225.pdf,"Cartier North America, February 25, 2013 "
Carus Publishing Company,"Carus Publishing Company, May 08, 2007 ","May 08, 2007 ",5/8/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/carus-publishing-20080508.pdf,"Carus Publishing Company, May 08, 2007 "
Caspers Company,"Caspers Company, April 9, 2019 ","April 9, 2019 ",4/9/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/caspers-20190409.pdf,"Caspers Company, April 9, 2019 "
Castlight Health,"Castlight Health, June 17, 2019 ","June 17, 2019 ",6/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/castlight-health-20190617.pdf,"Castlight Health, June 17, 2019 "
Catawba Valley Medical Center (CVMC),"Catawba Valley Medical Center (CVMC), October 22, 2018  ","October 22, 2018  ",10/22/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cvmc-20181024.pdf,"Catawba Valley Medical Center (CVMC), October 22, 2018  "
Caterpillar,"Caterpillar, April 27, 2007 ","April 27, 2007 ",4/27/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/caterpillar-20080427.pdf,"Caterpillar, April 27, 2007 "
Catholic Charities New Hampshire,"Catholic Charities New Hampshire, August 7, 2019 ","August 7, 2019 ",8/7/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/catholic-charities-new-hampshire-20190807.pdf,"Catholic Charities New Hampshire, August 7, 2019 "
Catholic United Financial,"Catholic United Financial, October 05, 2017 ","October 05, 2017 ",10/5/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/catholic-united-financial-20171005.pdf,"Catholic United Financial, October 05, 2017 "
Cathay Pacific Airways Limited,"Cathay Pacific Airways Limited, October 25, 2018 ","October 25, 2018 ",10/25/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cathay-pacific-20181025.pdf,"Cathay Pacific Airways Limited, October 25, 2018 "
Cayan LLC,"Cayan LLC, February 23, 2017 ","February 23, 2017 ",2/23/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cayan-20170223.pdf,"Cayan LLC, February 23, 2017 "
CBIZ MHM LLC,"CBIZ MHM, LLC, July 18, 2018 ","July 18, 2018 ",7/18/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cbiz-20180718.pdf,"CBIZ MHM LLC, July 18, 2018 "
CBS ConsolidatedInc. dba Cornerstone Business & Management Solutions,"CBS Consolidated, Inc. dba Cornerstone Business & Management Solutions, August 23, 2017 ","August 23, 2017 ",8/23/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cbs-consolidated-20170823.pdf,"CBS ConsolidatedInc. dba Cornerstone Business & Management Solutions, August 23, 2017 "
C.C. Filson Co.,"C.C. Filson Co., November 22, 2019 ","November 22, 2019 ",11/22/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/c-c-filson-20191122.pdf,"C.C. Filson Co., November 22, 2019 "
CCS MedicalInc.,"CCS Medical, Inc., December 10, 2012 ","December 10, 2012 ",12/10/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/ccs-medical-20121210.pdf,"CCS MedicalInc., December 10, 2012 "
Cecchi and AssociatesInc. (Rudy),"Cecchi and Associates, Inc. (Rudy), September 20, 2017 ","September 20, 2017 ",9/20/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cecchi-20170920.pdf,"Cecchi and AssociatesInc. (Rudy), September 20, 2017 "
Celink,"Celink, July 3, 2019 ","July 3, 2019 ",7/3/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/celink-20190703.pdf,"Celink, July 3, 2019 "
Cendera Funding,"Cendera Funding, October 30, 2018 ","October 30, 2018 ",10/30/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cendera-funding-20181030.pdf,"Cendera Funding, October 30, 2018 "
Centerstone Insurance and Financial Services d/b/a BenefitMall,"Centerstone Insurance and Financial Services d/b/a BenefitMall, January 8, 2019 ","January 8, 2019 ",1/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/centerstone-insurance-20190108.pdf,"Centerstone Insurance and Financial Services d/b/a BenefitMall, January 8, 2019 "
Centicor,"Centicor, January 03, 2008 ","January 03, 2008 ",1/3/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/centicor-20080123.pdf,"Centicor, January 03, 2008 "
Central Christian College of Kansas,"Central Christian College of Kansas, June 15, 2018 ","June 15, 2018 ",6/15/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/central-christian-20180615.pdf,"Central Christian College of Kansas, June 15, 2018 "
"Central City Concern (""CCC"")","Central City Concern (""CCC""), April 25, 2014 ","April 25, 2014 ",4/25/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/central-city-concern-20140425.pdf,"Central City Concern (""CCC""), April 25, 2014 "
Central Hudson Gas & Electric Corporation,"Central Hudson Gas & Electric Corporation, March 01, 2013 ","March 01, 2013 ",3/1/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/central-hudson-gas-electric-20130301.pdf,"Central Hudson Gas & Electric Corporation, March 01, 2013 "
Central Hudson Gas & Electric Corporation,"Central Hudson Gas & Electric Corporation, February 27, 2013 ","February 27, 2013 ",2/27/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/central-hudson-gas-electric-20130227.pdf,"Central Hudson Gas & Electric Corporation, February 27, 2013 "
Central Maine Healthcare,"Central Maine Healthcare, September 13, 2019 ","September 13, 2019 ",9/13/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/central-maine-healthcare-20190913.pdf,"Central Maine Healthcare, September 13, 2019 "
Central Ohio Urology GroupInc.,"Central Ohio Urology Group, Inc., September 22, 2016 ","September 22, 2016 ",9/22/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/central-ohio-urology-20160922.pdf,"Central Ohio Urology GroupInc., September 22, 2016 "
Centrelake,"Centrelake, April 22, 2019 ","April 22, 2019 ",4/22/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/centrelake-20190422.pdf,"Centrelake, April 22, 2019 "
Centric Group L.L.C.,"Centric Group, L.L.C., January 09, 2013 ","January 09, 2013 ",1/9/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/centric-group-20130109.pdf,"Centric Group L.L.C., January 09, 2013 "
Centric Software Inc.,"Centric Software Inc., August 09, 2010 ","August 09, 2010 ",8/9/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/centric-software-20100809.pdf,"Centric Software Inc., August 09, 2010 "
CenturyLink's Corporate Security,"CenturyLink's Corporate Security, February 24, 2017 ","February 24, 2017 ",2/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/centurylink-20170224.pdf,"CenturyLink's Corporate Security, February 24, 2017 "
Century 21 Department Stores LLC,"Century 21 Department Stores, LLC, November 22, 2019 ","November 22, 2019 ",11/22/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/century-21-department-stores-20191122.pdf,"Century 21 Department Stores LLC, November 22, 2019 "
Century Martial Arts,"Century Martial Arts, September 25, 2017 ","September 25, 2017 ",9/25/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/century-martial-arts-20170925.pdf,"Century Martial Arts, September 25, 2017 "
Century Spring Corp.,"Century Spring Corp., January 23, 2019  ","January 23, 2019  ",1/23/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/century-spring-2019123.pdf,"Century Spring Corp., January 23, 2019  "
Ceridian Corporation,"Ceridian Corporation, February 01, 2010 ","February 01, 2010 ",2/1/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/ceridian-20100201.pdf,"Ceridian Corporation, February 01, 2010 "
Certegy,"Certegy, July 19, 2007 ","July 19, 2007 ",7/19/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-20070919.pdf,"Certegy, July 19, 2007 "
Certegy,"Certegy, July 05, 2007 ","July 05, 2007 ",7/5/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-20080705.pdf,"Certegy, July 05, 2007 "
Certegy FIS,"Certegy – FIS, July 30, 2007 ","July 30, 2007 ",7/30/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-fis-20080730.pdf,"Certegy – FIS, July 30, 2007 "
CertifiKid LLC,"CertifiKid, LLC, May 05, 2016 ","May 05, 2016 ",5/5/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/certifikid-20160505.pdf,"CertifiKid LLC, May 05, 2016 "
Cetera Advisors LLC,"Cetera Advisors LLC, April 26, 2018 ","April 26, 2018 ",4/26/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cetera-20180426.pdf,"Cetera Advisors LLC, April 26, 2018 "
Cetera Advisors LLC,"Cetera Advisors LLC, January 08, 2018 ","January 08, 2018 ",1/8/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cetera-20180108.pdf,"Cetera Advisors LLC, January 08, 2018 "
Challenger SportsInc. (Challenger),"Challenger Sports, Inc. (Challenger), October 23, 2018 ","October 23, 2018 ",10/23/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/challenger-sports-20181023.pdf,"Challenger SportsInc. (Challenger), October 23, 2018 "
Chamberlain Group,"Chamberlain Group, May 28, 2019 ","May 28, 2019 ",5/28/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/chamberlain-group-20190528.pdf,"Chamberlain Group, May 28, 2019 "
Chamberlain GroupInc.,"Chamberlain Group, Inc., November 27, 2018  ","November 27, 2018  ",11/27/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/chamberlain-group-20181127.pdf,"Chamberlain GroupInc., November 27, 2018  "
Champlain College,"Champlain College, July 02, 2013 ","July 02, 2013 ",7/2/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/champlain-college-20130702.pdf,"Champlain College, July 02, 2013 "
Champlain College,"Champlain College, May 31, 2013 ","May 31, 2013 ",5/31/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/champlain-college-20130531.pdf,"Champlain College, May 31, 2013 "
Chapman,"Chapman, August 20, 2018 ","August 20, 2018 ",8/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/chapman-20180820.pdf,"Chapman, August 20, 2018 "
Chapman University,"Chapman University, April 11, 2013 ","April 11, 2013 ",4/11/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/chapman-university-20130411.pdf,"Chapman University, April 11, 2013 "
Chapman University,"Chapman University, February 22, 2011 ","February 22, 2011 ",2/22/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/chapman-university-20110222.pdf,"Chapman University, February 22, 2011 "
Char-Broil LLC,"Char-Broil, LLC, May 24, 2017 ","May 24, 2017 ",5/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/char-broil-20170524.pdf,"Char-Broil LLC, May 24, 2017 "
Charles Schaw & CoInc.,"Charles Schaw & Co, Inc., May 03, 2016 ","May 03, 2016 ",5/3/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/charles-schwab-20160503.pdf,"Charles Schaw & CoInc., May 03, 2016 "
Charles Schwab & CoInc.,"Charles Schwab & Co, Inc., June 12, 2009 ","June 12, 2009 ",6/12/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/charles-schwab-20090612.pdf,"Charles Schwab & CoInc., June 12, 2009 "
Charlottesville City of,"Charlottesville, City of, September 30, 2019 ","September 30, 2019 ",9/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/city-of-charlottesville-20190930.pdf,"Charlottesville City of, September 30, 2019 "
Chart Industries Inc.,"Chart Industries Inc., August 10, 2009 ","August 10, 2009 ",8/10/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/chart-industries-20090810.pdf,"Chart Industries Inc., August 10, 2009 "
Charter Communications,"Charter Communications, August 05, 2008 ","August 05, 2008 ",8/5/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/charter-communications-20080805.pdf,"Charter Communications, August 05, 2008 "
Cheddar's Casual CafeInc. dba Cheddar's Scratch Kitchen,"Cheddar's Casual Cafe, Inc. dba Cheddar's Scratch Kitchen, November 15, 2017 ","November 15, 2017 ",11/15/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cheddars--casual-cafe-20171115.pdf,"Cheddar's Casual CafeInc. dba Cheddar's Scratch Kitchen, November 15, 2017 "
Cheddar's Casual CafeInc. dba Cheddar's Scratch Kitchen,"Cheddar's Casual Cafe, Inc. dba Cheddar's Scratch Kitchen, September 29, 2017 ","September 29, 2017 ",9/29/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cheddars-casual-cafe-20170929.pdf,"Cheddar's Casual CafeInc. dba Cheddar's Scratch Kitchen, September 29, 2017 "
Cheddar's Scratch Kitchen,"Cheddar's Scratch Kitchen, August 24, 2018 ","August 24, 2018 ",8/24/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cheddars-scratch-kitchen-20180824.pdf,"Cheddar's Scratch Kitchen, August 24, 2018 "
Cherrydale Fundraising,"Cherrydale Fundraising, March 19, 2019 ","March 19, 2019 ",3/19/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/cherrydale-20190319.pdf,"Cherrydale Fundraising, March 19, 2019 "
Chester County Pennsylvania,"Chester County, Pennsylvania, November 20, 2019 ","November 20, 2019 ",11/20/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/chester-county-pennsylvania-20192011.pdf,"Chester County Pennsylvania, November 20, 2019 "
Chevron USAInc.,"Chevron USA, Inc., October 12, 2016 ","October 12, 2016 ",10/12/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/chevron-20161012.pdf,"Chevron USAInc., October 12, 2016 "
Chicago IL City of,"Chicago, IL, City of, March 16, 2009 ",16-Mar-09,3/16/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/chicago-20080316.pdf,"Chicago IL City of, March 16, 2009"
Child and Family Services of New Hampshire,"Child and Family Services of New Hampshire, April 22, 2013 ","April 22, 2013 ",4/22/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/child-family-services-20130422.pdf,"Child and Family Services of New Hampshire, April 22, 2013 "
Child Support Services NH Department of Helath and Human Services,"Child Support Services, NH Department of Helath and Human Services, January 17, 2019 ","January 17, 2019 ",1/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/child-support-services-20190117.pdf,"Child Support Services NH Department of Helath and Human Services, January 17, 2019 "
Children's PlaceInc. The,"Children's Place, Inc., The, April 04, 2017 ","April 04, 2017 ",4/4/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-place-20170404.pdf,"Children's PlaceInc. The, April 04, 2017 "
Children's Hope Alliance,"Children's Hope Alliance, September 30, 2019 ","September 30, 2019 ",9/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-hope-allicance-20190930.pdf,"Children's Hope Alliance, September 30, 2019 "
Children's Hospital Boston,"Children's Hospital Boston, February 12, 2009 ","February 12, 2009 ",2/12/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-hospital-20090212.pdf,"Children's Hospital Boston, February 12, 2009 "
Children's Mercy Hospital,"Children's Mercy Hospital, April 30, 2018 ","April 30, 2018 ",4/30/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-mercy-hospital-20180430.pdf,"Children's Mercy Hospital, April 30, 2018 "
