ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
628,itu-321132,"Hanna Andersson, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321132.pdf,1/14/2020,"4,577","name, payment card info",malware
629,itu-321133,Phoenix Children's Hospital,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321133.pdf,1/14/2020,1,name and health info,unauthorized access to email accounts
630,itu-321127 (1),"S&W Payroll Services, L.L.C. d/b/a Netchex",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321127 (1).pdf,1/13/2020,3,"names, dates of birth, social security numbers, bank routing numbers",unauthorized access
631,itu-321127 (2),"S&W Payroll Services, L.L.C. d/b/a Netchex",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321127 (2).pdf,1/13/2020,3,"names, dates of birth, social security numbers, bank routing numbers",unauthorized access
632,itu-321128 (1),"William McCready, a Registered Representative associated with Securities Service Network, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321128 (1).pdf,1/13/2020,17,"name, ssn, dln",unauthorized access to email account
633,itu-321128 (2),"William McCready, a Registered Representative associated with Securities Service Network, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321128 (2).pdf,1/13/2020,17,"name, ssn, dln",unauthorized access to email account
634,itu-321551,"Swift Financial, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321551.pdf,1/13/2020,1,"name, ssn",unauthorized access to email account
635,itu-321121,Kermit Lynch Wine Merchant,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321121.pdf,1/10/2020,4,"name, address, payment card info",unauthorized access
636,itu-321122,National Electrical Contractors Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321122.pdf,1/10/2020,6,"name, ssn, payment card info",unauthorized access to email account
637,itu-321123,City of Dothan,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321123.pdf,1/10/2020,14,"name, payment card info",malware
638,itu-321124,City of Port Orange,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321124.pdf,1/10/2020,7,"name, payment card info",malware
639,itu-321126 (1),PIH Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321126 (1).pdf,1/10/2020,21,"names, driver's license numbers, medical information, health insurance information, and online account credentials",phishing
640,itu-321126 (2),PIH Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321126 (2).pdf,1/10/2020,21,"names, driver's license numbers, medical information, health insurance information, and online account credentials",phishing
641,itu-321116,American Outdoor Brands Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321116.pdf,1/9/2020,8,"name, payment card info",malicious code
642,itu-321117 (1),"Bristol Industries, LLC.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321117 (1).pdf,1/9/2020,1,"name, payment card info",phishing
643,itu-321117 (2),"Bristol Industries, LLC.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321117 (2).pdf,1/9/2020,1,"name, payment card info",phishing
644,itu-321118,PeopLease,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321118.pdf,1/9/2020,8,"name, ssn",unauthorized access
645,itu-321119,"Gatsby Enterprises, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321119.pdf,1/9/2020,8,"name, address, and last four digits of social security number",info inadvertently sent to wrong recipient
646,itu-321114,"Sharma Wasson & Associates, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321114.pdf,1/8/2020,1,"name, ssn",unauthorized access to email account
647,itu-321105,Electel Federal Credit Union,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321105.pdf,1/3/2020,1,"name, ssn, dob, dln",unauthorized access to email account
648,itu-321110,Amerisave Mortgage Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321110.pdf,1/3/2020,70,"name, address, Social Security number, date of birth, employment history, income information, mortgage loan information, information regarding assets and liabilities, and other consumer information",unauthorized access by third party
649,itu-321111,"LabtestPortal.com, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-321111.pdf,1/3/2020,2,"name, payment card info",unauthorized access to email account
650,ITU-320989 (update),Disability Insurance Specialists LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-320989 (update).pdf,12/10/2019,10,"name, Social Security number, and diagnosis information",Phishing
651,itu-320890 (UPDATE),"Golden Entertainment, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-320890 (UPDATE).pdf,11/7/2019,779,"name, Social Security number, driver's license number, passport number, and financial account numbers",phishing
652,itu-317887 (UPDATE),"Bloomin Brands, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-317887 (UPDATE).pdf,10/17/2019,19,Names and Social Security numbers,an unknown person gained the ability to access information about certain Bloomin Brands employees by accessing a third-party vendor's network
653,itu-318632 (UPDATE),PAR Technology Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-318632 (UPDATE).pdf,9/19/2019,7,"name, ssn, financial account number",unauthorized access to email account
654,itu-316422 (UPDATE),"Calibre CPA Group, PLLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-316422 (UPDATE).pdf,8/26/2019,546,"name, Social Security number, financial account information, drivers license/state identification number, and medical information",unauthorized access to employee email accounts
655,ITU-321054,"Landry's, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321054.pdf,12/31/2019,,"name, payment card info",malware
656,ITU-321056,"Ollie's Bargain Outlet Holdings, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321056.pdf,12/31/2019,1,"name, ssn",phishing
657,ITU-321058,Evolucion Innovations Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321058.pdf,12/31/2019,568,"name, address, payment card info",unauthorized code installed on website
658,ITU-321062 (1),Legalinc Corporate Service Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321062 (1).pdf,12/30/2019,47,"name, address, ssn",database vulnerability
659,ITU-321062 (2),Legalinc Corporate Service Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321062 (2).pdf,12/30/2019,47,"name, address, ssn",database vulnerability
660,ITU-321067 (1),National Association For Gun Rights,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321067 (1).pdf,12/30/2019,5,"name, address, payment card info",malware
661,ITU-321067 (2),National Association For Gun Rights,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321067 (2).pdf,12/30/2019,5,"name, address, payment card info",malware
662,ITU-321068,Bristol Bay Industrial,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321068.pdf,12/30/2019,2,"name, ssn",phishing
663,ITU-321069 (1),"Foods, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321069 (1).pdf,12/30/2019,"17,359",username/pw,software error
664,ITU-321069 (2),"Foods, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321069 (2).pdf,12/30/2019,"17,359",username/pw,software error
665,ITU-321070,North Park University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321070.pdf,12/30/2019,25,"name, Social Security number, driver's license or state identification number, and health insurance information",unauthorized access to email account
666,ITU-321066 (1),"City of Aurora, Colorado",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321066 (1).pdf,12/27/2019,2,"name, address, payment card info",malware
667,ITU-321066 (2),"City of Aurora, Colorado",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321066 (2).pdf,12/27/2019,2,"name, address, payment card info",malware
668,ITU-321065,Xpedient Logistics,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321065.pdf,12/26/2019,2,"name, ssn, dln",unauthorized access to email accounts
669,itu-319965,"Wawa, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-319965.pdf,12/26/2019,,"name,payment card data",malware
670,ITU-321053,Avid Technology,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321053.pdf,12/24/2019,5,"name, ssn",unauthorized access to email accounts
671,ITU-321048,Unum Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321048.pdf,12/23/2019,11,"name, ssn",phishing
672,ITU-321049,Veracity Insurance Solutions,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321049.pdf,12/23/2019,2,"name, address, credit card number, expiration date, and CVV",unauthorized access to email account
673,ITU-321051,"Bath & Body Works Direct, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321051.pdf,12/23/2019,2,"name, email address, mailing address (if entered), birth day and month (not year), telephone number, loyalty account number, and any gift card number and gift card PIN linked to the account",unauthorized access
674,ITU-321052 (1),"Pleasant Wealth, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321052 (1).pdf,12/23/2019,16,"names, Social Security numbers, dates of birth, driver's license or government issued identification numbers, and financial account numbers.",unauthorized access to email accounts
675,ITU-321052 (2),"Pleasant Wealth, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321052 (2).pdf,12/23/2019,16,"names, Social Security numbers, dates of birth, driver's license or government issued identification numbers, and financial account numbers.",unauthorized access to email accounts
676,itu-321043 (1),The Union Labor Life Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321043 (1).pdf,12/20/2019,192,"name and type of policy held such as short term disability (STD), waiver of premium (WOP), and/or paid family leave (PFL)",unauthorized access to email account
677,itu-321043 (2),The Union Labor Life Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321043 (2).pdf,12/20/2019,192,"name and type of policy held such as short term disability (STD), waiver of premium (WOP), and/or paid family leave (PFL)",unauthorized access to email account
678,itu-321044,Tidewater Finance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321044.pdf,12/20/2019,1,"name, ssn",improper access by customer service agents
679,ITU-321045 (1),Anne Arundel Community College,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321045 (1).pdf,12/20/2019,4,"name, address, social security number, driver license number, and/or birthdate",phishing
680,ITU-321045 (2),Anne Arundel Community College,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321045 (2).pdf,12/20/2019,4,"name, address, social security number, driver license number, and/or birthdate",phishing
681,ITU-321047,"SharesPost, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321047.pdf,12/20/2019,50,"name, dob, ssn, bank account info",unauthorized access to email account
682,ITU-321057 (1),"PediHealth, PLLC, dba Children's Choice Pediatric",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321057 (1).pdf,12/20/2019,2,"names, addresses, and medical treatment information",ransomware
683,ITU-321057 (2),"PediHealth, PLLC, dba Children's Choice Pediatric",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321057 (2).pdf,12/20/2019,2,"names, addresses, and medical treatment information",ransomware
684,ITU-321091,Bank of America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321091.pdf,12/20/2019,2,"name, address, ssn",inadvertent disclosure
685,ITU-321097,PLC Marion Community Credit Union,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321097.pdf,12/20/2019,1,"name, account numbers",malware on server
686,itu-321041,Zenith Global Logistics,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321041.pdf,12/19/2019,82,"names and Social Security numbers, and for certain individuals, bank account numbers, passport numbers, tax ID numbers, and/or drivers' license numbers may also have been exposed",unauthorized access to email account
687,itu-321042 (1),Moss Adams LLP,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321042 (1).pdf,12/19/2019,13,"name, ssn",unauthorized access to email account
688,itu-321042 (2),Moss Adams LLP,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321042 (2).pdf,12/19/2019,13,"name, ssn",unauthorized access to email account
689,ITU-321038 (2),"Magellan Healthcare, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321038 (2).pdf,12/17/2019,3,"name, ssn, tax ID number, claim info",unauthorized access to email account
690,ITU-321038 (3),"Magellan Healthcare, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321038 (3).pdf,12/17/2019,3,"name, ssn, tax ID number, claim info",unauthorized access to email account
691,ITU-321038,"Magellan Healthcare, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321038.pdf,12/17/2019,3,"name, ssn, tax ID number, claim info",unauthorized access to email account
692,itu-321039 (1),"George Paniculam of Financial Planning & Management Center, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321039 (1).pdf,12/17/2019,29,"names, addresses, Social Security numbers, financial account / payment card information, tax identification numbers, health insurance information, and / or medical information",unauthorized access to email account
693,itu-321039 (2),"George Paniculam of Financial Planning & Management Center, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321039 (2).pdf,12/17/2019,29,"names, addresses, Social Security numbers, financial account / payment card information, tax identification numbers, health insurance information, and / or medical information",unauthorized access to email account
694,itu-321040,"Preservation Management, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321040.pdf,12/17/2019,"1,177","name, address, Social Security number, driver's license number, passport, and other information submitted in connection with an application for housing or employment",unauthorized access to email account
695,ITU-321093,Jewish Social Service Agency,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321093.pdf,12/17/2019,561,"name, ssn, email and username/pw, payment card info",phishing
696,itu-321034,"The Miller Group Companies, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321034.pdf,12/16/2019,1,"name,ssn, dln",phishing
697,itu-321036 (1),Millennium Healthcare Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321036 (1).pdf,12/16/2019,"4,384","names, Social Security numbers, medical or health information, and health insurance information.",unauthorized access to email account
698,itu-321036 (2),Millennium Healthcare Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321036 (2).pdf,12/16/2019,"4,384","names, Social Security numbers, medical or health information, and health insurance information.",unauthorized access to email account
699,itu-321037,Laudisi Enterprises Inc. d/b/a SmokingPipes.com,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321037.pdf,12/16/2019,12,"name, payment card info",malicious code
700,ITU-321055,Folds of Honor Foundation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321055.pdf,12/16/2019,1,"name, financial account number and tax identification number",unauthorized access to email accounts
701,itu-321006,Summit Biosciences Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321006.pdf,12/13/2019,5,"name, social security number, date of birth, driver's license number, passport number, and US permanent residence number",unauthorized access to email account
702,itu-321007,Sweaty Betty Limited,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321007.pdf,12/13/2019,,"name, address, payment card info",malicious code
703,itu-321008,"The Master's Touch, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321008.pdf,12/13/2019,,"name, username/pw",malware
704,itu-321009,InTouch Credit Union,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321009.pdf,12/13/2019,19,"name, address, email address, dob, financial account number",unauthorized access
705,ITU-321095,"ShopRunner, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321095.pdf,12/13/2019,47,"name, payment card info",software error
706,itu-320999,"Michael J. Madden, CPA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320999.pdf,12/12/2019,1,"name, ssn",unauthorized access via social engineering
707,itu-321001 (1),"Keefe Commissary Network, LLC d/b/a Access Corrections",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321001 (1).pdf,12/12/2019,3,"name, payment card info",improper access by employee
708,itu-321001 (2),"Keefe Commissary Network, LLC d/b/a Access Corrections",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321001 (2).pdf,12/12/2019,3,"name, payment card info",improper access by employee
709,itu-321002 (1),"Jambav, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321002 (1).pdf,12/12/2019,"48,811","email addresses, usernames, passwords, and gender, and in some instances, the Internet Protocol (IP)",website hacked
710,itu-321002 (2),"Jambav, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321002 (2).pdf,12/12/2019,"48,811","email addresses, usernames, passwords, and gender, and in some instances, the Internet Protocol (IP)",website hacked
711,itu-320993 (2),"Rooster Teeth Productions, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320993 (2).pdf,12/11/2019,28,"name, address, payment card info",malware
712,itu-320994,National Holdings Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320994.pdf,12/11/2019,30,"name, financial account number, date of birth, Social Security number, address, driver's license number,or passport number.",unauthorized access to email account
713,itu-320996,Brach Eichler L.L.C.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320996.pdf,12/11/2019,1,"name, ssn, dln",phishing
714,itu-320998 (2),Dr. Renee Lerner,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320998 (2).pdf,12/11/2019,380,"name, address, dob, treatment info, ssn, dln",improper access by former employee
715,itu-320998,Dr. Renee Lerner,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320998.pdf,12/11/2019,380,"name, address, dob, treatment info, ssn, dln",improper access by former employee
716,ITU-321096,Freedom Mortgage Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321096.pdf,12/11/2019,6,"name, don, financial account number",phishing
717,itu-320990 (2),Web Courseworks Ltd.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320990 (2).pdf,12/11/2019,7,"name, billing address, payment card info",malware
718,itu-320990,Web Courseworks Ltd.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320990.pdf,12/11/2019,7,"name, billing address, payment card info",malware
719,itu-320991,"Avanir Pharmaceuticals, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320991.pdf,12/11/2019,2,"name, address, and certain health information which may include prescription, medical,and insurance information",unauthorized access to email account
720,itu-320993 (1),"Rooster Teeth Productions, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320993 (1).pdf,12/11/2019,28,"name, address, payment card info",malware
721,itu-320987,"INTL FCStone, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320987.pdf,12/10/2019,87,"name, address, dob, ssn, dln, passport number",phishing
722,ITU-320989 (UPDATE) (2),Disability Insurance Specialists LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-320989 (UPDATE) (2).pdf,12/10/2019,10,"name, Social Security number, and diagnosis information",phishing
723,itu-320989 (UPDATE),Disability Insurance Specialists LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320989 (UPDATE).pdf,12/10/2019,10,"name, Social Security number, and diagnosis information",phishing
724,itu-320989,Disability Insurance Specialists LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320989.pdf,12/10/2019,10,"name, Social Security number, and diagnosis information",phishing
725,itu-320981,Windrose Health Investors,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320981.pdf,12/6/2019,,"your tax ID number, Social Security number, bank account information, name, address, phone number, and/or email.",phishing
726,itu-320984,Aetna (Security Breach),http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320984.pdf,12/6/2019,1,"name, date of birth, clinical data, health care provider, facility name, dates of admission, and prescription information",unauthorized access
727,itu-320985 (1),glassybaby LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320985 (1).pdf,12/6/2019,3,"names, emails, addresses, payment card info",malicious code
728,itu-320985 (2),glassybaby LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320985 (2).pdf,12/6/2019,3,"names, emails, addresses, payment card info",malicious code
729,itu-320986,"TDC Virginia Benefits & Risk Management, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320986.pdf,12/6/2019,15,"name, ssn, dln, financial account info, clinical treatment info",unauthorized access to email account
730,ITU-321092,Nationwide,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-321092.pdf,12/5/2019,1,"name, ssn",internal processing error
731,itu-320974 (1),Mid-Atlantic Benefits Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320974 (1).pdf,12/5/2019,10,"name, address, phone number, email address and social security number",info inadvertently emailed to wrong recipients
732,itu-320974 (2),Mid-Atlantic Benefits Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320974 (2).pdf,12/5/2019,10,"name, address, phone number, email address and social security number",info inadvertently emailed to wrong recipients
733,itu-321071,Master Painters Institute,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321071.pdf,12/2/2019,2,"name, addres, payment card info",website vulnerability
734,itu-321072,"Brookhaven Science Associates, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-321072.pdf,12/2/2019,10,"name, ssn, health insurance info",website vulnerability
735,itu-320980,MBL Technologies Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320980.pdf,12/2/2019,25,"social security numbers, passport numbers and other information provided during the open enrollment process",unauthorized access to email account
736,itu-320960,"Choice Hotels International, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320960.pdf,11/29/2019,"1,718","name, address, payment code",software error
737,ITU-317963 (UPDATE),Kalispell Regional Healthcare,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-317963 (UPDATE).pdf,11/28/2019,,,
738,itu-320955,Stikeman Elliott LLP,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320955.pdf,11/27/2019,3,"names, Social Security numbers, genders, dates of birth, addresses, telephone numbers,and email addresses",phishing
739,itu-320958,Indiana Trust and Investment Management Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320958.pdf,11/27/2019,14,"name, ssn, dob, passport numbers, dln, email address, account numbers, and financial info",phishing
740,itu-320959,Loudoun Medical Group d/b/a Comprehensive Sleep Care Center,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320959.pdf,11/27/2019,"1,405","name, address, date of birth, Social Security number, patient account number, health insurance information, date(s) of service, treatment information, medical history, medical record number, passport number, or driver's license number",unauthorized access to email account
741,itu-320951,"Chester County, Pennsylvania",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320951.pdf,11/26/2019,1,"name, ssn",unauthorized access to email account
742,itu-320952,Ivy Rehab Network,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320952.pdf,11/26/2019,48,"name, health info, ssn, financial account info",unauthorized access to email accounts
743,itu-320954 (1),"The UPS Store, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320954 (1).pdf,11/26/2019,28,"name, ssn, ID info, financial account info",phishing
744,itu-320954 (2),"The UPS Store, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320954 (2).pdf,11/26/2019,28,"name, ssn, ID info, financial account info",phishing
745,itu-320948,Abel Financial Management Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320948.pdf,11/25/2019,69,"g social security numbers, taxpayer identification numbers, drivers' license numbers, passport numbers and a limited number of financial account numbers and associated passwords",unauthorized access to email account
746,itu-320949 (1),"Nespresso USA, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320949 (1).pdf,11/25/2019,12,"name, payment card info",employee improperly retained info
747,itu-320949 (2),"Nespresso USA, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320949 (2).pdf,11/25/2019,12,"name, payment card info",employee improperly retained info
748,itu-320963,"consolidated nuclear security, llc",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320963.pdf,11/25/2019,1,"name, address, dob, ssn, passport numbers",info given to wrong recipients
749,itu-320940 (2),Elizabeth Family Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320940 (2).pdf,11/22/2019,12,personal demographic information and social security numbers,info stolen during burglary
750,itu-320940,Elizabeth Family Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320940.pdf,11/22/2019,12,personal demographic information and social security numbers,info stolen during burglary
751,itu-320943,KIPP DC Public Charter Schools,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320943.pdf,11/22/2019,452,"name, ssn, financial account info",unauthorized access to email accounts
752,itu-320945,Lubbock Christian University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320945.pdf,11/22/2019,6,"name, Social Security number, compensation, and withholdings",employee improperly sent info to personal account
753,itu-320946,"Blauer Manufacturing Co., Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320946.pdf,11/22/2019,28,"name, payment card info",unauthorized access
754,itu-320941 (1),"Century 21 Department Stores, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320941 (1).pdf,11/21/2019,126,"name, payment card info",unauthorized code on website
755,itu-320941 (2),"Century 21 Department Stores, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320941 (2).pdf,11/21/2019,126,"name, payment card info",unauthorized code on website
756,itu-317965 (UPDATE),The Kanthaka Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-317965 (UPDATE).pdf,11/21/2019,,,
757,itu-320931,ARINC Incorporated,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320931.pdf,11/20/2019,862,"W-2-related data including employees' names, home addresses, compensation, tax withholdings and social security numbers",info inadvertently sent to wrong recipient
758,itu-320934,"Ben Bridge Jeweler, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320934.pdf,11/20/2019,1,"name, driver's license number, and financial account number",unauthorized access to email account
759,itu-320928,LifeMark Securities Corp.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320928.pdf,11/19/2019,251,"name, address, ssn, financial account info",phishing
760,itu-320930,Wescom Central Credit Union,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320930.pdf,11/19/2019,1,"name and financial account information including account number, account type, account balance",unauthorized party downloaded three legacy database backup files
761,itu-320936,Atria Senior Living,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320936.pdf,11/19/2019,114,"name, dob, limited clinical/treatment info",phishing
762,itu-320970,Kennedy Krieger Institute,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320970.pdf,11/18/2019,1,"name, dob, address, health insurance info, medical info",inadvertently provided to wrong recipient
