Matter Number,Status,Opendt,Category,Sub category,Matter (Short) Name,Injry Date,Resid Effected,Corprt State,Thru Date,Industry,Crdt Monit,Notif Ltr,Name,Adrs,Email,SSN,DOB,Track1,Track2,Crdt
PR1822668,CLOSED,12/10/2018,Data Breach,Investigation,Our Piece of the Pie (11-9-2018),,"1,777",,,,N,N,Y,N,N,Y,N,N,N,Y
PR1822666,CLOSED,12/10/2018,Data Breach,Investigation,Marimekko Corporation (11-9-2018),10/15/2018,,,10/18/2018,,N,N,Y,Y,Y,N,N,N,N,Y
PR1822524,CLOSED,12/7/2018,Data Breach,Investigation,"Unified Trust Company, N.A. (11-7-2018)",12/6/2017,395,KY,2/25/2018,bank,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1822518,CLOSED,12/7/2018,Data Breach,Investigation,Jennifer Miller Ltd. (11-7-2018),2/1/2018,44,NY,7/15/2018,ecommerce,N,Y,Y,Y,Y,N,N,N,N,Y
PR1822517,CLOSED,12/7/2018,Data Breach,Investigation,"Loeb Enterprises II, LLC (11-6-2018)",12/8/2017,40,NY,5/17/2018,consulting,N,N,Y,N,N,Y,N,N,N,N
PR1822513,CLOSED,12/7/2018,Data Breach,Investigation,"Julep Beauty, Inc. (11-6-2018)",10/12/2018,9,WA,10/16/2018,ecommerce,N,Y,Y,Y,N,N,N,N,N,Y
PR1822510,CLOSED,12/7/2018,Data Breach,Investigation,"HC Financial Advisors, Inc. (11-6-2018)",8/2/2018,2,CA,8/2/2018,financial services,Y,Y,N,N,N,Y,N,N,N,N
PR1822489,CLOSED,12/7/2018,Data Breach,Investigation,"Capital One, N.A. (11-6-2018)",6/9/2018,20,VA,7/23/2018,bank,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1822205,CLOSED,12/3/2018,Data Breach,Investigation,"Capital Forensics, Inc. (11-29-2018)",11/3/2018,5979,IL,,Data analytics,Y,Y,Y,N,N,Y,N,N,N,N
PR1822001,OPEN,11/30/2018,Multistate,Investigation,Marriott - Data Breach,1/1/2014,,MD,9/10/2018,Hospitality,N,N,Y,Y,Y,N,Y,N,N,Y
PR1821961,CLOSED,11/29/2018,Data Breach,Investigation,Atrium Health (11-27-2018) via AccuDoc,9/22/2018,208,NC,9/29/2018,Health system,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1821711,CLOSED,11/26/2018,Data Breach,Investigation,DC International (11-5-2018),7/20/2018,,TX,9/9/2018,ecommerce,Y,Y,Y,Y,Y,N,N,N,N,Y
PR1821609,CLOSED,11/23/2018,Data Breach,Investigation,Peter Freuler & Associates CPA (11-5-2018),5/26/2018,3,FL,5/26/2018,accountant,Y,Y,Y,Y,N,Y,N,N,N,N
PR1821608,CLOSED,11/23/2018,Data Breach,Investigation,"Anderson, Bagley & Mayo Insurance Agency, Inc. (11",5/3/2018,1,MA,5/3/2018,insurance broker,Y,Y,Y,Y,N,Y,Y,N,N,Y
PR1821606,CLOSED,11/23/2018,Data Breach,Investigation,"Nordstrom, Inc. (11-5-2018)",10/9/2018,575,MN,10/9/2018,department store,Y,Y,Y,Y,N,Y,Y,N,N,Y
PR1821600,CLOSED,11/23/2018,Data Breach,Investigation,"BioMarin Pharmaceutical, Inc. (11-4-2018)",6/18/2018,1,CA,6/21/2018,pharmaceutical,Y,Y,N,N,N,Y,N,N,N,N
PR1821546,CLOSED,11/20/2018,Data Breach,Investigation,"Five Guys Holdings, Inc. (11-2-2018)",8/6/2018,876,VA,,Restraurant (Casual fast food),Y,Y,Y,Y,N,Y,Y,N,N,N
PR1821545,CLOSED,11/20/2018,Data Breach,Investigation,Sirchie Acquisition Company (11-2-2018),10/5/2018,1,NC,10/9/2018,Software (Crime scene monitoring),Y,Y,Y,Y,N,N,N,N,N,Y
PR1821541,CLOSED,11/20/2018,Data Breach,Investigation,Hemenway & Barnes LLP and Hemenway Trust Company (,9/1/2018,30,OH,,Financial Services (Trust),Y,Y,Y,N,N,Y,N,N,N,N
PR1821539,CLOSED,11/20/2018,Data Breach,Investigation,Inova Health System (11-2-2018),1/1/2017,15,OR,10/31/2017,Health Systems,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1821538,CLOSED,11/20/2018,Data Breach,Investigation,ImpactAssets Inc. (11-2-2018),8/28/2018,27,CA,,Investments (Donor advised funds),Y,Y,Y,N,Y,Y,Y,N,N,N
PR1821517,CLOSED,11/20/2018,Data Breach,Investigation,Transamerica (11-2-2018),8/22/2018,263,IA,,Insurance (Retirement plans),Y,Y,Y,N,N,Y,N,N,N,N
PR1821515,CLOSED,11/20/2018,Data Breach,Investigation,El Paso-Los Angeles Limousine Express (11-2-18),12/9/2016,7,TX,9/13/2018,Transportation (Limo service),N,Y,Y,Y,Y,N,N,N,N,Y
PR1821398,CLOSED,11/19/2018,Data Breach,Investigation,LPL Financial LLC (11-16-2018),11/3/2018,"5,743+27",MA,,Wealth Mangement,Y,Y,Y,N,N,Y,N,N,N,N
PR1821270,CLOSED,11/15/2018,Data Breach,Investigation,Berkeley College (11-1-2018),,2,CA,,Education (University),Y,Y,Y,Y,N,Y,N,N,N,N
PR1820817,CLOSED,11/7/2018,Data Breach,Investigation,"HSBC Bank USA, National Association (11-1-2018)",10/4/2018,93,NY,10/18/2018,Banking,Y,Y,Y,Y,N,N,N,N,N,N
PR1820772,CLOSED,11/6/2018,Data Breach,Investigation,OXO (10-31-2018),7/1/2018,53+80=133,NY,10/1/2018,Retail (Kitchen and related),N,Y,Y,Y,N,N,N,N,N,Y
PR1820767,CLOSED,11/6/2018,Data Breach,Investigation,"Whole Foods Market Group, Inc. (10-31-2018)",8/3/2018,7,TX,,Retail (Grocery),N,Y,Y,N,N,N,N,N,N,N
PR1820514,CLOSED,11/2/2018,Data Breach,Investigation,International Society of Explosives Engineers (10-,8/16/2018,3,,,,N,N,Y,N,N,N,N,N,N,Y
PR1820512,CLOSED,11/2/2018,Data Breach,Investigation,"Cendera Funding, Inc. (10-26-2018)",9/29/2018,2,,,,N,N,Y,Y,N,Y,N,N,N,N
PR1820501,CLOSED,11/2/2018,Data Breach,Investigation,"Star Title Partners of Palm Harbor, LLC (10-26-201",,11,,,,N,N,Y,N,N,Y,Y,N,N,N
PR1820495,CLOSED,11/2/2018,Data Breach,Investigation,Lyric Opera of Chicago (10-26-2018),9/26/2018,3,,,,N,N,Y,Y,N,Y,N,N,N,N
PR1820485,CLOSED,11/2/2018,Data Breach,Investigation,Capital One Bank (10-26-2018),9/5/2018,2* + 1+17,,9/12/2018,,N,N,Y,N,N,N,N,N,N,N
PR1820453,CLOSED,11/1/2018,Data Breach,Investigation,Heartland Hotel Corporation (10-25-2018),,1,,,,N,N,Y,N,N,Y,N,N,N,N
PR1820443,CLOSED,11/1/2018,Data Breach,Investigation,"STL International, Inc. dba Teeter (10-25-2018)",,135,,,,N,N,Y,N,N,N,N,N,N,Y
PR1820429,CLOSED,11/1/2018,Data Breach,Investigation,"TravisMatthew, LLC (10-25-2018)",8/13/2018,57,,9/25/2018,,N,N,Y,Y,N,N,N,N,N,Y
PR1820419,CLOSED,11/1/2018,Data Breach,Investigation,"GS1 US, Inc. (10-25-2018)",7/7/2018,807,,10/2/2018,,N,N,Y,Y,Y,N,N,N,N,Y
PR1820403,CLOSED,11/1/2018,Data Breach,Investigation,Allianz Life Insurance Company of North America (1,10/17/2018,1,,,,N,N,Y,Y,N,Y,N,N,N,N
PR1820400,CLOSED,11/1/2018,Data Breach,Investigation,Net32 (10-25-2018),9/22/2018,180,,9/25/2018,,N,N,N,N,N,N,N,N,N,Y
PR1820383,CLOSED,10/31/2018,Data Breach,Investigation,"Crownpeak Technology, Inc. (10-25-2018)",5/1/2018,1,,8/21/2018,,N,N,Y,N,N,Y,N,N,N,N
PR1820370,CLOSED,10/31/2018,Data Breach,Investigation,Bankers Life (10-25-2018),5/30/2018,"14,814",,9/13/2018,,N,N,Y,Y,N,Y,Y,N,N,N
PR1820369,CLOSED,10/31/2018,Data Breach,Investigation,"Village People, LLC (10-23-2018)",8/14/2018,2,TN,,Real estate services,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1820352,CLOSED,10/31/2018,Data Breach,Investigation,Catawba Valley Medical Center (10-23-2018),7/1/2018,2,,8/31/2018,,N,N,Y,N,N,Y,Y,N,N,N
PR1820346,CLOSED,10/31/2018,Data Breach,Investigation,"Drizly, Inc. (10-23-2018)",7/4/2018,1,MA,,Retail (Online alcohol),Y,Y,Y,N,N,Y,Y,N,N,N
PR1820324,CLOSED,10/30/2018,Data Breach,Investigation,TransUnion LLC (10-23-2018),2/22/2017,21,,8/27/2018,,N,N,Y,Y,N,Y,Y,N,N,N
PR1820309,CLOSED,10/30/2018,Data Breach,Investigation,"Challenger Sports, Inc. (10-22-2018)",8/26/2018,355,,8/29/2018,,N,N,Y,Y,Y,N,N,N,N,Y
PR1820302,CLOSED,10/30/2018,Data Breach,Investigation,Byram Healthcare (10-22-2018),10/9/2018,2,VA,,Medical Supplies,Y,Y,Y,Y,N,N,N,N,N,Y
PR1820291,CLOSED,10/30/2018,Data Breach,Investigation,"Guardant Health, Inc. (10-22-2018)",2/24/2018,2,,8/14/2018,,N,N,Y,Y,N,Y,Y,N,N,N
PR1820282,CLOSED,10/30/2018,Data Breach,Investigation,Strategic Risk Solutions (10-22-2018),4/4/2018,2,,4/5/2018,,N,N,Y,Y,N,Y,Y,N,N,N
PR1820168,CLOSED,10/29/2018,Data Breach,Investigation,Travel Leaders Group (10-22-2018),6/14/2018,34,,7/25/2018,,N,N,Y,Y,N,N,N,N,N,Y
PR1820166,CLOSED,10/29/2018,Data Breach,Investigation,Day Kimball Healthcare (10-22-2018),6/7/2018,672,,9/3/2018,,N,N,Y,Y,N,N,N,N,N,N
PR1820143,CLOSED,10/29/2018,Data Breach,Investigation,Malta House of Care Mobile Medical Clinic (10-22-2,9/14/2018,95,,,,N,N,Y,N,N,Y,Y,N,N,N
PR1820011,CLOSED,10/26/2018,Data Breach,Investigation,"Scrapbook.com, LLC (10-19-2018)",9/14/2018,6,AZ,9/17/2018,retail,N,Y,Y,Y,Y,N,N,N,N,Y
PR1820001,CLOSED,10/26/2018,Data Breach,Investigation,Willis Towers Watson (10-18-2018),9/13/2018,1,DE,9/19/2018,consulting,Y,Y,N,Y,N,Y,Y,N,N,N
PR1819996,CLOSED,10/26/2018,Data Breach,Investigation,Renaissance Philanthropic Solutions Group (10-18-2,6/5/2018,343,IN,6/13/2018,administrative services for charities,N,N,Y,N,N,Y,N,N,N,N
PR1819993,CLOSED,10/26/2018,Data Breach,Investigation,Atlas Holdings LLC (10-17-2018),12/17/2018,2,CT,5/18/2018,investment,Y,Y,Y,N,N,Y,N,N,N,N
PR1819988,CLOSED,10/26/2018,Data Breach,Investigation,Tallahassee Memorial Healthcare (10-17-2018),3/1/2005,3,FL,8/31/2018,healthcare provider,Y,Y,Y,N,Y,Y,Y,N,N,N
PR1819984,CLOSED,10/26/2018,Data Breach,Investigation,"McGlinchey Stafford, PLLC (10-17-2018)",9/7/2018,2,NY,9/7/2018,law firm,Y,Y,Y,N,N,Y,N,N,N,N
PR1819889,CLOSED,10/24/2018,Data Breach,Investigation,Netrition.com (10-16-2018),9/15/2018,7,NY,9/17/2018,ecommerce retail ,N,Y,Y,Y,N,N,N,N,N,Y
PR1819888,CLOSED,10/24/2018,Data Breach,Investigation,Weiner & Rice LLP (10-16-2018),3/30/2018,2,MA,7/13/2018,accountants,Y,Y,Y,N,N,Y,N,N,N,N
PR1819883,CLOSED,10/24/2018,Data Breach,Investigation,"Monroe Capital Holdings, LLC dba Newport Academy (",9/18/2018,3,TN,9/20/2018,drug rehabilitation,Y,Y,Y,N,N,Y,N,N,N,Y
PR1819879,CLOSED,10/24/2018,Data Breach,Investigation,"Evergreen Insurance, LLC (10-15-2018)",5/2/2018,1,WA,5/11/2018,insurance,Y,Y,Y,N,N,Y,N,N,N,N
PR1819868,CLOSED,10/24/2018,Data Breach,Investigation,"Uber Technologies, Inc. (10-23-2018)",8/30/2018,4,CA,8/31/2018,Transportation ,Y,Y,N,N,N,N,N,N,N,N
PR1819626,CLOSED,10/22/2018,Data Breach,Investigation,Prudential (10-11-2018),,16,NJ,,Financial ,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1819615,CLOSED,10/22/2018,Data Breach,Investigation,Brenton Point Wealth Advisors (10-12-2018),8/2/2018,1,NY,8/20/2018,Financial (Wealth advisors),Y,Y,Y,N,N,N,N,N,N,N
PR1819435,CLOSED,10/19/2018,Data Breach,Investigation,"Group Dynamic, Inc. (10-12-2018)",6/19/2018,78+47=125,,6/25/2017,,N,N,Y,N,N,Y,N,N,N,N
PR1819433,CLOSED,10/19/2018,Data Breach,Investigation,Goody Tickets (10-11-2018),9/15/2018,2,,9/17/2018,,N,N,Y,Y,N,N,N,N,N,Y
PR1819430,CLOSED,10/19/2018,Data Breach,Investigation,Tickets.Expert LLC (10-11-2018),9/15/2018,2,,9/17/2018,,N,N,Y,Y,N,N,N,N,N,Y
PR1819424,CLOSED,10/19/2018,Data Breach,Investigation,SHEIN (10-10-2018),6/1/2018,,CA,8/4/2018,Retail (Women's Fashion),N,N,N,N,N,N,N,N,N,N
PR1819392,CLOSED,10/19/2018,Data Breach,Investigation,Envision Healthcare Corporation (10-10-2018),7/1/2018,175,TN,,Healthcare,Y,Y,Y,N,N,Y,Y,N,N,N
PR1819384,CLOSED,10/19/2018,Data Breach,Investigation,Mount Saint Mary Academy (10-10-2018),8/2/2018,1,,8/13/2018,,N,N,Y,N,N,N,N,N,N,Y
PR1819380,CLOSED,10/18/2018,Data Breach,Investigation,"Buehler's Fresh Foods, LLC (10-9-2018)",2/1/2016,4,,9/8/2018,,N,N,Y,Y,Y,N,N,N,N,Y
PR1819378,CLOSED,10/18/2018,Data Breach,Investigation,KOBELCO Construction Machinery U.S.A. Inc. (10-8-2,9/12/2018,1,,,Manufacturer of Construction Machinery,N,N,Y,Y,N,Y,N,N,N,N
PR1819372,CLOSED,10/18/2018,Data Breach,Investigation,"Arthrex, Inc. (10-8-2018)",9/18/2018,1,"Naples, Florida",,Global Medical Device Company (orthopedi,N,N,Y,Y,N,Y,Y,N,N,N
PR1819352,CLOSED,10/18/2018,Data Breach,Investigation,"Five Below, Inc. (10-5-2018)",8/28/2018,57,Pennsylvania,,,N,N,Y,Y,N,N,N,N,N,Y
PR1819302,CLOSED,10/17/2018,Data Breach,Investigation,LeafFilter North LLC (10-4-2018),4/1/2018,8,,8/21/2018,,N,N,Y,N,N,Y,N,N,N,N
PR1819301,CLOSED,10/17/2018,Data Breach,Investigation,Access Health CT (10-4-2018),10/4/2018,2,,,,N,N,Y,N,N,Y,Y,N,N,N
PR1819299,CLOSED,10/17/2018,Data Breach,Investigation,"CoreSource, Inc. (Trustmark) (10-4-2018)",9/26/2018,1,Illinois,,,N,N,Y,N,N,N,N,N,N,N
PR1819287,CLOSED,10/17/2018,Data Breach,Investigation,Alaskans for Dan Sullivan (10-3-2018),8/8/2018,3,,,,N,N,Y,Y,N,N,N,N,N,N
PR1819285,CLOSED,10/17/2018,Data Breach,Investigation,"Professional Publications, Inc. (PPI) (10-3-2018)",3/9/2017,9,California,4/5/2017,,N,N,Y,Y,Y,N,N,N,N,Y
PR1819267,CLOSED,10/17/2018,Data Breach,Investigation,"DecisionHR Holdings, Inc. (10-3-2018)",11/1/2017,2,,12/31/2017,,N,N,N,N,N,Y,Y,N,N,N
PR1819147,CLOSED,10/16/2018,Data Breach,Investigation,"Shoe Station, Inc. (10-3-2018)",7/14/2018,2,,7/16/2018,,N,N,Y,Y,N,N,N,N,N,Y
PR1819067,CLOSED,10/15/2018,Data Breach,Investigation,Dr. Amy Woodruff (10-3-2018),8/8/2018,2,TX,,Medical Practice,Y,Y,Y,N,N,Y,Y,N,N,N
PR1819065,CLOSED,10/15/2018,Data Breach,Investigation,Fellen and Fellen LLC (10-3-2018),,2,NJ,,Law firm,Y,Y,Y,Y,Y,Y,N,N,N,N
PR1819060,CLOSED,10/15/2018,Data Breach,Investigation,IHS Markit (10-2-2018),,4,,,,N,N,N,N,Y,N,N,N,N,Y
PR1819058,CLOSED,10/15/2018,Data Breach,Investigation,Kaman Corporation (10-2-2018),,8,,,,N,N,N,N,N,N,N,N,N,N
PR1819056,CLOSED,10/15/2018,Data Breach,Investigation,Wintrust Financial Corporation (9-28-2018),8/22/2018,12,IL,8/22/2018,bank,Y,Y,Y,N,N,N,N,N,N,N
PR1819055,CLOSED,10/15/2018,Data Breach,Investigation,Quest Nutrician (9-28-2018),,9,CA,,nutrition products,Y,Y,Y,Y,N,Y,N,N,N,N
PR1819053,CLOSED,10/15/2018,Data Breach,Investigation,Coca-Cola Bottling Company of Northern New England,6/2/2018,6,NH,8/9/2018,beverage,Y,Y,Y,N,N,Y,N,N,N,N
PR1819001,CLOSED,10/15/2018,Data Breach,Investigation,McKenna & Sachs LLC (9-28-2018),5/30/2018,308+38,CT,5/30/2018,accountant,Y,Y,Y,N,N,Y,N,N,N,N
PR1818999,CLOSED,10/15/2018,Data Breach,Investigation,"Professional Golf Ball Services, Ltd (9-28-2018)",5/31/2016,21,TX,6/3/2016,golf balls,N,Y,Y,Y,N,N,N,N,N,Y
PR1818834,CLOSED,10/11/2018,Data Breach,Investigation,The Northwestern Mutual Life Insurance Company (9-,9/7/2018,2,IL,9/10/2018,insurance,Y,Y,Y,N,N,Y,Y,N,N,N
PR1818828,CLOSED,10/11/2018,Data Breach,Investigation,Aflac (9-28-2018),9/8/2017,23,GA,5/9/2018,insurance,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1818827,CLOSED,10/11/2018,Data Breach,Investigation,IES Communications (9-27-2018),2/1/2018,1,AZ,8/2/2018,communication technology,Y,Y,Y,N,N,Y,N,N,N,N
PR1818823,CLOSED,10/11/2018,Data Breach,Investigation,MetLife (9-27-2018),9/12/2018,1,IL,9/12/2018,insurance,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1818813,CLOSED,10/11/2018,Data Breach,Investigation,Data Intensity (9-27-2018),7/9/2018,2,MA,8/22/2018,cloud storage,Y,Y,Y,Y,N,N,N,N,N,N
PR1818470,CLOSED,10/4/2018,Data Breach,Investigation,"AEI Fund Management, Inc. (9-27-2018)",7/5/2018,7,MN,7/9/2018,financial services,Y,Y,Y,Y,N,Y,N,N,N,N
PR1818466,CLOSED,10/4/2018,Data Breach,Investigation,Another Planet Entertainment (9-27-2018),4/9/2018,5,CA,4/30/2018,concert promoter,Y,Y,Y,N,N,Y,N,N,N,N
PR1818459,CLOSED,10/4/2018,Data Breach,Investigation,"Group Dynamic, Inc. (9-27-2018)",6/22/2018,1,ME,7/2/2018,employee benefits,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1818387,CLOSED,10/3/2018,Data Breach,Investigation,Vanguard Dealer Services (9-26-2018),,14,,,,N,N,Y,Y,N,Y,Y,N,N,N
PR1818382,CLOSED,10/3/2018,Data Breach,Investigation,"Foreside Financial Group, LLC (9-25-2018)",,1,,,,N,N,Y,N,N,Y,N,N,N,N
PR1818373,CLOSED,10/3/2018,Data Breach,Investigation,Bank of America (9-24-2018),4/19/2018,1,,,,N,N,Y,Y,N,N,N,N,N,Y
PR1818342,CLOSED,10/3/2018,Data Breach,Investigation,"ESI North America, Inc. (9-24-2018)",5/9/2018,3,,10/14/2018,,N,N,Y,Y,N,Y,Y,N,N,N
PR1817973,CLOSED,9/27/2018,Data Breach,Investigation,Plant Therapy (9-21-2018),7/12/2018,11,,7/20/2018,,N,N,Y,N,N,N,N,N,N,Y
PR1817966,CLOSED,9/27/2018,Data Breach,Investigation,Protravel International LLC (9-21-2018),10/25/2017,3,,4/25/2018,,N,N,N,N,N,N,N,N,N,Y
PR1817955,CLOSED,9/26/2018,Data Breach,Investigation,Dragas Mortgage Company (9-21-2018),8/7/2018,3,,,,N,N,N,Y,N,Y,N,N,N,N
PR1817952,CLOSED,9/26/2018,Data Breach,Investigation,"Transitional Services for New York, Inc. (9-21-201",9/12/2018,1,,,,N,N,Y,Y,N,Y,N,N,N,N
PR1817929,CLOSED,9/26/2018,Data Breach,Investigation,First Financial Bank N.A. (9-21-2018),7/10/2018,1,,,,N,N,Y,N,N,N,N,N,N,N
PR1817925,CLOSED,9/26/2018,Data Breach,Investigation,YRC Worldwide Inc. (9-21-2018),7/24/2018,81,,,,N,N,Y,N,N,Y,N,N,N,N
PR1817912,CLOSED,9/26/2018,Data Breach,Investigation,"FirstGroup of America, Inc. (9-20-2018)",8/15/2015,2,UK,8/15/2018,Transportation (Student),Y,Y,Y,N,N,Y,N,N,N,N
PR1817904,CLOSED,9/26/2018,Data Breach,Investigation,American Museum of Natural History (9-20-2018),9/12/2018,1,NY,,Museum,Y,Y,Y,N,N,Y,Y,N,N,N
PR1817516,CLOSED,9/20/2018,Data Breach,Investigation,The Hanover Insurance Company (9-20-2018),5/29/2018,1,,7/6/2018,,N,N,Y,N,N,N,N,N,N,N
PR1817474,CLOSED,9/20/2018,Data Breach,Investigation,The Affiliated Group (9-19-2018),3/16/2018,35,,,,N,N,Y,N,N,Y,N,N,N,N
PR1817467,CLOSED,9/19/2018,Data Breach,Investigation,"Tech Rabbit, LLC (9-19-2018)",2/22/2017,592,,5/22/2018,,N,N,Y,Y,Y,N,N,N,N,Y
PR1817466,CLOSED,9/19/2018,Data Breach,Investigation,"CoreSource, Inc. (9-19-2018)",9/6/2018,3,,,,N,N,Y,N,N,Y,N,N,N,N
PR1817465,CLOSED,9/19/2018,Data Breach,Investigation,AAIM Employers' Association (9-18-2018),8/22/2018,3,,,,N,N,Y,Y,N,Y,Y,N,N,N
PR1817464,CLOSED,9/19/2018,Data Breach,Investigation,"Performance Food Group, Inc. (9-18-2018)",,34,,,,N,N,N,N,N,Y,N,N,N,N
PR1817461,CLOSED,9/19/2018,Data Breach,Investigation,Insmed Incorporated (9-18-2018),7/16/2018,3,,,,N,N,Y,N,N,Y,N,N,N,N
PR1817455,CLOSED,9/19/2018,Data Breach,Investigation,Comfort Inn Petersberg (9-17-2018),7/24/2018,1,FL,,Hospitality (Hotel),Y,Y,Y,N,N,Y,N,N,N,Y
PR1817436,CLOSED,9/19/2018,Data Breach,Investigation,"HealthFitness, Inc. (9-14-2018)",8/1/2015,2,MN,6/27/2018,wellness,Y,Y,Y,N,N,Y,N,N,N,N
PR1817431,CLOSED,9/19/2018,Data Breach,Investigation,"Wells Fargo Bank, N.A. (9-14-2018)",8/1/2017,1,CA,8/31/2017,financial services,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1817427,CLOSED,9/19/2018,Data Breach,Investigation,Zurich (9-6-2018),6/1/2013,12,MN,3/31/2014,insurance,Y,Y,Y,N,N,Y,N,N,N,N
PR1817422,CLOSED,9/19/2018,Data Breach,Investigation,"Tauck, Inc. (9-13-2018)",2/1/2018,429,CT,2/1/2018,travel agency,Y,Y,Y,N,N,Y,Y,N,N,N
PR1817413,CLOSED,9/19/2018,Data Breach,Investigation,Connecticut Insurance Guaranty Association (9-13-2,6/30/2018,1,CT,6/30/2018,insurance,Y,Y,Y,N,N,Y,N,N,N,N
PR1817410,CLOSED,9/18/2018,Data Breach,Investigation,"Skagit Bancorp, Inc. (9-11-2018)",6/12/2018,1,WA,6/6/2018,banking,Y,Y,Y,Y,Y,Y,Y,N,N,N
PR1817406,CLOSED,9/18/2018,Data Breach,Investigation,Carpenters Benefit Funds of Philadelphia (9-10-201,4/23/2018,5,PA,5/3/2018,pension fund,Y,Y,Y,N,N,Y,N,N,N,N
PR1817404,CLOSED,9/18/2018,Data Breach,Investigation,SecurityNational Mortgage Company (9-11-2018),5/7/2018,2,AL,5/7/2018,mortgage co,Y,Y,N,N,N,Y,N,N,N,N
PR1817401,CLOSED,9/18/2018,Data Breach,Investigation,Peaceful Valley Farm Supply (9-11-2018),2/9/2018,204,CA,8/22/2018,retail,N,Y,Y,Y,Y,N,N,N,N,N
PR1817400,CLOSED,9/18/2018,Data Breach,Investigation,Commonwealth Foreign Exchange (9-11-2018),5/1/2018,1,RI,5/1/2018,financial services,Y,Y,Y,Y,N,Y,N,N,N,N
PR1817393,CLOSED,9/18/2018,Data Breach,Investigation,"Group Associates, Inc. dba Maestro Health, Inc. (9",7/23/2018,1,,,,N,N,Y,Y,N,Y,Y,N,N,N
PR1817381,CLOSED,9/18/2018,Data Breach,Investigation,"Roadrunner Transportation Systems, Inc. (9-10-2018",4/12/2018,12+8=20,,,,N,N,N,N,N,Y,N,N,N,N
PR1817360,CLOSED,9/18/2018,Data Breach,Investigation,"Kulig Accounting, Inc. (9-10-2018)",5/5/2018,1,,,,N,N,Y,Y,N,Y,Y,N,N,N
PR1817265,CLOSED,9/17/2018,Data Breach,Investigation,Title Nine (9-7-2018),12/28/2017,8,,7/9/2018,,N,N,Y,Y,N,N,N,N,N,Y
PR1816985,CLOSED,9/11/2018,Data Breach,Investigation,"Stein Mart, Inc. (9-7-2018)",5/19/2018,4,,7/9/2018,,N,N,Y,Y,Y,N,N,N,N,Y
PR1816984,CLOSED,9/11/2018,Data Breach,Investigation,"Business Financial Services, Inc. dba BFS Capital ",7/6/2018,2,,,,N,N,Y,N,N,N,N,N,N,N
PR1816960,CLOSED,9/11/2018,Data Breach,Investigation,"KYOCERA Document Solutions New England, Inc. (9-6-",8/3/2018,15,,,,N,N,Y,N,N,Y,N,N,N,N
PR1816942,CLOSED,9/11/2018,Data Breach,Investigation,"VenatoRx Pharmaceuticals, Inc. (9-7-2018)",,1,,,,N,N,N,N,N,Y,N,N,N,N
PR1816941,CLOSED,9/11/2018,Data Breach,Investigation,"Nardella & Taylor, LLP (9-7-2018)",,81,,,,N,N,Y,Y,N,Y,N,N,N,N
PR1816939,CLOSED,9/11/2018,Data Breach,Investigation,The Sanibel Captiva Trust Company (9-6-2018),7/30/2018,6,,8/1/2018,,N,N,N,N,N,Y,N,N,N,N
PR1816938,CLOSED,9/11/2018,Data Breach,Investigation,Our Piece of the Pie (9-6-2018),8/9/2018,104,,,,N,N,Y,N,N,Y,N,N,N,N
PR1816937,CLOSED,9/11/2018,Data Breach,Investigation,"Bankers Insurance Group, Inc. (8-30-2018)",6/1/2017,3,,12/1/2017,,N,N,Y,N,N,N,N,N,N,N
PR1816576,CLOSED,9/6/2018,Data Breach,Investigation,Augusta University (8-30-2018),9/10/2017,39,GA,9/11/2017,Education (University),Y,Y,Y,Y,N,Y,Y,N,N,N
PR1816522,CLOSED,9/4/2018,Data Breach,Investigation,Air Canada Mobile+ App (8-31-2018),8/22/2018,6,,8/24/2018,,N,N,Y,Y,N,N,Y,N,N,N
PR1816521,CLOSED,9/4/2018,Data Breach,Investigation,"Posternak Blankstein & Lund, LLP (8-31-2018)",6/29/2018,4,,,,N,N,N,N,N,Y,N,N,N,N
PR1816518,CLOSED,9/4/2018,Data Breach,Investigation,"Kona HR Consulting Group, LLC (8-31-2018)",12/7/2017,15,,6/4/2018,,N,N,Y,Y,N,Y,Y,N,N,N
PR1816512,CLOSED,9/4/2018,Data Breach,Investigation,Movement Mortgage LLC (8-31-2018),10/9/2018,472,,3/29/2018,,N,N,Y,N,N,Y,N,N,N,Y
PR1816507,CLOSED,9/4/2018,Data Breach,Investigation,"North American Risk Services, Inc. (8-31-2018)",2/7/2018,2 + 18 = 20,,3/27/2018,,N,N,Y,N,N,Y,N,N,N,N
PR1816506,CLOSED,9/4/2018,Data Breach,Investigation,Cambridge Consulting Group LLC (8-31-2018),6/27/2018,1,,,,N,N,Y,N,N,Y,N,N,N,N
PR1816504,CLOSED,9/4/2018,Data Breach,Investigation,Academy Mortgage Corporation (8-31-2018),5/21/2018,3,,,,N,N,Y,Y,N,Y,N,N,N,N
