ID,Entity Involved,Date Involved
699,Austin Manual Therapy,12/20/2017
700,Ameriprise (December),12/20/2017
701,Dun & Bradstreet,12/20/2017
702,Perrigo,12/18/2017
703,Caliber Collision Centers,12/18/2017
704,The Office of Federal Student Aid/University of Virginia,12/18/2017
705,AmediStaf,12/18/2017
706,Emory Healthcare,12/18/2017
707,New Penn Financial,12/18/2017
708,Wagner Hardwoods,12/15/2017
709,Quantel/Snell Advanced,12/15/2017
710,Combat Brands,12/12/2017
711,WEI Mortgage,12/12/2017
712,Bennington-Rutland Supervisory Union,12/12/2017
713,National Capital Poison Center,12/12/2017
714,The Horton Group,12/12/2017
715,Shamrock Financial Corporation,12/12/2017
716,IH Mississippi Valley Credit Union,12/11/2017
717,Grass Advantage,12/8/2017
718,Bulletproof 360 (December),12/8/2017
719,"Hayden, Narey & Persich",12/7/2017
720,National Air Traffic Controllers Association,12/7/2017
721,CCRM Minneapolis,12/5/2017
722,Community Systems Inc Delaware,12/5/2017
723,JAM Paper & Envelope,12/4/2017
724,City of Charlottesville,12/4/2017
725,Pulmonary Specialists of Louisville PSC,12/4/2017
726,Property Management Business Solutions,12/4/2017
727,This Works Products,12/1/2017
728,Best Western (November),12/1/2017
729,Accenture Federal Services,12/1/2017
730,IdeaStream Consumer Products,12/1/2017
731,Lincoln Financial,12/1/2017
732,Crate & Barrel,11/29/2017
733,The Image Group,11/29/2017
734,Sabre (JRK Hotel),11/28/2017
735,Uber,11/28/2017
736,STV Group,11/28/2017
737,Origami Capital,11/28/2017
738,Schachter Harris LLP,11/28/2017
739,Randolph Savings Bank,11/28/2017
740,Baylor College of Medicine,11/28/2017
741,Oppenheimer Funds,11/28/2017
742,Humana (Real Time Health Quotes),11/28/2017
743,Academy of Art University,11/21/2017
744,Lindsay Cadillac,11/21/2017
745,VCU Health System,11/21/2017
746,Boise Cascade,11/21/2017
747,AmeriFirst Home Mortgage,11/20/2017
748,Sabre (The Whitehall Hotel),11/20/2017
749,Appen Butler Hill,11/20/2017
750,Brinderson LP,11/20/2017
751,AppNexus,11/20/2017
752,GCI,11/20/2017
753,Golden Rule,11/17/2017
754,Klinger Moving Company,11/17/2017
755,Sallie Mae,11/17/2017
756,ABM Industries,11/17/2017
757,Gallagher NAC,11/17/2017
758,Rain Bird Corporation,11/16/2017
759,Northland Control Systems,11/16/2017
760,Legacy Health Strategies,11/16/2017
761,The City of Holly Springs,11/14/2017
762,Bay Ridge Federal Credit Union,11/14/2017
763,InTouch Credit Union,11/14/2017
764,Jackson National Life Insurance,11/14/2017
765,Alliant Staffing,11/14/2017
766,William Frederick Taylor/Medical Mall/HB Assoc,11/14/2017
767,Home Box Office,11/14/2017
768,"Little River Healthcare d/b/a Little River Waco Ear Nose
Throat",11/9/2017
769,Wilbraham Lawler & Buba PC,11/9/2017
770,Memory4Less,11/7/2017
771,Sabre (Oxford Corporate),11/7/2017
772,Tween Brands (Too Inc),11/7/2017
773,North American Title Company,11/7/2017
774,DuPage Senior Citizens Council,11/3/2017
775,Sonabank,11/3/2017
776,Far Niente,11/1/2017
777,GlaxoSmithKline (October),11/1/2017
778,HumanGood,11/1/2017
779,Wintrust Mortgage,11/1/2017
780,coincafe,10/31/2017
781,Workfront,10/31/2017
782,Builders Capital,10/31/2017
783,Interstate Plastics,10/31/2017
784,Advisory Research,10/25/2017
785,Best Western International,10/24/2017
786,Whole Foods,10/24/2017
787,College of the Holy Cross,10/24/2017
788,Aetna (Real Time Health Quotes),10/24/2017
789,Alcorn State University,10/24/2017
790,LightHouse Management,10/24/2017
791,Pizza Hut,10/23/2017
792,BMT Designers,10/23/2017
793,Slalom Consulting,10/18/2017
794,Township of Toms River,10/18/2017
795,Canon Recruiting Group,10/18/2017
796,Aptos (Nutrex Hawaii),10/18/2017
797,FlexShopper,10/18/2017
798,Ameriprise (October),10/18/2017
799,Aptos (Atlantic Cigar),10/18/2017
800,Droege Computing,10/18/2017
801,Sabre (Owner's Association of Rivertide Suites),10/18/2017
802,Aptos (West Music),10/17/2017
803,International Council of Shopping Centers,10/17/2017
804,Mark Schaefer Associates,10/17/2017
805,Gillispie & Ogilbee CPAs,10/17/2017
806,Merchant e-Solutions,10/17/2017
807,Namaste Health Care,10/17/2017
808,Tommie Copper Inc,10/17/2017
809,Neue Galerie,10/17/2017
810,Bridgewater College,10/17/2017
811,Catholic United Financial,10/16/2017
812,PressureParts,10/16/2017
813,ABC Carpet and Home,10/16/2017
814,Sabre (NVIDIA),10/13/2017
815,Transamerica,10/13/2017
816,Northwestern Mutual,10/13/2017
817,Hyatt Hotels,10/13/2017
818,Christi Benefits Group,10/12/2017
819,Atlantic Cigar (Aptos),10/12/2017
820,Kemmerer & Schooley PLLC,10/12/2017
821,Lake Champlain Chocolates,10/10/2017
822,Sauter Consulting,10/10/2017
823,Nussbaum Yates Berg Klein & Wolpow LLP,10/10/2017
824,Provo Craft,10/10/2017
825,American General Life Insurance,10/10/2017
826,McNair & Company,10/10/2017
827,University of Virginia,10/10/2017
828,Raymond James,10/10/2017
829,Cabrillo Community College,10/6/2017
830,Brunswick Corporation,10/6/2017
831,Sonic,10/6/2017
832,Briggs & Stratton Corporation,10/6/2017
833,Aptos (Alpha Industries),10/6/2017
834,McGraw-Hill Education,10/4/2017
835,PerfectServe,10/4/2017
836,High Cotton USA,10/4/2017
837,The US Oncology Network,10/2/2017
838,Starwood Property Trust,10/2/2017
839,The Online Traffic School,10/2/2017
840,Century (Aptos),10/2/2017
841,United Producers,10/2/2017
842,Sabre (Sea Island Company),10/2/2017
843,Cheddar's Casual Cafe,10/2/2017
844,Signator Investors,9/26/2017
845,AU Medical Center,9/26/2017
846,Best Western Plus,9/26/2017
847,Grace C Lewis CPA PA,9/26/2017
848,Aero-Tech Light Bulb,9/25/2017
849,CliftonLarsonAllen LLP,9/25/2017
850,Farmers & Merchants Bank,9/25/2017
851,NCI Group,9/25/2017
852,E & J Gallo Winery,9/20/2017
853,Navient,9/20/2017
854,Brambles USA,9/20/2017
855,W W Grainger,9/20/2017
856,Chizner & Company CPAs (TheSailingChannel),9/18/2017
857,Ceridian (Jacuzzi Brands),9/18/2017
858,Chizner & Company CPAs (JJ Payroll),9/18/2017
859,Enlow and Minsky CPA,9/15/2017
860,BrandMortgage,9/15/2017
861,Franklin American Mortgage Company,9/15/2017
862,Sabre (Sixty Hotels),9/13/2017
863,Hospital Housekeeping Systems,9/13/2017
864,Frontier Natural Products Co-Op,9/13/2017
865,AM2 Enterprises,9/13/2017
866,ABB,9/13/2017
867,The reThink Group,9/13/2017
868,Plexxis Software,9/13/2017
869,SRI International,9/13/2017
870,Spring Insurance,9/13/2017
871,Hale Ball Carlson,9/13/2017
872,Growmark,9/12/2017
873,Infinite Computer Solutions,9/12/2017
874,Allergan,9/12/2017
875,ICC Industries,9/12/2017
876,Columbia University's Business School,9/12/2017
877,Fiduciary Management,9/12/2017
878,Cohn Handler Sturm,9/12/2017
879,New York Life,9/11/2017
880,Major League Lacrosse,9/11/2017
881,Leidos,9/11/2017
882,Mrs Prindables (Aptos),9/11/2017
883,Equifax,9/8/2017
884,Sabre (Roosevelt Hotel),9/7/2017
885,Akira,9/7/2017
886,Wilt/Bottoni/Advanced Financial/Accu-Pay/Bookkeeping,9/7/2017
887,Sabre (Red Roof Inns),9/7/2017
888,Visible Changes,9/7/2017
889,Kroeschell,9/7/2017
890,Sabre (Orchards Inn),9/7/2017
891,The Pew Charitable Trusts,9/7/2017
892,Massachusetts Mutual Life,9/7/2017
893,Sabre (L'Auberge de Sedona),9/7/2017
894,Sirius XM (August),9/7/2017
895,Sabre (Evans Hotels),9/7/2017
896,CoreLogic Credco,9/1/2017
897,Intuit (August),9/1/2017
898,Classic Firearms,9/1/2017
899,Caesars Entertainment,9/1/2017
900,Nationstar/Mr. Cooper,8/31/2017
901,Sabre (La Torretta Lake Resort,8/31/2017
902,Sabre (The Domain Hotel),8/31/2017
903,Hand Rehabilitation,8/31/2017
904,Sabre (The Nathan Hale Inn),8/31/2017
905,Sabre (The Bicycle Hotel & Casino),8/31/2017
906,Sabre (The Gallivant Times Square),8/31/2017
907,GT Distributors,8/30/2017
908,Mark F Andrews CPA,8/30/2017
909,Sabre (Aimbridge Hospitality),8/30/2017
910,Aptos (Piano Works),8/30/2017
911,New York Life/APPS,8/30/2017
912,Sabre (Hitachi),8/30/2017
913,Franklin R Noto CPA,8/25/2017
914,Sabre (Denihan Hospitality),8/25/2017
915,Davidson Doyle & Hilton,8/25/2017
916,Taylor University,8/25/2017
917,Prudential,8/25/2017
918,For a Financial,8/24/2017
919,Evers Robinson (Arizona Title),8/24/2017
920,Dutch LLC,8/24/2017
921,Salina Family Healthcare Center,8/24/2017
922,Evers Robinson (Kahala Brands),8/24/2017
923,Rutherford MacDonald & Olson,8/24/2017
924,Private Advisors (August),8/22/2017
925,Sabre (1  Hotel),8/22/2017
926,Marine Corps Association,8/22/2017
927,American Friends Service,8/22/2017
928,GCI Consultants,8/22/2017
929,Oncology Consultants,8/22/2017
930,Tax-On-Time,8/21/2017
931,Safe Rack,8/21/2017
932,Sabre (Pacifica Hotel),8/21/2017
933,Precision Walls,8/21/2017
934,TALX (Equifax) Maxim Healthcare,8/17/2017
935,Alpert & King dba R.O.A.D.,8/17/2017
936,Intuit (August 15),8/17/2017
937,Juliska,8/15/2017
938,Saddie Ridge Partners,8/15/2017
939,Evers Robinson (Kearney Electric),8/15/2017
940,Hyatt Centric The Loop,8/15/2017
941,National DCP,8/15/2017
942,TRUEbenefits,8/15/2017
943,Evers Robinson (CNA National Warranty),8/11/2017
944,Sandpiper Property Management,8/11/2017
945,Shoe Station,8/11/2017
946,Evers Robinson (Logan Simpson),8/11/2017
947,Signature hardware,8/9/2017
948,Stoy Malone & Company,8/9/2017
949,KBE Building,8/9/2017
950,Botwinick & Co.,8/9/2017
951,WNET,8/9/2017
952,U.S. Residential Group,8/9/2017
953,Carranco & Lawson PC,8/9/2017
954,Cole Sport,8/7/2017
955,Sabre (Rincon Band),8/7/2017
956,Oldcastle Precast,8/7/2017
957,Borden Duffel,8/7/2017
958,Sabre (Desert Palace),8/7/2017
959,State Industrial Products,8/7/2017
960,Northwest Rheumatology,8/7/2017
961,Sabre (Harrah's Las Vegas),8/7/2017
962,Sabre (list of 21),8/7/2017
963,Butterfly Effects,8/4/2017
964,Directron,8/3/2017
965,Intuit (July 31),8/3/2017
966,Delek US Holdings,8/3/2017
967,GlassRoom Advisors,8/3/2017
968,Sabre Hospitality (Westgate Resorts),8/3/2017
969,Kentucky Wesleyan College,8/3/2017
970,BST & Co CPAs,8/3/2017
971,Sabre Hospitality (Stout Street Hospitality),8/3/2017
972,Sabre Hospitality (Woodside Hotels),7/31/2017
973,Sabre Hospitality (Salt Hotels),7/31/2017
974,Indivior,7/31/2017
975,Sabre Hospitality (Hartz Hotel),7/31/2017
976,Sabre Hospitality (Noble House),7/31/2017
977,Sabre Hospitality (Kimpton Hotels),7/31/2017
978,Al J Schneider Company,7/28/2017
979,Katz Abosch Windesheim Gershman & Freedman PA,7/28/2017
980,Chizner & Company CPAs,7/27/2017
981,HICAPS,7/26/2017
982,Value Eyecare Network,7/26/2017
983,TALX (Foot Locker),7/26/2017
984,Jeffrey Glasser CPA,7/26/2017
985,Sabre (Great Wolf),7/25/2017
986,TALX (Equifax) Whole Foods Market,7/25/2017
987,Sabre (Standard International),7/25/2017
988,Sabre (The Sandman Santa Rosa),7/25/2017
989,Avanti Markets,7/25/2017
990,Sabre (Sydell Partners),7/25/2017
991,Mutual of Omaha,7/25/2017
992,de Arrigoitia & Co,7/25/2017
993,Clark Construction (Aetna),7/25/2017
994,Eagle Home Mortgage,7/24/2017
995,Intuit (July 21),7/24/2017
996,Carilion Clinic,7/24/2017
997,Sabre (Charles Schwab),7/24/2017
998,Harvest Bible Chapel d/b/a Walk in the Word,7/24/2017
999,Whitinger & Company,7/24/2017
1000,Rose Harrison & Gilreath PC,7/21/2017
1001,Sabre (Verizon),7/21/2017
1002,Sabre (Sage),7/21/2017
1003,Sabre (Nantucket Island Resorts),7/21/2017
1004,Sabre (Time Warner),7/20/2017
1005,Ameriprise (July),7/20/2017
1006,Sabre (Alston & Bird),7/19/2017
1007,American Strategic Insurance,7/19/2017
1008,Sunbelt Rentals (July),7/19/2017
1009,Sabre (Estee Lauder),7/19/2017
1010,United Airlines,7/18/2017
1011,TALX (Equifax) Supervalu,7/18/2017
1012,Sabre Hospitality (News Corporation),7/18/2017
1013,Sabre Hospitality (Oath),7/18/2017
1014,Best Buy,7/18/2017
1015,Sabre (SBE ENT Holdings),7/18/2017
1016,John Hopkins University,7/18/2017
1017,Sabre (Club Quarters),7/18/2017
1018,Farmers and Merchants Trust,7/18/2017
1019,Michael Friedland LTD,7/18/2017
1020,Sabre (Two Roads),7/18/2017
1021,Ingis & Company,7/18/2017
1022,Brigham Young University,7/18/2017
1023,LOGAN Community Resources,7/18/2017
1024,Covanta Holding,7/17/2017
1025,Hotel Preston,7/17/2017
1026,Sabre Hospitality (21c Museum Hotels),7/17/2017
1027,Bedrock Manufacturing,7/17/2017
1028,Intuit (July),7/13/2017
1029,TALX (Equifax) Sheetz,7/13/2017
1030,Willis Towers Watson,7/13/2017
1031,Auburn University,7/13/2017
1032,DMV,7/13/2017
1033,Movement Mortgage,7/13/2017
1034,The Lash Group,7/12/2017
1035,Sabre Hospitality (Loews Hotels),7/12/2017
1036,Peachtree Neurological,7/12/2017
1037,Sabre Hospitality (New World Hotel),7/12/2017
1038,Costco,7/12/2017
1039,Golf & Ski Warehouse,7/12/2017
1040,PVHS-ICM Employee Health and Welness,7/10/2017
1041,Spark Pay Online Store,7/10/2017
1042,Sabre Hospitality (Hard Rock Hotels),7/10/2017
1043,Sabre Hospitality (Trump Hotels,7/10/2017
1044,Open Text Corporation,7/7/2017
1045,Reverse Mortgage Funding,7/7/2017
1046,Sabre Hospitality (Jenner & Block LLP),7/7/2017
1047,U.S. Cellular,7/5/2017
1048,Bencivenga,7/5/2017
1049,Meepos,7/5/2017
1050,Xtant Medical Holdings,7/5/2017
1051,Harmonix Music Systems,7/5/2017
1052,Paul Stuart,7/5/2017
1053,Sabre Hospitality (Google),7/5/2017
1054,Life Time Fitness,7/5/2017
1055,Sabre Hospitality (Preferred Hotel Group),7/5/2017
1056,Rizzo & Company,7/5/2017
1057,Miraval Arizona Resort and Spa,6/30/2017
1058,kCura,6/30/2017
1059,Sabre Hospitality Solutions (Jones Day),6/29/2017
1060,Frank G. Becicka PLC,6/29/2017
1061,Concord Academy,6/27/2017
1062,Cove Family & Sports Medicine,6/27/2017
1063,Ameriprise (June 22),6/27/2017
1064,Burdette Smith & Bish,6/27/2017
1065,TD Bank,6/27/2017
1066,Pioneer Valley Books,6/26/2017
1067,David Turrentine & Associates,6/26/2017
1068,Atlantic Digestive  Specialist,6/26/2017
1069,John F Lewis PC,6/26/2017
1070,Christopher & Banks (Aptos),6/26/2017
1071,Caliber Home Loans,6/26/2017
1072,Torrance Memorial Medical Center,6/23/2017
1073,CBEW Professional Group,6/23/2017
1074,NTEU,6/23/2017
1075,Kayser-Roth (Aptos),6/23/2017
1076,Nielsen Company,6/22/2017
1077,HillPhoenix,6/22/2017
1078,Home Point Financial Corporation,6/22/2017
1079,Tampa Bay Surgery Center,6/22/2017
1080,Southern Tide,6/21/2017
1081,The Phillips Club Management Company,6/21/2017
1082,Ameriprise (June),6/21/2017
1083,Massood & Company PA,6/21/2017
1084,Campus Crusade for Christ,6/21/2017
1085,Professional Risk Associates,6/21/2017
1086,Sadd Velazquez Higashi Shammaa,6/20/2017
1087,Agri Beef (Snake River Farms),6/20/2017
1088,Parkhurst Dining,6/20/2017
1089,Bridge Investment Group,6/20/2017
1090,Bed Bath & Beyond,6/19/2017
1091,Paychex (Millennium Corporation),6/19/2017
1092,TALX (Equifax) CVS Health,6/16/2017
1093,Revlon,6/14/2017
1094,Jas. Townsend & Son,6/14/2017
1095,Old No 77 Hotel,6/14/2017
1096,Leader Bank,6/14/2017
1097,The Forum for Youth Investment,6/14/2017
1098,Intuit (June 13),6/14/2017
1099,Washington State University,6/13/2017
1100,Yeo & Yeo,6/13/2017
1101,Freedom Smokes d/b/a Myfreedomsmokers.com,6/13/2017
1102,Republic Bank - Jackson Hewitt,6/13/2017
1103,Richline Group - Jewelry.com,6/9/2017
1104,NGM Insurance,6/9/2017
1105,RJD d/b/a Guardian Technologies,6/9/2017
1106,Onia (Acadaca LLC),6/9/2017
1107,O'Brien Riley & Ryan PC,6/8/2017
1108,World Omni Financial,6/8/2017
1109,Intuit (June 6),6/8/2017
1110,GameStop,6/8/2017
1111,GameStop (2 letters),6/8/2017
1112,SingerLewak LLP,6/7/2017
1113,Angliss & Colohan PC,6/7/2017
1114,Airway Oxygen,6/7/2017
1115,SynchroNet,6/7/2017
1116,Crimson Trace,6/7/2017
1117,Keith M. Southwood CPA,6/7/2017
1118,Campbell Union High School District,6/6/2017
1119,Township of Springfield,6/6/2017
1120,Incipio LLC (Aptos),6/6/2017
1121,Jibe (Overseas Shipholding Group),6/6/2017
1122,First National Bank of Pennsylvania,6/6/2017
1123,Signature Hardware,6/6/2017
1124,Henniges Automotive,6/6/2017
1125,BMO Harris Bank,6/6/2017
1126,TALX (Equifax) Aramark,6/6/2017
1127,Char-Broil LLC,5/31/2017
1128,Courage Capital Management,5/31/2017
1129,optionsXpress,5/31/2017
1130,Chipotle Mexican Grill,5/31/2017
1131,Maddaloni Nydick & Keenan PC,5/31/2017
1132,Frontier Airlines,5/31/2017
1133,FastHealth,5/31/2017
1134,Goochland Powhatan Community Services (May),5/26/2017
1135,LCS-WP d/b/a Walnut Place,5/26/2017
1136,Intuit (May 24),5/26/2017
1137,Ullico,5/26/2017
1138,Zillow Group,5/26/2017
1139,Michael T Blevins,5/26/2017
1140,Rite Aid Online Store,5/24/2017
1141,Ricoh USA,5/24/2017
1142,Principal Financial Group (May),5/24/2017
1143,Nokia Solutions,5/24/2017
1144,CPA Tax Planning,5/24/2017
1145,Neeley-Nemeth,5/24/2017
1146,AT&T,5/22/2017
1147,KURU Footwear,5/22/2017
1148,Brooks Brothers,5/18/2017
1149,Intuit (May 17),5/18/2017
1150,Indigo Wild,5/18/2017
1151,Tatcha LLC,5/17/2017
1152,TALX (Equifax) Allegis Group,5/17/2017
1153,ITA Group,5/17/2017
1154,Dixon Hughes Goodman (May 12),5/17/2017
1155,TALX (Equifax) Erickson Living,5/17/2017
1156,Intrepid Aviation Management,5/17/2017
1157,University of New Mexico Foundation,5/17/2017
1158,Nicopure Labs,5/17/2017
1159,PolkBeder LLC,5/16/2017
1160,Sunbelt Rentals,5/16/2017
1161,Ives & Sultan,5/16/2017
1162,Intuit (May 9),5/16/2017
1163,Bechtel Oil Gas & Chemicals,5/16/2017
1164,D'Angelo & Associates APC,5/16/2017
1165,Intuit (May 5),5/10/2017
1166,Suntrust,5/10/2017
1167,First Shore Federal Savings and Loan Association,5/10/2017
1168,Diamond Institute for Infertility and Menopause,5/10/2017
1169,Genpact (Scottrade Bank),5/10/2017
1170,WBSC Business,5/10/2017
1171,Pellegrino Saccomani & Wells LLP,5/8/2017
1172,Fidelity National Financial,5/8/2017
1173,TALX Corporation (April 28),5/8/2017
1174,Wesleyan College,5/5/2017
1175,George Mason University,5/5/2017
1176,Goochland Powhatan Community Services,5/5/2017
1177,Aptos (additional company - Marbles LLC),5/5/2017
1178,Shock Doctor,5/4/2017
1179,CSM Bakery Solutions,5/4/2017
1180,Rammelkamp Bradney,5/4/2017
1181,McDavid Inc.,5/4/2017
1182,Nathan Sports,5/4/2017
1183,CuttersSports,5/4/2017
1184,Pratt Industries,5/4/2017
1185,Crane Tonelli Rosenberg & Co,5/3/2017
1186,KeraLink International,5/3/2017
1187,Hill Country Memorial Hospital,5/3/2017
1188,Motl Marketing,5/3/2017
1189,Greenwood School District,5/3/2017
1190,Seattle Housing Authority,5/3/2017
1191,Jones & Anderson CPA Group,5/3/2017
1192,Clark Rasmussen Taylor CPAs,5/3/2017
1193,Gannett Company,5/3/2017
1194,Extreme Reach,5/3/2017
1195,Salus University,5/3/2017
1196,Jackson Hewitt Tax Service,5/1/2017
1197,Wild Maney & Resnick LLP,4/28/2017
1198,Delta Career Education,4/28/2017
1199,Advanced ICU Care,4/28/2017
1200,Intuit (April 24),4/28/2017
1201,Platinum Scaffolding,4/25/2017
1202,Shoneys (Best American Hospitality,4/25/2017
1203,KOMAN,4/25/2017
1204,LPL Financial,4/25/2017
1205,Tidewater Transit,4/25/2017
1206,Pacific Lutheran University,4/25/2017
1207,Golomb Schwartz & Cove PA,4/25/2017
1208,Northrop Grumman Systems,4/25/2017
1209,BankSouth Mortgage (April 17),4/25/2017
1210,REI Holding,4/25/2017
1211,Edgewood Management,4/25/2017
1212,TALX Corporation (University of Louisville),4/25/2017
1213,Intuit (April 17),4/21/2017
1214,Car Pool,4/21/2017
1215,Radius Travel,4/21/2017
1216,"Coley, Eubank & Company",4/18/2017
1217,Citibank (April 7),4/18/2017
1218,Ameriprise (April 11),4/18/2017
1219,Sirius XM (April),4/18/2017
1220,3 Birds Marketing,4/18/2017
1221,"Reid, Sahm, Isaacs & Schmelzlen LLP",4/18/2017
1222,Neiman Marcus Group,4/18/2017
1223,FPI Management,4/18/2017
1224,St Lucie County,4/18/2017
1225,Six Continents Hotels,4/18/2017
1226,BankSouth Mortgage,4/18/2017
1227,Forest City Trading Group,4/18/2017
1228,Combat Brands,4/18/2017
1229,Alamo Capital,4/18/2017
1230,The Children's Place,4/13/2017
1231,Department of Motor Vehicles,4/13/2017
1232,Berard & Associates CPAs PC,4/13/2017
1233,Stonebridge Companies,4/13/2017
1234,Aptos (2 additional),4/13/2017
1235,One World Distribution,4/13/2017
1236,Intuit (April 11),4/13/2017
1237,ACSIA,4/10/2017
1238,Costco,4/10/2017
1239,Brophy Dailey & Incardona LLP,4/10/2017
1240,Brownells,4/10/2017
1241,Solera Holdings,4/10/2017
1242,Zenefits,4/10/2017
1243,Commonwealth Health Corporation,4/7/2017
1244,Elwood Staffing,4/7/2017
1245,Lake Kennedy McCulloch CPAs,4/7/2017
1246,Nathan Associates,4/7/2017
1247,TriTech Software Systems,4/7/2017
1248,Intuit (April 3),4/7/2017
1249,C Kirk Holt & Associates,4/7/2017
1250,Community Care Network of Virginia,4/7/2017
1251,ShowTix4U,4/5/2017
1252,Contact Fill,4/5/2017
1253,GlaxoSmithKline,4/5/2017
1254,PenServ Plan Services,4/5/2017
1255,Total Phase,4/5/2017
1256,Coopers Hawk,4/5/2017
1257,William E Howe & CO CPAs,4/5/2017
1258,Sophrona Solutions,4/5/2017
1259,Bluestein Michael & Company PC,4/5/2017
1260,Edgar & Associates,4/5/2017
1261,Sarnova,4/5/2017
1262,Envelopes Unlimited,4/5/2017
1263,Immersion Consulting,4/3/2017
1264,Easy Breathe,4/3/2017
1265,The Araca Group,4/3/2017
1266,Language Services Associates,4/3/2017
1267,Virginia Gift Brands,4/3/2017
1268,Sciolex,4/3/2017
1269,Intuit (March 29),4/3/2017
1270,CFG Community Bank,4/3/2017
1271,Maloney & Kennedy PLLC,4/3/2017
1272,Jackie H Park CPA PA,4/3/2017
1273,Hotel Zelos,3/31/2017
1274,Glenn R Miller CPA PC,3/31/2017
1275,Ameriflight,3/31/2017
1276,Daytona State College,3/31/2017
1277,Christie's Inc.,3/31/2017
1278,Rand McNally,3/31/2017
1279,ABS Associates,3/29/2017
1280,VT Industries,3/29/2017
1281,Monoflo International,3/29/2017
1282,Windmark Recording,3/29/2017
1283,IntelePeer Holdings,3/29/2017
1284,Urology Austin,3/29/2017
1285,Goldenvoice,3/29/2017
1286,TIC Gums,3/28/2017
1287,Princeton University's Office of Information Technology,3/28/2017
1288,Belvac Production Machinery,3/28/2017
1289,National Safety Council,3/28/2017
1290,Northwest Christian Schools,3/24/2017
1291,LookingGlass Cyber Solutions,3/24/2017
1292,Powhatan County Public Schools,3/24/2017
1293,Fidelity (March 20),3/24/2017
1294,Defense Point Security,3/24/2017
1295,Bulletproof 360,3/24/2017
1296,Schurman,3/24/2017
1297,Aptos (additional company - Bambeco),3/24/2017
1298,Fidelity (March 16),3/22/2017
1299,Leavell Investment Management,3/22/2017
1300,mehrcpa.com,3/22/2017
1301,Maxim Craine,3/22/2017
1302,Toyota Material Handling,3/22/2017
1303,Quantum Health,3/22/2017
1304,Shelia A. Wilson-Alexander CPA,3/22/2017
1305,Therafit,3/22/2017
1306,Refund Advantage,3/22/2017
1307,Campbell Taylor & Company,3/22/2017
1308,Vertex Wireless,3/22/2017
1309,American Tire Distributors Holdings,3/22/2017
1310,Tyler Technologies,3/21/2017
1311,Berkley Mid-Atlantic,3/21/2017
1312,Tarleton Medical,3/21/2017
1313,Ameriprise (March 15),3/21/2017
1314,InMoment,3/21/2017
1315,Pro-Vigil,3/21/2017
1316,Intuit (March 17),3/21/2017
1317,"Faller, Kincheloe & Co",3/21/2017
1318,Angel MedFlight,3/21/2017
1319,Bacon & Company,3/21/2017
1320,RealTruck,3/21/2017
1321,HopeTree Family Services,3/17/2017
1322,Zest Dental,3/17/2017
1323,VWSE Productions,3/17/2017
1324,Arby's Restaurant Group,3/15/2017
1325,Road & Rail Services,3/15/2017
1326,Intuit (March 10),3/15/2017
1327,Wall Titus LLC,3/15/2017
1328,Ondracek & Company,3/15/2017
1329,Country Mutual Insurance,3/15/2017
1330,American Pest,3/15/2017
1331,Private Advisors,3/15/2017
1332,MDLIVE,3/14/2017
1333,Goochland Powhatan Community Services,3/14/2017
1334,Toscano Clements Taylor,3/14/2017
1335,City of Lynchburg,3/14/2017
1336,Biomedical Systems,3/14/2017
1337,Frost & Sullivan,3/14/2017
1338,Hertzbach & Company,3/14/2017
1339,Hutchinson and Bloodgood,3/13/2017
1340,QualiChem,3/13/2017
1341,Matthews Carter and Boyce,3/13/2017
1342,Elkay Plastics,3/13/2017
1343,Clark Schaefer Hackett,3/10/2017
1344,Taconic Biosciences,3/10/2017
1345,Allstate,3/10/2017
1346,Viacom,3/10/2017
1347,ILKB,3/10/2017
1348,prAna,3/10/2017
1349,VT Group,3/9/2017
1350,Sallie Mae Bank,3/9/2017
1351,Russell Investments,3/9/2017
1352,Century LLC (Aptos),3/9/2017
1353,Friedman & Perry CPAs,3/9/2017
1354,University of Idaho,3/9/2017
1355,Palm Bay International,3/9/2017
1356,Weekends Only,3/8/2017
1357,Citibank,3/8/2017
1358,Carla Cross,3/8/2017
1359,Maxim Capital Enterprises,3/8/2017
1360,Merchants Metals,3/8/2017
1361,Bostwick Laboratories,3/8/2017
1362,TransCen,3/7/2017
1363,Quality Equipment,3/7/2017
1364,West Music (Aptos),3/7/2017
1365,State Farm,3/7/2017
1366,Roxy Trading,3/7/2017
1367,Benchmark,3/7/2017
1368,Atlantic Coast Mortgage,3/7/2017
1369,Ambassador Title,3/7/2017
1370,PCA Skin,3/3/2017
1371,Camelot Education,3/3/2017
1372,Intuit (March),3/3/2017
1373,FTJ FundChoice,3/3/2017
1374,Suntrust,3/2/2017
1375,Century Link,3/2/2017
1376,Ashland University,3/2/2017
1377,Leo Edwards Jr M.D.,3/2/2017
1378,Denison Univeristy,3/2/2017
1379,John Deere Financial,3/2/2017
1380,Aptos (7 companies),3/2/2017
1381,MetWest Terra Hospitality,3/2/2017
1382,Virginia Wesleyan College,3/2/2017
1383,Genocea,3/1/2017
1384,Cayan,3/1/2017
1385,Roy & Bentas CPAs,3/1/2017
1386,United States Anti-Doping Agency,3/1/2017
1387,Jo-Fit,3/1/2017
1388,Goldberg Miller and Rubin,3/1/2017
1389,The Grove Inc,3/1/2017
1390,Roberts Hawaii,2/28/2017
1391,B.C. Ziegler and Company,2/28/2017
1392,TAB Products,2/27/2017
