Company,Date,Type,Description,NJCCIC Recommendation
Orbitz,3/23/2018,Data Breach,"A legacy travel booking platform owned by Orbitz, the popular travel booking site, was accessed by an unauthorized party between October 2017 and December 2017. Data accessed from the company’s legacy systems includes customer information for purchases made between January 2016 to December 2017 including, names, dates of birth, postal and email addresses, gender, and payment card information. Orbitz revealed that approximately 880,000 payment cards were exposed in the hack, but there is currently no direct evidence that customers’ personal information was downloaded from the platform. Orbitz is in the process of notifying impacted customers and partners and is offering one year of complimentary credit monitoring and identity theft protection. The current orbitz[.]com site was unaffected by the breach.","The NJCCIC recommends customers who made purchases through Orbitz during the impacted timeframe monitor payment card statements for unauthorized charges, consider placing a freeze on their credit, and immediately notify their banks if fraudulent activity is observed. Additionally, we recommend impacted customers take advantage of the free credit monitoring and identity theft protection services offered."
Walmart Partner MBM Company Exposes Data on 1.3 Million Customers,3/23/2018,Data Breach,"Security firm Kromtech revealed that Walmart partner MBM Company Inc., which operates Limogés Jewelry, left the personal information of 1.3 million customers exposed via an unsecured Amazon S3 bucket. The open S3 bucket, named “walmartsql,” contained customers’ names, addresses, ZIP codes, phone numbers, email addresses, IP addresses, plaintext passwords, encrypted credit card numbers, and payment details for purchases made between 2000 and early 2018. The database was left publicly available from January 13, 2018 until it was recently secured by Walmart. This latest incident follows many recent breaches resulting from unsecured or misconfigured S3 buckets.","The NJCCIC highly encourages MBM Company Inc. customers immediately change their account passwords, enable two-factor authentication, and monitor their bank and credit card accounts for fraudulent activity. Additionally, we recommend administrators of Amazon S3 storage buckets review our previous NJCCIC Cyber Alert on the risks associated with misconfigured S3 buckets, audit their security settings, and implement the mitigation strategies provided as soon as possible. "
Applebee's,3/12/2018,Data Breach,"RMH Franchise Holdings announced that diners who visited one of their 167 Applebee’s restaurants between November 23, 2017 and January 2, 2018 may have had their payment card information compromised via point-of-sale malware. RMH Franchise Holdings discovered the incident on February 13, 2018 and took steps to investigate and remediate the infection. The breach does not impact payments made online or those made using tabletop self-pay devices.","The NJCCIC recommends those who have dined at one of the impacted locations monitor payment card statements for unauthorized charges, consider placing a freeze on their credit, and immediately notify banks if fraudulent activity is observed on their accounts."
"2,844 New Data Breaches Containing over 80 Million Records Discovered",3/12/2018,Data Breach,"Security researcher Troy Hunt recently discovered a collection of nearly 3,000 possible data breaches accompanied by data from previously confirmed breaches on a hacking forum located on the clear web. He states that almost all of the obtained files contain email addresses – 80,115,532 in total – and plaintext passwords. Hunt is still analyzing the data and has yet to determine where the possible breaches occurred, as there does not appear to be a direct correlation between the accounts and the associated source file at this time. Hunt owns and operates the website HaveIBeenPwned.com where users can check to see if their email addresses have been included in any previous data breaches.","The NJCCIC recommends all users assume that their email addresses and passwords have been, or will be, involved in a data breach, and enable multi-factor authentication (MFA) on every account that offers it to protect themselves against credential compromise. For accounts that do not offer MFA, we recommend creating lengthy, complex passwords for those accounts and monitor them regularly for unauthorized activity. We strongly advise against password reuse."
Pivotal Spring,3/12/2018,Advisory,"Lgtm security researchers discovered a critical vulnerability (CVE-2017-8046) affecting various projects in Pivotal Spring, a framework used to build web applications. If exploited, this vulnerability could allow a remote threat actor to execute arbitrary code on any system running an application built using Spring Data REST. Researchers liken this vulnerability to CVE-2017-5638 that affected Apache Struts and led to the Equifax data breach. This vulnerability impacts Spring Data REST components, versions prior to 2.5.12, 2.6.7, and 3.0RC3, as well as Spring Boot versions prior to 2.0.0M4, and Spring Data versions prior to Kay-RC3.",The NJCCIC recommends all developers using affected Spring products and components review the lgtm blog and update to the latest versions as soon as possible.
Equifax,3/2/2018,Data Breach,Equifax announced that an additional 2.4 million Americans were impacted by the data breach first disclosed in September 2017. The data stolen includes names and partial driver’s license numbers. Equifax will notify impacted customers and provide the same credit monitoring and identity theft protection services.,The NJCCIC recommends those impacted by the Equifax breach take advantage of the credit and identity theft services offered and strongly consider placing a security freeze on their credit files in order mitigate the risk of identity theft and financial fraud.
NIS America,3/2/2018,Data Breach,"NIS America notified customers via email and social media that store.nisamerica[.]com and snkonlinestore[.]com sites were breached, compromising personal data for new accounts. The data breach occurred between January 23rd, 2018 and February 26th, 2018 and allowed unauthorized access to customer payment and address information corresponding to new credit card orders placed between those dates. The store pages have been taken offline by NIS America to prevent further unauthorized access.",The NJCCIC recommends patrons that made purchases during the affected time frame closely monitor their financial accounts and immediately report any unauthorized activity to their financial institutions.
United States Marine Corps Forces Reserve,3/2/2018,Data Breach,"Marine Corps Times reported that an unencrypted email with an attachment containing  21,426 individual’s personally identifiable information was sent to the wrong email distribution list. The data in the attachment included social security numbers, bank electronic funds transfer and bank routing numbers, credit card information, mailing addresses, residential addresses, and emergency contact information. Andrew Aranda, spokesman for Marine Forces Reserve, said in a command release that the error was discovered quickly, and email recall procedures were implemented to reduce the number of accounts that received the email. The email was sent to addresses within the unclassified Marine domain as well as some civilian addresses. The Marine Corps Forces Reserve plans to notify those affected by the breach and provide guidance on ways to safeguard from identity theft.","The NJCCIC recommends that those impacted by this breach enroll in a credit monitoring service, consider placing a freeze on their credit, closely monitor financial accounts, and report any suspected fraud."
"23,000 Digital Certificate Private Keys Compromised",3/2/2018,Data Breach,"23,000 SSL/TLS certificates issued by digital certificate reseller Trustico are being revoked after Trustico emailed the private keys for the certificates unencrypted to certificate authority DigiCert. Trustico recovered the keys from “cold storage,” a term used to describe offline storage. Under CA/Browser Forum Baseline Requirements, resellers are not permitted to archive certificate private keys as only site owners should have access to this information. By storing these private keys, an issuer may be putting that site’s security at risk. Digital certificates are used by websites to create an encrypted connection using public key cryptography, ensuring that browsing traffic cannot be read. If a threat actor is able to obtain a site’s private key for their certificate, they may be able to conduct a Man-in-the-Middle (MitM) attack and intercept the site’s traffic. DigiCert is in the process of revoking the compromised certificates.","If you receive an invalid certificate notification when browsing to a website, the NJCCIC recommends avoiding inputting sensitive personal or financial information into that site until they have obtained valid certificates in order to safeguard your information. "
Bongo International/FedEx,2/16/2018,Data Breach,"Kromtech security researchers discovered an Amazon S3 bucket set for public access originally belonging to Bongo International, a company that was bought by FedEx in 2014. The exposed bucket contained drivers' licenses, national ID cards, work ID cards, voting cards, utility bills, resumes, vehicle registration forms, medical insurance cards, firearms licenses, US military identification cards, and credit cards that customers used to verify their identity with the FedEx division. Kromtech contactedZDNet reporter, Zack Whittaker, who was able to get the bucket secured and removed from public access.","The NJCCIC recommends administrators of Amazon S3 storage buckets review our previous NJCCIC Cyber Alert on the risks associated with misconfigured S3 buckets, audit their security settings, and implement the recommended mitigation strategies provided as soon as possible. Bongo International and FedEx customers whose information may have been exposed should closely monitor their financial banking statements and consider placing a security freeze on their credit files by contacting the three major credit bureaus."
US Immigration and Customs Enforcement,1/25/2018,Data Breach,"The US Immigration and Customs Enforcement (ICE) unintentionally disclosed the private information of hundreds of people who called the agency’s Victims of Immigration Crime Engagement Office (VOICE) hotline – used to report potential crimes committed by an individual with a nexus to immigration. ICE posted call logs of the VOICE hotline to the agency’s website which included private caller information, such as name, address, and phone number. ICE has offered identity-theft monitoring service to those affected and temporarily removed the call logs from its FOIA library.",The NJCCIC recommends impacted callers take advantage of the free credit monitoring services offered.
Monticello Central School District,1/25/2018,Data Breach,"Monticello Central School District released a letter informing employees, students, and students’ families about a sophisticated phishing attack that occurred on or around November 1, 2017 and may have resulted in the compromise of personal information such as names, addresses, Social Security numbers, and dates of birth.","The NJCCIC recommends that those impacted by this breach enroll in the free credit monitoring service being offered through ID Experts, consider placing a freeze on their credit, closely monitor financial accounts, and report any suspected fraud to ID Experts’ fraud resolution representatives as soon as possible."
"National Stores, Inc.",1/25/2018,Data Breach,"National Stores, Inc., alerted patrons to the discovery of malware on its point-of-sale systems that is designed to steal payment card information. Their investigation revealed that payment cards used at some National Store locations between July 16 and December 11, 2017 may have been compromised. The affected payment card information may have included names, payment card numbers, expiration dates, and security codes. A list of potentially affected National Stores locations can be found here.",The NJCCIC recommends patrons who made purchases at potentially impacted National Stores locations closely monitor their financial accounts and immediately report any unauthorized activity to their financial institutions.
OnePlus,1/18/2018,Data Breach,"Chinese smartphone manufacturer, OnePlus, announced they were temporarily disabling credit card processing through their website after customers who recently purchased phones reported seeing fraudulent activity on the same payment accounts they used to make the purchases. On a forum posting, a OnePlus customer reported that they made two purchases in November 2017 using two different credit cards and, shortly after the purchases were made, fraudulent charges appeared on both cards.",The NJCCIC recommends patrons who recently submitted payment card information through the OnePlus website closely monitor their financial accounts and immediately report any fraudulent activity to their financial institutions.
Jason's Deli,1/18/2018,Data Breach,"Jason’s Deli, which has over 275 locations in 28 states, released a breach notice regarding a security incident that occurred in a few of their locations affecting over two million customers. The initial investigation into the incident revealed that malicious actors installed RAM-malware onto the company’s point-of-sale terminals on June 8, 2017. According to the notice, the stolen data includes cardholder names, payment card numbers, expiration dates, cardholder verification values (CVVs), and service codes. The notice also contains a list of impacted and potentially impacted stores.",The NJCCIC recommends patrons who made purchases at impacted or potentially impacted Jason’s Deli locations closely monitor their financial accounts and immediately report any fraudulent activity to their financial institutions.
Wag Labs Inc.,1/11/2018,Data Breach,"The Wall Street Journal reported that Wag Labs Inc., the creators of the dog walking and pet care app Wag!, suffered a data breach that exposed customer information, including home addresses and lockbox codes, leaving homeowners vulnerable to burglary and theft. The information was accidentally exposed on their website and was not password protected. The timeframe of data exposure is currently unknown.",The NJCCIC recommends Wag! app users remove their house keys from their Wag! lockboxes as soon as possible.
US Department of Homeland Security,1/4/2018,Data Breach,"The US Department of Homeland Security (DHS) announced that the personally identifiable information (PII) of approximately 247,167 current and former federal employees employed by DHS in 2014 was exposed as a result of a privacy incident discovered during an ongoing criminal investigation. The information exposed includes names, Social Security numbers, birth dates, positions, grades, and duty stations. In addition, individuals associated with DHS Office of the Inspector General (OIG) investigations between 2002 and 2014 were impacted, including both DHS and non-DHS employees. The breach was not the result of an external cyber-attack; however, the leaked data was discovered in an unauthorized copy of the DHS OIG investigative case management system that was in the possession of a former DHS OIG employee. DHS sent notification letters to affected individuals and is offering them 18 months of free credit monitoring and identity protection services.",The NJCCIC recommends impacted individuals review the DHS press release and notification letter and enroll in the free credit monitoring service provided.  
TheFly.com,1/4/2018,Data Breach,"Cyber War News learned of a breach that appears to impact all users who registered at TheFly.com, a financial news publisher, between 2006 and 2015. A hacker identified as the Twitter user @0x55Taylor shared with Cyber War News a 2.6 GB SQL file named theflyonthewall.com.sql that is a complete dump of the site’s MySQL database. The breach is thought to be the result of a vulnerability contained in another unrelated website that allowed the hacker to access TheFly.com’s database as well as the databases of 7 other websites. The exposed data includes 100,000 user accounts. Of those accounts, 27,000 of them include credit card numbers, names, and addresses of users from 2006 to 2015.","The NJCCIC recommends that users of TheFly.com who created and maintained accounts during the affected time frame remain vigilant as the personal information leaked may be used by threat actors to craft clever and convincing spear-phishing campaigns designed to trick users into divulging additional sensitive information. Additionally, they are urged to monitor financial accounts and report any fraudulent activity ASAP."
FOREVER 21,1/4/2018,Data Breach,"In our November 16, 2017 bulletin we reported that clothing retailer Forever 21 suffered a data breach. Forever 21 has since issued a press release providing additional information about the payment card security incident. Their investigation revealed that encryption technology on some point-of-sale (PoS) devices at some Forever 21 stores was not always enabled and malware designed to search for payment card data was present on some devices during various times between April 3, 2017 and November 18, 2017. Forever 21 stores also have devices that maintain logs of completed payment card transaction authorizations and it was discovered that some were being utilized by the malware during the affected time period.",The NJCCIC recommends all customers who shopped at Forever 21 stores during the impacted timeframe carefully monitor their bank card statements and report fraudulent charges as soon as possible.
Ancestry,12/28/2017,Data Breach,"Ancestry released a security update regarding a breach of username and password combinations for some of its users. The combinations were related to users of RootsWeb’s surname list information, a service retired earlier this year, hosted on a RootsWeb.com server. The file contained 300,000 email/username and password combinations; however, only approximately 55,000 of those were used for active Ancestry sites, many of which are from free trial or unused accounts. Ancestry’s investigation revealed about 7,000 of the email/username and password combinations matched credentials for active Ancestry customers. During the investigation, their team found additional usernames unrelated to this breach. Ancestry will notify all users whose information was exposed via the RootsWeb.com server. The accounts of the 55,000 active users of Ancestry sites will be locked and require users to establish new passwords when they attempt to log in. Ancestry has also taken the RootsWeb.com server offline, temporarily.","The NJCCIC recommends users of Ancestry sites update their account passwords immediately, as well as login credentials to any accounts that share the same password, and enable multi-factor authentication where available."
Rhodes Auto Sales,12/28/2017,Data Breach,"On December 1, 2017, a researcher found a misconfigured AWS S3 bucket exposing personal information, including Social Security numbers, dates of birth, driver’s license numbers, and employer and salary information of Rhodes Auto Sales customers. Rhodes Auto Sales is located in Longview, TX. The exposed bucket was an inactive database containing automobile loan financing applications completed in 2013. The Texas Attorney General’s office was notified, according to databreaches.net, and the AWS S3 bucked has been secured.","The NJCCIC recommends administrators of Amazon S3 storage buckets review our previous NJCCIC Cyber Alert on the risks associated with misconfigured S3 buckets, audit their security settings, and implement the mitigation strategies provided as soon as possible. Customers of Rhodes Auto Sales whose information may have been exposed should closely monitor their financial banking statements and consider placing a security freeze on their credit files by contacting the three major credit bureaus."
EpiSource,12/28/2017,Data Breach,"A security researcher discovered a misconfigured AWS S3 bucket belonging to EpiSource, a service and software provider for healthcare payers and provider organizations. According to databreaches.net, EpiSource’s investigation confirmed that their AWS S3 bucket was encrypted but had been misconfigured, enabling researchers to bypass the encryption. Researchers gained access to files containing protected health information on approximately 500 patients from various payers or providers. EpiSource’s investigation revealed no evidence that anyone besides the researchers accessed the files.","The NJCCIC recommends administrators of Amazon S3 storage buckets review our previousNJCCIC Cyber Alert on the risks associated with misconfigured S3 buckets, audit their security settings, and implement the mitigation strategies provided as soon as possible. Additionally, we recommend those whose health information may have been stored by EpiSource to monitor their credit and health insurance claims as the information exposed in this breach could be used by threat actors to conduct identity theft or file false insurance claims. "
Chilton Medical Center,12/21/2017,Data Breach,"Chilton Medical Center in Pompton Plains reported that an employee removed a computer hard drive from their facility and sold it online in October. The hard drive contained the information of patients treated at the medical center over the last decade and may have included names, dates of birth, addresses, medical record numbers, allergies, and information regarding medications the patient may have received. According to the hospital, Social Security numbers, financial information, and medical records were not present on the hard drive.",The NJCCIC recommends patients remain vigilant as the personal information leaked may be used by threat actors to craft clever and convincing spear-phishing campaigns designed to trick users into divulging additional sensitive information.
Alteryx,12/21/2017,Data Breach,"On October 6, 2017, UpGuard Director of Cyber Risk Research Chris Vickery discovered a misconfigured Amazon Web Services S3 cloud storage bucket containing sensitive personal information for 123 million American households from Alteryx, a California-based data analytics firm. This bucket was configured to allow any AWS authenticated user to access and download its contents. The data exposed in the repository belongs to Alteryx partner Experian, the consumer credit reporting agency, as well as the US Census Bureau, providing data from both Experian and the 2010 US Census. The data exposed reveals home addresses and contact information, mortgage ownership and financial histories, and analysis of purchasing behavior.","In November of this year, the NJCCIC released an alert warning members about the risks associated with misconfigured Amazon S3 buckets. We recommend that administrators of Amazon S3 storage buckets review our previous NJCCIC Cyber Alert, audit their security settings, and implement the mitigation strategies provided as soon as possible. Residents should closely monitor their financial banking statements and consider placing a security freeze on their credit files by contacting the three major credit bureaus."
PSE&G,12/14/2017,Data Breach,"In last week’s bulletin we reported that a PayPal company, TIO Networks, suffered a security breach. TIO Networks has notified PSE&G that the information of approximately 2.5 million customers may have been exposed as a result of the breach. PSE&G customers who made payments using automated kiosks in PSE&G's customer service centers between 2012 and 2017 may have had their bank account numbers and addresses compromised.",The NJCCIC recommends customers of PSE&G that made payments using PSE&G’s automated kiosks enroll in any free credit monitoring programs offered and review the TIO Networks website for additional information.
eBay,12/14/2017,Data Breach,"EcommerceBytes discovered that eBay customers' first and last names, the items those customers have purchased, and their product reviews were made publicly available on Google and Google Shopping. The leak of customer data occurred due to a flaw in the feed eBay provides to Google. After EcommerceBytes alerted eBay and Google of the privacy breach, Google masked the real names of eBay customers and all other users in the Product Reviews section of Google Shopping while eBay is reportedly working to resolve the security issue.","The NJCCIC recommends eBay users remain vigilant as the personal information leaked may be used by threat actors to craft clever and convincing spear-phishing emails designed to trick users into divulging their account credentials or other sensitive information. The NJCCIC reminds users to never click links provided in unsolicited emails to visit websites requiring the input of account credentials and, instead, visit the account’s associated website by typing the legitimate address directly into the URL field of the web browser."
National Credit Federation,12/7/2017,Data Breach,"The National Credit Federation (NCF) inadvertently exposed over 100 gigabytes of information, potentially impacting tens of thousands of customers. Sensitive financial and personal data such as credit card and bank account numbers, scanned copies of Social Security cards, and credit reports from the three major credit bureaus were publically accessible through an unsecured Amazon Web Services S3 storage bucket.","In November of this year, the NJCCIC released an alert warning members about the risks associated with misconfigured Amazon S3 buckets. We recommend that administrators of Amazon S3 storage buckets review our previous NJCCIC Cyber Alert, audit their security settings, and implement the mitigation strategies provided as soon as possible. Customers of the NCF should closely monitor their financial banking statements and consider placing a security freeze with the major credit bureaus."
Rutgers,12/7/2017,Data Breach,"An administrative error led to the exposure of confidential academic data belonging to 1,700 Rutgers University students in the Department of Computer Science. The incident, which took place between November 8 and November 9, exposed limited student information including Rutgers ID numbers, cumulative GPAs, and Spring 2018 class schedules. No personally identifiable information (PII), such as Social Security numbers or dates of birth, were compromised as a result of the error.",The NJCCIC recommends affected students update their account credentials as soon as possible.
TIO Networks,12/7/2017,Data Breach,"A PayPal company, TIO Networks, disclosed that they suffered a breach in early November which involved the personal information of approximately 1.6 million customers. PayPal suspended TIO network services on November 10 pending further investigation into the incident and, shortly after, began notifying affected individuals and companies. PayPal customers’ personal data was not affected in this breach as TIO systems are completely separate from the PayPal network.",The NJCCIC recommends customers and billers of TIO Networks enroll in any free credit monitoring programs offered and review the TIO Networks website for additional information.
Ai.Type,12/7/2017,Data Breach,"31 million client registration files associated with Ai.Type, a popular virtual keyboard application, were exposed through the company’s unsecured and unencrypted MongoDB database. Ai.Type unintentionally allowed public access to their massive data set which included sensitive customer information such as phone number, device make/model, owner’s name, location, IP addresses, internet service and cell phone providers, app lists, and associated email addresses and social media profiles. Over 6 million of the leaked files also contained data collected from users’ contact lists including names and phone numbers. Initial reports indicate that this exposure only affects Android OS users.","The NJCCIC encourages members to be wary of any application that requires “Full Access” to personal devices or requires permissions beyond what is needed for the application to function. We recommend users who installed the virtual keyboard change any login credentials entered on the device using the Ai.Type virtual keyboard, as well as any other online accounts that share the same login credentials. Remain vigilant for potential social engineering schemes such as phishing or vishing that use information obtained from this incident."
Bulletproof 360,11/30/2017,Data Breach,"Bulletproof 360, Inc. first notified customers back in March regarding an unknown third-party who had compromised their e-commerce system, potentially affecting customer payment card information. The information compromised by the incident may have included names, payment card numbers, expiration dates, and CVV numbers used for online transactions on Bulletproof's e-commerce website from October 26, 2016 to January 31, 2017. This week, Bulletproof released an updated notification letter to their customers stating that unauthorized computer code capable of capturing information was discovered to have been added to the checkout page at www.bulletproof.comand that customers who conducted transactions between May 20, 2017 and October 13, 2017 as well as October 15-19, 2017 could also be affected.",The NJCCIC recommends patrons of Bulletproof review their financial accounts for unauthorized activity and immediately report any fraudulent charges to their financial institutions.
Imgur,11/30/2017,Data Breach,"Imgur, a popular image hosting website, has disclosed that the company suffered a data breach in 2014 which involved 1.7 million user accounts. A security researcher alerted the company to a possible breach on November 23, and Imgur confirmed the incident the following day. Imgur notified affected users via their registered email address and also issued a public notice detailing the breach. Only email addresses and passwords of Imgur user accounts were compromised.","The NJCCIC recommends all Imgur users update their account passwords immediately, as well as login credentials to any accounts that share the same email address or password."
Uber,11/22/2017,Data Breach,"Uber is notifying regulators as well as its customers and drivers of a data breach they believe to have occurred between October 13, 2016 and November 15, 2016. According to an article by Bloomberg Technology, unauthorized actors were able to obtain access to sensitive user data contained within a private cloud storage environment used by Uber. The files accessed contained customer and employee information including names, email addresses, phone numbers, and driver’s license numbers. According to the company, no Social Security numbers, payment card data, or trip location information was stolen. Uber is offering free credit monitoring through Experian for one year to affected customers.",The NJCCIC recommends Uber customers and drivers enroll in the free credit monitoring service being offered through Experian. We also recommend monitoring financial accounts for unauthorized activity and reporting any fraudulent charges to your financial institutions as soon as possible.
FOREVER 21,11/16/2017,Data Breach,"FOREVER 21 is notifying customers of a recent data breach that occurred from March through October 2017 at a group of FOREVER 21 stores. According to a statement released by the company, encryption at certain point-of-sale terminals was not functioning properly, resulting in the exposure of customer payment information. As the investigation is currently ongoing, the number of impacted customers is unknown at this time.",The NJCCIC recommends all customers who shopped at FOREVER 21 stores during the impacted timeframe carefully monitor their bank card statements and report fraudulent charges as soon as possible.
Verticalscope,11/9/2017,Data Breach,"Verticalscope, a Canadian company responsible for managing hundreds of different online discussion forums, has been breached for the second time in just two years. The company was initially hacked in 2016 and, as a result, over 45 million user account records were compromised. The information contained in these records include email addresses, usernames, IP addresses, and primary and secondary passwords. According toKrebsonSecurity, approximately 2.7 million user accounts have been affected as a result of Verticalscope’s most recent breach. Hackers infiltrated the company’s websites by installing a backdoor known as a web shell, which allowed intruders to gain unauthorized remote access to millions of sensitive account credentials.","The NJCCIC recommends users immediately change their passwords to any online forums associated with Verticalscope, as well as to any accounts that share the same login credentials."
T-Mobile,11/2/2017,Data Breach,"T-Mobile has notified a few hundred customers who were targeted by cybercriminals attempting to transfer their phone numbers to new SIM cards. In early October, Motherboard reported that a security researcher discovered a flaw within T-Mobile’s website that allowed hackers unauthorized access to customers’ data, such as email addresses, billing account numbers, and phones’ International Mobile Subscriber Identity (IMSI) numbers. According to a T-Mobile spokesperson, no financial information, passwords, or Social Security numbers were compromised as a result of this targeted attack.","The NJCCIC recommends T-Mobile customers change their online account passwords to this and any other sites that share login credentials, set-up a SIM lock, and create a phone password or passphrase that is required when you call T-Mobile support."
Tarte Cosmetics,10/26/2017,Data Breach,"The Kromtech Security Center discovered that Tarte Cosmetics exposed the personal information of two million customers that was stored in two unsecured online databases. These databases were publicly accessible and included customer names, email addresses, mailing addresses, and the last four digits of credit card numbers of customers who placed orders through Tarte Cosmetics’ website between 2008 and 2017. It is believed that Tarte managed its customer information using MongoDB, an open-source database platform. The exposed databases were taken offline after the company was notified.","In January of this year and again in September, the NJCCIC released alerts warning members about cyber extortion campaigns that were actively targeting vulnerable MongoDB servers. We recommend that administrators of MongoDB servers review our previous NJCCIC Cyber Alert, audit their security settings, and implement the mitigation strategies provided as soon as possible. We also recommend that customers of Tarte Cosmetics monitor their financial accounts and report any fraudulent activity to their financial institutions."
We Heart It,10/19/2017,Data Breach,"We Heart It, an image-sharing website, has informed over 8 million account holders that their personal data such as email addresses, usernames, and encrypted passwords may have been compromised. According to TechCrunch, the breach occurred a few years ago and impacts We Heart It accounts created between 2008 and November 2013. The company claims that, although the passwords were encrypted, they were not secure.","The NJCCIC recommends We Heart It users change their passwords to this and any other sites that share login credentials, enable multi-factor authentication on any accounts that offer it, and be on alert for phishing campaigns associated with the breach."
Hyatt Hotels,10/19/2017,Data Breach,"Hyatt Hotels is notifying customers of another credit card breach that impacted some of its hotels. According to a report by security researcher Brian Krebs, Hyatt discovered that payment card information from cards manually entered or swiped at the front desk of certain locations between March 18 and July 2, 2017 had been accessed by an unauthorized party. Information compromised by the breach include cardholder names, card numbers, expiration dates, and internal verification codes.","The NJCCIC recommends patrons who stayed at Hyatt Hotels properties during the time of compromise read Hyatt’s breach notice and check this website to see if their locations were affected. Those who stayed at a breached location should monitor financial accounts, report any incidents of fraud to their financial institutions, and request new payment cards."
Pizza Hut,10/19/2017,Data Breach,"Pizza Hut acknowledged a temporary security intrusion that revealed the information of some customers who placed an order through the company’s website or mobile application during a 28-hour period between the morning of October 1 and midday on October 2, 2017. According to Pizza Hut’s customer notification letter, the intrusion impacted a small percentage of customers and they believe that less than one percent of website visits were affected. Information believed to be compromised includes customer names, billing zip codes, delivery addresses, email addresses, and payment card information such as account numbers, expiration dates, and CVV numbers. Pizza Hut stated that Kroll Information Assurance, LLC will be providing victims with one year of credit monitoring services at no cost.","The NJCCIC recommends Pizza Hut customers who placed orders during the time frame of the breach monitor their financial accounts, report any incidents of fraud to their financial institutions, and request new payment cards. We also recommend that impacted customers take advantage of the free credit monitoring services offered by Kroll Information Assurance, LLC."
Amazon,10/19/2017,Data Breach,"Kromtech Security researchers recently discovered that a misconfigured Amazon S3 repository publicly exposed the medical data of an estimated 150,000 people. Patient Home Monitoring, an in-home medical testing provider, reportedly used the repository to store 316,000 PDF files of patient information that included their first and last names, addresses, phone numbers, and blood test results. Doctors’ names, case management notes, and additional client information were also exposed.",The NJCCIC recommends that patients affected by this breach monitor their credit and report any instances of suspected fraud to the Federal Trade Commission.
Dow Jones & Company,10/19/2017,Data Breach,"The UpGuard Cyber Risk Team reported that a misconfigured cloud-based file repository owned by Dow Jones & Company exposed sensitive information on millions of their customers. Dow Jones & Company confirmed that 2.2 million customers were affected, but UpGuard suggests the total is closer to 4 million accounts. Exposed data includes the names, addresses, account information, email addresses, and last four digits of credit card numbers of subscribers to Dow Jones publications such as The Wall Street Journaland Barron's.",The NJCCIC recommends that Dow Jones & Company publication subscribers be on alert for increased phishing attacks as a result of the breach and also monitor associated payment accounts for fraudulent activity.
Update: Equifax Data Breach,10/12/2017,Data Breach,"Additional details surrounding the Equifax breach have been revealed as the number of UK individuals affected by the data breach rose from 400,000 to 15.2 million. Also reported this week was the theft of 10.9 million US drivers’ licenses. Victims of the data breach will receive official notice via mail.","The NJCCIC recommends all of our members review the FTC's webpage on credit security freezes and immediately place a security freeze on all family members' credit files by calling the numbers provided for the three credit bureaus: Equifax, Experian, and TransUnion. For more information about the Equifax breach, please refer to this website. We also encourage victims of all data breaches to take advantage of the free credit monitoring service and, in particular, any identity theft insurance provided by the targeted organization."
Accenture,10/12/2017,Data Breach,"UpGuard researcher Chris Vickery discovered that Accenture, a large corporate consulting and management firm, left at least four Amazon Web Services S3 storage buckets configured for public access. These unsecured storage buckets were accessible to anyone who entered the buckets’ URLs into their browser and exposed 300 gigabytes of data including secret API data, certificates, decryption keys, plaintext passwords, and customer information.","The NJCCIC recommends patrons of Accenture immediately change their passwords to this and any other sites that share login credentials and enable multi-factor authentication on any account that offers it. Additionally, the NJCCIC recommends organizations using a cloud storage solution to store sensitive data properly configure and regularly audit their security settings to maintain confidentiality of their data.\"
Disqus,10/12/2017,Data Breach,"Commenting service Disqus released a statement informing customers of a data breach that occurred in 2012 affecting 17.5 million user accounts. Troy Hunt, security researcher and owner of the Have I Been Pwned breach notification service, discovered the breach and notified Disqus. According to Disqus, a snapshot of their user database from 2012, including information dating back to 2007, was exposed. The snapshot includes email addresses, Disqus user names, sign-up dates, and last login dates in plain text for 17.5 million users.",The NJCCIC recommends that users of Disqus be on alert for phishing scams related to the breach.
Whole Foods Market,10/5/2017,Data Breach,"Whole Foods Market acknowledged a cyber incident involving unauthorized access of payment card information used at specific venues such as taprooms and full table-service restaurants located within some of their stores. According to the company’s official statement, the point-of-sale systems used at these venues are different than those used for the primary register systems. Payment cards used at the primary register systems were not affected. Customers can visit the Whole Foods Market website to identify stores impacted by the breach. Three Whole Foods Market locations within New Jersey that were impacted by this incident include the Clark, Metuchen, and Vauxhall stores.",The NJCCIC recommends customers who have recently used payment cards at the taprooms and full table-service restaurants located within the affected Whole Foods Market locations monitor their credit and debit accounts and report any fraudulent charges to their financial institution immediately.
Update: Equifax Data Breach,10/5/2017,Data Breach,"On Monday, Equifax increased the number of individuals affected by the data breach announced on September 7 to 145.5 million, an increase of 2.5 million from the 143 million originally reported. Victims of the data breach will receive official notice via mail.","The NJCCIC recommends all of our members review the FTC's webpage on credit security freezes and immediately place a security freeze on all family members' credit files by calling the numbers provided for the three credit bureaus: Equifax, Experian, and TransUnion. For more information about the Equifax breach, please refer to this website. We also encourage victims of all data breaches to take advantage of the free credit monitoring service and, in particular, any identity theft insurance provided by the targeted organization."
