Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
SignalPoint Asset Management,FINANCIAL SERVICES/INSURANCE,6/1/2018,4/12/2018,"HACKERS/ UNAUTHORIZED, ACCESS",70,4
Stein Eriksen Lodge Hotel,GENERAL BUSINESS,6/1/2018,5/22/2018,HACKERS/ UNAUTHORIZED,1992,5
"International Management Advisors, Ltd.",FINANCIAL SERVICES/INSURANCE,6/1/2018,4/26/2018,PHISHING,696,11
"Michael J. Duranceau, CPA, LLC",GENERAL BUSINESS,6/1/2018,5/11/2018,HACKERS/ UNAUTHORIZED,730,4
Fareportal Inc.,GENERAL BUSINESS,6/1/2018,3/1/2018,HACKERS/ UNAUTHORIZED,880000,5
OneMain Financial,FINANCIAL SERVICES/INSURANCE,6/1/2018,5/4/2018,LOST IN TRANSIT,2,2
"Temecula Motorsports, Inc.",GENERAL BUSINESS,5/31/2018,3/30/2018,HACKERS/ UNAUTHORIZED,1456,43
"Aultworks Occupational Medicine, a department of Aultman Hospital",HEALTHCARE,5/31/2018,3/28/2018,HACKERS/ UNAUTHORIZED ACCESS,42625,4
USI Insurance Services LLC,FINANCIAL SERVICES/INSURANCE,5/31/2018,1/5/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",90,1
American National Insurance Company and certain subsidiaries,FINANCIAL SERVICES/ INSURANCE,5/29/2018,3/28/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",3790,46
"Abod & Caruso, LLC",GENERAL BUSINESS,5/29/2018,4/2/2018,HACKERS/ UNAUTHORIZED,1850,7
Roane County Government,GOVERNMENT,5/30/2018,3/27/2018,RELEASE/ DISPLAY OF INFO,581,1
Chattanooga Clothing Company,GENERAL BUSINESS,5/30/2018,4/30/2018,HACKERS/ UNAUTHORIZED,835,63
"Cumberland County Hospital System, Inc.",HEALTHCARE,5/30/2018,5/16/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1,1
NC Association of REALTORS,RELIGIOUS/NONPROFIT,5/30/2018,4/24/2018,LOST IN TRANSIT,15,15
Rail Europe SAS,GENERAL BUSINESS,5/30/2018,2/16/2018,HACKERS/ UNAUTHORIZED,3714,75
"Member Business Services, LLC DBA Commercial Alliance",FINANCIAL SERVICES/INSURANCE,5/29/2018,1/26/2018,PHISHING,7475,34
Signature Systems Group,GENERAL BUSINESS,5/29/2018,4/9/2018,PHISHING,14,1
Target Direct Marketing LLC,GENERAL BUSINESS,5/29/2018,3/19/2018,RELEASE/ DISPLAY OF INFO,439,26
"Bellwether Enterprise Real Estate Capital, LLC",GENERAL BUSINESS,5/25/2018,4/19/2018,PHISHING,355,2
"Areion Global, LLC",GENERAL BUSINESS,5/25/2018,8/29/2017,HACKERS/ UNAUTHORIZED,431,2
Pendleton Square Trust Company,FINANCIAL SERVICES/INSURANCE,5/25/2018,5/3/2018,PHISHING,145,5
Taylor University,EDUCATIONAL,5/25/2018,5/15/2018,PHISHING,9,1
SEIU Local 32BJ,RELIGIOUS/NONPROFIT,5/26/2018,5/18/2018,PHISHING,161040,93
"Uno Alla Volta, LLC",GENERAL BUSINESS,5/29/2018,5/1/2018,HACKERS/ UNAUTHORIZED,1121,28
Aflac,FINANCIAL SERVICES/INSURANCE,5/25/2018,4/25/2018,"HACKERS/ UNAUTHORIZED, ACCESS",26331,29
Tolleson Wealth Management,FINANCIAL SERVICES/INSURANCE,5/25/2018,5/11/2018,PHISHING,396,3
"Integrated Practice Solutions, Inc.",HEALTHCARE,5/24/2018,4/11/2018,RELEASE/ DISPLAY OF INFO,480,3
Luxury Retreats,GENERAL BUSINESS,5/24/2018,5/10/2018,HACKERS/ UNAUTHORIZED,345,5
"The Hartford Financial Services Group, Inc.",FINANCIAL SERVICES/INSURANCE,5/23/2018,4/12/2018,"HACKERS/ UNAUTHORIZED, ACCESS",385,2
National Railroad Passenger Corporation (Amtrak),GENERAL BUSINESS,5/23/2018,5/4/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2583,65
"Bell Partners, Inc.",GENERAL BUSINESS,5/23/2018,11/21/2017,PHISHING,523,135
Jarrett & Luitjens PLC,GENERAL BUSINESS,5/24/2018,4/19/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",5545,11
"Starr Insurance Holdings, Inc.",FINANCIAL SERVICES/INSURANCE,5/24/2018,5/18/2018,PHISHING,820,3
CaroMont Regional Medical Center,HEALTHCARE,5/18/2018,4/5/2018,RELEASE/ DISPLAY OF INFO,1,1
Employee Benefits Corporation filing on behalf of of InterVarsity Christian Fellowship/USA,GENERAL BUSINESS,5/22/2018,4/19/2018,PHISHING,855,23
The Coca-Cola Company,GENERAL BUSINESS,5/21/2018,9/1/2017,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",7967,16
The Everglades Club,GENERAL BUSINESS,5/21/2018,4/23/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",545,14
"Pinnacle Advisory Group, Inc.",FINANCIAL SERVICES/INSURANCE,5/21/2018,4/19/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1706,31
"Stephen J. Flood CPA, PLLC",FINANCIAL SERVICES/INSURANCE,5/21/2018,4/13/2018,"HACKERS/ UNAUTHORIZED, ACCESS",708,4
"Susan Ungvary, CPA",GENERAL BUSINESS,5/22/2018,4/12/2018,HACKERS/ UNAUTHORIZED,194,3
"Worldwide Insurance Services, LLC",HEALTHCARE,5/22/2018,3/23/2018,PHISHING,12086,10
"Brinker International, Inc.",GENERAL BUSINESS,5/18/2018,5/11/2018,HACKERS/ UNAUTHORIZED,0,0
LifeBridge Health,HEALTHCARE,5/18/2018,3/18/2018,HACKERS/ UNAUTHORIZED,381123,1054
"Conservest Capital Advisors,",GENERAL BUSINESS,5/19/2018,4/4/2018,HACKERS/ UNAUTHORIZED,687,5
Standard Insurance Company,FINANCIAL SERVICES/INSURANCE,5/17/2018,4/13/2018,"HACKERS/ UNAUTHORIZED, ACCESS",89,1
University of Toledo,EDUCATIONAL,5/18/2018,3/30/2018,RELEASE/ DISPLAY OF INFO,6094,47
"Bombas, LLC",GENERAL BUSINESS,5/18/2018,12/31/2014,HACKERS/ UNAUTHORIZED,4100,1125
"TaskRabbit, Inc.",GENERAL BUSINESS,5/16/2018,4/13/2018,HACKERS/ UNAUTHORIZED,3814970,51932
Planters First Bank,FINANCIAL SERVICES/INSURANCE,5/16/2018,4/12/2018,"HACKERS/ UNAUTHORIZED, ACCESS",768,1
"ZRS Management, Inc.",GENERAL BUSINESS,5/16/2018,3/1/2018,RELEASE/ DISPLAY OF INFO,423,2
Intuit Inc.,FINANCIAL SERVICES/INSURANCE,5/16/2018,4/16/2018,"HACKERS/ UNAUTHORIZED, ACCESS",10,10
Corporation Service Company,FINANCIAL SERVICES/INSURANCE,5/17/2018,4/5/2018,"HACKERS/ UNAUTHORIZED, ACCESS",94303,1428
Cable Hill Partners LLC,GENERAL BUSINESS,5/17/2018,1/16/2018,HACKERS/ UNAUTHORIZED,989,1
"Integrated Practice Solutions, Inc.",HEALTHCARE,5/15/2018,4/11/2018,RELEASE/ DISPLAY OF INFO,480,20
"Karen C. Caudill CPA, P.C.",FINANCIAL SERVICES/INSURANCE,5/15/2018,4/12/2018,"HACKERS/ UNAUTHORIZED, ACCESS",585,530
United Services Automobile Association,FINANCIAL SERVICES/INSURANCE,5/14/2018,5/1/2018,RELEASE/ DISPLAY OF INFO,1,1
Takasago International Corporation (USA),GENERAL BUSINESS,5/11/2018,4/13/2018,RELEASE/ DISPLAY OF INFO,437,1
Mountwest Community & Technical College,EDUCATIONAL,5/10/2018,3/11/2018,PHISHING,1154,5
Taco John's of Iowa,GENERAL BUSINESS,5/10/2018,1/26/2018,PHISHING,6012,1
Milan Supply Chain Solutions,GENERAL BUSINESS,5/11/2018,4/19/2018,PHISHING,478,7
The Arc Northern Chesapeake Region,RELIGIOUS/NONPROFIT,5/11/2018,2/27/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1490,9
Verint Systems Inc.,GENERAL BUSINESS,5/11/2018,9/27/2017,HACKERS/ UNAUTHORIZED,229,5
Principal Life Insurance Company,FINANCIAL SERVICES/INSURANCE,5/11/2018,5/8/2018,RELEASE/ DISPLAY OF INFO,1304,40
"SP Industries, Inc.",GENERAL BUSINESS,5/14/2018,3/28/2018,HACKERS/ UNAUTHORIZED,495,4
Rail Europe North America Inc.,GENERAL BUSINESS,5/10/2018,2/16/2018,HACKERS/ UNAUTHORIZED,18785,443
Cambridge Dental Consulting Group,GENERAL BUSINESS,5/9/2018,3/13/2018,RELEASE/ DISPLAY OF INFO,3800,2
Melissa James,FINANCIAL SERVICES/INSURANCE,5/9/2018,3/26/2018,"HACKERS/ UNAUTHORIZED, ACCESS",601,3
McSwain LLC,GENERAL BUSINESS,5/9/2018,4/23/2018,LOST IN TRANSIT,2655,1
"What Goes Around Comes Around, LLC",GENERAL BUSINESS,5/10/2018,3/6/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",10,1
"Permanent Federal Savings Bank; Markle Bank; and Commercial Bank of Texas, NA.",FINANCIAL SERVICES/ INSURANCE,5/8/2018,4/11/2018,PHISHING,2264,4
Global University,EDUCATIONAL,5/8/2018,3/21/2018,RELEASE/ DISPLAY OF INFO,139810,2067
"Akin, Doherty, Klein & Feuge, P.C.",FINANCIAL SERVICES/INSURANCE,5/8/2018,1/30/2018,"HACKERS/ UNAUTHORIZED, ACCESS",334,1
Knape & Vogt Manufacturing Company,GENERAL BUSINESS,5/9/2018,12/4/2017,"HACKERS/ UNAUTHORIZED, ACCESS",1873,7
Deephaven Mortgage LLC,FINANCIAL SERVICES/INSURANCE,5/8/2018,3/25/2018,PHISHING,5593,108
"USACS Management Group, Ltd",HEALTHCARE,5/9/2018,3/9/2018,PHISHING,8129,659
"SunTrust Banks, Inc.",FINANCIAL SERVICES/INSURANCE,5/8/2018,4/17/2018,RELEASE/ DISPLAY OF INFO,3,3
DigiPen Institute of Technology,EDUCATIONAL,5/8/2018,4/30/2018,RELEASE/ DISPLAY OF INFO,119,1
"Partner's Title, LLC",FINANCIAL SERVICES/INSURANCE,5/7/2018,3/4/2018,"HACKERS/ UNAUTHORIZED, ACCESS",375,1
Bauer Media Group USA,GENERAL BUSINESS,5/4/2018,4/25/2018,PHISHING,410,3
"Alaksa Airlines, Inc.",GENERAL BUSINESS,5/4/2018,3/19/2018,HACKERS/ UNAUTHORIZED,4102,11
"Ianniello Anderson, P.C.",GENERAL BUSINESS,5/4/2018,2/28/2018,HACKERS/ UNAUTHORIZED,6,2
"US Foods, Inc.",GENERAL BUSINESS,5/4/2018,3/16/2018,PHISHING,55,13
"Rx Valet, LLC",HEALTHCARE,5/4/2018,3/15/2018,RELEASE/ DISPLAY OF INFO,101,3
"SunTrust Banks, Inc.",FINANCIAL SERVICES/INSURANCE,5/4/2018,3/28/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
SunTrust Bank,FINANCIAL SERVICES/INSURANCE,5/4/2018,4/16/2018,RELEASE/ DISPLAY OF INFO,12,1
Duke University,RELIGIOUS/NONPROFIT,5/3/2018,3/19/2018,LOST IN TRANSIT,2,2
Purdy Insurance on behalf of Data Owners,FINANCIAL SERVICES/INSURANCE,5/3/2018,10/7/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1661,3
Bennett Thrasher LLP,GENERAL BUSINESS,5/2/2018,4/6/2018,HACKERS/ UNAUTHORIZED,1433,13
Malley's Chocolates,GENERAL BUSINESS,5/3/2018,4/4/2018,HACKERS/ UNAUTHORIZED,3486,55
"Cumberland County Hospital System, Inc.",HEALTHCARE,5/2/2018,2/26/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
"Ameriprise Financial Services, Inc.",FINANCIAL SERVICES/INSURANCE,4/26/2018,4/7/2018,LOST IN TRANSIT,1,1
Hudson's Bay Company,GENERAL BUSINESS,4/27/2018,3/29/2018,HACKERS/ UNAUTHORIZED,,
SA Stone Wealth Management Inc,FINANCIAL SERVICES/INSURANCE,5/2/2018,2/28/2018,"HACKERS/ UNAUTHORIZED, ACCESS",127,2
"Pioneer Bankcorp, Inc. dba First Bank (""First Bank"")",FINANCIAL SERVICES/INSURANCE,5/1/2018,4/9/2018,PHISHING,98,1
Sears Holdings Management Corporation,GENERAL BUSINESS,5/1/2018,3/26/2018,"HACKERS/ UNAUTHORIZED, ACCESS",95547,2565
National Recreation and Park Association,RELIGIOUS/NONPROFIT,5/1/2018,2/3/2018,"HACKERS/ UNAUTHORIZED, ACCESS",336,25
"Blattner Energy, Inc.",GENERAL BUSINESS,5/1/2018,2/9/2018,HACKERS/ UNAUTHORIZED,273,2
"Biscuitville, Inc.",GENERAL BUSINESS,4/30/2018,4/20/2018,PHISHING,3,2
The National Restaurant Association,GENERAL BUSINESS,4/30/2018,10/2/2017,PHISHING,1598,48
Children's Mercy Hospital,HEALTHCARE,4/30/2018,12/2/2017,PHISHING,38873,18
Financial Network,FINANCIAL SERVICES/INSURANCE,4/29/2018,3/23/2018,PHISHING,1,1
"CPT Group, Inc.",GENERAL BUSINESS,4/27/2018,3/22/2018,PHISHING,76272,81
"Knoxville Heart Group, Inc.",HEALTHCARE,4/27/2018,2/26/2018,PHISHING,16059,32
"MedWatch, LLC on behalf of Data Owners",HEALTHCARE,4/27/2018,3/1/2018,RELEASE/ DISPLAY OF INFO,40621,285
Ernst & Young LLP,GENERAL BUSINESS,4/27/2018,4/12/2018,LOST IN TRANSIT,3,3
"Cetera Advisors, LLC",FINANCIAL SERVICES/INSURANCE,4/26/2018,2/9/2018,PHISHING,2299,19
Lone Star Ag Credit,FINANCIAL SERVICES/INSURANCE,4/26/2018,4/16/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1500,1
UNOX,GENERAL BUSINESS,4/26/2018,3/28/2018,HACKERS/ UNAUTHORIZED,43,10
"Carolina Digestive Health Associates, PA",HEALTHCARE,4/26/2018,1/10/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",10988,10140
Eurofins DiscoverX,GENERAL BUSINESS,4/26/2018,3/12/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",135,2
the Salvation Army,RELIGIOUS/NONPROFIT,4/26/2018,3/23/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",16,1
"Julian Sur, CPA",GENERAL BUSINESS,4/26/2018,3/28/2018,HACKERS/ UNAUTHORIZED,199,5
Reconstructive Orthopedics,HEALTHCARE,4/26/2018,4/9/2018,HACKERS/ UNAUTHORIZED,387,1
Intuit Inc.,FINANCIAL SERVICES/INSURANCE,4/26/2018,3/27/2018,"HACKERS/ UNAUTHORIZED, ACCESS",14,14
"Best Buy Co., Inc.",GENERAL BUSINESS,4/13/2018,3/19/2018,HACKERS/ UNAUTHORIZED,,
Sekisui Diagnositics,GENERAL BUSINESS,4/25/2018,4/10/2018,RELEASE/ DISPLAY OF INFO,194,1
"Mitchell International, Inc. on behalf of The Hartford Financial Services Group, Inc.",GENERAL BUSINESS,4/25/2018,4/13/2018,RELEASE/ DISPLAY OF INFO,508,27
"Alabama Ag Credit, ACA",FINANCIAL SERVICES/INSURANCE,4/25/2018,4/17/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1172,3
Institute for Supply Management,GENERAL BUSINESS,4/25/2018,1/25/2018,PHISHING,246,4
"Tempur Sealy International, Inc.",GENERAL BUSINESS,4/25/2018,4/20/2018,HACKERS/ UNAUTHORIZED,17,2
"WithumSmith + Brown, P.C.",FINANCIAL SERVICES/INSURANCE,4/25/2018,4/10/2018,PHISHING,228,7
Metroplitan Life Insurance Company,FINANCIAL SERVICES/INSURANCE,4/23/2018,4/17/2018,"HACKERS/ UNAUTHORIZED, ACCESS",26,2
"L. Myles Smith & Company, P.C.",FINANCIAL SERVICES/INSURANCE,4/18/2018,3/2/2018,"HACKERS/ UNAUTHORIZED, ACCESS",775,10
"Ameriprise Financial, Inc.",FINANCIAL SERVICES/INSURANCE,4/17/2018,3/16/2018,RELEASE/ DISPLAY OF INFO,1,1
Boys & Girls Club of Wake County,RELIGIOUS/NONPROFIT,4/25/2018,1/1/2018,"HACKERS/ UNAUTHORIZED, ACCESS",445,399
"Signature Systems Group, LLC",GENERAL BUSINESS,4/24/2018,2/7/2018,PHISHING,228,29
Atrium Hospitality,GENERAL BUSINESS,4/24/2018,12/8/2017,HACKERS/ UNAUTHORIZED,182,1
Trust Company of the South,FINANCIAL SERVICES/INSURANCE,4/24/2018,3/19/2018,"HACKERS/ UNAUTHORIZED, ACCESS",344,275
"Citibank, N.A.",FINANCIAL SERVICES/INSURANCE,4/24/2018,2/17/2018,RELEASE/ DISPLAY OF INFO,359,3
American Society of Anesthesiologists,RELIGIOUS/NONPROFIT,4/24/2018,3/8/2018,PHISHING,819,7
Principal Life Insurance Company,FINANCIAL SERVICES/INSURANCE,4/24/2018,4/10/2018,"HACKERS/ UNAUTHORIZED, ACCESS",82,5
MCR Investors LLC,GENERAL BUSINESS,4/23/2018,3/11/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",6178,155
"Capital Digestive Care, LLC",HEALTHCARE,4/23/2018,2/23/2018,HACKERS/ UNAUTHORIZED,13572,51
Resinall Corporation,GENERAL BUSINESS,4/23/2018,2/20/2018,PHISHING,3,3
"CBRE, Inc.",GENERAL BUSINESS,4/23/2018,3/23/2018,PHISHING,28,1
"LI Tax and Planning, Inc.",GENERAL BUSINESS,4/23/2018,2/25/2018,HACKERS/ UNAUTHORIZED,3882,41
American Esoteric Laboratories,HEALTHCARE,4/20/2018,10/15/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",61701,52
Southwest Airlines co.,GENERAL BUSINESS,4/20/2018,3/22/2018,HACKERS/ UNAUTHORIZED,36485,430
"W.W. Grainger, Inc.",GENERAL BUSINESS,4/20/2018,4/10/2018,HACKERS/ UNAUTHORIZED,17902,552
Pershing LLC,GENERAL BUSINESS,4/20/2018,4/9/2018,RELEASE/ DISPLAY OF INFO,86,4
Catawba Valley Medical Center,HEALTHCARE,4/20/2018,3/7/2018,RELEASE/ DISPLAY OF INFO,1,1
Vidant Medical Center,HEALTHCARE,4/20/2018,2/14/2018,RELEASE/ DISPLAY OF INFO,1,1
Robbins Brothers,GENERAL BUSINESS,4/19/2018,3/26/2018,HACKERS/ UNAUTHORIZED,6,2
"CNU Online Holdings, LLC and its subsidiaries, collectively d/b/a CashNetUSA",FINANCIAL SERVICES/ INSURANCE,4/19/2018,3/23/2018,HACKERS/ UNAUTHORIZED ACCESS,3265,69
"Strategic Analysis, Inc.",GENERAL BUSINESS,4/19/2018,11/23/2017,HACKERS/ UNAUTHORIZED,2074,36
"Premier Fixtures, LLC",GENERAL BUSINESS,4/19/2018,3/9/2018,PHISHING,855,1
Charleston County Aviation Authority,GOVERNMENT,4/19/2018,3/5/2018,PHISHING,229,1
RoundPoint Mortgage Servicing Corporation,FINANCIAL SERVICES/INSURANCE,4/19/2018,3/28/2018,RELEASE/ DISPLAY OF INFO,2,2
UniCarriers Americas Corporation,GENERAL BUSINESS,4/19/2018,4/2/2018,"HACKERS/ UNAUTHORIZED, ACCESS",735,6
"Amzak PCG, LLC",GENERAL BUSINESS,4/18/2018,3/26/2018,RELEASE/ DISPLAY OF INFO,130,10
Ohnward Bancshares Inc.,FINANCIAL SERVICES/INSURANCE,4/17/2018,3/1/2018,PHISHING,125,1
H&R Block,GENERAL BUSINESS,4/17/2018,4/11/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",12,9
"World Travel Holdings, Inc.",GENERAL BUSINESS,4/17/2018,3/19/2018,HACKERS/ UNAUTHORIZED,1511,43
"Fred Usinger, Inc.",GENERAL BUSINESS,4/17/2018,3/16/2018,HACKERS/ UNAUTHORIZED,35147,892
"Temp-Tations Home LLC d/b/a ""Tara at Home""",GENERAL BUSINESS,4/16/2018,12/12/2017,"HACKERS/ UNAUTHORIZED, ACCESS",7028,189
Golter Law Office,GENERAL BUSINESS,4/16/2018,10/31/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",656,1
"Inogen, Inc.",HEALTHCARE,4/13/2018,3/14/2018,HACKERS/ UNAUTHORIZED,29528,968
Allconnect,GENERAL BUSINESS,4/13/2018,3/28/2018,RELEASE/ DISPLAY OF INFO,1854,7
"Delta Air Lines, Inc.",GENERAL BUSINESS,4/13/2018,3/28/2018,HACKERS/ UNAUTHORIZED,825000,24414
"Diagnostic Radiology & Imaging, LLC",HEALTHCARE,4/13/2018,1/31/2018,PHISHING,7,7
"PF@-Com, Inc.",GENERAL BUSINESS,4/16/2018,3/12/2018,HACKERS/ UNAUTHORIZED,4423,115
"The Iditarod Trail Committee, Inc.",GENERAL BUSINESS,4/13/2018,3/28/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",107,7
Search Optics Management Corporation,GENERAL BUSINESS,4/13/2018,2/14/2018,PHISHING,201,1
"ABC Phones of North Carolina, Inc.",GENERAL BUSINESS,4/13/2018,3/13/2018,PHISHING,234,7
"Mise En Place Restaurant Services, Inc.",GENERAL BUSINESS,4/12/2018,3/15/2018,"HACKERS/ UNAUTHORIZED, ACCESS",28000,1
Catawba Valley Medical Center,HEALTHCARE,4/13/2018,4/6/2018,RELEASE/ DISPLAY OF INFO,1,1
Retirement Planning & Wealth Management,FINANCIAL SERVICES/INSURANCE,4/11/2018,2/21/2018,PHISHING,255,1
OneMain Financial,FINANCIAL SERVICES/INSURANCE,4/11/2018,3/27/2018,LOST IN TRANSIT,1,1
Cortland Capital Market Services LLC,FINANCIAL SERVICES/INSURANCE,4/11/2018,2/1/2018,PHISHING,1219,80
"Williams-Sonoma, Inc.",GENERAL BUSINESS,4/11/2018,12/15/2017,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",20,1
"BCTE, Inc., d/b/a HomeBrewIt.com",GENERAL BUSINESS,4/11/2018,3/7/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1024,23
"Popular Bank (""Popular"")",FINANCIAL SERVICES/INSURANCE,4/11/2018,2/7/2018,PHISHING,766,3
Victoria Independent School District,EDUCATIONAL,4/10/2018,10/10/2017,"HACKERS/ UNAUTHORIZED, ACCESS",35108,4
"Whitmer & Company CPA's, LLP",FINANCIAL SERVICES/INSURANCE,4/10/2018,3/5/2018,"HACKERS/ UNAUTHORIZED, ACCESS",536,2
"LenderLive Network, LLC",FINANCIAL SERVICES/INSURANCE,4/10/2018,3/21/2018,RELEASE/ DISPLAY OF INFO,15,1
"RiverMend Health, LLC",HEALTHCARE,4/10/2018,3/27/2018,PHISHING,563,1
"Cumberland County Hospital System, Inc. d/b/a Cape Fear Valley Health System",HEALTHCARE,4/6/2018,2/8/2018,HACKERS/ UNAUTHORIZED ACCESS,1,1
"Cumberland County Hospital System, Inc.",HEALTHCARE,4/6/2018,2/9/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
"Bearing Distributors, Inc. (BDI)",GENERAL BUSINESS,4/6/2018,3/30/2018,PHISHING,857,17
"Cumberland County Hospital System, Inc.",HEALTHCARE,4/6/2018,2/8/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
Aetna,HEALTHCARE,4/6/2018,2/21/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",25,3
"Employment Screening Services, Inc.",GENERAL BUSINESS,4/6/2018,3/8/2018,"HACKERS/ UNAUTHORIZED, ACCESS",7,2
Blue Beacon International,GENERAL BUSINESS,4/7/2018,3/15/2018,HACKERS/ UNAUTHORIZED,33644,543
"State Farm Mutual Automobile Insurance Company, it affiliates and subsidiaries",FINANCIAL SERVICES/ INSURANCE,4/5/2018,3/12/2018,RELEASE/ DISPLAY OF INFO,1,1
"J.C. Penney Corporation, Inc.",GENERAL BUSINESS,3/27/2018,2/14/2018,HACKERS/ UNAUTHORIZED,924,17
Grimes Teich Anderson LLP,GENERAL BUSINESS,4/4/2018,3/18/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",60,49
"Dollar Shave Club, Inc.",GENERAL BUSINESS,4/4/2018,3/21/2018,HACKERS/ UNAUTHORIZED,10000,254
"Interval International, Inc.",GENERAL BUSINESS,4/4/2018,3/21/2018,HACKERS/ UNAUTHORIZED,1413,50
John Y. Trent & Associates LLC,GENERAL BUSINESS,4/4/2018,3/1/2018,HACKERS/ UNAUTHORIZED,3348,9
Presti & Naegele,FINANCIAL SERVICES/INSURANCE,4/4/2018,2/14/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2079,9
Intuit Inc.,FINANCIAL SERVICES/INSURANCE,4/4/2018,3/8/2018,"HACKERS/ UNAUTHORIZED, ACCESS",44,44
US GreenFiber LLC,GENERAL BUSINESS,4/3/2018,3/15/2018,HACKERS/ UNAUTHORIZED,816,90
"Milligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group",HEALTHCARE,3/30/2018,1/31/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2640,2
The Alabama Ballet,RELIGIOUS/NONPROFIT,3/30/2018,3/3/2018,HACKERS/ UNAUTHORIZED,157,1
"Private Diagnostic Clinic, PLLC",HEALTHCARE,3/30/2018,2/12/2018,RELEASE/ DISPLAY OF INFO,1,1
"Funding Circle USA, Inc.",FINANCIAL SERVICES/INSURANCE,3/30/2018,3/3/2018,"HACKERS/ UNAUTHORIZED, ACCESS",10796,294
Thermo Fisher Scientific Inc.,GENERAL BUSINESS,3/30/2018,10/12/2017,HACKERS/ UNAUTHORIZED,2900,92
"Friedman, Leavitt & Assoc., Inc.",GENERAL BUSINESS,4/2/2018,2/13/2018,HACKERS/ UNAUTHORIZED,2910,25
Lincoln National Life Insurance Company,FINANCIAL SERVICES/INSURANCE,4/3/2018,3/7/2018,PHISHING,5876,190
"Tidewater Mortgage Services, Inc.",FINANCIAL SERVICES/INSURANCE,3/30/2018,2/7/2018,PHISHING,3887,193
"Heartland Benefit Plan Administrators, LLC",FINANCIAL SERVICES/INSURANCE,3/29/2018,1/5/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1325,5
Cambridge Health Alliance,HEALTHCARE,3/28/2018,1/31/2018,HACKERS/ UNAUTHORIZED,2527,4
Leadership Platform Acquisition Corporation (d/b/a Envision EMI),EDUCATIONAL,3/28/2018,3/6/2018,LOST IN TRANSIT,1095,85
AmeriFirst Home Mortgage,GENERAL BUSINESS,3/28/2018,2/8/2018,PHISHING,887,1
"Shutterfly, Inc.",GENERAL BUSINESS,3/28/2018,3/20/2018,HACKERS/ UNAUTHORIZED,9428,832
Franklin American Mortgage Company,FINANCIAL SERVICES/INSURANCE,3/28/2018,2/27/2018,"HACKERS/ UNAUTHORIZED, ACCESS",73,2
"Applied Plan Administrators (""APA""), a division of The Retirement Advantage, Inc. (""TRA"")",GENERAL BUSINESS,3/28/2018,2/23/2018,HACKERS/ UNAUTHORIZED ACCESS,22661,175
"Mendes & Haney, LLP",GENERAL BUSINESS,3/29/2018,2/28/2018,HACKERS/ UNAUTHORIZED,820,3
"XPO Logisitics, Inc.",GENERAL BUSINESS,3/29/2018,2/16/2018,PHISHING,14,2
Sprint Corporation,GENERAL BUSINESS,3/29/2018,3/20/2018,RELEASE/ DISPLAY OF INFO,29,1
"ATI Holdings, LLC and its subsidiaries",HEALTHCARE,3/28/2018,1/11/2018,PHISHING,34692,28
WDI Hospitality,INFORMATION ONLY,4/29/2016,1/27/2016,INFORMATION ONLY,,
Fifth Third Bank,FINANCIAL SERVICES/INSURANCE,3/28/2018,12/6/2017,RELEASE/ DISPLAY OF INFO,1813,78
"Accord Healthcare, Inc.",GENERAL BUSINESS,3/27/2018,3/1/2018,PHISHING,3,1
