ID,Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
1254,IndianaDepartmentofEnvironmentalManagement,,9/12/2007,1,1
1255,IndianaDepartmentofEnvironmentalManagement,10/15/2019,10/11/2007,1,1
1256,IndianaDepartmentofEnvironmentalManagement,8/9/2019,7/17/2019,1,1
1257,IndianaDepartmentofEnvironmentalManagement,11/14/2019,7/18/2019,1,1
1258,IndianaDepartmentofInsurance,,,,
1259,IndianaDepartmentofWorkforceDevelopment,7/22/2019,7/16/2019,1,1
1260,IndianaDepartmentofWorkforceDevelopment,3/4/2019,2/26/2019,2,2
1261,IndianaDepartmentofWorkforceDevelopment,4/11/2019,4/8/2019,1,1
1262,IndianaDepartmentofWorkforceDevelopment,8/16/2019,8/7/2019,148,148
1263,IndianaDepartmentofWorkforceDevelopment,1/11/2019,1/7/2019,1,1
1264,IndianaSecretaryofState,3/15/2019,3/14/2019,1,1
1265,IndianaStateUniversity,2/13/2019,10/16/2018,1047,1456
1266,Indiana TrustandInvestmentManagementCompany,12/2/2019,8/12/2019,"4,326","6,814"
1267,IndianaUniversityHealth,5/3/2019,3/18/2019,3,3
1268,IndianaUniversityHealthInc,12/17/2018,12/4/2018,1,1
1269,IndianaUniversityHealthInc,2/7/2019,11/6/2018,10,10
1270,IndianapolisFireDepartment,7/16/2019,7/10/2019,"1,265","1,265"
1271,IndianapolisPrivateIndustryCouncildbaEmployIndy,2/26/2019,2/9/2019,1,1
1272,InmediataHealthGroupLLC,4/22/2019,,,"39,760"
1273,InstituteforDefenseandBusiness,7/5/2019,3/4/2019,11,274
1274,Insuramax,8/23/2019,2/12/2019,20,496
1275,InterContinentalCigarCorporation?DataBreah,7/5/2019,10/18/2018,59,"2,516"
1276,InternationalEZUpInc,1/11/2019,5/11/2018,126,6395
1277,InternationalFinanceBank,7/1/2019,3/1/2019,1,2950
1278,InternationalVaporGroup,3/12/2019,1/18/2018,179,"7,656"
1279,IntrepidBenefitsColorado,7/9/2019,2/19/2019,5,2208
1280,IntuitInc,12/12/2018,11/20/2018,3,3
1281,IntuitInc,8/29/2019,8/14/2019,1,1
1282,IntuitInc,2/26/2019,1/29/2019,25,25
1283,IntuitInc,5/28/2019,4/29/2019,1,1
1284,IntuitInc,3/12/2019,2/21/2019,6,6
1285,IntuitInc,7/26/2019,3/21/2019,20,20
1286,IntuitInc,2/7/2019,1/11/2019,1,1
1287,IntuitInc,4/16/2019,4/7/2019,15,15
1288,IntuitInc,3/26/2019,3/11/2019,7,7
1289,IntuitInc,5/9/2019,4/1/2019,2,2
1290,IntuitInc,11/12/2019,6/20/2019,2,2
1291,IntuitInc,7/2/2019,6/3/2019,1,1
1292,IntuitInc,7/1/2019,6/2/2019,1,1
1293,IntuitInc,11/8/2019,7/3/2019,4,4
1294,iSalusHealthcare,,,,
1295,IUHealthAdvancedHeartLungCare,,,,
1296,IvyRehabNetwork,11/26/2019,5/1/2019,"3,179",
1297,IvyTechCommunityCollege,,5/23/2019,58,127
1298,JAGlynnCo,,4/11/2019,10,"1,491"
1299,JacksonNationalLifeInsuranceCompany,6/7/2019,4/1/2019,"1,026","31,170"
1300,TheDamienCenter,,,,
1301,JamesAScottSonInc,10/2/2019,2/5/2019,1,"1,550"
1302,JamesPerseEnterprisesInc,3/13/2019,2/9/2019,1,684
1303,JANDIncdbaWarbyParker,12/20/2018,9/25/2018,454,"197,986"
1304,JeepCountryFederalCreditUnion,2/8/2019,1/28/2019,1,756
1305,JeffDavisBancsharesInc JDBank,6/17/2019,2/19/2019,19,"39,827"
1306,JensenEnterprisesIncdbaJensenPrecast,1/11/2019,8/23/2018,1,2600
1307,JobscienceInc,4/4/2019,4/1/2018,1067,"1,750,302"
1308,JocorEnterprisesLLCdbaVolcanoeCigs,4/16/2019,2/13/2019,31,1998
1309,JoFitLLC,8/5/2019,1/18/2019,40,"4,358"
1310,JohnHancockFinancialNetwork,3/22/2019,8/15/2018,120,777
1311,JuniataCollege,11/1/2019,3/12/2019,5,"1,170"
1312,KahnDeesDonovanKahnLLP,8/9/2019,1/11/2019,2,2
1313,KalamazooCollegeBookstore,6/10/2019,4/13/2019,1,32
1314,KatzSapperandMiller,2/8/2019,11/11/2018,"5,766","9,666"
1315,KearnsBrinenMonaghan,10/1/2019,10/15/2018,3,444
1316,KenraProfessional,4/3/2019,3/4/2019,418,969
1317,KentuckyYouthAdvocatesInc,,,,
1318,KestlerFinancialGroupInc,11/6/2019,8/7/2019,4,243
1319,KestraInvestmentServicesLLC,12/20/2018,11/1/2018,231,4972
1320,KeyWestHotelsLLC,4/1/2019,2/7/2018,,"18,000"
1321,KindelFurnitureCompany,11/15/2019,4/23/2019,8,14
1322,KolbrennerandAlexanderLLC,7/1/2019,2/28/2019,7,2623
1323,KPRSConstructionServicesInc,11/22/2019,3/14/2019,1,825
1324,KSKolbenschmidtInc,,,,
1325,LandMFleetSupplyInc,4/23/2019,12/5/2018,100,4952
1326,LMSupplyInc?DataBrach,10/23/2019,7/29/2019,18,665
1327,LafayetteRegionalRehabHospital,4/15/2019,10/8/2018,301,7037
1328,LancasterArcherySupplyInc,4/25/2019,7/4/2018,"1,056","53,345"
1329,LCPTransportationLLC,1/1/2019,7/29/2018,"70,000","70,000"
1330,LeaflyHoldingsInc,10/10/2019,,,
1331,Legg Mason,11/1/2019,9/18/2019,2,22
1332,LevyPremiumFoodserviceLimitedPartnership,10/11/2019,9/27/2019,1,50
1333,Lewis Wagner LLP,11/5/2019,8/25/2019,3,3
1334,LifeEquityLLC,3/27/2019,11/13/2018,2,361
1335,LifeMarkSecuritiesCorp,11/19/2019,8/3/2019,117,"10,879"
1336,LincolnFinancialGroup,11/18/2019,10/23/2019,1,25
1337,LincolnFinancialGroup,5/15/2019,5/8/2019,1,1
1338,LincolnFinancialGroup,2/21/2019,12/19/2018,7,1836
1339,LincolnFinancialGroup,12/31/2018,12/11/2018,2,2
1340,LittleRockCancerClinicPA,3/11/2019,1/10/2019,2,3078
1341,LittleSistersofthePoor,,,,
1342,LogansportMemorialHospital,5/23/2019,2/22/2019,172,172
1343,LogansportMemorialHospital,3/14/2019,2/21/2019,99,3
1344,LogansportMemorialHospital,9/6/2019,8/15/2019,2,2
1345,LoungeflyLLC,4/26/2019,9/19/2018,33,4562
1346,LPLafayetteLLC,1/10/2019,11/18/2018,1,1
1347,LPLFinancialLLC,12/19/2018,11/26/2018,1,1
1348,LPRConstruction,2/25/2019,3/1/2018,3,1463
1349,LubbockChristianUniversity,11/22/2019,11/5/2003,5,5118
1350,LudusLLC,7/9/2019,1/1/2019,1,"3,671"
1351,LutheranLifeCommunities,1/28/2019,12/5/2018,731,4799
1352,LyonsCompanies,8/23/2019,2/4/2019,7,8002
1353,Macyscom,11/14/2019,10/7/2019,"1,916","135,152"
1354,MaddoxElectricCompanyInc,7/17/2019,5/17/2019,6,"1,334"
1355,MadisonCountyCommunityHealthCenter,,,,
1356,MainStreetAmericaGroup,3/8/2019,9/22/2018,3,502
1357,MainStreetClinicalAssociatesPA,11/8/2019,7/15/2019,4,"3,031"
1358,MainStreetInsuranceGroup,10/8/2019,5/17/2019,3,"2,248"
1359,MajorisHealthSystemsInc,9/20/2019,7/24/2019,1,"13,120"
1360,MannheimSchoolDistrict83,9/19/2019,8/29/2019,1,583
1361,ManningandAssociatesCertifiedPublicAccountantsLLC,2/22/2019,1/14/2019,37,1700
1362,ManningSilvermanCompany,6/6/2019,1/16/2019,5,2057
1363,MansfieldEnergyCorp,7/31/2019,4/22/2019,78,"1,121"
1364,MarathonPetroleumCompanyLP,4/8/2019,11/28/2018,86,1287
1365,marchFIRST,12/27/2018,8/7/2018,75,"2,123"
1366,MaritimeAssociationILAPensionRetirementWelfareandVacationFunds,2/19/2019,11/19/2018,4,"49,917"
1367,MarketStreetTrustCompany,8/20/2019,7/23/2019,2,136
1368,MarksAssociates,8/12/2019,11/1/2018,1,"1,600"
1369,MarquetteManagement,2/7/2019,10/3/2018,71,1917
1370,MarriottInternational,11/11/2019,8/1/2019,2,"2,589"
1371,MyersAutoworld,,,,
1372,MartinUniversity,9/11/2019,9/5/2019,40,40
1373,MarylandInstituteCollegeofArt,3/27/2019,9/28/2018,3,340
1374,MassachusettsMutualLifeInsuranceCompany,3/27/2019,3/4/2019,1,1
1375,MatrixSciences,8/6/2019,1/1/2019,3,59
1376,MBFinancialBankNA,3/21/2019,6/21/2017,5,379
1377,McAlistersCorporationMoesStoresLLCSchlotzskysStoresLLC,10/2/2019,4/11/2019,,
1378,Eskenazi Hospital,,,,
1379,McLarenHealthCare,5/23/2019,5/3/2019,2,125
1380,McNeilCompanyInc,8/23/2019,3/27/2019,14,"2,485"
1381,MediantCommunicationsInc,5/31/2019,4/1/2019,3552,"204,812"
1382,MedicalCollegeofWisconsin,8/14/2019,3/22/2019,12,995
1383,MedicalInnovationsLLC,,,,
1384,MercerGlobalAdvisorsInc,3/20/2019,12/6/2018,8,239
1385,MercyHealthCorporation,1/7/2019,5/8/2018,1,899
1386,MeridianCommunityCollege,9/5/2019,1/30/2019,1,"1,475"
1387,MerrickBankCorporation,4/12/2019,3/8/2019,68,2612
1388,MetropolitanLifeInsuranceCompany,6/6/2019,2/1/2019,1,1
1389,MGMResortsInternational,9/5/2019,7/7/2019,6,"46,542"
1390,MicroMomScootersLLCdbaMicroKickboard,6/27/2019,3/14/2019,40,"4,407"
1391,MiddleTennesseeSchoolofAnesthesia,2/14/2019,1/1/2012,28,2400
1392,MikhailEducationCorporation,4/12/2019,3/20/2019,2,2237
1393,MillerKaplanAraseLLP,7/10/2019,3/22/2019,10,"7,916"
1394,MillerPoultry,6/19/2019,9/1/2018,303,338
1395,DukeEnergy,,,,
1396,MissionHealth,10/11/2019,3/27/2016,6,"4,521"
1397,MissouriSouthernStateUniversity,6/13/2019,1/9/2019,41,"12,574"
1398,MitsubishiTurbochargerandEngineAmericaInc,5/10/2019,11/7/2018,19,19
1399,MMBBFinanicalServices,4/30/2019,9/11/2018,6,108
1400,UnknownRespondent,,,,
1401,MooreCollegeofArtandDesign,2/5/2019,1/30/2019,2,677
1402,MorganDistributionInc,2/19/2019,1/6/2019,14,17
1403,MorningPointec/oDataFactsInc,1/18/2019,10/19/2018,1,52
1404,MortgageSpecialistofIndianaCompany,,,,
1405,MowerySchoenfeldLLC,10/16/2019,1/1/2019,45,280
1406,MrLandlord.com,5/28/2019,4/20/2019,12,334
1407,MuskegonCarCreditInc,4/11/2019,2/1/2019,2,133
1408,MutualofOmahaInsuranceCompany,10/21/2019,9/2/2019,3,470
1409,MWBanksConsultingLLC,8/13/2019,7/1/2019,22,22
1410,NationalAviationAcademy,6/17/2019,8/1/2018,3,"1,033"
1411,NationalBaseballHallofFameandMuseum,8/2/2019,11/15/2018,78,"5,746"
1412,NationalCouncilofStateBoardsofNursing,2/20/2019,,1,1282
1413,NationalSeatingandMobilityInc,4/29/2019,2/14/2019,1,3838
1414,NationalWildlifeFederation,5/24/2019,1/3/2019,1026,"47,343"
1415,NationwideChildrensHospital,2/22/2019,12/24/2018,1,34
1416,NCHCorporation,1/25/2019,1/1/2016,91,4171
1417,NCHHealthcareSystemInc,8/16/2019,6/5/2019,2,57
1418,NelnetLoanServicing,,10/18/2019,9,301
1419,NespressoUSAInc,11/26/2019,8/1/2019,2,939
1420,NewAgeMediaDBAAll AmericanEntertainment,9/23/2019,2/10/2019,3,486
1421,NewBitVenturesLTD,2/20/2019,12/9/2018,"4,774","150,000"
1422,NEXTFinancialGroupInc,10/22/2019,9/24/2019,2,478
1423,NidecMotorCorporation,6/7/2019,6/16/2018,40,"2,423"
1424,North40Outfitters,2/14/2019,2/2/2018,255,"18,957"
1425,NorthLawrenceCommunitySchools,1/14/2019,11/1/2018,487,487
1426,NorthernSuburbanSpecialEducationDistrict804,3/8/2019,1/30/2019,1,758
1427,NorthwesternHealthSciencesUniversity,5/21/2019,10/16/2018,6,3499
1428,NorthwoodInc,7/12/2019,5/3/2019,995,"86,050"
1429,NovaSoutheasternUniversity,1/25/2019,9/1/2018,3,4681
1430,NSCPearsonInc,7/19/2019,11/30/2018,,
1431,NTCATheRuralBroadbandAssociation,8/23/2019,4/3/2019,"1,064","25,365"
1432,NussliUSLLC,1/4/2019,12/4/2018,93,120
1433,OberlinCollege,7/12/2019,3/5/2019,19,"1,816"
1434,OfficeInteriorsInc,6/27/2019,1/10/2019,11,31
1435,FamilyandSocialServicesAdministration,6/4/2019,6/3/2019,1,1
1436,OfficeofIndianaAttorneyGeneral,9/19/2019,9/11/2019,1,1
1437,OfficeoftheIndianaAttorneyGeneral,2/26/2019,2/23/2019,2,2
1438,OhioRuralElectricCooperativesIncBuckeyePowerInc,3/15/2019,2/14/2019,14,1227
1439,OlssonInc,8/6/2019,7/19/2019,3,"3,949"
1440,OlympicSteelInc,5/22/2019,4/24/2019,1,28
1441,OnCourseLearningCorporation,3/8/2019,6/11/2018,42,"5,600"
1442,OneMainFinancial,3/21/2019,7/21/2012,3,465
1443,ORNursesCredentialingDataFactsInc,1/18/2019,10/19/2018,1,95
1444,OrionRealEstateServices,3/12/2019,2/19/2019,1,982
1445,OrthoClinicalDiagnosticsInc,4/5/2019,3/8/2019,1,12
1446,OrthoAccelTechnologiesInc,10/9/2019,12/4/2018,3,298
1447,OSInconbehalfofMassacMemorialHospital,5/3/2019,10/15/2018,1,1406
1448,GrantCountyRescueMission,,,,
1449,PacersSportsandEntertainment,5/10/2019,10/15/2018,54,127
1450,"Anderson, Christina M.",,,,
1451,PalmettoHealth,3/29/2019,11/15/2018,2,"23,811"
1452,PARElecrticalContractorsInc,6/27/2019,9/27/2018,38,982
1453,ParTechnologyCorporation,9/20/2019,4/19/2019,5,918
1454,ParadigmLifeInsuranceLLC,4/26/2019,11/20/2018,9,700
1455,ParkHotelsResortsInc,9/16/2019,7/10/2019,3,469
1456,ParkviewRegionalMedicalCenter,,,,
1457,PartnersforQualityInc,6/18/2019,1/19/2019,6,"2,207"
1458,PathwayBank,11/5/2019,6/9/2019,1,"1,100"
1459,PayPalInc,9/6/2019,4/1/2019,1,67
1460,PeggyBrowningFund,2/12/2019,12/19/2018,1,51
1461,PelicanProductsInc,8/16/2019,6/28/2019,16,"1,284"
1462,PennsylvaniaRealEstateInvestmentTrust,11/4/2019,12/8/2018,1,919
1463,PeoplesInjuryNetworkNorthwest,9/12/2019,4/22/2019,3,"13,269"
1464,PershingLLC,7/26/2019,12/1/2018,2,648
1465,PharmacaIntegrativePharmacyInc,1/18/2019,7/19/2018,,"15,000"
1466,PhillipCapitalInc,2/21/2019,2/28/2018,83,"7,069"
1467,PieFivePizza,4/5/2019,9/6/2018,,
1468,PiechSalesCompanyLLCdbaValuePetSuppliescom,12/17/2018,6/7/2018,208,"11,972"
1469,PolymetCorporation,10/22/2019,9/10/2019,2,154
1470,PowerPerformanceEnterprisesInc,4/23/2019,12/19/2018,3,55
1471,PrecisionDiscoveryInc,5/30/2019,1/2/2019,1,154
1472,PresbyterianHealthcareServices,9/12/2019,5/9/2019,14,"10,249"
1473,PriceIndustriesInc,3/19/2019,2/14/2019,11,"6,928"
1474,PridaGuidaPerezPA,6/28/2019,4/11/2019,3,666
1475,PrimeLifeFibersInc,1/18/2019,11/6/2018,3,273
1476,PrincessPollyGroupPtyLtd,5/30/2019,11/1/2018,1129,"168,008"
1477,PrincetonInsuranceAgency,10/15/2019,6/3/2019,1,3166
1478,PrincipalFinancialGroup,7/17/2019,7/10/2019,2,"2,243"
1479,PrincipalLifeInsuranceCompany,3/19/2019,3/11/2019,9,98
1480,PrincipalLifeInsuranceCompany,5/15/2019,4/26/2019,1,33
1481,PrincipalLifeInsuranceCompany,11/11/2019,10/23/2019,34,57
1482,PrintEZInc,2/15/2019,9/1/2016,Unk,Unk
1483,PrismaHealthMidlands,10/31/2019,,5,
1484,PureHavenLLC,4/15/2019,2/7/2019,1,49
1485,PWCompaniesLLC,8/29/2019,7/11/2019,1,59
1486,QBEAmericasInc,8/2/2019,5/23/2019,1,3
1487,QuestDiagnositcsIncorporated,,,,
1488,QuipLaboratoriesInc,10/30/2019,5/31/2019,1,20
1489,RasmussenCollegeInc,3/12/2019,10/1/2018,1,198
1490,RecyclingManagementResources,11/13/2019,4/20/2019,34,
1491,RedLobsterManagementLLC,10/2/2019,9/3/2019,1,435
1492,RedtailTechnologyInc,5/24/2019,3/4/2019,287,"13,235"
1493,ReedsJewelersInc,2/26/2019,11/1/2018,1,23
1494,RehabilitationHospitalofIndiana,,2/15/2019,24,24
1495,ReliantRehabilitation,1/16/2019,9/13/2018,112,8608
1496,RennlineAutomotive,2/21/2019,5/28/2018,25,2540
1497,RepiceandTaylorInc,5/14/2019,11/5/2018,1,
1498,ResidentialCareXILLCdbaAllisonvilleMeadowsAssistedLiving,4/12/2019,3/15/2019,1,1
1499,ResMan,1/17/2019,2/8/2017,2,93
1500,RetrievalMastersCreditorsBureauInc,6/4/2019,8/1/2018,"114,843",
1501,RevolutionFoodsInc,4/26/2019,1/31/2019,1,157
1502,RevolutionPartsInc,1/23/2019,11/8/2018,36,2190
1503,RGHoldCoLLC,2/15/2019,4/1/2018,2,624
1504,Rickers,4/25/2019,3/11/2019,2070,2070
1505,RiggsWealthManagement,9/13/2019,6/14/2019,2,"1,314"
1506,RightAtSchoolLLC,3/1/2019,2/18/2019,1,1946
1507,RiverplaceCounselingCenterInc,4/11/2019,,2,
1508,RLGTaxAdvisorsLLC,5/24/2019,2/11/2019,2,300
1509,RobbinsInc,5/22/2019,2/1/2019,1,253
1510,RobertBladandAssociatesPC,5/24/2019,1/10/2019,2,195
1511,RobertWWoodruffArtsCenterIn,7/26/2019,2/10/2019,10,"2,346"
1512,RocketDollarInc,6/3/2019,4/26/2019,12,921
1513,RockvilleEyeSurgeryCenterLLCdbaPalisadesEyeSurgeryCenter,7/12/2019,5/13/2019,2,"2,696"
1514,RoManManufacturing,9/18/2019,4/3/2019,1,160
1515,Faurecia,,,,
1516,RoyalNeighborsofAmerica,11/11/2019,10/4/2019,1,81
1517,RubberliteInc,3/14/2019,12/1/2018,1,16
1518,RunSignUpInc,4/18/2019,3/4/2019,9,222
1519,RyderSystemInc,2/12/2019,1/15/2019,51,58
1520,RyderSystemInc,5/28/2019,3/21/2019,27,729
1521,SacksPressandLacherPC,5/9/2019,7/30/2018,1,1295
1522,SaltLifeLLC,5/1/2019,12/12/2018,268,"14,267"
1523,SanAntonioWineryInc,2/26/2019,11/13/2018,2,565
1524,SarkTechnologiesLLC,,9/23/2018,821,"43,250"
1525,SaveDayInc,8/2/2019,,14,"3,744"
1526,ScienceApplicationsInternationalCorporation,4/22/2019,,2,35
1527,ScrapbookcomLLC,7/23/2019,6/14/2019,28,"1,679"
1528,SecuritiesTrainingCorporation,9/23/2019,4/16/2019,10,994
1529,SecurityNationalMortgageCompany,2/15/2019,12/4/2018,69,310
1530,SelectHealthNetwork,11/1/2019,5/22/2019,"4,471","4,471"
1531,SensataTechnologies,1/31/2019,1/2/2019,6,2379
1532,ServiceLinkLLC,7/22/2019,7/12/2019,1,1
1533,SheaffBrockInvestmentAdvisorsLLC,8/15/2019,5/17/2019,2,6
1534,SheetMetalWorkersLocalUnionNo104,3/19/2019,2/5/2019,3,5047
1535,ShelterInsuranceCompanies,6/18/2019,4/4/2019,2,108
1536,ShelteredWingsInc,10/17/2019,6/4/2019,1,45
1537,ShowMeCables,6/19/2019,4/12/2019,9,247
1538,SiebertReynoldsCPA,9/5/2019,,3,"1,181"
1539,SigmaFinancialCorporation,,,1,
1540,SignatureSystemsGroup,8/30/2019,4/30/2019,1,239
1541,SimonPearceUSInc,5/7/2019,1/23/2019,4,433
1542,SkinSolutionsMDLLC,7/3/2019,4/19/2019,125,"9,113"
1543,SMLPLLCdbaStatLab,7/1/2019,1/26/2019,1,103
1544,"SmoothOn,IncandReynoldsAdvancedMaterials",5/9/2019,2/24/2019,81,4300
1545,SNCLavalinInc,9/18/2019,8/19/2019,24,"5,000"
1546,SolaraMedicalSuppliesLLC,11/13/2019,4/2/2019,87,"114,227"
1547,SouthCentralBankInc,12/17/2018,10/18/2018,10,1573
1548,SouthFloridaPBS?DataEntry,11/1/2019,5/14/2019,2,528
1549,SouthPacificFinancialCorporation,10/11/2019,3/24/2019,9,"16,166"
1550,SoutheasternPennsylvaniaTransportationAuthority,9/5/2019,6/21/2019,1,761
1551,SouthernTitleInc,7/26/2019,10/7/2018,3,1450
1552,SouthwestGastroenterology,6/28/2019,1/1/2012,17,
1553,SouthwestWisconsinTechnicalCollege,3/21/2019,1/19/2019,1,16
1554,SouthwireCompanyLLC,5/10/2019,1/18/2019,1,449
1555,SpanglerCandyCompany,5/8/2019,1/26/2019,7,281
1556,SpecialOlympicsKentucky,12/17/2018,4/17/2018,40,2567
1557,SpecialtyPhysiciansofIllinoisLLC?DataPrivacy,9/13/2019,12/15/2017,1,4
1558,SpectrumBusinessResources,3/20/2019,11/6/2018,4,326
1559,SprintCorporation,3/27/2019,3/14/2019,241,"25,909"
1560,SprintCorporation,6/25/2019,6/8/2019,478,"26,801"
1561,StElizabethHealthcare,3/7/2019,2/5/2019,283,"9,727"
1562,StFrancisCollege,5/16/2019,10/16/2018,8,"28,100"
1563,StJosephRegionalMedicalCenter,,,,
1564,StVincentMedicalGroupUrology,,,1,1
1565,StairGalleriesandRestorationInc,3/11/2019,6/5/2018,1,450
1566,StanadyneLLC,2/15/2019,9/22/2018,18,1142
1567,StandardInsuranceCompany,7/12/2019,5/1/2019,30,3956
1568,StandardInsuranceCompany,9/27/2019,3/1/2019,6,35
1569,StanwichMortgageLoanTrustACandD,2/12/2019,2/1/2018,1433,"53,829"
1570,StateFarmMutualAutomobileInsuranceCompany,4/5/2019,2/28/2019,2,2
1571,StateFarmMutualAutomobileInsuranceCompany,6/24/2019,6/7/2019,2,2
1572,StatePersonnelBenefitsDivision,4/17/2019,4/15/2019,2,2
1573,SteppenwolfTheatreCompany,6/14/2019,11/28/2018,7,1014
1574,SterlingSterlingLLCdbaSterlingRisk,7/23/2019,4/3/2019,6,"8,639"
1575,StewardHealthCareSystemLLC,6/4/2019,3/5/2019,5,2665
1576,StifelNicolausCompanyIncorporated,8/16/2019,8/8/2019,1,1
1577,StraubSeamanAllenPC,7/22/2019,2/26/2019,1,9
1578,StrongRockChristianSchool,3/7/2019,8/24/2018,1,927
1579,SullivanPalatekInc,4/30/2019,12/12/2018,19,39
1580,SummaHealth,6/28/2019,8/1/2018,1,
1581,SunquestInformationSystemsInc,12/6/2018,11/6/2018,2,600
1582,SuperiorDentalCare,3/25/2019,12/21/2018,778,"38,300"
1583,SymantecCorporation,12/14/2018,3/8/2018,2,30
1584,SymmetryMedicalDBATecometDataFactsInc,1/18/2019,10/19/2018,34,40
1585,SysmexAmericaInc,5/24/2019,1/31/2019,6,13
1586,T3MicroInc,5/17/2019,7/13/2018,277,"20,881"
1587,TaconicBiosciencesInc,5/22/2019,1/24/2019,1,26
1588,TaconyCorporation,4/30/2019,6/7/2018,39,1687
1589,TalleyMedicalSurgicalEyeCareAssociatesPC,,,,
1590,TBIMortgageCompany,8/5/2019,,15,"11,696"
1591,TecumsehAreaPartnershipInc,12/28/2018,11/19/2018,1985,2003
1592,TEMPTUInc,3/4/2019,11/1/2018,24,1268
1593,TenXSystemsLLCdbaResiDexSoftware,6/7/2019,4/2/2019,29,"95,500"
1594,TesseraTechnologiesInc,5/31/2019,3/11/2019,1,502
1595,TheAmericanKennelClub,7/5/2019,11/1/2018,1,1048
1596,TheArchdioceseofIndianapolis,6/11/2019,,219,221
1597,TheArchdioceseofIndianapolis,3/11/2019,11/9/2018,2,2
1598,TheBaptistFoundationofOklahoma,8/16/2019,6/25/2019,2,370
1599,TheChamberlainGroupInc,5/28/2019,11/2/2018,3,137
1600,CincinnatusSavingsandLoanCo,4/25/2019,12/28/2017,168,1861
1601,TheCityofTopeka,12/17/2018,10/31/2018,1,"10,000"
1602,TheClevelandClinicFoundation,12/14/2018,2/23/2018,2,104
1603,TheCrichtonGrouponbehalfofGreshamSmith,5/29/2019,11/19/2018,2,371
1604,TheCuratorsoftheUniversityofMissouri,7/29/2019,4/16/2019,1,92
1605,TheDamienCenter,,,,
1606,TheGeilerCompany,1/10/2019,12/10/2018,13,158
1607,TheGeorgiaInstituteofTechnology,5/22/2019,12/14/2018,5651,"1,265,883"
1608,TheGuardianLifeInsuranceCompanyofAmerica,4/10/2019,2/4/2019,1,1
1609,TheGuidanceCenter,10/28/2019,3/15/2019,6,"1,622"
1610,TheHartfordFinancialServicesGroupInc,,2/7/2019,1258,"43,000"
1611,TheIFHGroupInc,8/8/2019,1/21/2019,1,"1,245"
1612,TheLincolnNationalLifeInsuranceCompany,7/1/2019,6/25/2019,1,1
1613,TheMcKeoghCompany,10/9/2019,,7,
1614,TheMethodistHospitalsInc,10/4/2019,3/13/2019,"62,494","68,039"
1615,TheMotzCorporation,9/23/2019,8/22/2019,8,365
1616,TheNationalWorldWarIIMuseumInc,6/21/2019,10/6/2018,42,"2,285"
1617,TheNorthwesternMutualLifeInsuranceCompany,1/17/2019,1/8/2019,2,2
1618,TheOklahomaDepartmentofSecurities,5/10/2019,11/29/2018,"3,042","293,492"
1619,TheOneidaGroupInc,5/2/2019,4/16/2019,2,1586
1620,ThePartySourceInc,7/9/2019,4/19/2019,14,"1,028"
1621,TheProfessionalGolfersAssociationofAmerica,10/4/2019,12/7/2018,28,576
1622,ThePrudentialInsuranceCompanyofAmerica,3/18/2019,1/26/2019,1,1
1623,ThePrudentialInsuranceCompanyofAmerica,5/28/2019,4/16/2019,1,1
1624,ThePrudentialInsuranceCompanyofAmerica,11/27/2018,10/19/2018,4,113
1625,TheRevenueOptimizationCompanies,,,,
1626,TheRyanCompanies,3/28/2019,2/8/2019,3,1124
1627,TheSalvationArmy,5/9/2019,3/19/2019,1,14
1628,TheSalvationArmy,3/18/2019,6/1/2015,1,133
1629,TheShubertOrganizationInc,4/12/2019,2/8/2019,1,2358
1630,TheSoutheasternCouncilonAlcoholismandDrugDependence,4/19/2019,2/18/2019,3,"25,148"
1631,TheToppsCompanyInc,2/22/2019,11/19/2018,122,"5,700"
1632,TheUnionLaborLifeInsuranceCompany,7/11/2019,4/1/2019,746,"87,400"
1633,TheUnionLaborLifeInsuranceCompany,2/14/2019,1/14/2019,4,32
1634,TheUniversityofAlabama,7/17/2019,10/24/2009,1,"1,368"
1635,TheUPSStoreInc,11/27/2019,10/11/2019,550,"6,400"
1636,ThesyLLC,11/2/2018,12/6/2017,"8,946","226,000"
1637,ThornappleCreditUnion,11/6/2019,9/16/2019,1,277
1638,ThriventFinancialforLutherans,7/29/2019,7/28/2019,3,3
1639,TimeandPayInc,2/12/2019,1/30/2019,2,186
1640,TitanManufacturingandDistributingInc,12/7/2018,11/23/2017,"1,497","65,498"
1641,Tom Ford,10/4/2019,9/5/2019,1,21
1642,TowerLegalSolutions,3/22/2019,,1,1559
1643,ToyotaandLexusFinancialServices,6/27/2019,5/24/2019,37,1793
1644,TransamericaLLC,6/7/2019,2/8/2017,11,145
1645,TravelLeadersGroup,1/11/2019,6/14/2018,1,2479
1646,TriBikeTransportLLC,3/25/2019,11/19/2018,44,2495
1647,TribunePublishingCompany,4/4/2019,11/1/2018,39,242
1648,TribunePublishingCompany,10/18/2019,11/1/2018,38,"3,476"
1649,TrustedToursAttractionsLLC,7/29/2019,3/24/2019,935,"50,743"
1650,TrustmarkCompanies,11/18/2019,7/30/2018,2,191
1651,TrustpointRehabilitationHospitalofLubbock,4/15/2019,10/8/2018,1,7037
1652,TwinLakesSchoolCorporation,5/24/2019,5/6/2019,2,2
1653,TysonFoodsInc,1/21/2019,10/14/2018,45,450
1654,UnknownRespondent,,,,
