Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
JAM Paper & Envelope,"185 Legrand Avenue, Northvale, NJ 07647",None,"Patrick Haggerty, Baker Hostetler, 513-929-3412; phaggerty@bakerlaw.com",6/15/16-11/6/17,12/1/2017,6/15/2016,11/6/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",132
"Uber Technologies, Inc.","1455 Market Street, San Francisco, CA 94103",None,"Rebecca S. Engrav, Perkins Coie, LLP, 206-359-6168; rengrav@perkinscoie.com",Update to 11/21/17 notice,12/1/2017,,,,See prior notice in Nov 2017,Total of 381 drivers in Maine(364 notified by mail and 17 by email)
"IH Mississippi Valley Credit Union (""IHMVCU"")","2121 47th St., Moline, IL 61265","Brian Laufenberg, President & CEO, 309-793-6200; bleufenberg@ihmvcu.org",N/A,8/30/2017 (discovered 10/2/17),12/1/2017,8/30/2017,,10/2/2017,Name or other personal identifier in combination with SSN,2
"Grass Advantage, LLC (d/b/a Amazing Grass)","230 Newport Center Drive, Ste 300, Newport Beach, CA 92260",None,"Erin Locker, Norton Rose Fulbright US LLP; 303-801-2738; erin.locker@nortonrosefulbright.com",9/11/17-11/3/17,11/30/2017,9/11/2017,11/3/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",6
"Nutrex Hawaii, Inc.",,None,"Kristopher Kleiner, Associate, Norton Rose Fulbright US LLP, 313-801-2758; kris.kleiner@nortonrosefulbright.com",Between 7/26/17 and 8/9/17,11/29/2017,7/26/2017,,,"Name, address, email address and payment card information",1
"Combat Brands, LLC","15850 West 108th Street, Lenexa, KS 66219","Gary Patrick, CIO, 913-689-2300X830; gpatrick@combatbrands.com",N/A,Update to 4/17/17 notice stating the breach continuted until 10/6/17,11/29/2017,,10/6/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",35
Lincoln National Life Insurance Company,"1300 S. Clinton Street, Fort Wayne, IN 46802","Sara Borghesi, Compliance Consultant, 860-466-1805; Sara.Borghesi@lfg.com",N/A,10/19/2017,11/28/2017,10/19/2017,,,Name or other personal identifier in combination with SSN,1
"Pulmonary Specialists of Louisville, PSC",,None,"Gregory Bautista, Wilson Elser Moskowitz Edelman  Dicker, LLP; 914-872-7839; Gregory.Bautista@wilsonelser.com",Discovered 9/26/17,11/28/2017,,,9/26/2017,"Name, address, phone number, birthdate, SSN, health insurance info and medical records",1
Baylor College of Medicine,"One Baylor Plaza, Houston, TX 77030",None,"David Shafer, Saul Ewing, Arnstein & Lehr, LLP, 410-332-8742; david.shafer@saul.com",10/18/2016,11/21/2017,10/18/2016,,,Name or other personal identitier in combination with SSN,4
Randolph Savings Bank,"10 Cabot PL, Stoughton, MA 02072",None,"Brenda Sharton, Goodwin Procter LLP, 617-570-1214; bsharton@goodwinlaw.com",10/1/2017(discovered 10/19/17),11/21/2017,10/1/2017,,10/19/2017,Not specified (just says it was a phishing scam.),3
"Uber Technologies, Inc.","1455 Market Street, San Francisco, CA 94103",None,"Rebecca S. Engrav, Perkins Coie, LLP, 206-359-6168; rengrav@perkinscoie.com",10/13-11/15/16,11/21/2017,10/13/2016,11/15/2016,,Name or other personal identifier in combination with Driver's license number or non-driver identification card number,At least 340(will update)
JRK Hotel Group,"1176 Wilshire Boulevard, Ste. 1500, Los Angeles, CA 90025",None,"Richard Martinez, Jones Day, 612-217-8800; rmartinez@jonesday.com",8/10/16-3/9/17 (discovered 6/6/17),11/20/2017,8/10/2016,3/9/2017,6/6/2017,Name or other personal identifier in combination with financial account number or credit or debit card number. Security code was NOT collected,4
39DollarGlasses.com,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,35
Char Broil,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,2
Classic Firearms,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,5
Dailysale.com,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,83
ICSC,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,1
Minnesotaworkwear.com,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,2
Pure Prescriptions,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,7
Spark Pay Online,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,14
Wet N Wild Beauty,,None,"Gary Wachtel, Director & Sr Counsel, 224-405-2286",10/17/2019,11/20/2017,10/17/2019,,,Discover card information compromised,7
"USA Hoist Company, Inc., Mid-American Elevator Company, Inc. and Mid-American Elevator Equipment Company, Inc.","820 North Wilcott Ave., Chicago, IL 60622",None,"Susan J. Miller Overbey, Burke Warren, MacKay & Serritella, P.C.; 312-840-7051; soverbey@burkelaw.com",10/17/2017,11/14/2017,10/17/2017,,,Name or other personal identifier in combination with SSN,1
ABM Industries Incorporated,"One Liberty Plaza, 7th Floor, New York, NY 10006","Ean Kryska, Assist General Counsel, 312-759-4664; ean.kryska@abm.com",N/A,Discovered 8/1/17,11/14/2017,,,8/1/2017,Name or other personal identifier in combination with SSN,1
GCI Communications Corp.,"2550 Denali Street, Suite 1000, Anchorage, AK 99503-2751","David Hymas, Assoc General Counsel, 907-868-5432; dhymas@gci.com",N/A,"July, 2015",11/13/2017,7/1/2015,,,Name or other personal identifier in combination with SSN,1
State of Maine Department of Health and Human Services,"11 State House Station, Augusta, Maine 04333","Stacey Mondschein Katz, 207-287-9362; Stacey.Mondschein@maine.gov",N/A,9/21/2017,11/13/2017,9/21/2017,,,Name or other personal identifier in combination with SSN,1886
City of Holly Springs,"3237 Holly Springs Parkway, Holly Springs, GA 30115",None,"David Kitchen, Baker & Hostetler, LLP, 216-861-7060; dkitchen@bakerlaw.com",9/29/2017,11/10/2017,9/29/2017,,,Name or other personal identifier in combination with Driver's license number or non-driver identification card number.,2
SallieMae (SmartyPig LLC d/b/a Q2 Labs),"300 Continental Drive, Newark, DE 19713","Privacy Office, 302-451-0354",N/A,10/23/2017,11/9/2017,10/23/2017,,,"Name, address, financial account number, in combination with security code, access code, password, or PIN for the account",3
Gallagher NAC,"16476 Wild Horse Creek Road, Chesterfield, MO 63017","Chris Camp, Operation Manager, 636-530-7700; chris_camp@ajg.com",N/A,6/18/17-9/19/17 (discovered 9/21/17),11/13/2017,6/18/2017,9/19/2017,9/21/2017,Name or other personal identifier in combination with SSN,47
"Little River Healthcare - Central Texas, LLC d/b/a Little River Waco Ear Nose and Throat",,None,"Lindsay Nickle, Wilson Elser, 55 West Monroe Street, Suite 3800, 60603: 312-704-0550; Lindsay.Nickle@wilsonelser.com",6/26/2017,11/7/2017,6/26/2017,,,Name or other personal identifier in combination with SSN,1
Memory4Less,"1504 W. Commonwealth Ave., Fullerton, CA 92833",None,"Stephen Cook, Brown Rudnick, LLP, 949-752-7100; scook@brownrudnick.com",Nov. 2016 (Discovered Aug 2017),11/6/2017,11/1/2016,,8/1/2017,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",4
North American Title Company,"760 Northwest 107th Avenue, Suite 400, Miami, FL 33172",None,"Eric Packel, Baker & Hostetler LLP, 215-564-3031; epackel@bakerlaw.com",6/27/2017,11/3/2017,6/27/2017,,,Name or other personal identifier in combination with SSN,2
"Tween Brands, Inc.","8323 Walton Parkway, New Albany, OH 43054",None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",Discovered 9/7/17,11/3/2017,,,9/7/2017,Name or other personal identifier in combination with SSN,399
"Wilbraham, Lawler & Buba, ",,Brady L Green,"Christopher Nucifora, Esq., Kaufman, Dolowich & Voluck, LLP; 201-708-8207",On or about 9/19/17,11/3/2017,9/19/2017,,,"Name, SSN, address, medical info, employment info, driver's license info, settlement documentation and date of birth",Not specified
Rain Bird Corporation,"970 West Sierra Madre Ave., Azusa, CA 91702",None,"Erin Locker, Norton Rose Fulbright US LLP; 303-801-2738; erin.locker@nortonrosefulbright.com",8/25/17-9/15/17,11/1/2017,8/25/2017,9/15/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",5
"Southern National Bancorp of Virginia, Inc., d/b/a Sonabank","10900 Nuckols Road, Suite 325, Glen Allen, VA 23060","Cody Sheflett, 703-777-2424; cody.sheflett@sonabank.com",N/A,6/24/17-8/26/17,10/31/2017,6/24/2017,8/26/2017,,"Name or other personal identifier in combination withSSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",7
"Home Box Office, Inc.","1100 Avenue of the Americas, New York, NY 10036",None,"Jonathan Cedarbaum, WilmerHale LLP; 202-663-6315; ",5/15/17-7/26/17 (Discovered 7/23/17),10/30/2017,5/15/2017,7/26/2017,7/23/2017,"Name or other personal identifier in combination withSSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",Fewer than 10
"Interstate Plastics, Inc.","3299 Ramos Circle, Sacramento, CA 95827","Stephen Sowinski, 888-768-5759, stephen.s@interstateplastics.com",N/A,5/29/17-8/25/17,10/25/2017,5/29/2017,8/25/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the accoun",16
Advisory Research,"180 North Stentson Avenue, Suite 5500, Chicago, IL 60601",None,"Edward McNicholas, Eidley Austin LLP, 1501 K. Street, N.W., Washington, DC 20005",Discovered 10/11/17,10/24/2017,,,10/11/2017,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
US Cellular Corp,"8410 W Bryn Mawr, Chicago, IL 60631","Barbara Kern, Privacy and Sr. Counsel, 773-399-4109; barbara.kern@uscellular.com",N/A,Update to 6/27/17 breach notice,10/24/2017,,,,ACH infor including bank account numbers and routing numbers may have also been exposed,Additional 29 customers 
"LightHouse Management Services, LLC d/b/a Home Properties","300 Clinton Square, Rochester, NY 14606",None,"James Prendergast, Mullen Coughline LLC; 267-930-4798; jprendergast@mullen.law",7/19/17-7/26/17,10/20/2017,7/19/2017,7/26/2017,,Name or other personal identifier in combination with SSN,1
"Whole Foods Market Services, Inc.","550 Bowie Street, Austin, TX 78703",None,"Theodore Kobus, Baker & Hostetler LLP, 212-271-1504; tkobus@bakerlaw.com",3/10/2017-9/28/17,10/20/2017,3/10/2017,9/28/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",Not specified 
College of theHoly Cross,"1 College Street, Worcester, MA 01610","David Shettler, ISO, 508-793-3073; dshettle@hollycross.edu",N/A,9/22/2017,10/20/2017,9/22/2017,,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,1
C&K Properties d/b/a Corsetti's,"125 Bridgton Road, Westbrook, ME 04092","Kristi Sarchi, Owner, 207-272-5799; kristi@corsettis.com",N/A,5/2017-9/2017,10/19/2017,5/1/2017,9/1/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",Unknown (less than 1000)
Atlantis Paradise Island,,None,"Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com","September, 2017",10/19/2017,9/1/2017,,,Discover card account may have been compromised,2
Innoas Inc.,,None,"Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com","September, 2017",10/19/2017,9/1/2017,,,Discover card account may have been compromised,1
Villa JTM 10 Internet Sales,,None,"Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com","September, 2017",10/19/2017,9/1/2017,,,Discover card account may have been compromised,1
Walk in the Word-E Com,,None,"Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com","September, 2017",10/19/2017,9/1/2017,,,Discover card account may have been compromised,6
Way.com,,None,"Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com","September, 2017",10/19/2017,9/1/2017,,,Discover card account may have been compromised,43
"CCI Holdings, Inc. d/b/a Coin Cafe","240 Kent Ave, Brooklyn, NY 11249",None,"Laura Jehl, Sheppard Mullin Richter & Hampton, 202-747-1922; ljehl@sheppardmullin.com",4/11/2014,10/18/2017,4/11/2014,,,Name or other personal identifier in combination with Driver's license number or non-driver identification card number.,5
"International Council of Shopping Centers (""ICSC"") - Update",,None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",9/15/2017,10/16/2017,9/15/2017,,,Notice letters were addressed to the individual who placed the order on ICSC's website rather than the cardolder.,4
"BMT Designers & Planners, Inc","4401 Ford Avenue, Suite 1000, Alexandria, VA 22302",None,"Veronica Jackson, Miles & Stockbridge, P.C.; 410-385-3499; vjackson@milesstockbridge.com",Approx. Feb 2016,10/16/2017,2/1/2016,,,Name or other personal identifier in combination with SSN,8
"Pizza Hut, LLC","7100 Corporate Drive, Plano, TX 75024",None,"Brian Hengesbaugh, Baker McKenzie LLP; 312-861-3077; Brian.Hengesbaugh@bakermckenzie.com",10/1/17-10/2/17,10/16/2017,10/1/2017,10/2/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",38
Spark Pay Online (firner subsidiary of Capital One),,"Christopher Peak, VP, Chief Counse, Int'l & Small Business, Capital One; 301-718-6800",N/A,3/10/17 - 6/7/17,10/16/2017,3/10/2017,6/7/2017,,"Name, address, phone number, email address, payment card number, expiration date, and CVV code",147
"West Music Company, Inc.","1212 5th Street, Coralville, IA 52241",None,"Lindsay Nickle, Wilson Elser, 55 West Monroe Street, Suite 3800, 60603: 312-704-0550; Lindsay.Nickle@wilsonelser.com",7/21/17-8/9/17,10/13/2017,7/21/2017,8/9/2017,,"Name, address, email address and credit or debit card information",2
"International Council of Shopping Centers (""ICSC"")",,None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",Update to the 9/15/17 Notice,10/16/2017,,,,Notice of original notice was sent to the person who placed the order instead of the actual cardholder.  The letters were mailed 10/16/17 to card holders.,4
"PressureParts, Inc.","7820 L. Street, Omaha, NE 68127",None,"Andreas T. Kaltsounis, Baker & Hostetler LLP; 206-566-7080; akaltsounis@bakerlaw.com",9/13/17-9/15/17,10/13/2017,9/13/2017,9/15/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
"Provo Craft & Novelty, Inc., d/b/a Cricut","10855 South River Front Parkway #400, South Jordan, Utah 84095",None,"Kim Phan, Ballard Spahr LLP, 202-661-2286; phank@ballardspahr.com",5/27/2017,10/12/2017,5/27/2017,,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",119
Hyatt Hotels Corp,"71 South Wacker Drive, 12th Floor, Chicago, IL 60606",None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",3/18/17-7/2/17,10/12/2017,3/18/2017,7/2/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",19
"Equifax, Inc.","1550 Peachtree Street, N.E., Atlanta,GA 30309",None,"Phyllis B. Sumner, Esq., King & Spalding, 404-572-4799; psumner@kslaw.com",5/13/17-7/30/17,10/12/2017,5/13/2017,7/30/2017,,Name or other personal identifier in combination with SSN & Driver's license number or non-driver identification card number.,"536,436 approx"
Universal Nutrition,"3 Terminal Road, New Brunswick, NJ, 08901",None,"Fernando Pinguelo, Esq., Scarinci Hollenbeck LLC, 32-780-5590; fpinguelo@sh-law.com",Early May 2017,10/11/2017,Early Mid 2017,,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",3
Droege Computing Services,"20 West Colony Place, Durham, NC 27705","Thomas Droege, President, 919-403-9459; tldroege@mindspring,.com",N/A,9/26/2017,10/10/2017,9/26/2017,,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",26
"Atlantic Cigar Company, LLC","3 Horne Drive, Suite 102, Folcroft, PA 19032",None,"Amy Mushahwar, Davis Wright Tremaine LLP, 202-973-4263; amymushahwar@dwt.com",7/21-9/9/17,10/10/2017,7/21/2017,9/9/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",8
"Phillips & Temro Industries, Inc.","9700 West 74th Street, Eden Prairie, MN 55344",None,"Janine Suing, Director of HR, 952-918-8722; janine.suing@phillipsandtemro.com",3/17-7/17,10/9/2017,3/1/2017,7/17/2019,,Name or other personal identifier in combination with SSN,1
ABC Carpet & Home,,None,"Melissa K. Ventrone, Thompson Coburn LLP, 55 East Monroe Street, 37th Floor, Chicago, IL 60603; 312-580-2219; MVentrone@ThompsonCoburn.com",1/2/17-8/9/17,10/9/2017,1/2/2017,8/9/2017,,"Name, address, phone number, email address, credit card or debit card numbers, exp dates and security numbers",9
Kayser-Roth Corporation,"102 Corporate Center Blvd, Greensboro, NC 27408",None,"Marc C. Tucker, Smith Moore Leatherwood LLP, 919-755-8713; marc.tucker@smithmoorelaw.com",7/1/17-8/9/17,10/9/2017,7/1/2017,8/9/2017,,"Name, address, email address, payment card information and verification codes.",31
Catholic United Financial,,None,"David Axtell, Stinson Leonard. Street. 612-335-7247' david.axtell@stinson.com","7/31, 8/26, 8/27/ 8/28 and as early as 11/12/16",10/6/2017,"7/31, 8/26, 8/27/ 8/28 and as Early as 11/12/16",,,Personally identifiable information,30
"Tommie Copper, Inc.","74 South Moger Avenue, Mount Kisco, NY 10549",None,"James Prendergast, Mullen Coughlin LLC; 267-930-4798; jprendergast@mullen.law",4/25/17-8/29/17,10/6/2017,4/25/2017,8/29/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",167
Navy Federal Credit Union,,None,"Paul M. Tiao, Hunton & Williams LLP, 202-955-1618; ptiao@hunton.com",Dec of 2014 to Dec of 2016,10/6/2017,12/1/2014,Dec of 2016,,"Name, SSN, birthdate, address, email address, account number, code work, and phone number",Approx. 3
Avanti Markets Inc. (Update),,None,"Joseph Lazzarotti, Jackson Lewis, PC, 220 Headquarters Plaza, East Tower, 7th Floor, Morristown, NJ 07960; 973-538-6890",(Discovered 7/4/17),10/5/2017,,,7/4/2017,No names or addresses ,Potentially 759 who used kiosks in Maine during the at risk period 
Cabrillo Community College District,"6500 Soquel Drive, Aptos, CA 95003",None,"Paulette Thomas, Baker Hostetler LLP, 513-929-3483; pmthomas @bakerlaw.com",9/4/17-9/5/17,10/5/2017,9/4/2017,9/5/2017,,Name or other personal identifier in combination with SSN,1
"McNair & Company, Inc.","1313 Dolley Madison Blvd, Suite 309, McLean, VA 22101",None,"David Kitchen, Baker & Hostetler, LLP, 216-861-7060; dkitchen@bakerlaw.com",8/17/2017,10/5/2017,8/17/2017,,,Name or other personal identifier in combination with SSN,1
Neue Galerie,"1048 5th Avenue, New York, NY 10028",None,"Jennifer A. Coughlin, Mullen Coughlin, LLC, 267-930-4774",12/5/13-8/26/17,10/5/2017,12/5/2013,8/26/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
Lake Champlain Chocolates,"750 Pine Street, Burlington, VT 05401","Jim Lampman, Founder and CEO; 800-465-5909",N/A,Discovered 9/15/17,10/5/2017,,,9/15/2017,"Name, address, email address and credit or debit card information",Not specified.
SONIC Corp,"300 Johnny Bench Drive, Oklahoma City, OK 73104",None,"Kari Rollins, Sheppard Mullin, Richter & Hampton, LLP; 212-634-3077; karollins@sheppardmullin.com",Discovered 9/30/17,10/4/2017,,,9/30/2017,Name or other personal identifier in combination with credit and debit card numbers,States N/A
FlexShopper,,None,"Gregory Bautista, Wilson Elser Moskowitz Edelman  Dicker, LLP; 914-872-7839; Gregory.Bautista@wilsonelser.com",Discovered 8/30/17,10/3/2017,,,8/30/2017,"Name, email address, password, address, phone number, birthdate, SSN, employment info, self-reported income, bank account info and/or payment card info",713
"Yahoo, Inc. (update)",,None,"Lisa Sotto, Hunton & Williams, 200 Park Ave, 200 Park Ave., NY, NY 10166; 212-309-1223; Lsotto@hunton.com",August of 2013,10/3/2017,8/1/2013,,,See prior notice in Dec 2016,"Additional 388,562 Maine user accounts"
"Alpha Industries, Inc","14200 Park Meadow Drive, Ste 110S, Chantilly, VA 20151","Stephanie Cohen, Sr. Manager, E-commerce & Marketing, 703-378-1420 x138; stephanie@alphaindustries.com",N/A,7/6/17-8/9/17,10/2/2017,7/6/2017,8/9/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
The Online Traffic School,"225 East Robinson Street, Suite 570, Orlando, FL 32801",None,"Patrick Haggerty, Baker Hostetler, 513-929-3412; phaggerty@bakerlaw.com",6/20/14 (discovered 7/26/17),9/29/2017,6/20/2014,,7/26/2017,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",53
Briggs & Stratton Corp,"12301 West Wirth Street, Wauwatosa, WI 53222",None,"Jennifer Rathburn, Foley & Lardner LLP; 414-297-5864; jrathburn@foley.com ",7/25/17-7/28/17,9/29/2017,7/25/2017,7/28/2017,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number ",1
Cheddar's Cashual Cafe Inc.,"2900 Ranch Trail, Irving, TX 75063",None,"Charlie Wood, Hogan Lovells, Columbia Square, 555 Therteenth Street, NW, Washiington, DC 20004; 202-637-8832; charlie.wood@hoganlovells.com",7/21/2017,9/29/2017,7/21/2017,,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",19
"Lendio, Inc.","10235 South Jordan Parkway, Suite 410, South Jordan, Utah 84095","Ethan Hanson, Corp. Counsel; 801-858-3322; Ethan.Hanson@Lendio.com",N/A,May of 2017,9/26/2017,5/1/2017,,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
Century LLC,"1000 Century Blvd, Oklahoma City, Oklahoma 73110","Mike Maloney, VP, Info Tech, 405-426-4281; mmaloney@centurymartialarts.com",N/A,17-Jul,9/25/2017,7/1/2017,,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",10
 ,,None,"David Kitchen, Baker & Hostetler, LLP, 216-861-7060; dkitchen@bakerlaw.com",7/4-7/6/17,9/22/2017,7/4/2017,7/6/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2
"Plow & Hearth, LLC","7021 Wolftown-Hood Road, Madison, VA 22727: 540-948-2272","Leslie Newton, COO,  lnewton@plowandhearth.com",N/A,7/22/17 - 8/9/17,9/22/2017,7/22/2017,8/9/2017,,"Name, address, phone number, payment card number, expiration date and CVV code",90
"NCI Group, Inc.","10943 North Sam Houston Parkway West, Houston, TX 77064",None,"William R. Daugherty, Baker & Hostetler, LLP, 713-646-1321; wdaugherty@bakerlaw.com",8/8/2017,9/22/2017,8/8/2017,,,"Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",3
Sprint Corporation,"12512 Sunrise Valley Dr. Reston, VA 20191","Sheila Dedeaux, Assoc Head of Privacy, 703-433-8411; Sheila.dedeaux@sprint.com",N/A,5/7/17-7/22/17,9/20/2017,5/7/2017,7/22/2017,,"Phone numbers, PINs and/or security questions associated with the phone numbers",2
"W.W. Grainger, Inc.","100 Grainger Parkway, Lake Forest, IL 60045",None,"Emily Tabatabai, Orrick Herrington & Sutcliffe, 202-339-8698; etabatabai@orrick.com",8/23/2017,9/19/2017,8/23/2017,,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,54
"AM2 Enterprises, LLC",,None,"Chris Cwalina, Holland and Knight LLP, 202-469-5230; chris.cwalina@hklaw.com",Discovered 7/31/17,9/19/2017,,,7/31/2017,Name or other personal identifier in combination with SSN,60
TRUEbenefits LLC,"1215 4th Ave, Suite 2200; Seattle, WA 98161",None,"Randal Gainer, Baker & Hostetler LLP, 206-332-1381; rgainer@bakerlaw.com",5/18/2017,9/18/2017,5/18/2017,,,Name or other personal identifier in combination with SSN,8
"Bulletproof 360, Inc.","1750 112th Avenue NE Suite C-242, Bellevue, WA 98004 (email)",None,"Randal Gainer, Baker & Hostetler LLP, 206-332-1381; rgainer@bakerlaw.com",10/26/16-5/30/17; 8/28/17-9/5/17,9/15/2017,"10/26/16, 8/28/17","5/30/17, 9/5/17",,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",122
The International Council of Shopping Centers,"1221 Avenue of the Americas, 41st floor, New York, NY 10020",None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",3/24/17-08/18/17,9/15/2017,3/24/2017,8/18/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",15
Brambles USA Inc.,"180 Technology Parkway, Suite 600, Norcross, GA 30092",None,"Jon Neiditz, Kilpatrick, Townsend & Stockton, LLP; 404-815-6004; jneiditz@kilpatricktownsend.com",8/14/2017,9/15/2017,8/14/2017,,,Name or other pesonal  identifier in combination with SSN,2
AMERICAN QUILTERS SOCIETY,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,3
Chipolte,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,9
Commercial Industrial Supply,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,1
"Fairfield Mint, LLC",,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,5
Framesbymail,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,1
Halocigs,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,7
Insect lore,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,2
Magills GV Glockstore,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,8
MSG - Concessions,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,2
