Company Name,clean_name,Company Type,D-U-N-S@ Number,Manufacturing Indicator,Subsidiary Status,Year of Founding,Location Type,Physical State,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1)
PINE MANOR COLLEGE,Pine Manor College,Private,07-536-9066,Manufacturer,Non-Subsidiary,1911,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",,,,,82210101,"College, except junior","$21,021,848 ",250,249,"$21,021,848 "
AMERICAN BARCODE & RFID INC,American Barcode and RFID Inc,Private,01-655-6164,Manufacturer,Non-Subsidiary,1980,Single Location,ARIZONA,423710,Hardware Merchant Wholesalers,,,,,50720000,Hardware,"$20,000,000 ",40,40,"$20,000,000 "
SYDA FOUNDATION,SYDA Foundation,Private,08-463-7214,Manufacturer,Non-Subsidiary,1974,Headquarters,NEW YORK,813110,Religious Organizations,,,,,86610121,Miscellaneous denomination church,"$19,808,032 ",500,6,"$19,808,032 "
"ASSURITY FINANCIAL SERVICES, LLC",Assurity Financial Services LLC,Private,10-834-7423,Manufacturer,Non-Subsidiary,0,Single Location,COLORADO,522390,Other Activities Related to Credit Intermediation,,,,,61620000,Mortgage bankers and loan correspondents,"$19,113,035 ",250,150,"$19,113,035 "
BAY STATE SAVINGS BANK,Bay State Savings Bank,Private,00-695-6668,Manufacturer,Subsidiary,1895,Headquarters,MASSACHUSETTS,522110,Commercial Banking,,,,,60229901,"State trust companies accepting deposits, commercial","$17,534,000 ",65,35,"$16,230,000 "
NIELSEN MOBILE LLC,Nielsen Mobile,Private,09-013-6123,Manufacturer,Subsidiary,2000,Headquarters,CALIFORNIA,561990,All Other Support Services,541910,"""Marketing Research and Public Opinion Polling""",8732,"""Commercial nonphysical research""",73890200,Inspection and testing services,"$14,076,527 ",260,180,"$16,820,659 "
"MORTGAGE NETWORK, INC.",Mortgage Network Inc,Private,60-394-6310,Manufacturer,Non-Subsidiary,1988,Headquarters,MASSACHUSETTS,522292,Real Estate Credit,,,,,61629903,Mortgage bankers,"$13,021,662 ",26,16,"$14,274,072 "
THE DENTAL NETWORK INC,The Dental Network,Private,83-467-2693,Manufacturer,Non-Subsidiary,1993,Single Location,MARYLAND,524114,Direct Health and Medical Insurance Carriers,,,,,63249901,Dental insurance,"$12,394,510 ",33,33,"$12,394,510 "
THE CONNECTING LINK LLC,The Connecting Link,Private,55-631-4201,Manufacturer,Non-Subsidiary,0,Single Location,CALIFORNIA,611710,Educational Support Services,,,,,87489902,Educational consultant,"$10,611,922 ",35,35,"$10,611,922 "
SHERIDAN STATE BANK,Sheridan State Bank,Private,13-616-8630,Manufacturer,Non-Subsidiary,0,Single Location,WYOMING,522110,Commercial Banking,,,,,60210000,National commercial banks,"$10,254,000 ",35,35,"$10,254,000 "
"STOCK & OPTION SOLUTIONS, INC.",Stock Options Solutions,Private,03-862-9858,Manufacturer,Non-Subsidiary,1999,Single Location,CALIFORNIA,541611,Administrative Management and General Management Consulting Services,541611,"""Administrative Management and General Management Consulting Services """,8742,"""Management consulting services""",87429908,Financial consultant,"$9,391,012 ",85,85,"$10,434,458 "
XLIBRIS CORPORATION,Xlibris Corp,Private,08-261-8617,Non Manufacturer,Subsidiary,1999,Single Location,INDIANA,511130,Book Publishers,,,,,27310000,Book publishing,"$8,315,878 ",99,99,"$8,527,058 "
MERRIMACK MORTGAGE COMPANY INC.,Merrimack Mortgage Company LLC,Private,78-551-8390,Manufacturer,Subsidiary,1983,Headquarters,NEW HAMPSHIRE,522292,Real Estate Credit,,,,,61629901,Bond and mortgage companies,"$8,138,078 ",23,12,"$8,035,641 "
"UNITED CEREBRAL PALSY ASSOCIATION OF METROBOSTON, INC.",Union County,Private,06-778-5626,Manufacturer,Non-Subsidiary,1978,Headquarters,MASSACHUSETTS,624120,Services for the Elderly and Persons with Disabilities,,,,,83220701,Association for the handicapped,"$7,800,113 ",125,125,"$8,148,666 "
BARRE SAVINGS BANK,Barre Savings Bank,Private,01-975-9448,Manufacturer,Non-Subsidiary,0,Single Location,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$6,229,000 ",25,20,"$6,229,000 "
PHILIPS LIGHTING COMPANY,Philips Lighting Company,Private,62-461-6207,Manufacturer,Non-Subsidiary,0,Single Location,CALIFORNIA,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,,,,50630401,Light bulbs and related supplies,"$5,900,000 ",26,26,"$5,900,000 "
TERRITORY MORTGAGE INC,Territory Mortgage,Private,15-974-5660,Manufacturer,Non-Subsidiary,1995,Headquarters,NEW YORK,522310,Mortgage and Nonmortgage Loan Brokers,,,,,61639904,"Mortgage brokers arranging for loans, using money of others","$5,402,764 ",40,14,"$4,911,604 "
STATE FARM INSURANCE CO,State Farm Insurance Co,Private,84-976-3610,Manufacturer,Non-Subsidiary,0,Single Location,CALIFORNIA,524292,Third Party Administration of Insurance and Pension Funds,,,,,64119904,"Insurance claim processing, except medical","$5,200,000 ",50,50,"$5,200,000 "
T ROWE PRICE INVESTMENT SERVICES INC,T. Rowe Price Services Inc,Private,36-186-3681,Manufacturer,Subsidiary,1980,Single Location,MARYLAND,525910,Open-End Investment Funds,,,,,67229901,Money market mutual funds,"$4,857,000 ",33,33,"$4,857,000 "
"PSS WORLD MEDICAL, INC.",PSS World Medical Inc,Private,12-850-8988,Manufacturer,Non-Subsidiary,0,Branch,NEBRASKA,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,,,,50470107,Physician equipment and supplies,"$4,600,000 ",0,30,$0 
NACCO MATERIALS HANDLING GROUP INC,NACCO Materials Handling Group Inc,Private,04-364-3501,Manufacturer,Non-Subsidiary,0,Single Location,CALIFORNIA,423830,Industrial Machinery and Equipment Merchant Wholesalers,,,,,50840800,Materials handling machinery,"$4,500,000 ",0,25,$0 
"TARGET FINANCIAL AND INSURANCE SERVICES, INC.",Target Financial Services,Private,12-779-6352,Manufacturer,Non-Subsidiary,1996,Single Location,CALIFORNIA,524210,Insurance Agencies and Brokerages,,,,,64110301,"Insurance agents, nec","$4,249,193 ",30,30,"$4,721,326 "
"ZYACORP, INC.",Zyacorp,Private,07-834-0398,Manufacturer,Non-Subsidiary,2011,Single Location,NEW HAMPSHIRE,512131,Motion Picture Theaters (except Drive-Ins),,,,,78320000,"Motion picture theaters, except drive-in","$3,600,780 ",250,250,"$3,273,436 "
MBSC SECURITIES CORPORATION,MBSC Securities Corp,Private,01-599-5839,Manufacturer,Non-Subsidiary,0,Single Location,NEW YORK,561612,Security Guards and Patrol Services,,,,,73810100,Guard services,"$2,900,000 ",127,127,"$2,900,000 "
"STARWOOD HOTELS & RESORTS WORLDWIDE, INC.",Starwood Hotels & Resorts Worldwide Inc,Private,09-703-2812,Manufacturer,Non-Subsidiary,0,Branch,PENNSYLVANIA,721110,Hotels (except Casino Hotels) and Motels,,,,,70110000,Hotels and motels,"$2,600,000 ",0,70,$0 
OMNI AMERICAN BANK,Omni American Bank,Private,03-064-4963,Manufacturer,Non-Subsidiary,2012,Single Location,TEXAS,522120,Savings Institutions,,,,,60360000,"Savings institutions, except federal","$2,494,423 ",9,9,"$2,771,581 "
"BATTERIES.COM, LLC",Batteries.com LLC,Private,14-657-4780,Manufacturer,Non-Subsidiary,1999,Single Location,INDIANA,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,,,,50630600,Batteries,"$1,967,085 ",12,12,"$1,967,085 "
NATIONAL ASSOCIATION OF CHAIN DRUG STORES FOUNDATION,National Association of Chain Drug Stores Foundation,Private,07-874-2925,Manufacturer,Non-Subsidiary,1974,Single Location,VIRGINIA,813920,Professional Organizations,,,,,86210100,Medical field-related associations,"$1,924,697 ",1,1,"$1,783,498 "
UNITED BANK OF IDAHO,United Bank of Idaho,Private,79-560-5646,Manufacturer,Non-Subsidiary,0,Single Location,IDAHO,522110,Commercial Banking,,,,,60220000,State commercial banks,"$1,792,000 ",0,0,"$1,792,000 "
ALPHA SOFTWARE INC,Alpha Software Inc,Private,04-647-4813,Manufacturer,Non-Subsidiary,1982,Single Location,MASSACHUSETTS,541511,Custom Computer Programming Services,,,,,73710301,Computer software development,"$1,434,167 ",10,10,"$1,434,167 "
TELE ATLAS,Teachers Insurance and Annuity Association of America-College Retirement Equities Fund,Private,78-706-7219,Manufacturer,Non-Subsidiary,2006,Single Location,MASSACHUSETTS,541370,Surveying and Mapping (except Geophysical) Services,,,,,73890802,Photogrammatic mapping,"$1,300,000 ",30,30,"$1,600,000 "
SYMANTEC CORPORATION,Symantec Corp,Private,11-359-0637,Manufacturer,Non-Subsidiary,0,Branch,CALIFORNIA,517311,Wired Telecommunications Carriers,,,,,48130202,Internet host services,"$1,100,000 ",0,10,$0 
"ZHONE TECHNOLOGIES, INC.",Zhone Technologies Inc,Private,08-046-9028,Non Manufacturer,Non-Subsidiary,2016,Single Location,FLORIDA,334210,Telephone Apparatus Manufacturing,,,,,36619908,Fiber optics communications equipment,"$1,031,053 ",10,10,"$1,031,053 "
WALNUT STREET SECURITIES INC,Walnut Street Securities,Private,96-760-2830,Manufacturer,Non-Subsidiary,0,Single Location,MISSISSIPPI,524210,Insurance Agencies and Brokerages,,,,,64110000,"Insurance agents, brokers, and service","$920,000 ",8,8,"$920,000 "
US FOODSERVICE INC.,US Foodservice Inc,Private,03-270-3527,Manufacturer,Non-Subsidiary,2000,Single Location,TENNESSEE,424410,General Line Grocery Merchant Wholesalers,,,,,51419901,Food brokers,"$588,525 ",5,5,"$535,023 "
ASPIRANT EDUCATION INC,Aspirant Education Inc,Private,19-433-2479,Manufacturer,Non-Subsidiary,2005,Single Location,MASSACHUSETTS,611110,Elementary and Secondary Schools,,,,,82110206,Private elementary school,"$498,070 ",11,11,"$498,070 "
TPC LAS VEGAS,TPC Las Vegas ,Private,10-467-6708,Manufacturer,Non-Subsidiary,2017,Single Location,NEVADA,713910,Golf Courses and Country Clubs,,,,,79920000,Public golf courses,"$481,309 ",10,10,"$103,905 "
MASSACHUSETTS TEACHERS' RETIREMENT SYSTEM,Massachusetts Teachers' Retirement Association,Private,03-707-3238,Manufacturer,Non-Subsidiary,1914,Headquarters,MASSACHUSETTS,624120,Services for the Elderly and Persons with Disabilities,,,,,83220103,Senior citizens' center or association,"$440,224 ",9,4,"$94,000 "
"STRYKER INSTRUMENTS, INC",Strategic Workforce Solutions,Private,94-962-0421,Manufacturer,Non-Subsidiary,0,Single Location,MASSACHUSETTS,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,,,,50470300,Medical equipment and supplies,"$430,000 ",3,3,"$430,000 "
WINSTON-SALEM STATE UNIVERSITY,Winston-Salem State University,Private,08-876-6566,Manufacturer,Non-Subsidiary,2017,Single Location,NORTH CAROLINA,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$304,607 ",9,9,"$304,607 "
"ALIX PARTNERS, LLP",Alix Partners LLP,Private,05-816-9956,Manufacturer,Non-Subsidiary,2010,Single Location,TENNESSEE,541110,Offices of Lawyers,,,,,81119901,"General practice attorney, lawyer","$249,417 ",5,5,"$249,417 "
ASHFORD TRS SAPPHIRE V LLC,Ashford TRS Sapphire V LLC,Private,07-971-8798,Manufacturer,Non-Subsidiary,2007,Single Location,FLORIDA,721110,Hotels (except Casino Hotels) and Motels,,,,,70110000,Hotels and motels,"$193,232 ",2,2,"$193,232 "
RE MOULTON INC,RE Moulton Inc,Private,15-372-9673,Manufacturer,Non-Subsidiary,2004,Single Location,MASSACHUSETTS,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",,,,,63990000,"Insurance carriers, nec","$180,000 ",2,2,"$180,000 "
PURDUE PHARMA LP,Purdue Pharma LP,Private,03-704-2246,Manufacturer,Non-Subsidiary,2010,Single Location,DISTRICT OF COLUMBIA,621112,"Offices of Physicians, Mental Health Specialists",,,,,80110200,Medical centers,"$170,000 ",3,3,"$170,000 "
PATTERN RECOGNITION MANAG,Pattern Recognition Management Inc,Private,01-247-9213,Manufacturer,Non-Subsidiary,1998,Single Location,MICHIGAN,523120,Securities Brokerage,,,,,62110000,Security brokers and dealers,"$150,000 ",2,2,"$150,000 "
NEW ENGLAND REHABILITATION HOSPITAL INC,New England Rehabilitation Hospital,Private,93-073-4884,Manufacturer,Non-Subsidiary,0,Single Location,MASSACHUSETTS,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",,,,,80490201,Physiotherapist,"$140,000 ",3,3,$0 
AVIVA USA,Aviva USA,Private,06-015-9127,Manufacturer,Non-Subsidiary,2011,Single Location,TEXAS,525990,Other Financial Vehicles,,,,,67260000,"Investment offices, nec","$130,000 ",2,2,"$130,000 "
QUIXTAR INC,Quixtar Inc,Private,12-465-7839,Manufacturer,Non-Subsidiary,2002,Single Location,ILLINOIS,452319,All Other General Merchandise Stores,,,,,53990000,Miscellaneous general merchandise,"$130,000 ",2,2,"$130,000 "
USAA BROKERAGE SERVICES,USAA Brokerage Services,Private,01-022-3835,Manufacturer,Non-Subsidiary,0,Single Location,TEXAS,561110,Office Administrative Services,,,,,87410000,Management services,"$110,000 ",2,2,"$110,000 "
SWANSEA DENTAL PROPERTIES LLC,Swansea Dental Associates,Private,03-881-1895,Manufacturer,Non-Subsidiary,2016,Single Location,SOUTH CAROLINA,621210,Offices of Dentists,,,,,80210201,Dental clinic,"$61,514 ",4,4,"$61,514 "
REHABILITATION HOSPITAL OF THE CAPE & ISLANDS CORPORATION,Regeneron Pharmaceuticals Inc,Private,01-116-2428,Manufacturer,Non-Subsidiary,0,Branch,MASSACHUSETTS,623110,Nursing Care Facilities (Skilled Nursing Facilities),,,,,80529902,Personal care facility,$0 ,0,43,$0 
RH DONNELLEY INC,RH Donnelley Inc,Private,02-092-9046,Manufacturer,Non-Subsidiary,0,Single Location,ILLINOIS,999990,,,,,,99992222,"Duns Support Record, nonclassifiable establishment",$0 ,0,0,$0 
WOLTERS KLUWER NV,Wolters Kluwer NV,Private,06-825-1199,Manufacturer,Non-Subsidiary,2013,Single Location,CONNECTICUT,999990,,,,,,99992222,"Duns Support Record, nonclassifiable establishment",$0 ,0,0,$0 
JPMORGAN CHASE & CO.,JPMorgan Chase & Co,Public,04-767-5947,Manufacturer,Non-Subsidiary,1968,Headquarters,NEW YORK,522110,Commercial Banking,"522110, 522291, 522390, 523120","""Commercial Banking "", ""Consumer Lending "", ""Other Activities Related to Credit Intermediation "", ""Securities Brokerage ""","6021, 6141, 6162, 6211","""National commercial banks"", ""Personal credit institutions"", ""Mortgage bankers and correspondents"", ""Security brokers and dealers""",60210000,National commercial banks,"$142,422,000,000 ","256,981",141,"$131,412,000,000 "
THE BOEING COMPANY,Boeing Co,Public,00-925-6819,Non Manufacturer,Non-Subsidiary,1916,Headquarters,ILLINOIS,336411,Aircraft Manufacturing,"334220, 334511, 336411, 336413, 336414, 336415","""Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing"", ""Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing "", ""Aircraft Manufacturing "", ""Other Aircraft Parts and Auxiliary Equipment Manufacturing "", ""Guided Missile and Space Vehicle Manufacturing "", ""Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ""","3663, 3721, 3728, 3761, 3764, 3812","""Radio & TV communications equipment"", ""Aircraft"", ""Aircraft parts and equipment, nec"", ""Guided missiles and space vehicles"", ""Space propulsion units and parts"", ""Search and navigation equipment""",37210101,"Airplanes, fixed or rotary wing","$76,559,000,000 ","161,100",210,"$101,127,000,000 "
"METLIFE, INC.",Methodist Theological School in Ohio,Public,11-215-8568,Manufacturer,Non-Subsidiary,1863,Headquarters,NEW YORK,524113,Direct Life Insurance Carriers,"524113, 524114, 524126","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers ""","6311, 6321, 6331","""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance""",63119906,Life insurance carriers,"$69,620,000,000 ","49,000",16,"$67,941,000,000 "
HUMANA INC.,HSBC Retail Services,Public,04-994-4143,Manufacturer,Non-Subsidiary,1961,Headquarters,KENTUCKY,524114,Direct Health and Medical Insurance Carriers,"524114, 524292","""Direct Health and Medical Insurance Carriers "", ""Third Party Administration of Insurance and Pension Funds ""","6321, 6324, 6411","""Accident and health insurance"", ""Hospital and medical service plans"", ""Insurance agents, brokers, & service""",63210102,Health insurance carriers,"$64,888,000,000 ","43,600",57,"$56,912,000,000 "
LOCKHEED MARTIN CORPORATION,Lockheed Martin Corp,Public,83-495-1691,Non Manufacturer,Non-Subsidiary,1995,Headquarters,MARYLAND,336414,Guided Missile and Space Vehicle Manufacturing,"334220, 334511, 336411, 336413, 336414, 336415","""Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing"", ""Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing "", ""Aircraft Manufacturing "", ""Other Aircraft Parts and Auxiliary Equipment Manufacturing "", ""Guided Missile and Space Vehicle Manufacturing "", ""Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ""","3663, 3721, 3728, 3761, 3764, 3812","""Radio & TV communications equipment"", ""Aircraft"", ""Aircraft parts and equipment, nec"", ""Guided missiles and space vehicles"", ""Space propulsion units and parts"", ""Search and navigation equipment""",37619905,"Space vehicles, complete","$59,812,000,000 ","105,000",400,"$53,762,000,000 "
"BEST BUY CO., INC.",Best Buy Co Inc,Public,02-305-8159,Manufacturer,Non-Subsidiary,1966,Headquarters,MINNESOTA,443142,Electronics Stores,"337110, 443141, 443142","""Wood Kitchen Cabinet and Countertop Manufacturing"", ""Household Appliance Stores "", ""Electronics Stores ""","5712, 5722, 5731, 5734, 5735","""Furniture stores"", ""Household appliance stores"", ""Radio, TV, & electronic stores"", ""Computer and software stores"", ""Record & prerecorded tape stores""",57340000,Computer and software stores,"$43,638,000,000 ","125,000",102,"$42,879,000,000 "
"MACY'S, INC.","MA Department of Revenue, Office of the Commissioner",Public,00-698-7135,Manufacturer,Non-Subsidiary,1830,Headquarters,OHIO,452210,Department Stores,452210,"""Department Stores """,5311,"""Department stores""",53119902,"Department stores, non-discount","$25,331,000,000 ","130,000",650,"$25,739,000,000 "
OCCIDENTAL PETROLEUM CORPORATION,Occidental Petroleum Corp,Public,00-690-8354,Manufacturer,Non-Subsidiary,1920,Headquarters,TEXAS,211120,Crude Petroleum Extraction ,"211120, 213112","""Crude Petroleum Extraction "", ""Support Activities for Oil and Gas Operations ""","1311, 1382","""Crude petroleum and natural gas"", ""Oil and gas exploration services""",13110101,Crude petroleum production,"$21,232,000,000 ","11,000","1,000","$18,934,000,000 "
"NORDSTROM, INC.",Nix Check Cashing,Public,00-794-2915,Manufacturer,Non-Subsidiary,1901,Headquarters,WASHINGTON,448140,Family Clothing Stores,"448110, 448130, 448140, 448150, 448210, 454110","""Men's Clothing Stores "", ""Children's and Infants' Clothing Stores "", ""Family Clothing Stores "", ""Clothing Accessories Stores "", ""Shoe Stores "", ""Electronic Shopping and Mail-Order Houses ""","5611, 5632, 5641, 5651, 5661, 5961","""Men's & boys' clothing stores"", ""Women's accessory & specialty stores"", ""Children's and infants' wear stores"", ""Family clothing stores"", ""Shoe stores"", ""Catalog and mail-order houses""",56510000,Family clothing stores,"$15,132,000,000 ","68,000",97,"$15,860,000,000 "
"BLACKROCK, INC.",BlackRock Inc,Public,78-698-7052,Manufacturer,Non-Subsidiary,1988,Headquarters,NEW YORK,525910,Open-End Investment Funds,"523930, 525910","""Investment Advice "", ""Open-End Investment Funds ""","6282, 6722","""Investment advice"", ""Management investment, open-end""",67229901,Money market mutual funds,"$14,539,000,000 ","14,900",100,"$14,198,000,000 "
NEWS CORPORATION,News Corp,Public,07-882-6673,Non Manufacturer,Non-Subsidiary,2012,Headquarters,NEW YORK,511130,Book Publishers,"511110, 511130, 519190","""Newspaper Publishers "", ""Book Publishers "", ""All Other Information Services""","2711, 2731, 7375","""Newspapers"", ""Book publishing"", ""Information retrieval services""",27310000,Book publishing,"$10,074,000,000 ","28,000",133,"$9,024,000,000 "
"HENRY SCHEIN, INC.",Helen Grace Chocolates Inc,Public,01-243-0880,Manufacturer,Non-Subsidiary,1932,Headquarters,NEW YORK,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","423450, 424210, 511210","""Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers "", ""Drugs and Druggists' Sundries Merchant Wholesalers "", ""Software Publishers""","5047, 5122, 7372","""Medical and hospital equipment"", ""Drugs, proprietaries, and sundries"", ""Prepackaged software""",50470200,Dental equipment and supplies,"$9,985,803,000 ","22,000",700,"$13,201,995,000 "
HILTON WORLDWIDE HOLDINGS INC.,Hilton Worldwide Holding Inc,Public,07-913-2993,Manufacturer,Non-Subsidiary,1919,Headquarters,VIRGINIA,721110,Hotels (except Casino Hotels) and Motels,"533110, 721110","""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Hotels (except Casino Hotels) and Motels ""","6794, 7011","""Patent owners and lessors"", ""Hotels and motels""",70110300,Hotels,"$9,452,000,000 ","169,000",363,"$8,906,000,000 "
"COMPASS GROUP USA, INC.",Community College System of NH,Private,61-170-1327,Manufacturer,Subsidiary,1929,Headquarters,NORTH CAROLINA,722310,Food Service Contractors,"541611, 722310","""Administrative Management and General Management Consulting Services "", ""Food Service Contractors""","5812, 8742","""Eating places"", ""Management consulting services""",58129906,Contract food services,"$9,098,790,996 ","230,000","1,000","$11,181,485,775 "
"RAYMOND JAMES FINANCIAL, INC.",Raymond James Financial Inc,Public,07-759-2889,Manufacturer,Non-Subsidiary,1962,Headquarters,FLORIDA,523120,Securities Brokerage,523120,"""Securities Brokerage """,6211,"""Security brokers and dealers""",62110102,"Brokers, security","$8,023,000,000 ","14,200",230,"$7,475,821,000 "
"MOTOROLA SOLUTIONS, INC.",Motorola Inc,Public,00-132-5463,Non Manufacturer,Non-Subsidiary,1928,Headquarters,ILLINOIS,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"334210, 334220","""Telephone Apparatus Manufacturing"", ""Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing""","3661, 3663","""Telephone and telegraph apparatus"", ""Radio & TV communications equipment""",36630100,Radio broadcasting and communications equipment,"$7,887,000,000 ","17,000",225,"$7,343,000,000 "
"HSBC BANK USA, NATIONAL ASSOCIATION",HSBC,Private,82-587-1820,Manufacturer,Subsidiary,1990,Headquarters,VIRGINIA,522110,Commercial Banking,,,,,60290000,"Commercial banks, nec","$6,522,507,000 ",17,17,"$5,722,339,000 "
NAVY FEDERAL CREDIT UNION,Navy Federal Credit Union,Private,06-926-9975,Manufacturer,Non-Subsidiary,1933,Headquarters,VIRGINIA,522130,Credit Unions,522130,"""Credit Unions """,6061,"""Federal credit unions""",60610000,Federal credit unions,"$5,390,195,249 ","6,037","3,198","$4,632,749,447 "
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Bristol Savings Bank,Public,60-853-7960,Manufacturer,Non-Subsidiary,1962,Headquarters,NEW YORK,518210,"Data Processing, Hosting, and Related Services","511210, 518210","""Software Publishers"", ""Data Processing, Hosting, and Related Services""","7372, 7374","""Prepackaged software"", ""Data processing and preparation""",73740000,Data processing and preparation,"$4,362,200,000 ","11,000",148,"$4,329,900,000 "
EQUIFAX INC.,Enterprise Bank,Public,04-581-2369,Manufacturer,Non-Subsidiary,1899,Headquarters,GEORGIA,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","522320, 541910, 561110, 561450","""Financial Transactions Processing, Reserve, and Clearinghouse Activities "", ""Marketing Research and Public Opinion Polling"", ""Office Administrative Services"", ""Credit Bureaus""","7323, 7389, 8732, 8741","""Credit reporting services"", ""Business services, nec"", ""Commercial nonphysical research"", ""Management services""",73890900,Financial services,"$3,507,600,000 ","10,900",112,"$3,412,100,000 "
"CATALENT PHARMA SOLUTIONS, INC.",Catalent Pharma Solutions Inc,Private,79-643-6181,Non Manufacturer,Subsidiary,1989,Headquarters,NEW JERSEY,325412,Pharmaceutical Preparation Manufacturing,,,,,28340000,Pharmaceutical preparations,"$2,651,821,173 ","8,300",377,"$1,938,488,598 "
"FEDEX GROUND PACKAGE SYSTEM, INC.",FedEx Ground Package System Inc,Private,11-913-3494,Manufacturer,Subsidiary,1984,Headquarters,PENNSYLVANIA,484121,"General Freight Trucking, Long-Distance, Truckload",484121,"""General Freight Trucking, Long-Distance, Truckload """,4213,"""Trucking, except local""",42139903,Contract haulers,"$2,507,775,530 ","10,000","3,000","$3,553,082,535 "
"BRIGHT HORIZONS FAMILY SOLUTIONS, INC.",Bright Horizons Family Solutions,Public,07-873-4723,Manufacturer,Non-Subsidiary,1986,Headquarters,MASSACHUSETTS,624410,Child Day Care Services,624410,"""Child Day Care Services """,8351,"""Child day care services""",83519905,Preschool center,"$2,062,017,000 ","31,200","1,000","$1,903,182,000 "
BOSTON UNIVERSITY,Boston University,Private,07-848-7802,Manufacturer,Non-Subsidiary,2012,Single Location,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$2,018,330,000 ",70,70,"$2,018,330,000 "
"CAPGEMINI NORTH AMERICA, INC.",Capgemini,Private,12-881-5607,Manufacturer,Subsidiary,2002,Headquarters,NEW YORK,541512,Computer Systems Design Services,541512,"""Computer Systems Design Services """,7379,"""Computer related services, nec""",73790203,Online services technology consultants,"$1,878,512,278 ","42,984",50,"$2,232,774,582 "
"NUANCE COMMUNICATIONS, INC.",Nuance Communications Inc,Public,79-740-7517,Manufacturer,Non-Subsidiary,1992,Headquarters,MASSACHUSETTS,511210,Software Publishers,511210,"""Software Publishers""",7372,"""Prepackaged software""",73729901,Application computer software,"$1,823,092,000 ","11,600",550,"$2,051,661,000 "
FIRST-CITIZENS BANK & TRUST COMPANY,First State Bank of Pinedale,Private,00-320-2975,Manufacturer,Subsidiary,1898,Headquarters,NORTH CAROLINA,522110,Commercial Banking,,,,,60220000,State commercial banks,"$1,784,792,000 ","4,821",250,"$1,741,456,000 "
FAIRWAY INDEPENDENT MORTGAGE CORPORATION,Fairway Independent Mortgage Corp,Private,96-051-8827,Manufacturer,Non-Subsidiary,1996,Headquarters,WISCONSIN,522292,Real Estate Credit,,,,,61629903,Mortgage bankers,"$1,772,255,217 ","3,400",100,"$35,378,275 "
BROWN BROTHERS HARRIMAN & CO.,Brown Brothers Harriman & Co,Private,00-698-1310,Manufacturer,Non-Subsidiary,1818,Headquarters,NEW YORK,523991,"Trust, Fiduciary, and Custody Activities","523110, 523991","""Investment Banking and Securities Dealing "", ""Trust, Fiduciary, and Custody Activities ""","6091, 6211","""Nondeposit trust facilities"", ""Security brokers and dealers""",60910000,Nondeposit trust facilities,"$1,578,848,773 ","3,000",950,"$1,653,036,409 "
HSBC FINANCE CORPORATION,HSBC Finance Corp,Public,05-555-7276,Manufacturer,Subsidiary,1878,Headquarters,ILLINOIS,522291,Consumer Lending,,,,,61410102,Consumer finance companies,"$1,414,000,000 ","1,600",36,"$1,414,000,000 "
FUJITSU AMERICA INC,Fujitsu America Inc,Private,01-843-1853,Manufacturer,Subsidiary,2000,Headquarters,CALIFORNIA,541512,Computer Systems Design Services,541512,"""Computer Systems Design Services """,7373,"""Computer integrated systems design""",73730000,Computer integrated systems design,"$1,378,505,511 ","6,225",400,"$1,693,760,685 "
