"","org_name","address.x","street_address.x","city.x","state.x","zip_code.x","contact_info","attorney","breach_dates","reported_date","date_of_breach","breach_end","discover_date","info_type","affected_residents","date_formatted","DUNS.No","clean_name","address.y","street_address.y","city.y","state.y","zip_code.y","�..Company.Name","Company.Type","Import.Export","Fax.No","Global.Duns.No","Global.Name","Immediate.Parent.Duns.No","Immediate.Parent.Name","Latitude","Line.of.Business","Longtitude","Manufacturing.Indicator","Marketing.Prescreen.Score","Marketing.Prescreen.Ranking","Minority.Owned.Indicator","Owns.Rents","Phone.No","Subsidiary.Status","Web.Address..URL.","Year.of.Founding","Auditors","Trade.Style","Employer.ID.Number..EIN.","Domestic.Parent.Duns.No","Domestic.Parent.Name","Former.Name","Location.Type","Mailing.Address","Mailing.City","Mailing.Country.Region","Mailing.County","Mailing.State","Mailing.Zipcode","Physical.Address","Physical.City","Physical.Country.Region","Physical.County","Physical.State","Physical.Zipcode","Primary.NAICS.Code","Primary.NAICS.Description","Secondary.NAICS.Code","Secondary.NAICS.Description","Secondary.SIC.Code","Secondary.SIC.Description","Primary.SIC.Code","Primary.SIC.Description","Sales","Employee.All.Sites","Employee.this.Site","Sales..Year.1.","Employees.Total..Year.1.","Facility.Size","DUNS_2","orgtype_financialservices"
"509","Copart, Inc.",NA,NA,NA,NA,NA,"None","Craig Hoffman, Baker&Hostetler, LLP, 312 Walnut Street, Suite 3200, Cincinnati, OH 45202-4074; 513-929-3491; cahoffman@bakerlaw.com","Discovered 3/31/15","05/27/2015",NA,NA,"3/31/2015","Name, address, driver's license numbers, phone numbers, email addresses and usernames and passwords for their Copart.com accounts","229","2015/05","","Copart Inc","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","CoreLogic Credco ",NA,NA,NA,NA,NA,"Melissa Martinez, 949-214-1087; melissamartinez@corelogic.com or Mark Wynn at 949-214-1539; mwymann@corelogic.com.","N/A","7/21/17 - 8/7/17","08/29/2017","7/21/2017","8/7/2017",NA,"Name or other personal identifier in combination with SSN","78","2017/08","01-019-9297","CoreLogic Credco LLC","","","","","","CORELOGIC CREDCO, LLC","Public","",NA,"15-686-3011","CORELOGIC, INC.","15-686-3011","CORELOGIC, INC.",33.651011,"CREDIT REPORTING SERVICES",-117.750855,"Manufacturer","High","1 - Most likely to pay","No","Owns","(800) 255-0792","Subsidiary","WWW.CORELOGIC.COM",2005,"","CORELOGIC CREDCO",910745710,"15-686-3011","CORELOGIC, INC.",NA,"Headquarters","","","","","",NA,"40 PACIFICA STE 900","IRVINE","USA","ORANGE","CALIFORNIA",926187487,561450,"Credit Bureaus","","","","",73239902,"Consumer credit reporting bureau","$10,345,200","500","220","$9,404,727","500","0","56","FALSE"
"511","Corison Winery","987 St. Helena Way, St. Helena, CA 94574","987 St. Helena Way","St. Helena","CA","94574",NA,"Robert Cattanach, Esq., Dorsey & Whitney LLP, 612-340-2600; cattanach.robert@dorsey.com","4/1/15-4/30/15 (discovered 5/27/15)","06/18/2015","4/1/2015","4/30/2015","5/27/2015","Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.","9","2015/06","","Corison Winery","987 St. Helena Way, St. Helena, CA 94574","987 St. Helena Way","St. Helena","CA","94574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","Corkys Bbq",NA,NA,NA,NA,NA,"None","Gary Wactel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015","May, 2015","06/23/2015","5/1/2015",NA,NA,"Discover card account information may have been compromised","2","2015/06","","Corkys Bbq","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","Corporate Employment Resources, Inc.","27777 Franklin Road, Suite 600, Southfield, MI 48034","27777 Franklin Road, Suite 600","Southfield","MI","48034","Ricardo J. Lara, Jr., General Counsel-North America, 248-208-4486; rick.lara@impellam.com","N/A","1/26/2018","02/08/2018","1/26/2018",NA,NA,"Name or other personal identifier in combination with SSN","2","2018/02","03-067-3102","Corporate Employment Resources Inc","27777 Franklin Road, Suite 600, Southfield, MI 48034","27777 Franklin Road, Suite 600","Southfield","MI","48034","CORPORATE EMPLOYMENT RESOURCES, INC.","Private","Importer",NA,"21-109-5301","IMPELLAM GROUP PLC","10-565-8806","CORPORATE SERVICES GROUP HOLDINGS, INC.",33.84979,"EMPLOYMENT AGENCIES, NSK",-84.361348,"Manufacturer","Low","4 - Less likely to pay","No","","(713) 438-1400","Subsidiary","WWW.CORESTAFF.COM",2001,"Ernst & Young LLP","CORESTAFF SERVICES",953496539,"10-565-8806","IMPELLAM GROUP PLC",NA,"Headquarters","","","","","",NA,"3475 LENOX RD NE STE 450","ATLANTA","USA","FULTON","GEORGIA",303263231,561311,"Employment Placement Agencies","561311, 561320","""Employment Placement Agencies "", ""Temporary Help Services""","7361, 7363","""Employment agencies"", ""Help supply services""",73610000,"Employment agencies","$48,998,232","496","150","$48,998,232","496","0","56","FALSE"
"514","Corporation Service Co.","251 Little Falls Drive, Wilmington, DE 19808","251 Little Falls Drive","Wilmington","DE","19808","None","Paul McGurkin, Jr., Mullen Coughlin LLC, 1275 Drummers Lane, Suite 302, Wayne, PA 19087","Supplement to May 17, 2018 notice","06/11/2018",NA,NA,NA,"Name and SSN","3 Addit'l","2018/06","80-847-5805","Corporation Service Co","251 Little Falls Drive, Wilmington, DE 19808","251 Little Falls Drive","Wilmington","DE","19808","CSC CORPORATE DOMAINS, INC.","Private","",NA,"04-451-9650","CORPORATION SERVICE COMPANY INC","04-451-9650","CORPORATION SERVICE COMPANY INC",39.76047,"LEGAL SERVICES, NSK",-75.623399,"Manufacturer","Low","2 - Likely to pay","No","Rent","(902) 746-5201","Subsidiary","WWW.CSCGLOBAL.COM",1997,"","CSC",NA,"04-451-9650","CORPORATION SERVICE COMPANY INC",NA,"Headquarters","","","","","",NA,"251 LITTLE FALLS DR","WILMINGTON","USA","NEW CASTLE","DELAWARE",198081674,541110,"Offices of Lawyers","","","","",81110000,"Legal services","$103,568,220","855","84","$2,046,072","21","0","54","FALSE"
"515","Corporation Service Co.","251 Little Falls Drive, Wilmington, DE 19808","251 Little Falls Drive","Wilmington","DE","19808","Ian R. McConnel, Chief Risk Officer & Dep General Counsel, 302-636-5839; Ian.McConnel@cscglobal.com ","N/A","11/25/17 (discovered 4/5/18)","05/17/2018","11/25/2017",NA,"4/5/2018","Name or other personal identifier in combination  with SSN","48","2018/05","80-847-5805","Corporation Service Co","251 Little Falls Drive, Wilmington, DE 19808","251 Little Falls Drive","Wilmington","DE","19808","CSC CORPORATE DOMAINS, INC.","Private","",NA,"04-451-9650","CORPORATION SERVICE COMPANY INC","04-451-9650","CORPORATION SERVICE COMPANY INC",39.76047,"LEGAL SERVICES, NSK",-75.623399,"Manufacturer","Low","2 - Likely to pay","No","Rent","(902) 746-5201","Subsidiary","WWW.CSCGLOBAL.COM",1997,"","CSC",NA,"04-451-9650","CORPORATION SERVICE COMPANY INC",NA,"Headquarters","","","","","",NA,"251 LITTLE FALLS DR","WILMINGTON","USA","NEW CASTLE","DELAWARE",198081674,541110,"Offices of Lawyers","","","","",81110000,"Legal services","$103,568,220","855","84","$2,046,072","21","0","54","FALSE"
"516","Costco Photo Center","999 Lake Drive, Issaquah, WA 98027","999 Lake Drive","Issaquah","WA","98027","None","Amelia Gerlicher, Esq., Perkins Coie, LLP, 206-359-3445; agerlicher@perkinscoie.com","6/19/2014 - 7/15/15 ","09/21/2015","6/19/2014","7/15/2015",NA,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.","58","2015/09","","Costco Wholesale Corp","999 Lake Drive, Issaquah, WA 98027","999 Lake Drive","Issaquah","WA","98027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","Cottage Health","400 West Pueblo Street, Santa Barbara, CA  93015","400 West Pueblo Street","Santa Barbara","CA","93015","None","Jeffrey LeVee, Jones Day, 213-243-2572; jlevee@jonesday.com","10/26/15-11/8/15","12/03/2015","10/26/2015","11/8/2015",NA,"Name or other personal identifier in combination with SSN","2","2015/12","","Cottage Health System","400 West Pueblo Street, Santa Barbara, CA  93015","400 West Pueblo Street","Santa Barbara","CA","93015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518","Coty, Inc. ",NA,NA,NA,NA,NA,"None","Timother Harkness, Freshfields, Bruckhaus Deringer US LLP, 601 Lexington Avenue, 31st Floor, NY, NY 10022; 1-212-277-4610; timother.harkness@freshfields.com","1/12/18-2/8/18","07/03/2018","1/12/2018","2/8/2018",NA,"Personal data found in emails and their attachments","Not specified","2018/07","95-866-2223","Coty Inc","","","","","","COTY INC.","Public","Importer",NA,"95-866-2223","COTY INC.","95-866-2223","COTY INC.",40.749461,"TOILET PREPARATIONS",-73.983886,"Non Manufacturer","High","5 - Least Likely to pay","No","Rent","(212) 389-7300","Non-Subsidiary","WWW.COTY.COM",1904,"Deloitte & Touche LLP","COTY",133823358,"95-866-2223","COTY INC.",NA,"Headquarters","","","","","",NA,"350 5TH AVE","NEW YORK","USA","NEW YORK","NEW YORK",101180110,325620,"Toilet Preparation Manufacturing","325620","""Toilet Preparation Manufacturing""","2844","""Toilet preparations""",28440000,"Perfumes, cosmetics and other toilet preparations","$0","18,260","60","$8,648,500,000","19,000","0","32","FALSE"
"519","County of Waldo Commissioner's Office","39B Spring Street, Belfast, Maine 04915","39B Spring Street","Belfast","ME","4915","None","Anthony Perkins, Esq., Bernstein Shur, 207-774-1200; aperkins@bernsteinshur.com","2/5/2018","02/06/2018","2/5/2018",NA,NA,"Name or other personal identifier in combination with SSN","103","2018/02","","County of Waldo","39B Spring Street, Belfast, Maine 04915","39B Spring Street","Belfast","ME","04915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","Covanta Projects, LLC","445 South Street, Morristown, NJ 07960","445 South Street","Morristown","NJ","7960","Michael A. Wright, SVP, Chief Human Resources Officer, 862-345-5395; mwright@covanta.com","N/A","between 5/19/15 and 5/20/15","06/10/2015","5/19/2015",NA,NA,"Name, address,& SSN","? Doesn't specify","2015/06","","Covanta Projects LLC","445 South Street, Morristown, NJ 07960","445 South Street","Morristown","NJ","07960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","Cowboys BBQ & Steak Co.",NA,NA,NA,NA,NA,"Simon Halfin, VP & Asst General Counsel, Discover, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933","None","May of 2014","06/24/2014","5/1/2014",NA,NA,"Discover Card Account information may have been compromised","1","2014/06","","Cowboys BBQ & Steak Co","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","Cowboys BBQ & Steak of FT Pierce",NA,NA,NA,NA,NA,"None","Gary Wachtel, Director & Senior Counsel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015; 224-405-2286","In October 2014","11/19/2014","10/1/2014",NA,NA,"Disover Card account information may have been compromised.","1","2014/11","","Cowboys BBQ & Steak of FT Pierce","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","CoWorx Staffing Services","P.O. Box 7130, 1375 Plainfield Avenue, Watchung, NJ 07069","P.O. Box 7130, 1375 Plainfield Avenue","Watchung","NJ","7069","Nick Socratous, CSP; HR Employment Screening Supervisor; 800-754-7000","N/A","Recently (no specific date or date range)",NA,NA,NA,NA,"Name, SSN, birthdate, address, gender, & other personally identifable information.","No. of Maine residents not specified.",NA,"","CoWorx Staffing Services LLC","P.O. Box 7130, 1375 Plainfield Avenue, Watchung, NJ 07069","P.O. Box 7130, 1375 Plainfield Avenue","Watchung","NJ","07069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","CP Franchising, LLC (d/b/a Cruise Planners)",NA,NA,NA,NA,NA,"None","Blaine Kimrey, Esq., VedderPrice, 222 North Lasalle St., Chicago, IL 60601; 312-609-6865; bkimrey@vedderprice.com","2/24/2015","02/25/2015","2/24/2015",NA,NA,"Name, address, phone No., credit card no., email address, passport no., loyalty program no., and/or birthdate.","Not specified","2015/02","","CP Franchising LLC","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","CPT Group Inc.","50 Corporate Drive, Irvine, CA 92606","50 Corporate Drive","Irvine","CA","92606","None","Eric Packel, Baker & Hostetler LLP, 215-564-3031; epackel@bakerlaw.com","11/22/17 to 12/8/17 (Discovered 3/22/18)","04/27/2018","11/22/2017","12/8/2017","3/22/2018","Name or other personal identifier in combination with SSN","4","2018/04","13-960-5786","CPT Group Inc","50 Corporate Drive, Irvine, CA 92606","50 Corporate Drive","Irvine","CA","92606","CPT GROUP INC.","Private","",NA,"","","","",33.690138,"DATA PROCESSING AND PREPARATION",-117.826316,"Manufacturer","High","5 - Least Likely to pay","No","Rent","(949) 428-1010","Non-Subsidiary","WWW.CPTGROUP.COM",1979,"","",330071935,"","",NA,"Single Location","","","","","",NA,"50 CORPORATE PARK","IRVINE","USA","ORANGE","CALIFORNIA",926065105,518210,"Data Processing, Hosting, and Related Services","","","","",73749902,"Data processing service","$916,929","25","25","$833,572","25","3,300","51","FALSE"
"526","CPT Group Inc.","50 Corporate Drive, Irvine, CA 92606","50 Corporate Drive","Irvine","CA","92606","None","Eric Packel, Baker & Hostetler LLP, 215-564-3031; epackel@bakerlaw.com","11/22/17 to 12/8/17 (Discovered 3/22/18)","04/27/2018","11/22/2017","12/8/2017","3/22/2018","Name or other personal identifier in combination with SSN","627","2018/04","13-960-5786","CPT Group Inc","50 Corporate Drive, Irvine, CA 92606","50 Corporate Drive","Irvine","CA","92606","CPT GROUP INC.","Private","",NA,"","","","",33.690138,"DATA PROCESSING AND PREPARATION",-117.826316,"Manufacturer","High","5 - Least Likely to pay","No","Rent","(949) 428-1010","Non-Subsidiary","WWW.CPTGROUP.COM",1979,"","",330071935,"","",NA,"Single Location","","","","","",NA,"50 CORPORATE PARK","IRVINE","USA","ORANGE","CALIFORNIA",926065105,518210,"Data Processing, Hosting, and Related Services","","","","",73749902,"Data processing service","$916,929","25","25","$833,572","25","3,300","51","FALSE"
"527","Crafts Americana Group",NA,NA,NA,NA,NA,"None","Amelia Gerlicher, PerkinsCole, 2901 N. Central Ave., Suite 2000, Phoenix, AZ 85012; Ph: 602-351-8000","12/21/12 approx","02/08/2013","12/21/2012",NA,NA,"names, addresses, phone numbers and credit card numbers","140","2013/02","","Crafts Americana Group Inc","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","Crane Co.","100 First Stamford Place, Stamford, CT 06092","100 First Stamford Place","Stamford","CT","6092","Anthony M. D'Iorio, Deputy General Counsel, 203-363-7243; adiorio@craneco.com","N/A","6/7/2016","06/07/2016","6/7/2016",NA,NA,"Name or other personal identifier in combination with SSN.","1","2016/06","","Crane Co","100 First Stamford Place, Stamford, CT 06092","100 First Stamford Place","Stamford","CT","06092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","Creative Bus Sales, Inc.","14740 Ramona Ave., Chino, CA 91710","14740 Ramona Ave.","Chino","CA","91710","None","Michael Hellbusch, Rutan & Tucker, 714-662-4691","5/25/2018","06/08/2017","5/25/2018",NA,NA,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account","2","2017/06","03-874-3944","Creative Bus Sales Inc","14740 Ramona Ave., Chino, CA 91710","14740 Ramona Ave.","Chino","CA","91710","CREATIVE BUS SALES, INC.","Private","Exporter",NA,"03-874-3944","CREATIVE BUS SALES, INC.","03-874-3944","CREATIVE BUS SALES, INC.",33.985736,"NEW AND USED CAR DEALERS, NSK",-117.70648,"Manufacturer","Low","3 - Neutral","No","","(866) 948-0787","Non-Subsidiary","WWW.CREATIVEBUSSALES.COM",1990,"","GETAWAY BUS",330388707,"03-874-3944","CREATIVE BUS SALES, INC.",NA,"Headquarters","","","","","",NA,"14740 RAMONA AVE","CHINO","USA","SAN BERNARDINO","CALIFORNIA",917105747,441110,"New Car Dealers","","","","",55110000,"New and used car dealers","$78,666,659","136","35","$87,407,399","99","0","44","FALSE"
"530","Crescent Healthcare, Inc. (A Walgreens Company)",NA,NA,NA,NA,NA,"Caroline Buddle, Interim Director Privacy Office, 200 Wilmot Road, MS 9000, Deerfield, Illinois 60015; ","N/A","12/28/2012","02/22/2013","12/28/2012",NA,NA,"name, address, phone number, SSN, healh insurance information, date of birth & medical info including diagnosis and disability code.","?","2013/02","","Cresent Healthcare Inc","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","Crescent Mortgage Company","Atlanta, Georgia",NA,"Atlanta","GA",NA,"None","David Katz, Nelson Mullins, Atlantic Station, 201 17th Street, NW/ Suite 1700, Atlanta, GA 30363; 404-322-6000; david.katz@nelsonmullins.com","7/11/17-8/5/17","08/24/2017","7/11/2017","8/5/2017",NA,"Name, address, phone number, SSN, financial accounts & personal info in documents related to loan application and  closing documents including wiring instructions","1","2017/08","","Crescent Mortgage Co","Atlanta, Georgia","","Atlanta","GA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","Cricketers",NA,NA,NA,NA,NA,"None","Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286","16-May","06/14/2016","5/1/2016",NA,NA,"Discover card account information may have been compromised.","1","2016/06","","Cricketers","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","Crimson Trace Corporation","9780 SW Freeman Drive, Wilsonville, Oregon 97070","9780 SW Freeman Drive","Wilsonville","OR","97070","None","Mia Havel, Norton Rose Fulbright US LLP, 303-801-2731; mia.havel@nortonrosefulbright.com","6/1/16-5/5/17","06/01/2017","6/1/2016","5/5/2017",NA,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN fo rthe account","34","2017/06","","Crimson Trace Corp","9780 SW Freeman Drive, Wilsonville, Oregon 97070","9780 SW Freeman Drive","Wilsonville","OR","97070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","Crossman Corporation","7629 Routes 5 & 20, Bloomfield, NY 14469","7629 Routes 5 & 20","Bloomfield","NY","14469","Spencer Cook, Corporate Counsel, 585-657-3095; scook@crossman.com","N/A","12/6/2016","01/06/2017","12/6/2016",NA,NA,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account","1","2017/01","","Crosman Corp","7629 Routes 5 & 20, Bloomfield, NY 14469","7629 Routes 5 & 20","Bloomfield","NY","14469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","Crotched Mountain Foundation, Inc. (paper)",NA,NA,NA,NA,NA,"None","Gregory Bautista, Wilson Elser Moskowitz Edelman  Dicker, LLP; 914-872-7839; Gregory.Bautista@wilsonelser.com","2/17/2017","03/07/2017","2/17/2017",NA,NA,"Wage & Tax statements (due to email phishing attack)","13","2017/03","","Crotched Mountain Foundation Inc","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","Crothall Services Group",NA,NA,NA,NA,NA,"DeeDee Lott, Sr. Corp. Counsel, IT, 704-328-4051; deedee.lott@compass-usa.com","N/A","7/1/2014","08/04/2014","7/1/2014",NA,NA,"Name, date of birth, and SSN","1","2014/08","","Crothall Services Group","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","Crown Castle",NA,NA,NA,NA,NA,"Monica Gambino, Vice Pres., Legal, 724-416-2516","N/A","10/31/2013","11/15/2013","10/31/2013",NA,NA,"employee names, SSNs and compensation info","1","2013/11","","Crown Castle International Corp","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","Cruises, Inc.",NA,NA,NA,NA,NA,"Sandi Szalay, VP of Info Tech, 1201 West Cypress Creek Rd., Ste 100, Fort Lauderdale, FL 33309; Ph: 888-892-3928","Craig Hoffman, Esq.,  Baker Hostetler LLC, 312 Walnut Street, Suite 3200, Cincinnati, OH 45202; Ph: 513-929-3400","10/23/2013","11/15/2013","10/23/2013",NA,NA,"Credit card numbers and exp dates for a limited number of individuals.  Log in credentials were immediately deactivated","1","2013/11","","Cruises Inc","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","Cruzstar LLC","453 Lincoln Street, Suite 102, Carlisle, PA 17013","453 Lincoln Street, Suite 102","Carlisle","PA","17013","Adrian Fang, Partner","N/A","11/5-28, 2017","02/22/2018","11/5/2017","11/28/2017",NA,"Name, address, payment card number, expiration date and CVV code","Not specified","2018/02","79-303-8709","Cruzstar LLC","453 Lincoln Street, Suite 102, Carlisle, PA 17013","453 Lincoln Street, Suite 102","Carlisle","PA","17013","CRUZSTAR, LLC","Private","",NA,"","","","",40.052477,"COMPUTER INTEGRATED SYSTEMS DESIGN, NSK",-77.520257,"Manufacturer","Low","2 - Likely to pay","No","","(877) 787-6368","Non-Subsidiary","WWW.MENUDRIVE.COM",2006,"","MENUDRIVE",NA,"","",NA,"Single Location","","","","","",NA,"20 E BURD ST STE 2","SHIPPENSBURG","USA","CUMBERLAND","PENNSYLVANIA",172571328,541512,"Computer Systems Design Services","","","","",73730300,"Computer system selling services","$461,250","5","5","$461,250","5","0","54","FALSE"
