Company Name,Company Type,D-U-N-S@ Number,Import/Export,Fax No,Global Duns No,Global Name,Immediate Parent Duns No,Immediate Parent Name,Latitude,Line of Business,Longtitude,Manufacturing Indicator,Marketing Prescreen Score,Marketing Prescreen Ranking,Minority Owned Indicator,Owns/Rents,Phone No,Subsidiary Status,Web Address (URL),Year of Founding,Auditors,Trade Style,Employer ID Number (EIN),Domestic Parent Duns No,Domestic Parent Name,Former Name,Location Type,Mailing Address,Mailing City,Mailing Country/Region,Mailing County,Mailing State,Mailing Zipcode,Physical Address,Physical City,Physical Country/Region,Physical County,Physical State,Physical Zipcode,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1),Employees Total (Year 1),Facility Size
SRI INTERNATIONAL,Private,00-923-2752,Importer,,00-923-2752,SRI INTERNATIONAL,00-923-2752,SRI INTERNATIONAL,37.456093,"NONCOMMERCIAL RESEARCH ORGANIZATIONS, NSK",-122.17865,Manufacturer,Low,1 - Most likely to pay,No,Owns,(650) 859-2000,Non-Subsidiary,WWW.SRI.COM,1946,,,941160950,00-923-2752,SRI INTERNATIONAL,,Headquarters,P.O. BOX 2203,MENLO PARK,USA,SAN MATEO,CALIFORNIA,940262203,333 RAVENSWOOD AVE,MENLO PARK,USA,SAN MATEO,CALIFORNIA,940253493,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)","541618, 541715","""Other Management Consulting Services "", ""Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ""","8733, 8748","""Noncommercial research organizations"", ""Business consulting, nec""",87339904,Scientific research agency,"$461,438,000","2,437","1,430","$461,438,000","2,437","1,300,000"
"BRAMBLES USA, INC",Private,60-532-2817,,,75-458-2773,BRAMBLES LIMITED,22-115-5778,BIP INDUSTRIES LIMITED,34.089443,"REFUSE SYSTEMS, NSK",-84.252728,Manufacturer,High,5 - Least Likely to pay,No,Rent,(800) 243-7872,Subsidiary,WWW.BRAMBLES.COM,1989,,CHEP,363714162,60-532-2817,BRAMBLES LIMITED,,Headquarters,,,,,,,5897 WINDWARD PKWY,ALPHARETTA,USA,FULTON,GEORGIA,300052044,562211,Hazardous Waste Treatment and Disposal,,,,,49530100,Hazardous waste collection and disposal,"$451,489,868","1,750",10,"$401,173,227","1,750",0
"BED 'N BATH STORES, INC",Private,79-731-1875,,,05-812-7986,BED BATH & BEYOND INC.,05-812-7986,BED BATH & BEYOND INC.,40.697953,"HOLDING COMPANIES, NEC, NSK",-74.302363,Manufacturer,Low,2 - Likely to pay,No,Rent,(908) 688-0888,Subsidiary,WWW.BEDBATHANDBEYOND.COM,1986,,BED 'N BATH,550823121,05-812-7986,BED BATH & BEYOND INC.,,Headquarters,,,,,,,650 LIBERTY AVE STE 2,UNION,USA,UNION,NEW JERSEY,070838107,551112,Offices of Other Holding Companies,,,,,67199901,"Investment holding companies, except banks","$415,367,444","6,600",0,"$415,367,444","6,600",0
"RED ROOF INNS, INC.",Private,06-599-2794,,,80-701-7228,WRRH INVESTMENTS LP,80-701-7228,WRRH INVESTMENTS LP,40.092991,"HOTELS AND MOTELS, NSK",-82.812039,Manufacturer,Medium,4 - Less likely to pay,No,Rent,(614) 744-2600,Subsidiary,WWW.REDROOF.COM,1998,,RED ROOF INN,311393666,80-701-7228,WRRH INVESTMENTS LP,,Headquarters,,,,,,,7815 WALTON PKWY,NEW ALBANY,USA,FRANKLIN,OHIO,430548482,721110,Hotels (except Casino Hotels) and Motels,721110,"""Hotels (except Casino Hotels) and Motels """,7011,"""Hotels and motels""",70110000,Hotels and motels,"$408,044,667","5,800",525,"$430,670,558","5,800",0
"ST. MARY'S HEALTH, INC.",Private,05-681-9501,,,05-681-9501,"ST. MARY'S HEALTH, INC.",05-681-9501,"ST. MARY'S HEALTH, INC.",37.962444,"GENERAL MEDICAL AND SURGICAL HOSPS,NSK",-87.505178,Manufacturer,High,5 - Least Likely to pay,No,Owns,(812) 485-4000,Non-Subsidiary,,1941,Ernst & Young LLP,ASCENSION ST VNCENT EVANSVILLE,350869065,05-681-9501,"ST. MARY'S HEALTH, INC.",,Headquarters,,,,,,,3700 WASHINGTON AVE,EVANSVILLE,USA,VANDERBURGH,INDIANA,477140541,622110,General Medical and Surgical Hospitals,622110,"""General Medical and Surgical Hospitals """,8062,"""General medical & surgical hospitals""",80620000,General medical and surgical hospitals,"$401,580,257","3,500","2,400","$401,580,257","3,500","470,000"
"NOVA SOUTHEASTERN UNIVERSITY, INC.",Private,00-297-1240,,,00-297-1240,"NOVA SOUTHEASTERN UNIVERSITY, INC.",00-297-1240,"NOVA SOUTHEASTERN UNIVERSITY, INC.",26.079905,"COLLEGES AND UNIVERSITIES, NSK",-80.238413,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(954) 262-7300,Non-Subsidiary,WWW.NOVA.EDU,1964,Ernst & Young LLP,,591083502,00-297-1240,"NOVA SOUTHEASTERN UNIVERSITY, INC.",,Headquarters,,,,,,,3301 COLLEGE AVE,DAVIE,USA,BROWARD,FLORIDA,333147796,611310,"Colleges, Universities, and Professional Schools","611110, 611310","""Elementary and Secondary Schools "", ""Colleges, Universities, and Professional Schools ""","8211, 8221","""Elementary and secondary schools"", ""Colleges and universities""",82210102,University,"$400,463,200","2,500","1,500","$400,463,200","2,500","400,000"
"PAR ELECTRICAL CONTRACTORS, INC.",Private,00-785-7451,,,00-800-4165,"QUANTA SERVICES, INC.",00-800-4165,"QUANTA SERVICES, INC.",39.179097,"ELECTRICAL WORK, NSK",-94.590811,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(816) 474-9340,Subsidiary,WWW.PARELECTRIC.COM,1954,,,440591890,00-800-4165,"QUANTA SERVICES, INC.",,Headquarters,,,,,,,4770 N BELLEVIEW AVE # 300,KANSAS CITY,USA,CLAY,MISSOURI,641162191,238210,Electrical Contractors and Other Wiring Installation Contractors,,,,,17319903,General electrical contractor,"$377,749,045","1,000",200,"$419,721,161","1,000","12,000"
KAYSER-ROTH CORPORATION,Private,00-148-2033,Both,,43-734-4959,ENGIFIN SPA,42-919-6223,GOLDEN LADY COMPANY SPA,36.122803,CATALOG AND MAIL-ORDER HOUSES,-79.799006,Non Manufacturer,Low,4 - Less likely to pay,No,,(336) 852-2030,Subsidiary,WWW.KAYSER-ROTH.COM,1985,,NO NONSENSE,942974014,00-148-2033,ENGIFIN SPA,,Headquarters,P.O. BOX 26530,GREENSBORO,USA,GUILFORD,NORTH CAROLINA,274156530,102 CORPORATE CENTER BLVD,GREENSBORO,USA,GUILFORD,NORTH CAROLINA,274083172,454110,Electronic Shopping and Mail-Order Houses,,,,,59619923,"Women's apparel, mail order","$364,030,503","2,200",120,"$351,445,903","2,200",0
"SECURUS TECHNOLOGIES, LLC",Private,19-285-8954,Both,,19-285-8954,"SECURUS TECHNOLOGIES, LLC",19-285-8954,"SECURUS TECHNOLOGIES, LLC",33.019315,"TELEPHONE COMMUNICATION, EXCEPT RADIO",-96.845073,Manufacturer,Low,3 - Neutral,Yes,Rent,(972) 241-1535,Non-Subsidiary,WWW.SECURUSTECH.NET,1986,,,752722144,19-285-8954,"SECURUS TECHNOLOGIES, LLC",,Headquarters,P.O. BOX 650757,DALLAS,USA,DALLAS,TEXAS,752650757,4000 INTERNATIONAL PKWY,CARROLLTON,USA,DENTON,TEXAS,750071913,517911,Telecommunications Resellers,"517911, 561421","""Telecommunications Resellers "", ""Telephone Answering Services ""","4813, 7389","""Telephone communications, exc. radio"", ""Business services, nec""",48130000,"Telephone communication, except radio","$330,140,096",787,360,"$330,140,096",787,0
SIERRA NEVADA BREWING CO.,Private,03-827-8578,Both,,03-827-8578,SIERRA NEVADA BREWING CO.,03-827-8578,SIERRA NEVADA BREWING CO.,39.724842,"MALT BEVERAGES, NSK",-121.814703,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(530) 893-3520,Non-Subsidiary,WWW.SIERRANEVADA.COM,1979,,,680025654,03-827-8578,SIERRA NEVADA BREWING CO.,,Headquarters,,,,,,,1075 E 20TH ST,CHICO,USA,BUTTE,CALIFORNIA,959286722,312120,Breweries,,,,,20829902,Beer (alcoholic beverage),"$300,000,000","1,100",475,"$300,000,000","1,100",0
MARKWINS INTERNATIONAL CORP,Private,11-331-3969,Importer,,11-331-3969,MARKWINS INTERNATIONAL CORP,11-331-3969,MARKWINS INTERNATIONAL CORP,34.028693,"DRUGS, PROPRIETARIES, AND SUNDRIES",-117.824156,Manufacturer,Low,5 - Least Likely to pay,Yes,Rent,(909) 595-8898,Non-Subsidiary,WWW.MARKWINSBEAUTY.COM,1983,,,954170484,11-331-3969,MARKWINS INTERNATIONAL CORP,,Headquarters,,,,,,,22067 FERRERO,WALNUT,USA,LOS ANGELES,CALIFORNIA,917895214,424210,Drugs and Druggists' Sundries Merchant Wholesalers,424210,"""Drugs and Druggists' Sundries Merchant Wholesalers """,5122,"""Drugs, proprietaries, and sundries""",51220101,Cosmetics,"$283,841,124",302,150,"$283,841,124",302,"320,000"
"NORTH AMERICAN POWER AND GAS, LLC",Private,83-246-1086,,,08-113-9373,"VOLT PARENT, LP",08-056-0770,CALPINE ENERGY SERVICES HOLDCO LLC,41.143465,"ELECTRIC SERVICES, NSK",-73.427523,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(203) 893-4196,Subsidiary,WWW.NAPOWER.COM,2009,,,,08-113-9373,"VOLT PARENT, LP",,Single Location,,,,,,,20 GLOVER AVE STE 15,NORWALK,USA,FAIRFIELD,CONNECTICUT,068501236,221122,Electric Power Distribution,,,,,49119901,"Distribution, electric power","$270,000,000",113,113,"$270,000,000",113,"20,000"
TOYO TIRE HOLDINGS OF AMERICAS INC.,Private,15-674-9520,Importer,,69-055-7053,TOYO TIRE CORPORATION,69-055-7053,TOYO TIRE CORPORATION,33.802841,"TIRES AND INNER TUBES, NSK",-118.030457,Non Manufacturer,Low,2 - Likely to pay,No,,(562) 431-6502,Subsidiary,WWW.TOYOTIRES.COM,1988,,,954192616,15-674-9520,TOYO TIRE CORPORATION,,Headquarters,,,,,,,5900 KATELLA AVE STE 200A,CYPRESS,USA,ORANGE,CALIFORNIA,906305019,326211,Tire Manufacturing (except Retreading),,,,,30110103,Automobile inner tubes,"$253,305,014",800,20,"$253,305,014",800,0
"INTERVAL INTERNATIONAL, INC.",Private,08-359-9936,,,96-978-3906,MARRIOTT VACATIONS WORLDWIDE CORPORATION,96-978-3906,MARRIOTT VACATIONS WORLDWIDE CORPORATION,25.703958,"MEMBERSHIP ORGANIZATIONS, NEC, NSK",-80.294732,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(305) 666-1861,Subsidiary,WWW.INTERVALWORLD.COM,1983,,,592367254,96-978-3906,MARRIOTT VACATIONS WORLDWIDE CORPORATION,,Headquarters,P.O. BOX 431920,MIAMI,USA,MIAMI-DADE,FLORIDA,332431920,6262 SUNSET DR STE 400,SOUTH MIAMI,USA,MIAMI-DADE,FLORIDA,331434843,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",,,,,86999910,Travel club,"$216,968,781","2,080",50,"$216,968,781","2,080","82,000"
"ACTIVE NETWORK, LLC",Private,05-617-3364,Importer,,00-504-7290,GLOBAL PAYMENTS INC.,00-504-7290,GLOBAL PAYMENTS INC.,32.785729,PREPACKAGED SOFTWARE,-96.797892,Manufacturer,Medium,5 - Least Likely to pay,No,,(888) 543-7223,Subsidiary,WWW.ACTIVENETWORK.COM,2013,,,,00-504-7290,GLOBAL PAYMENTS INC.,,Headquarters,,,,,,,717 N HARWOOD ST STE 2500,DALLAS,USA,DALLAS,TEXAS,752016527,511210,Software Publishers,,,,,73720000,Prepackaged software,"$214,320,779","1,000",600,"$202,976,647","1,000",0
"LIQUIDITY SERVICES, INC.",Public,93-335-1611,Both,,93-335-1611,"LIQUIDITY SERVICES, INC.",93-335-1611,"LIQUIDITY SERVICES, INC.",38.97905,"BUSINESS SERVICES, NEC, NSK",-77.098675,Manufacturer,Medium,5 - Least Likely to pay,No,Rent,(202) 467-6868,Non-Subsidiary,WWW.LIQUIDITYSERVICES.COM,2000,Ernst & Young LLP,,522209244,93-335-1611,"LIQUIDITY SERVICES, INC.",,Headquarters,,,,,,,6931 ARLINGTON RD STE 200,BETHESDA,USA,MONTGOMERY,MARYLAND,208145269,561499,All Other Business Support Services,561499,"""All Other Business Support Services """,7389,"""Business services, nec""",73891400,"Auction, appraisal, and exchange services","$205,940,000",669,50,"$226,525,000",669,"18,412"
"ENGLE MARTIN & ASSOCIATES, LLC",Private,00-394-3342,,,00-394-3342,"ENGLE MARTIN & ASSOCIATES, LLC",00-394-3342,"ENGLE MARTIN & ASSOCIATES, LLC",33.903713,"INSURANCE AGENTS,BROKERS,AND SERVICE,NSK",-84.360438,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(678) 553-4400,Non-Subsidiary,WWW.ENGLEMARTIN.COM,1997,,EM,,00-394-3342,"ENGLE MARTIN & ASSOCIATES, LLC",,Headquarters,,,,,,,5565 GLENRIDGE CONNECTOR # 900,ATLANTA,USA,FULTON,GEORGIA,303424797,524291,Claims Adjusting,,,,,64110201,"Insurance claim adjusters, not employed by insurance company","$201,117,985","1,514",195,"$201,117,985","1,514",0
MINDLANCE INC.,Private,17-241-8605,,,17-241-8605,MINDLANCE INC.,17-241-8605,MINDLANCE INC.,40.682288,MANAGEMENT CONSULTING SERVICES,-74.234928,Manufacturer,Low,1 - Most likely to pay,Yes,Rent,(201) 386-5400,Non-Subsidiary,WWW.MINDLANCE.COM,1999,,,,17-241-8605,MINDLANCE INC.,,Headquarters,,,,,,,1095 MORRIS AVE UNIT 101A,UNION,USA,UNION,NEW JERSEY,070837143,541612,Human Resources Consulting Services,,,,,87420200,Human resource consulting services,"$198,489,718","1,847",67,"$200,425,682",225,"8,000"
COLLEGE OF THE HOLY CROSS (INC),Private,04-150-9506,Importer,,04-150-9506,COLLEGE OF THE HOLY CROSS (INC),04-150-9506,COLLEGE OF THE HOLY CROSS (INC),42.240459,"COLLEGES AND UNIVERSITIES, NSK",-71.813538,Manufacturer,Low,4 - Less likely to pay,No,Owns,(508) 793-2011,Non-Subsidiary,WWW.HOLYCROSS.EDU,1843,KPMG LLP,,042103558,04-150-9506,COLLEGE OF THE HOLY CROSS (INC),,Headquarters,,,,,,,1 COLLEGE ST,WORCESTER,USA,WORCESTER,MASSACHUSETTS,016102395,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$193,400,000",949,872,"$200,673,000",949,0
"NORTHEAST ARC, INC.",Private,07-658-0760,,,07-658-0760,"NORTHEAST ARC, INC.",07-658-0760,"NORTHEAST ARC, INC.",42.566649,RESIDENTIAL CARE,-70.968388,Manufacturer,Low,1 - Most likely to pay,No,Owns,(978) 762-4878,Non-Subsidiary,WWW.NE-ARC.ORG,1956,,NORTH SHORE ARC,042232416,07-658-0760,"NORTHEAST ARC, INC.",,Headquarters,,,,,,,1 SOUTHSIDE RD,DANVERS,USA,ESSEX,MASSACHUSETTS,019231408,623220,Residential Mental Health and Substance Abuse Facilities,,,,,83610304,Retarded home,"$192,732,382","1,000",50,"$192,732,382","1,000","100,000"
"J. C. PENNEY PRIVATE BRANDS, INC.",Private,18-759-7646,Both,,10-206-3521,"J. C. PENNEY COMPANY, INC.",00-698-8893,"J.C. PENNEY CORPORATION, INC.",33.078573,"CLOTHING: WOMENS, CHILDRENS, AND INFANTS",-96.833706,Manufacturer,Low,1 - Most likely to pay,No,Rent,(972) 431-1000,Subsidiary,,1969,,,132639819,10-206-3521,"J. C. PENNEY COMPANY, INC.",,Single Location,P.O. BOX 10001,DALLAS,USA,DALLAS,TEXAS,753010001,6501 LEGACY DR,PLANO,USA,COLLIN,TEXAS,750243612,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",,,,,51370000,Women's and children's clothing,"$179,733,373",560,560,"$179,733,373",560,0
"L'OCCITANE, INC.",Private,87-826-8200,Both,,40-083-7288,L'OCCITANE GROUPE S.A.,40-080-2930,L'OCCITANE INTERNATIONAL S.A.,40.749476,"DRUGS, PROPRIETARIES, AND SUNDRIES",-73.989004,Manufacturer,High,5 - Least Likely to pay,No,Rent,(212) 696-9098,Subsidiary,WWW.LOCCITANE.COM,1995,,LOCCITANE EN PROVENCE,133844764,87-826-8200,L'OCCITANE GROUPE S.A.,,Headquarters,,,,,,,111 W 33RD ST FL 20,NEW YORK,USA,NEW YORK,NEW YORK,100012904,424210,Drugs and Druggists' Sundries Merchant Wholesalers,,,,,51220101,Cosmetics,"$173,769,872",600,56,"$202,995,185",600,0
"MOVEMENT MORTGAGE, LLC",Private,80-862-6092,,,80-862-6092,"MOVEMENT MORTGAGE, LLC",80-862-6092,"MOVEMENT MORTGAGE, LLC",35.006273,"MORTGAGE BANKERS AND CORRESPONDENTS, NSK",-80.869151,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(877) 314-1499,Non-Subsidiary,WWW.MOVEMENT.COM,2007,,,810835830,80-862-6092,"MOVEMENT MORTGAGE, LLC",,Headquarters,,,,,,,8024 CALVIN HALL RD,INDIAN LAND,USA,LANCASTER,SOUTH CAROLINA,297078737,522390,Other Activities Related to Credit Intermediation,,,,,61620000,Mortgage bankers and loan correspondents,"$164,457,636","4,300",763,"$123,559,456","4,300","10,000"
"PHILLIPS & TEMRO INDUSTRIES, INC.",Private,06-652-5213,Both,,14-706-1592,HARBOUR GROUP LTD.,14-706-1592,HARBOUR GROUP LTD.,44.869136,MOTOR VEHICLE PARTS AND ACCESSORIES,-93.402126,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(952) 941-9700,Subsidiary,WWW.PHILLIPSANDTEMRO.COM,1961,,TRUFLO,520977491,14-706-1592,HARBOUR GROUP LTD.,,Headquarters,,,,,,,9700 W 74TH ST,EDEN PRAIRIE,USA,HENNEPIN,MINNESOTA,553443515,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,,,,37140404,"Heaters, motor vehicle","$163,460,005",720,150,"$164,832,689",720,"74,000"
BOYS & GIRLS CLUBS OF AMERICA,Private,07-523-6133,,,07-523-6133,BOYS & GIRLS CLUBS OF AMERICA,07-523-6133,BOYS & GIRLS CLUBS OF AMERICA,33.789681,CIVIC AND SOCIAL ASSOCIATIONS,-84.384456,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(404) 487-5700,Non-Subsidiary,WWW.BGCA.ORG,1956,KPMG LLP,,135562976,07-523-6133,BOYS & GIRLS CLUBS OF AMERICA,,Headquarters,,,,,,,1275 PEACHTREE ST NE # 500,ATLANTA,USA,FULTON,GEORGIA,303093509,813410,Civic and Social Organizations,813410,"""Civic and Social Organizations """,8641,"""Civic and social associations""",86410300,Youth organizations,"$158,304,718",360,270,"$158,304,718",360,"60,000"
"SUREFIRE, LLC",Private,09-757-5849,Both,,09-757-5849,"SUREFIRE, LLC",09-757-5849,"SUREFIRE, LLC",33.69771,"SURGICAL APPLIANCES AND SUPPLIES, NSK",-117.936824,Non Manufacturer,Low,1 - Most likely to pay,No,Rent,(714) 545-9444,Non-Subsidiary,WWW.SUREFIRE.COM,2000,,,953812066,09-757-5849,"SUREFIRE, LLC",,Headquarters,,,,,,,18300 MOUNT BALDY CIR,FOUNTAIN VALLEY,USA,ORANGE,CALIFORNIA,927086122,339113,Surgical Appliance and Supplies Manufacturing,,,,,38420103,Ear plugs,"$155,779,727",490,150,"$150,266,201",490,"45,000"
J. CREW INC.,Private,11-600-4417,Both,,96-770-8467,"CHINOS HOLDINGS, INC.",79-953-6271,J. CREW OPERATING CORP.,40.711147,CATALOG AND MAIL-ORDER HOUSES,-74.014686,Manufacturer,N/A,N/A,No,,(212) 209-2500,Subsidiary,WWW.JCREW.COM,1983,,J. CREW WOMEN'S ACCESSORIES,901039136,96-770-8467,"CHINOS HOLDINGS, INC.",,Headquarters,,,,,,,225 LIBERTY ST FL 21,NEW YORK,USA,NEW YORK,NEW YORK,102811048,454110,Electronic Shopping and Mail-Order Houses,,,,,59619923,"Women's apparel, mail order","$155,278,289",800,350,"$173,999,895",800,0
"NORTH AMERICAN RISK SERVICES, INC.",Private,82-516-8235,,,82-516-8235,"NORTH AMERICAN RISK SERVICES, INC.",82-516-8235,"NORTH AMERICAN RISK SERVICES, INC.",28.670412,"INSURANCE AGENTS,BROKERS,AND SERVICE,NSK",-81.384813,Manufacturer,Low,5 - Least Likely to pay,No,,(407) 875-1700,Non-Subsidiary,WWW.NARISK.COM,1997,,NARS,133901415,82-516-8235,"NORTH AMERICAN RISK SERVICES, INC.",,Headquarters,P.O. BOX 166002,ALTAMONTE SPRINGS,USA,SEMINOLE,FLORIDA,327166002,240 E CENTRAL PKWY # 4010,ALTAMONTE SPRINGS,USA,SEMINOLE,FLORIDA,327017848,524291,Claims Adjusting,,,,,64110201,"Insurance claim adjusters, not employed by insurance company","$149,649,984",168,150,"$136,045,440",168,0
HEALTH FITNESS CORPORATION,Public,18-319-6138,,,79-657-9659,TRUSTMARK MUTUAL HOLDING COMPANY,79-657-9659,TRUSTMARK MUTUAL HOLDING COMPANY,42.245517,"HEALTH AND ALLIED SERVICES, NEC, NSK",-87.898286,Manufacturer,High,3 - Neutral,No,,(800) 639-7913,Subsidiary,WWW.HEALTHFITNESS.COM,1987,,,411580506,79-657-9659,TRUSTMARK MUTUAL HOLDING COMPANY,,Headquarters,,,,,,,400 N FIELD DR,LAKE FOREST,USA,LAKE,ILLINOIS,600454809,621999,All Other Miscellaneous Ambulatory Health Care Services,"621999, 713940","""All Other Miscellaneous Ambulatory Health Care Services "", ""Fitness and Recreational Sports Centers ""","7991, 8099","""Physical fitness facilities"", ""Health and allied services, nec""",80990201,Health screening service,"$141,214,267","5,500",135,"$131,796,127","5,500",0
"US GREENFIBER, LLC",Private,80-215-8365,Both,,80-215-8365,"US GREENFIBER, LLC",80-215-8365,"US GREENFIBER, LLC",35.167219,"PLASTERING, DRYWALL, AND INSULATION, NSK",-80.884106,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(704) 379-0640,Non-Subsidiary,WWW.GREENFIBER.COM,2000,,,562204370,80-215-8365,"US GREENFIBER, LLC",,Headquarters,,,,,,,5500 77 CENTER DR STE 100,CHARLOTTE,USA,MECKLENBURG,NORTH CAROLINA,282170160,238310,Drywall and Insulation Contractors,238310,"""Drywall and Insulation Contractors """,1742,"""Plastering, drywall, and insulation""",17420203,"Insulation, buildings","$133,290,677",535,30,"$145,565,749",535,0
"SOUTHERN NATIONAL BANCORP OF VIRGINIA, INC.",Public,79-452-4699,,,79-452-4699,"SOUTHERN NATIONAL BANCORP OF VIRGINIA, INC.",79-452-4699,"SOUTHERN NATIONAL BANCORP OF VIRGINIA, INC.",38.934722,STATE COMMERCIAL BANKS,-77.17982,Manufacturer,Low,2 - Likely to pay,No,Rent,(703) 893-7400,Non-Subsidiary,WWW.SONABANK.COM,2004,"BDO Seidman, LLP",,201417448,79-452-4699,"SOUTHERN NATIONAL BANCORP OF VIRGINIA, INC.",,Headquarters,,,,,,,6830 OLD DOMINION DR,MC LEAN,USA,FAIRFAX,VIRGINIA,221016035,522110,Commercial Banking,522110,"""Commercial Banking """,6022,"""State commercial banks""",60220000,State commercial banks,"$133,110,000",181,14,"$133,110,000",181,0
"CHEDDAR'S CASUAL CAFE, INC.",Private,09-544-6670,,,88-370-4959,"DARDEN RESTAURANTS, INC.",83-245-3109,CHEDDAR'S RESTAURANT HOLDING CORP.,28.41655,EATING PLACES,-81.426086,Manufacturer,High,5 - Least Likely to pay,No,,(214) 596-6700,Subsidiary,WWW.CHEDDARS.COM,1979,,CHEDDAR'S SCRATCH KITCHEN,751617068,88-370-4959,"DARDEN RESTAURANTS, INC.",,Headquarters,,,,,,,1000 DARDEN CENTER DR,ORLANDO,USA,ORANGE,FLORIDA,328374032,722511,Full-Service Restaurants,,,,,58129902,Cafe,"$127,224,118","3,000",23,"$127,224,118","3,000",0
WEICHERT CO,Private,06-497-9016,,,06-497-9016,WEICHERT CO,06-497-9016,WEICHERT CO,40.840402,REAL ESTATE AGENTS AND MANAGERS,-74.456575,Manufacturer,Low,4 - Less likely to pay,No,Rent,(973) 984-1400,Non-Subsidiary,WWW.WEICHERT.COM,1969,,WEICHERT REALTORS,222084741,06-497-9016,WEICHERT CO,,Headquarters,,,,,,,1625 STATE ROUTE 10,MORRIS PLAINS,USA,MORRIS,NEW JERSEY,079502905,531210,Offices of Real Estate Agents and Brokers,531210,"""Offices of Real Estate Agents and Brokers""",6531,"""Real estate agents and managers""",65310100,Real estate brokers and agents,"$121,222,704","2,550","1,000","$125,021,464","2,550","106,000"
THE INTERNATIONAL MISSION BOARD OF THE SOUTHERN BAPTIST CONVENTION,Private,06-235-1499,,,06-235-1499,THE INTERNATIONAL MISSION BOARD OF THE SOUTHERN BAPTIST CONVENTION,06-235-1499,THE INTERNATIONAL MISSION BOARD OF THE SOUTHERN BAPTIST CONVENTION,37.567461,RELIGIOUS ORGANIZATIONS,-77.482625,Non Manufacturer,Low,4 - Less likely to pay,No,Owns,(804) 353-0151,Non-Subsidiary,WWW.IMB.ORG,1845,,IMB,540213930,06-235-1499,THE INTERNATIONAL MISSION BOARD OF THE SOUTHERN BAPTIST CONVENTION,,Headquarters,P.O. BOX 6767,RICHMOND,USA,HENRICO,VIRGINIA,232300767,3806 MONUMENT AVE,RICHMOND,USA,HENRICO,VIRGINIA,232303932,813110,Religious Organizations,,,,,86610103,Baptist Church,"$120,478,676","4,686",500,"$120,478,676","4,686","110,762"
INTERVARSITY CHRISTIAN FELLOWSHIP/USA,Private,06-348-8522,Importer,,06-348-8522,INTERVARSITY CHRISTIAN FELLOWSHIP/USA,06-348-8522,INTERVARSITY CHRISTIAN FELLOWSHIP/USA,43.055851,RELIGIOUS ORGANIZATIONS,-89.47199,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(608) 274-9001,Non-Subsidiary,WWW.INTERVARSITY.ORG,1941,,TWENTY ONE HUNDRED PRODUCTIONS,020468691,06-348-8522,INTERVARSITY CHRISTIAN FELLOWSHIP/USA,,Headquarters,P.O. BOX 7895,MADISON,USA,DANE,WISCONSIN,537077895,635 SCIENCE DR,MADISON,USA,DANE,WISCONSIN,537111074,813110,Religious Organizations,,,,,86610121,Miscellaneous denomination church,"$119,410,000","1,613",105,"$119,410,000","1,613","50,000"
"BEACHBODY, LLC",Private,05-373-9905,Importer,,05-373-9905,"BEACHBODY, LLC",05-373-9905,"BEACHBODY, LLC",34.029579,"RADIO,TV,PUBLISHER REPRESENTATIVES,NSK",-118.457944,Manufacturer,Low,1 - Most likely to pay,Yes,,(310) 883-9000,Non-Subsidiary,WWW.BEACHBODY.COM,1998,,BEACHBODY,954717599,05-373-9905,"BEACHBODY, LLC",,Headquarters,P.O. BOX 1227,PICO RIVERA,USA,LOS ANGELES,CALIFORNIA,906601227,3301 EXPOSITION BLVD FL 3,SANTA MONICA,USA,LOS ANGELES,CALIFORNIA,904045082,541840,Media Representatives,"541840, 611620","""Media Representatives"", ""Sports and Recreation Instruction ""","7313, 7999","""Radio, TV, publisher representatives"", ""Amusement and recreation, nec""",73130100,Electronic media advertising representatives,"$118,386,817",700,500,"$118,386,817",700,0
