"","incident_id","hack","clean_name","year","date_of_breach","breach_end","discover_date","reported_date","total_affected","SSN_breach","drivers_license","credit_debit","credit_monitoring","breach_type","state","letter_url","California","Connecticut","Delaware","Hawaii","Indiana","Iowa","Maine","Maryland","Massachusetts","Montana","New_Hampshire","New_Jersey","N_Dakota","North_Carolina","Oregon","Rhode_Island","South_Carolina","Vermont","Virginia","Washington","Wisconsin","firstdate"
"3068",3068,"2","Capital One Bank","2008","","","","2008-10-23","","","","","1","","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-10-23"
"3187",3187,"1","Carneiro, Chumney & Co.","2008","","","2008-08-08","2008-09-17","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-09-17"
"3216",3216,"2","Caroll Enterprises Inc","2008","","","","2008-12-12","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-12"
"3292",3292,"3","Cavender's Boot City","2008","","","2008-10-01","2008-12-02","","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-12-02"
"3299",3299,"1","CBIZ Benefits & Insurance Services Inc","2008","","","2007-12-26","2008-01-22","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-01-22"
"3369",3369,"2","Centicor","2008","","","","2008-01-03","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/centicor-20080123.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-01-03"
"3370",3370,"2","Centillium Communications","2008","","","","2008-08-19","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-08-19"
"3378",3378,"1","Central Collection Bureau","2008","","","2008-03-21","2008-04-17","7e+05","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-04-17"
"3393",3393,"2","Central New England Health Alliance","2008","","","","2008-04-17","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-17"
"3525",3525,"2","Charter Communications Inc","2008","","","","2008-08-05, 2008-08-11","","1","1","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/charter-communications-20080805.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-08-05"
"3638",3638,"2","Chipotle Mexican Grill Inc","2008","","","","2008-04-15","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/chipolte-mexican-grilll-20080415.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-15"
"3694",3694,"2","Cigna Corp","2008","","","","2008-10-14","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-10-14"
"3723",3723,"2","Circuit City Stores Inc","2008","","","","2008-12-15","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-15"
"3740",3740,"2, 1","Citigroup Inc","2008","","","","2008-03-24, 2008-04-16","","1","","1","1","Electronic, Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-24"
"3741",3741,"2","Citigroup Inc","2008","","","","2008-05-22","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-05-22"
"3788",3788,"2, 1","CitiStreet LLC","2008","","","","2008-03-31","","1","","","1","Electronic, Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-31"
"3789",3789,"2","CitiStreet LLC","2008","","","","2008-06-23","","","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-23"
"3796",3796,"2","Citizens Financial Group Inc","2008","","","","2008-06-23","","","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-23"
"3797",3797,"2","Citizens Financial Group Inc","2008","","","","2008-09-23","","1","","","1","Electronic, Undefined","","",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-23"
"3798",3798,"2","Citizens Financial Group Inc","2008","","","","2008-11-12","","","","","1","Both","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-11-12"
"3799",3799,"2","Citizens Financial Group Inc","2008","","","","2008-12-29","","1","","1","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-29"
"3863",3863,"2","City of Coral Springs FL","2008","","","2008-09-24","2008-09-24, 2008-09-29","","1","1","","","RELEASE/ DISPLAY OF INFO, Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-09-24"
"3943",3943,"2","Clarendon National Insurance Co","2008","","","","2008-10-30","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-10-30"
"4013",4013,"2, 1","CNET Networks Inc","2008","","","2008-05-26","2008-06-16, 2008-06-24","6500","1","","","1","Electronic, STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-06-16"
"4092",4092,"3, 2","Cole National Group Inc","2008","","","2008-04-01","2008-10-13, 2008-10-17","","1","","","1","HACKERS/ UNAUTHORIZED, Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-10-13"
"4093",4093,"3","Cole National Group Inc","2008","","","2008-09-11","2008-12-12","","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-12-12"
"4110",4110,"2","College Board","2008","","","","2008-08-25","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-08-25"
"4125",4125,"2","CollegeNet","2008","","","","2008-10-02","","1","1","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-10-02"
"4129",4129,"2","Collier Co","2008","","","","2008-02-19, 2008-03-11","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-02-19"
"4130",4130,"1","Collier Co","2008","","","","2008-05-15","","1","1","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-05-15"
"4131",4131,"2","Collier Co","2008","","","","2008-06-16","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-16"
"4132",4132,"2","Collier Co","2008","","","","2008-12-03","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-03"
"4174",4174,"2","Colt Express Outsourcing Services Inc","2008","","","","2008-06-19","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/colt-express-20080619.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-19"
"4175",4175,"2","Colt Express Outsourcing Services Inc","2008","","","","2008-07-28","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-28"
"4179",4179,"2","Columbia Capital LLC","2008","","","","2008-04-21","","1","","","","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/columbia-capital-20080421.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-21"
"4232",4232,"1","Comcast Corp","2008","","","","2008-01-29","","","","1","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-01-29"
"4275",4275,"2","Commonwealth Financial Network","2008","","","","2008-11-20","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-11-20"
"4285",4285,"1","Commonwealth of MA- Division of Professional Licensure","2008","","","","2008-04-22","","1","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-22"
"4328",4328,"2","Community College System of NH","2008","","","","2008-04-24","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/community-college-nh-20080424.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-24"
"4433",4433,"2","Concord Regional Visiting Nurse Association","2008","","","","2008-04-18","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/concord-visting-nurse-20080418.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-18"
"4581",4581,"2","Coral Springs, FL (City of)","2008","","","","2008-09-25","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/coral-springs-20080925.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-25"
"4672",4672,"2","Countrywide Home Loans","2008","","","","2008-09-11","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-11"
"4673",4673,"1","Countrywide Home Loans","2008","","","2008-04-28","2008-11-20","","","","","","DATA THEFT BY EMPLOYEE OR, CONTRACTOR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-11-20"
"4722",4722,"2","Crabtree & Evelyn","2008","","","","2008-06-02","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-02"
"4750",4750,"2","Credit Bureau of Traverse City Inc","2008","","","","2008-06-09","","1","","1","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-09"
"4777",4777,"2, 1","Cross Country Staffing","2008","","","2008-02-01","2008-02-08, 2008-02-18","4000","1","","","1","Electronic, STOLEN LAPTOPS, COMPUTERS, & EQUIP","","https://www.doj.nh.gov/consumer/security-breaches/documents/cross-country-staffing-20080218.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-02-08"
"4807",4807,"2","CSA Group","2008","","","","2008-01-21","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/csa-group-20080121.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-01-21"
"4900",4900,"2","D.A. Davidson & Co","2008","","","","2008-02-07","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-02-07"
"4989",4989,"2","Davita","2008","","","","2008-03-03","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/davita-20080303.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-03"
"4994",4994,"2","DaVita HealthCare Partners Inc","2008","","","","2008-11-17","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-11-17"
"4997",4997,"1","DaVita Inc","2008","","","2008-02-04","2008-03-03","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-03-03"
"5262",5262,"3","Digital Marketing Services","2008","","","2007-12-28","2008-07-03","","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-07-03"
"5284",5284,"2","Direct Marketing Services Inc","2008","","","","2008-07-07","","","","1","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-07"
"5438",5438,"2, 1","DJO LLC","2008","","","2008-11-14","2008-12-12, 2008-12-17","","1","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP, Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/djo-20081212.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-12-12"
"5832",5832,"1","Eastern Sales & Marketing, New England","2008","","","","2008-03-28","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-28"
"5855",5855,"2, 1","Ebara Technologies Inc","2008","","","2008-05-27","2008-06-18, 2008-06-19","","1","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP, Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/ebara-technologies-20080618.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-06-18"
"5878",5878,"2","ECU","2008","","","2008-02-06","2008-02-06","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-02-06"
"5904",5904,"2","Education Management Corp","2008","","","","2008-03-07","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-07"
"5960",5960,"2","Electrical Workers Deferred Income Fund Local 103, I.B.E.W","2008","","","","2008-12-24","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-24"
"5987",5987,"2","Elliot Health System","2008","","","","2008-03-03","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/elliot-health-20080303.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-03"
"6019",6019,"2","Emergency Medical Associates","2008","","","","2008-11-04","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/emergency-medical-20081104.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-11-04"
"6020",6020,"2","Emergency Medical Associates of New Jersey","2008","","","","2008-11-06","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-11-06"
"6069",6069,"1","Employment Security Commission of NC","2008","","","2008-03-10","2008-03-14","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-03-14"
"6115",6115,"2","Enterprise Bank","2008","","","","2008-06-09","","","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-09"
"6259",6259,"2","ESM","2008","","","","2008-03-26","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/esm-20080326.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-26"
"6379",6379,"2","Exponent Technologies Inc","2008","","","","2008-07-17","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-17"
"6382",6382,"2","Express Scripts Inc","2008","","","2008-10-28","2008-11-03, 2008-11-12","","1","","","1","Electronic, INFORMATION ONLY","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-11-03"
"6418",6418,"2","F.A. Carmichael Dentistry Inc","2008","","","","2008-03-11","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-11"
"6423",6423,"2","Facebook Inc","2008","","","","2008-06-09","","","1","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-09"
"6447",6447,"2","Fallon Community Health Plan Inc","2008","","","","2008-01-25","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-01-25"
"6484",6484,"2","Family Health Center of Worcester","2008","","","","2008-12-20","","","","","","Undefined","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-20"
"6543",6543,"1","Faulkner Hospital","2008","","","","2008-09-15","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-15"
"6575",6575,"2","Federated Insurance","2008","","","","2008-12-29","","","1","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-29"
"6576",6576,"1","Federated Mutual Insurance Co","2008","","","2008-11-24","2008-12-23","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-12-23"
"6622",6622,"1","Fidelity Investments","2008","","","","2008-04-11","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-11"
"6623",6623,"1","Fidelity Investments","2008","","","","2008-10-20","","1","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-10-20"
"6693",6693,"2","Financial Industry Regulatory Authority","2008","","","","2008-06-04","","","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-04"
"6774",6774,"2","First State Bank of Pinedale","2008","","","","2008-08-20, 2008-08-21","","1","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/first-state-bank-20080820.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-08-20"
"6792",6792,"1, 2","Fischbach LLC","2008","","","2008-03-21","2008-06-30, 2008-07-07","","1","","","1","LOST IN TRANSIT, Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-06-30"
"6794",6794,"1","Fiserv Health Plan Administrator","2008","","","2008-09-25","2008-10-31","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-10-31"
"6795",6795,"2, 3","Fiserv Inc","2008","2008-12-02","","2008-12-02","2008-12-12, 2008-12-15","","","","","","HACKERS/ UNAUTHORIZED","","https://www.doj.nh.gov/consumer/security-breaches/documents/fiserv-20081212.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"2008-12-12"
"6896",6896,"2, 3","Forever 21 Inc","2008","2004-03-25","","2008-08-05","2008-09-16, 2008-09-18, 2008-09-19","98930","","","1","","HACKERS/ UNAUTHORIZED, Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/forever-21-20080916.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"2008-09-16"
"7030",7030,"2","Franklin Savings","2008","","","","2008-09-08","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-08"
"7034",7034,"1","Franklin Templeton Investor Services LLC","2008","","","","2008-07-30","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-30"
"7042",7042,"2","Franklin University","2008","","","2007-12-07","2008-01-07, 2008-01-16","6440","1","","","","RELEASE/ DISPLAY OF INFO, Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/franklin-university-20080107.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-01-07"
"7067",7067,"2","Fremont Group","2008","","","","2008-07-07","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-07"
"7074",7074,"2","Fresenius Medical Care NA","2008","","","","2008-09-04","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-04"
"7182",7182,"1","Gap Inc","2008","","","","2008-06-02","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-06-02"
"7219",7219,"2","GE Aviation Systems","2008","","","","2008-01-25","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-01-25"
"7265",7265,"2","Genica Corporation","2008","","","","2008-03-21","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-21"
"7278",7278,"2, 1","Genworth Financial Inc","2008","","","","2008-03-21, 2008-03-26, 2008-03-28","","1","","","1","Electronic, Paper","","https://www.doj.nh.gov/consumer/security-breaches/documents/genworth-financial-20080326.pdf",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-21"
"7300",7300,"2","Genworth Life and Annuity Insurance Company","2008","","","","2008-03-21, 2008-03-25","","1","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/genworth-life-insurance-20080321.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-21"
"7330",7330,"3","Gerdau Ameristeel Corp","2008","","","2008-04-11","2008-04-11","","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-04-11"
"7357",7357,"2","Gilead Sciences Inc","2008","","","","2008-07-11, 2008-07-14","","1","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/gilead-sciences-20080711.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-11"
"7406",7406,"2","Global University","2008","","","","2008-09-17","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/gloria-jean-coffee-20080917.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-17"
"7408",7408,"2","Gloria Jean's Gourmet Coffee Pty Ltd","2008","","","","2008-09-22","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-22"
"7414",7414,"1","GMAC Ditech","2008","","","","2008-08-11","","1","","1","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-08-11"
"7415",7415,"1, 2","GMAC Insurance","2008","","","2008-03-25","2008-04-02, 2008-04-08","","1","","","1","STOLEN LAPTOPS, COMPUTERS, & EQUIP, Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-04-02"
"7416",7416,"1","GMAC Mortgage LLC","2008","","","","2008-08-11","","","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-08-11"
"7417",7417,"2","GMAC Mortgage LLC","2008","","","","2008-11-17","","","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-11-17"
"7458",7458,"1, 2","Goldman Sachs & Co LLC","2008","","","2008-05-28","2008-07-24, 2008-08-12","","1","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP, Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-07-24"
