"","clean_name","X","incident_id","hack","year","date_of_breach","breach_end","discover_date","reported_date","total_affected","SSN_breach","drivers_license","credit_debit","credit_monitoring","breach_type","state","letter_url","California","Connecticut","Delaware","Hawaii","Indiana","Iowa","Maine","Maryland","Massachusetts","Montana","New_Hampshire","New_Jersey","N_Dakota","North_Carolina","Oregon","Rhode_Island","South_Carolina","Vermont","Virginia","Washington","Wisconsin","firstdate","�..Company.Name","Company.Type","D.U.N.S..Number","Manufacturing.Indicator","Subsidiary.Status","Year.of.Founding","Location.Type","Physical.State","Primary.NAICS.Code","Primary.NAICS.Description","Secondary.NAICS.Code","Secondary.NAICS.Description","Secondary.SIC.Code","Secondary.SIC.Description","Primary.SIC.Code","Primary.SIC.Description","Sales","Employee.All.Sites","Employee.this.Site","Sales..Year.1.","DUNS_2"
"341","Centric Software Inc",3412,3412,"2",2010,"",NA,"","2010-08-09","",NA,NA,NA,NA,"",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/centric-software-20100809.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-08-09","CENTRIC SOFTWARE, INC.","Private","60-577-7085","Manufacturer","Non-Subsidiary",1989,"Headquarters","CALIFORNIA",541611,"Administrative Management and General Management Consulting Services","","","","",87420000,"Management consulting services","$22,779,176 ","98","42","$18,825,765 ","54"
"342","Ceridian Corp",3430,3430,"3, 2",2010,"",NA,"2009-12-28","2010-02-01, 2010-02-02","",1,NA,NA,1,"HACKERS/ UNAUTHORIZED, ACCESS, Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/ceridian-20100201.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Ceridian HCM HLDG Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CERIDIAN HCM HOLDING INC.","Public","07-916-8841","Manufacturer","Non-Subsidiary",2007,"Headquarters","MINNESOTA",551112,"Offices of Other Holding Companies","","","","",67199901,"Investment holding companies, except banks","$824,100,000 ","4,444","0","$746,400,000 ","55"
"344","Certegy Check Services Inc",3433,3433,"1, 2",2007,"",NA,"2007-06-27","2007-07-04, 2007-07-05, 2007-07-19, 2007-07-30","8500000",NA,NA,NA,NA,"DATA THEFT BY EMPLOYEE OR CONTRACTOR",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-20080705.pdf, https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-20070919.pdf, https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-fis-20080730.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-07-04","CERTEGY CHECK SERVICES INC","Private","17-354-0464","Manufacturer","Non-Subsidiary",0,"Branch","TEXAS",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","","","","",73890902,"Check validation service","$100,000","0","2","$160,000","52"
"345","Charles River Medical Associates, P.C.",3484,3484,"2",2010,"",NA,"","2010-12-20","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-12-20","CHARLES RIVER MEDICAL ASSOCIATES PC","Private","11-071-6222","Manufacturer","Non-Subsidiary",1995,"Headquarters","MASSACHUSETTS",621111,"Offices of Physicians (except Mental Health Specialists)","","","","",80110105,"Internal medicine, physician/surgeon","$7,943,817 ","35","5","$7,943,817 ","62"
"346","Charles Schaw & Co Inc",3485,3485,"2, 1",2009,"2009-05-01",NA,"2009-05-01","2009-06-10, 2009-06-11, 2009-06-12, 2009-06-16","",1,NA,NA,1,"Electronic, STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/charles-schwab-20090612.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"2009-06-10","THE CHARLES SCHWAB CORPORATION","Public","00-130-7974","Manufacturer","Non-Subsidiary",1986,"Headquarters","CALIFORNIA",523120,"Securities Brokerage","522320, 523120, 523930, 523991","""Financial Transactions Processing, Reserve, and Clearinghouse Activities "", ""Securities Brokerage "", ""Investment Advice "", ""Trust, Fiduciary, and Custody Activities ""","6091, 6211, 6282, 7389","""Nondeposit trust facilities"", ""Security brokers and dealers"", ""Investment advice"", ""Business services, nec""",62110102,"Brokers, security","$10,721,000,000 ","19,500","111","$10,989,000,000 ","52"
"347","Chart Industries Inc",3524,3524,"2",2009,"",NA,"","2009-08-10","",NA,NA,NA,NA,"",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/chart-industries-20090810.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-10","CHART INDUSTRIES, INC.","Public","79-609-3458","Non Manufacturer","Non-Subsidiary",1992,"Headquarters","GEORGIA",333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","333249, 333415, 333999","""Other Industrial Machinery Manufacturing "", ""Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing "", ""All Other Miscellaneous General Purpose Machinery Manufacturing ""","3443, 3559, 3569","""Fabricated plate work (boiler shops)"", ""Special industry machinery, nec"", ""General industrial machinery, nec""",34430200,"Heat exchangers, condensers, and components","$1,299,100,000 ","4,605","26","$1,084,300,000 ","33"
"348","Charter Communications Inc",3525,3525,"2",2008,"",NA,"","2008-08-05, 2008-08-11","",1,1,NA,1,"Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/charter-communications-20080805.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-08-05","CHARTER COMMUNICATIONS, INC.","Public","15-077-6503","Manufacturer","Non-Subsidiary",1999,"Headquarters","CONNECTICUT",517911,"Telecommunications Resellers","515210, 517911","""Cable and Other Subscription Programming"", ""Telecommunications Resellers ""","4813, 4841","""Telephone communications, exc. radio"", ""Cable and other pay TV services""",48130000,"Telephone communication, except radio","$45,764,000,000 ","98,000","129","$43,634,000,000 ","51"
"349","Chase Auto Finance Corp",3534,3534,"2",2009,"",NA,"","2009-04-13","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-13","CHASE AUTO FINANCE CORP.","Private","80-601-8412","Manufacturer","Non-Subsidiary",0,"Single Location","NEW YORK",522291,"Consumer Lending","","","","",61410101,"Automobile loans, including insurance","$81,746,131 ","410","410","$22,200,000 ","52"
"350","Chase Bank USA, N.A.",3535,3535,"2",2009,"",NA,"","2009-12-24","",1,NA,1,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-24","CHASE INVESTMENT SERVICES CORP.","Private","78-706-7029","Manufacturer","Subsidiary",1989,"Headquarters","ILLINOIS",523930,"Investment Advice","","","","",62820000,"Investment advice","$1,790,250 ","9","7","$1,790,250 ","52"
"351","Chase Bank USA, N.A.",3536,3536,"2",2010,"",NA,"","2010-02-23","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-02-23","CHASE INVESTMENT SERVICES CORP.","Private","78-706-7029","Manufacturer","Subsidiary",1989,"Headquarters","ILLINOIS",523930,"Investment Advice","","","","",62820000,"Investment advice","$1,790,250 ","9","7","$1,790,250 ","52"
"352","Chase Investment Services Corp",3541,3541,"2",2010,"",NA,"","2010-01-11","",NA,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-11","CHASE INVESTMENT SERVICES CORP.","Private","78-706-7029","Manufacturer","Subsidiary",1989,"Headquarters","ILLINOIS",523930,"Investment Advice","","","","",62820000,"Investment advice","$1,790,250 ","9","7","$1,790,250 ","52"
"353","CHD",3545,3545,"1",2010,"",NA,"","2010-06-01","",NA,NA,NA,NA,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","Chelsea Bank",3554,3554,"2",2009,"",NA,"","2009-01-29","",NA,NA,1,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-29","CHELSEA STATE BANK (INC)","Public","00-799-9899","Manufacturer","Non-Subsidiary",1897,"Headquarters","MICHIGAN",522110,"Commercial Banking","","","","",60229901,"State trust companies accepting deposits, commercial","$12,290,000 ","61","61","$11,256,000 ","52"
"355","Chesapeake Energy",3566,3566,"1",2010,"",NA,"2010-07-29","2010-09-20","",NA,NA,NA,NA,"LOST IN TRANSIT",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-09-20","CHESAPEAKE ENERGY CORPORATION","Public","80-009-0045","Manufacturer","Non-Subsidiary",1989,"Headquarters","OKLAHOMA",211120,"Crude Petroleum Extraction ","211120","""Crude Petroleum Extraction ""","1311","""Crude petroleum and natural gas""",13110101,"Crude petroleum production","$8,595,000,000 ","2,350","1,435","$10,231,000,000 ","21"
"356","Chicago IL City of",3583,3583,"2",2009,"",NA,"","2009-03-16","",NA,NA,NA,NA,"",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/chicago-20080316.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","Children's Friend",3599,3599,"1",2009,"",NA,"","2009-11-09","",1,NA,NA,NA,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-09","CHILDREN'S FRIEND, INC.","Private","09-238-7281","Manufacturer","Non-Subsidiary",1976,"Headquarters","GEORGIA",624410,"Child Day Care Services","","","","",83519901,"Group day care center","$24,575,743 ","950","15","$25,610,351 ","62"
"358","Children's Hospital Boston",3607,3607,"2",2010,"",NA,"","2010-11-15","",1,NA,NA,1,"Undefined",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-11-15","CHILDRENS HOSPITAL LEAGUE CORPORATION","Private","96-645-2612","Manufacturer","Non-Subsidiary",1982,"Single Location","MASSACHUSETTS",622110,"General Medical and Surgical Hospitals","","","","",80699901,"Childrens' hospital","$787,713 ","5","5","$562,807 ","62"
"359","Children's Hospital Boston",3605,3605,"2",2009,"",NA,"","2009-04-21","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-21","CHILDRENS HOSPITAL LEAGUE CORPORATION","Private","96-645-2612","Manufacturer","Non-Subsidiary",1982,"Single Location","MASSACHUSETTS",622110,"General Medical and Surgical Hospitals","","","","",80699901,"Childrens' hospital","$787,713 ","5","5","$562,807 ","62"
"360","Children's Hospital Boston",3603,3603,"2",2009,"",NA,"","2009-02-12","",NA,NA,NA,NA,"",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-hospital-20090212.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-12","CHILDRENS HOSPITAL LEAGUE CORPORATION","Private","96-645-2612","Manufacturer","Non-Subsidiary",1982,"Single Location","MASSACHUSETTS",622110,"General Medical and Surgical Hospitals","","","","",80699901,"Childrens' hospital","$787,713 ","5","5","$562,807 ","62"
"361","Children's Hospital Boston",3606,3606,"2",2010,"",NA,"","2010-06-21","",NA,1,1,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-06-21","CHILDRENS HOSPITAL LEAGUE CORPORATION","Private","96-645-2612","Manufacturer","Non-Subsidiary",1982,"Single Location","MASSACHUSETTS",622110,"General Medical and Surgical Hospitals","","","","",80699901,"Childrens' hospital","$787,713 ","5","5","$562,807 ","62"
"362","Children's Hospital Boston",3604,3604,"1",2009,"",NA,"","2009-03-23","",1,NA,NA,1,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-23","CHILDRENS HOSPITAL LEAGUE CORPORATION","Private","96-645-2612","Manufacturer","Non-Subsidiary",1982,"Single Location","MASSACHUSETTS",622110,"General Medical and Surgical Hospitals","","","","",80699901,"Childrens' hospital","$787,713 ","5","5","$562,807 ","62"
"363","Children's Hospital, Boston",3611,3611,"2",2009,"",NA,"","2009-01-27","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-27","BOSTON CHILDREN'S HOSPITAL","Private","07-957-1080","Manufacturer","Non-Subsidiary",NA,"Single Location","MASSACHUSETTS",622110,"General Medical and Surgical Hospitals","","","","",80699901,"Childrens' hospital","$3,144,958 ","0","0","$2,859,053 ","62"
"364","Chipotle Mexican Grill Inc",3638,3638,"2",2008,"",NA,"","2008-04-15","",NA,NA,NA,NA,"",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/chipolte-mexican-grilll-20080415.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-15","CHIPOTLE MEXICAN GRILL, INC.","Public","80-605-8632","Manufacturer","Non-Subsidiary",1993,"Headquarters","CALIFORNIA",722511,"Full-Service Restaurants","722410, 722511","""Drinking Places (Alcoholic Beverages) "", ""Full-Service Restaurants ""","5812, 5813","""Eating places"", ""Drinking places""",58120112,"Mexican restaurant","$5,586,369,000 ","73,000","100","$4,864,985,000 ","72"
"365","Chowan Hospital",3661,3661,"1",2010,"",NA,"2010-02-26","2010-06-01","",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-06-01","CHOWAN HOSPITAL","Private","06-923-3392","Manufacturer","Non-Subsidiary",0,"Single Location","NORTH CAROLINA",621111,"Offices of Physicians (except Mental Health Specialists)","","","","",80110107,"Neurologist","$140,000 ","3","3","$140,000 ","62"
"366","CHS Inc",3674,3674,"2, 1",2010,"",NA,"2010-11-15","2010-12-21, 2010-12-28","",1,NA,NA,1,"RELEASE/ DISPLAY OF INFO, Paper",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/chs-20101221.pdf",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-12-21","CHS INC.","Public","00-614-7177","Non Manufacturer","Non-Subsidiary",1930,"Headquarters","MINNESOTA",424510,"Grain and Field Bean Merchant Wholesalers","211120, 311224, 324110, 424510, 424910, 486910","""Crude Petroleum Extraction "", ""Soybean and Other Oilseed Processing "", ""Petroleum Refineries"", ""Grain and Field Bean Merchant Wholesalers "", ""Farm Supplies Merchant Wholesalers "", ""Pipeline Transportation of Refined Petroleum Products""","1311, 2075, 2911, 4613, 5153, 5191","""Crude petroleum and natural gas"", ""Soybean oil mills"", ""Petroleum refining"", ""Refined petroleum pipelines"", ""Grain and field beans"", ""Farm supplies""",51530100,"Grains","$31,900,453,000 ","10,703","763","$32,683,347,000 ","42"
"367","Cigna Corp",3695,3695,"2",2009,"",NA,"","2009-04-29, 2009-05-11","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-29","CIGNA CORPORATION","Public","08-116-1936","Manufacturer","Non-Subsidiary",2018,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524114","""Direct Health and Medical Insurance Carriers ""","6324","""Hospital and medical service plans""",63240000,"Hospital and medical service plans","$153,566,000,000","73,700","19","$141,680,600,000","52"
"368","Cigna Corp",3695,3695,"2",2009,"",NA,"","2009-04-29, 2009-05-11","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-29","CIGNA CORPORATION","Public","08-116-1936","Manufacturer","Non-Subsidiary",2018,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524114","""Direct Health and Medical Insurance Carriers ""","6324","""Hospital and medical service plans""",63240000,"Hospital and medical service plans","$153,566,000,000 ","73,700","19","$141,680,600,000 ","52"
"369","Cigna Corp",3693,3693,"2",2006,"",NA,"2006-07-15","2006-07-24","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-07-24","CIGNA CORPORATION","Public","08-116-1936","Manufacturer","Non-Subsidiary",2018,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524114","""Direct Health and Medical Insurance Carriers ""","6324","""Hospital and medical service plans""",63240000,"Hospital and medical service plans","$153,566,000,000","73,700","19","$141,680,600,000","52"
"370","Cigna Corp",3693,3693,"2",2006,"",NA,"2006-07-15","2006-07-24","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-07-24","CIGNA CORPORATION","Public","08-116-1936","Manufacturer","Non-Subsidiary",2018,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524114","""Direct Health and Medical Insurance Carriers ""","6324","""Hospital and medical service plans""",63240000,"Hospital and medical service plans","$153,566,000,000 ","73,700","19","$141,680,600,000 ","52"
"371","Cigna Corp",3696,3696,"2",2010,"",NA,"2010-04-29","2010-08-06","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-08-06","CIGNA CORPORATION","Public","08-116-1936","Manufacturer","Non-Subsidiary",2018,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524114","""Direct Health and Medical Insurance Carriers ""","6324","""Hospital and medical service plans""",63240000,"Hospital and medical service plans","$153,566,000,000","73,700","19","$141,680,600,000","52"
"372","Cigna Corp",3696,3696,"2",2010,"",NA,"2010-04-29","2010-08-06","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-08-06","CIGNA CORPORATION","Public","08-116-1936","Manufacturer","Non-Subsidiary",2018,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524114","""Direct Health and Medical Insurance Carriers ""","6324","""Hospital and medical service plans""",63240000,"Hospital and medical service plans","$153,566,000,000 ","73,700","19","$141,680,600,000 ","52"
"373","Cigna Corp",3694,3694,"2",2008,"",NA,"","2008-10-14","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-10-14","CIGNA CORPORATION","Public","08-116-1936","Manufacturer","Non-Subsidiary",2018,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524114","""Direct Health and Medical Insurance Carriers ""","6324","""Hospital and medical service plans""",63240000,"Hospital and medical service plans","$153,566,000,000","73,700","19","$141,680,600,000","52"
"374","Cigna Corp",3694,3694,"2",2008,"",NA,"","2008-10-14","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-10-14","CIGNA CORPORATION","Public","08-116-1936","Manufacturer","Non-Subsidiary",2018,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524114","""Direct Health and Medical Insurance Carriers ""","6324","""Hospital and medical service plans""",63240000,"Hospital and medical service plans","$153,566,000,000 ","73,700","19","$141,680,600,000 ","52"
"375","Cincinnati Children's Hospital",3711,3711,"1, 2",2010,"",NA,"2010-03-30","2010-05-27, 2010-06-01","",NA,NA,NA,1,"STOLEN LAPTOPS, COMPUTERS, & EQUIP, Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-05-27","CINCINNATI CHILDRENS HOSPITAL","Private","08-070-9482","Manufacturer","Non-Subsidiary",2017,"Single Location","OHIO",621999,"All Other Miscellaneous Ambulatory Health Care Services","","","","",80999905,"Medical services organization","$1,877,908 ","24","24","$1,864,641 ","62"
"376","Circle Graphics Inc",3721,3721,"2",2010,"",NA,"","2010-06-07","",NA,NA,1,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-06-07","CIRCLE GRAPHICS, INC.","Private","00-105-6063","Non Manufacturer","Non-Subsidiary",2005,"Headquarters","COLORADO",323111,"Commercial Printing (except Screen and Books)","","","","",27590000,"Commercial printing, nec","$183,678,016 ","600","277","$178,315,565 ","32"
"377","Circuit City / Chase",3722,3722,"2",2006,"",NA,"2006-07-10","2006-09-27","2600000",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-09-27","SYSTEMAX INC.","Public","88-447-5039","Manufacturer","Non-Subsidiary",1949,"Headquarters","NEW YORK",423440,"Other Commercial Equipment Merchant Wholesalers","423440, 454110","""Other Commercial Equipment Merchant Wholesalers "", ""Electronic Shopping and Mail-Order Houses ""","5046, 5961","""Commercial equipment, nec"", ""Catalog and mail-order houses""",50460000,"Commercial equipment, nec","$946,900,000","1,900","260","$896,900,000","42"
"378","Circuit City Stores Inc",3723,3723,"2",2008,"",NA,"","2008-12-15","",NA,NA,1,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-15","CIRCUIT CITY STORES, INC.","Public","00-895-6757","Manufacturer","Non-Subsidiary",0,"Single Location","VIRGINIA",443142,"Electronics Stores","","","","",57310000,"Radio, television, and electronic stores","$11,743,691,000 ","45,885","1,000","$11,743,691,000 ","44"
"379","Citigroup Global Markets Inc",3732,3732,"1",2010,"",NA,"","2010-03-29","",1,NA,NA,1,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-03-29","CITIGROUP GLOBAL MARKETS INC.","Private","00-699-0428","Manufacturer","Subsidiary",1873,"Headquarters","NEW YORK",523120,"Securities Brokerage","","","","",62110000,"Security brokers and dealers","$5,495,924,174 ","28,000","1,500","$4,439,651,282 ","52"
"380","Citigroup Global Markets Inc",3733,3733,"2",2010,"",NA,"","2010-12-06","",1,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-12-06","CITIGROUP GLOBAL MARKETS INC.","Private","00-699-0428","Manufacturer","Subsidiary",1873,"Headquarters","NEW YORK",523120,"Securities Brokerage","","","","",62110000,"Security brokers and dealers","$5,495,924,174 ","28,000","1,500","$4,439,651,282 ","52"
"381","Citigroup Inc",3740,3740,"2, 1",2008,"",NA,"","2008-03-24, 2008-04-16","",1,NA,1,1,"Electronic, Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-24","CITIGROUP INC.","Public","19-732-9691","Manufacturer","Non-Subsidiary",1812,"Headquarters","NEW YORK",522110,"Commercial Banking","522110, 522291, 524113, 524126","""Commercial Banking "", ""Consumer Lending "", ""Direct Life Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers ""","6021, 6141, 6311, 6321, 6331","""National commercial banks"", ""Personal credit institutions"", ""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance""",60210000,"National commercial banks","$103,449,000,000 ","204,000","2,000","$72,854,000,000 ","52"
"382","Citigroup Inc",3742,3742,"2",2010,"",NA,"","2010-04-05","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-04-05","CITIGROUP INC.","Public","19-732-9691","Manufacturer","Non-Subsidiary",1812,"Headquarters","NEW YORK",522110,"Commercial Banking","522110, 522291, 524113, 524126","""Commercial Banking "", ""Consumer Lending "", ""Direct Life Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers ""","6021, 6141, 6311, 6321, 6331","""National commercial banks"", ""Personal credit institutions"", ""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance""",60210000,"National commercial banks","$103,449,000,000 ","204,000","2,000","$72,854,000,000 ","52"
"383","Citigroup Inc",3741,3741,"2",2008,"",NA,"","2008-05-22","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-05-22","CITIGROUP INC.","Public","19-732-9691","Manufacturer","Non-Subsidiary",1812,"Headquarters","NEW YORK",522110,"Commercial Banking","522110, 522291, 524113, 524126","""Commercial Banking "", ""Consumer Lending "", ""Direct Life Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers ""","6021, 6141, 6311, 6321, 6331","""National commercial banks"", ""Personal credit institutions"", ""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance""",60210000,"National commercial banks","$103,449,000,000 ","204,000","2,000","$72,854,000,000 ","52"
