Clean Name,Company ,Address,Street Address,Cities,State,Zip Code,DUNS No
New Penn Financial LLC,New Penn Financial LLC,"4000 Chemical Road, Suite 200, Plymouth Meeting, PA 19462","4000 Chemical Road, Suite 200",Pymouth Meeting,PA,19462,05-527-7893
Arcadis U.S. Inc,Arcadis U.S. Inc,"630 Plaza Drive, Suite 100, Highlands Ranch, CO 80129","630 Plaza Drive, Suite 100",Highlands Ranch,CO,80129,08-150-9838
WEI Mortgage LLC,"WEI Mortgage, LLC","4000 Midlantic Drive, Suite 102, Mount Laurel, NJ 08054","4000 Midlantic Drive, Suite 102",Mount Laurel,NJ,08054,06-597-3897
MFTstamps.com,MFTstamps.com; ,,,,,,
Bennington-Rutland Supervisory Union,Bennington-Rutland Supervisory Union,"6378 Vermont Route 7A, Sunderland, VT 05250",6378 Vermont Route 7A,Sunderland,VT,05250,19-350-5567
"Hayden, Narey & Persich","Hayden, Narey & Persich","2340 S El Camino Real, #15, San Clemente, CA 92672","2340 S El Camino Real, #15",San Clemente,CA,92672,07-498-0293
JAM Paper & Envelope,JAM Paper & Envelope,"185 Legrand Avenue, Northvale, NJ 07647",185 Legrand Avenue,Northvale,NJ,07647,80-241-0691
Uber Technologies Inc,"Uber Technologies, Inc.","1455 Market Street, San Francisco, CA 94103",1455 Market Street,San Francisco,CA,94103,01-389-5459
IH Mississippi Valley Credit Union,"IH Mississippi Valley Credit Union (""IHMVCU"")","2121 47th St., Moline, IL 61265",2121 47th St.,Moline,IL,61265,05-896-6809
Grass Advantage LLC,"Grass Advantage, LLC (d/b/a Amazing Grass)","230 Newport Center Drive, Ste 300, Newport Beach, CA 92260","230 Newport Center Drive, Ste 300",Newport Beach,CA,92260,
Nutrex Hawaii Inc,"Nutrex Hawaii, Inc.",,,,,,
Combat Brands LLC,"Combat Brands, LLC","15850 West 108th Street, Lenexa, KS 66219",15850 West 108th Street,Lenexa,KS,66219,07-851-8162
Lincoln National Life Insurance Co,Lincoln National Life Insurance Company,"1300 S. Clinton Street, Fort Wayne, IN 46802",1300 S. Clinton Street,Fort Wayne,IN,46802,00-699-6763
Pulmonary Specialists of Louisville PSC,"Pulmonary Specialists of Louisville, PSC",,,,,,07-743-7371
Baylor College of Medicine,Baylor College of Medicine,"One Baylor Plaza, Houston, TX 77030",One Baylor Plaza,Houston,TX,77030,05-111-3330
Randolph Savings Bank,Randolph Savings Bank,"10 Cabot PL, Stoughton, MA 02072",10 Cabot PL,Stoughton,MA,02072,01-976-1139
JRK Hotel Group,JRK Hotel Group,"1176 Wilshire Boulevard, Ste. 1500, Los Angeles, CA 90025","1176 Wilshire Boulevard, Ste. 1500",Los Angeles,CA,90025,82-979-3194
#N/A,39DollarGlasses.com,,,,,,03-940-9741
Char-Broil LLC,Char Broil,,,,,,78-785-1166
Classic Firearms,Classic Firearms,,,,,,61-027-8459
Dailysale.com,Dailysale.com,,,,,,
ICSC,ICSC,,,,,,
Minnesotaworkwear.com,Minnesotaworkwear.com,,,,,,
Pure Prescriptions,Pure Prescriptions,,,,,,02-455-8669
Spark Pay Online Store,Spark Pay Online,,,,,,
USA Hoist Company Inc,"USA Hoist Company, Inc., Mid-American Elevator Company, Inc. and Mid-American Elevator Equipment Company, Inc.","820 North Wilcott Ave., Chicago, IL 60622",820 North Wilcott Ave.,Chicago,IL,60622,11-846-2022
GCI Communication Corp,GCI Communications Corp.,"2550 Denali Street, Suite 1000, Anchorage, AK 99503-2751","2550 Denali Street, Suite 1000",Anchorage,AK,99503-2751,62-370-4731
State of Maine Department of Health and Human Services,State of Maine Department of Health and Human Services,"11 State House Station, Augusta, Maine 04333",11 State House Station,Augusta,ME,04333,05-797-9312
City of Holly Springs,City of Holly Springs,"3237 Holly Springs Parkway, Holly Springs, GA 30115",3237 Holly Springs Parkway,Holly Springs,GA,30115,01-886-9669
SallieMae Inc,SallieMae (SmartyPig LLC d/b/a Q2 Labs),"300 Continental Drive, Newark, DE 19713",300 Continental Drive,Newark,DE,19713,
Gallagher NAC,Gallagher NAC,"16476 Wild Horse Creek Road, Chesterfield, MO 63017",16476 Wild Horse Creek Road,Chesterfield,MO,63017,
Little River Healthcare-Central Texas LLC,"Little River Healthcare - Central Texas, LLC d/b/a Little River Waco Ear Nose and Throat",,,,,,08-034-1653
Memory4Less,Memory4Less,"1504 W. Commonwealth Ave., Fullerton, CA 92833",1504 W. Commonwealth Ave.,Fullerton,CA,92833,
North American Tile Co,North American Title Company,"760 Northwest 107th Avenue, Suite 400, Miami, FL 33172","760 Northwest 107th Avenue, Suite 400",Miami,FL,33172,61-340-0720
Tween Brands Inc,"Tween Brands, Inc.","8323 Walton Parkway, New Albany, OH 43054",8323 Walton Parkway,New Albany,OH,43054,96-575-8188
Wilbraham Lawler & Buba PC,"Wilbraham, Lawler & Buba, ",,,,,,80-123-9252
Rain Bird Corp,Rain Bird Corporation,"970 West Sierra Madre Ave., Azusa, CA 91702",970 West Sierra Madre Ave.,Azusa,CA,91702,00-848-9197
Home Box Office Inc,"Home Box Office, Inc.","1100 Avenue of the Americas, New York, NY 10036",1100 Avenue of the Americas,New York,NY,10036,13-824-4731
Interstate Plastics Inc,"Interstate Plastics, Inc.","3299 Ramos Circle, Sacramento, CA 95827",3299 Ramos Circle,Sacramento,CA,95827,
Advisory Research Inc,Advisory Research,"180 North Stentson Avenue, Suite 5500, Chicago, IL 60601","180 North Stentson Avenue, Suite 5500",Chicago,IL,60601,01-027-5089
US Cellular Corp,US Cellular Corp,"8410 W Bryn Mawr, Chicago, IL 60631",8410 W Bryn Mawr,Chicago,IL,60631,11-823-9292
Lighthouse Management Services LLC,"LightHouse Management Services, LLC d/b/a Home Properties","300 Clinton Square, Rochester, NY 14606",300 Clinton Square,Rochester,NY,14606,03-730-1527
Whole Foods Market Services Inc,"Whole Foods Market Services, Inc.","550 Bowie Street, Austin, TX 78703",550 Bowie Street,Austin,TX,78703,09-373-5686
College of the Holy Cross,College of theHoly Cross,"1 College Street, Worcester, MA 01610",1 College Street,Worcester,MA,01610,04-150-9506
,C&K Properties d/b/a Corsetti's,"125 Bridgton Road, Westbrook, ME 04092",125 Bridgton Road,Westbrook,ME,04092,00-245-2084
Atlantis Paradise Island,Atlantis Paradise Island,,,,,,00-593-0692
Innoas Inc,Innoas Inc.,,,,,,05-710-6636
Villa JTM 10 Internet Sales,Villa JTM 10 Internet Sales,,,,,,
Walk in the Word-E Com,Walk in the Word-E Com,,,,,,
Way.com,Way.com,,,,,,07-920-1269
CCI Holdings Inc,"CCI Holdings, Inc. d/b/a Coin Cafe","240 Kent Ave, Brooklyn, NY 11249",240 Kent Ave,Brooklyn,NY,11249,08-853-2319
International Council of Shopping Centers,"International Council of Shopping Centers (""ICSC"") - Update",,,,,,06-825-8326
BMT Designers & Planners Inc,"BMT Designers & Planners, Inc","4401 Ford Avenue, Suite 1000, Alexandria, VA 22302","4401 Ford Avenue, Suite 1000",Alexandria,VA,22302,01-853-9619
Pizza Hut LLC,"Pizza Hut, LLC","7100 Corporate Drive, Plano, TX 75024",7100 Corporate Drive,Plano,TX,75024,09-770-4928
Spark Pay Online Store,Spark Pay Online (firner subsidiary of Capital One),,,,,,
West Music Inc,"West Music Company, Inc.","1212 5th Street, Coralville, IA 52241",1212 5th Street,Coralville,IA,52241,02-220-4960
International Council of Shopping Centers,"International Council of Shopping Centers (""ICSC"")",,,,,,06-825-8326
PressureParts Inc,"PressureParts, Inc.","7820 L. Street, Omaha, NE 68127",7820 L. Street,Omaha,NE,68127,04-087-2195
Provo Craft & Novelty Inc,"Provo Craft & Novelty, Inc., d/b/a Cricut","10855 South River Front Parkway #400, South Jordan, Utah 84095",10855 South River Front Parkway #400,South Jordan,UT,84095,01-345-0232
Hyatt Hotel Corp,Hyatt Hotels Corp,"71 South Wacker Drive, 12th Floor, Chicago, IL 60606","71 South Wacker Drive, 12th Floor",Chicago,IL,60606,11-416-4197
Equifax Mortgage Services,"Equifax, Inc.","1550 Peachtree Street, N.E., Atlanta,GA 30309","1550 Peachtree Street, N.E.",Atlanta,GA,30309,04-581-2369
Universal Nutrition,Universal Nutrition,"3 Terminal Road, New Brunswick, NJ, 08901",3 Terminal Road,New Brunswick,NJ,08901,
Droege Computing Services,Droege Computing Services,"20 West Colony Place, Durham, NC 27705",20 West Colony Place,Durham,NC,27705,19-971-5152
Atlantic Cigar Company LLC,"Atlantic Cigar Company, LLC","3 Horne Drive, Suite 102, Folcroft, PA 19032","3 Horne Drive, Suite 102",Folcroft,PA,19032,80-099-8812
Phillips & Temro Industries Inc,"Phillips & Temro Industries, Inc.","9700 West 74th Street, Eden Prairie, MN 55344",9700 West 74th Street,Eden Prairie,MN,55344,06-652-5213
#N/A,ABC Carpet & Home,,,,,,10-214-7006
Kayser-Roth Corp,Kayser-Roth Corporation,"102 Corporate Center Blvd, Greensboro, NC 27408",102 Corporate Center Blvd,Greensboro,NC,27408,00-148-2033
Catholic United Financial,Catholic United Financial,,,,,,07-649-9961
Tommie Copper Inc,"Tommie Copper, Inc.","74 South Moger Avenue, Mount Kisco, NY 10549",74 South Moger Avenue,Mount Kisco,NY,10549,08-117-6569
Navy Federal Credit Union,Navy Federal Credit Union,,,,,,06-926-9975
Avanti Markets Inc,Avanti Markets Inc. (Update),,,,,,05-472-3888
Cabrillo Community College,Cabrillo Community College District,"6500 Soquel Drive, Aptos, CA 95003",6500 Soquel Drive,Aptos,CA,95003,96-472-4277
McNair & Company Inc,"McNair & Company, Inc.","1313 Dolley Madison Blvd, Suite 309, McLean, VA 22101","1313 Dolley Madison Blvd, Suite 309",McLean,VA,22101,
Neue Galerie,Neue Galerie,"1048 5th Avenue, New York, NY 10028",1048 5th Avenue,New York,NY,10028,02-503-9376
Lake Champlain Chocolates,Lake Champlain Chocolates,"750 Pine Street, Burlington, VT 05401",750 Pine Street,Burlington,VT,05401,13-627-1561
Sonic Corp,SONIC Corp,"300 Johnny Bench Drive, Oklahoma City, OK 73104",300 Johnny Bench Drive,Oklahoma City,OK,73104,60-945-6033
FlexShopper LLC,FlexShopper,,,,,,83-278-8132
Yahoo! Inc,"Yahoo, Inc. (update)",,,,,,82-982-7877
Alpha Industries Inc,"Alpha Industries, Inc","14200 Park Meadow Drive, Ste 110S, Chantilly, VA 20151","14200 Park Meadow Drive, Ste 110S",Chantilly,VA,20151,00-337-7694
The Online Traffic School Inc,The Online Traffic School,"225 East Robinson Street, Suite 570, Orlando, FL 32801",225 East Robinson Street,Orlando,FL,32801,13-964-4939
Briggs & Stratton Corp,Briggs & Stratton Corp,"12301 West Wirth Street, Wauwatosa, WI 53222",12301 West Wirth Street,Wauwatosa,WI,53222,00-608-2531
Cheddar's Casual Cafe Inc,Cheddar's Cashual Cafe Inc.,"2900 Ranch Trail, Irving, TX 75063",2900 Ranch Trail,Irving,TX,75063,05-275-1740
Lendio Inc,"Lendio, Inc.","10235 South Jordan Parkway, Suite 410, South Jordan, Utah 84095","10235 South Jordan Parkway, Suite 410",South Jordan,UT,84095,04-409-7220
Century LLC,Century LLC,"1000 Century Blvd, Oklahoma City, Oklahoma 73110",1000 Century Blvd,Oklahoma City,OK,73110,80-011-5891
, ,,,,,,
Plow & Hearth LLC,"Plow & Hearth, LLC","7021 Wolftown-Hood Road, Madison, VA 22727: 540-948-2272",7021 Wolftown-Hood Road,Madison,VA,22727,96-230-6218
NCI Group Inc,"NCI Group, Inc.","10943 North Sam Houston Parkway West, Houston, TX 77064",10943 North Sam Houston Parkway West,Houston,TX,77064,06-071-3047
Sprint Corporation,Sprint Corporation,"12512 Sunrise Valley Dr. Reston, VA 20191",12512 Sunrise Valley Dr.,Reston,VA,,60-662-4653
AM2 Enterprises LLC,"AM2 Enterprises, LLC",,,,,,04-760-5173
TRUEbenefits LLC,TRUEbenefits LLC,"1215 4th Ave, Suite 2200; Seattle, WA 98161","1215 4th Ave, Suite 2200",Seattle,WA,98161,01-118-2547
Bulletproof 360 Inc,"Bulletproof 360, Inc.","1750 112th Avenue NE Suite C-242, Bellevue, WA 98004 (email)",1750 112th Avenue NE Suite C-242,Bellevue,WA,98004,07-968-2045
International Council of Shopping Centers,The International Council of Shopping Centers,"1221 Avenue of the Americas, 41st floor, New York, NY 10020","1221 Avenue of the Americas, 41st floor",New York,NY,10020,06-825-8326
Brambles USA Inc,Brambles USA Inc.,"180 Technology Parkway, Suite 600, Norcross, GA 30092","180 Technology Parkway, Suite 600",Norcross,GA,30092,60-532-2817
American Quilters Society,AMERICAN QUILTERS SOCIETY,,,,,,82-860-0254
Chipolte,Chipolte,,,,,,04-615-0962
Commercial Industrial Supply,Commercial Industrial Supply,,,,,,02-533-5405
Fairfield Mint LLC,"Fairfield Mint, LLC",,,,,,83-797-7826
Frames By Mail,Framesbymail,,,,,,04-174-9586
Halocigs,Halocigs,,,,,,04-564-0788
Insect lore,Insect lore,,,,,,06-383-0137
Magills GV Glockstore,Magills GV Glockstore,,,,,,
MSG - Concessions,MSG - Concessions,,,,,,
Shannon Restaurant LLC,Shannon Restaurant LLC,,,,,,10-027-3953
Sole Society,Sole Society,,,,,,04-370-3232
Tieks by Gavrieli,Tieks by Gavrieli,,,,,,07-918-7686
Trump Hotel Collection,Trump Hotels,,,,,,12-261-3792
AT&T,"AT&T Services, Inc.","208 S. Akard Street, Dallas, TX 75202",208 S. Akard Street,Dallas,TX,75202,02-502-7256
#N/A,"ABB, Inc.","305 Gregson Drive, Cary, NC 27511",305 Gregson Drive,Cary,NC,27511,80-822-9041
Frontier Natural Products Co-op,Frontier Natural Products Co-Op breach notice,,,,,,01-591-4496
SRI International,SRI International,"333 Ravenswood Avenue, Menlo Park, CA 94025",333 Ravenswood Avenue,Menlo Park,CA,94025,00-923-2752
Major League Lacrosse,Major League Lacrosse,"20 Guest Street, Suite 125, Boston, MA 02135","20 Guest Street, Suite 125",Boston,MA,02135,01-056-2556
Fiduciary Management Inc,"Fiduciary Management, Inc.","100 E. Wisconsin Ave, #2200, Milwaukee, WI 53202","100 E. Wisconsin Ave, #2200",Milwaukee,WI,53202,79-403-3824
The reThink Group Inc,"The reThink Group, Inc.","5870 Charlotte Lane, Suite 300, Cumming, GA 30040","5870 Charlotte Lane, Suite 300",Cumming,GA,30040,00-730-7059
Sixty Hotels,Sixty Hotels,"206 Spring Street, 4th Floor, New York, NY 02108","206 Spring Street, 4th Floor",New York,NY,02108,07-991-6522
Hand & Upper Extremity Centers,Hand & Upper Extremity Centers d/b/a Hand Rehabilitation Specialists,"101 Hodencamp Road, Suite 100, Thousand Oaks, CA 91360","101 Hodencamp Road, Suite 100",Thousand Oaks,CA,91360,14-063-1875
Aptos Inc,"Aptos, Inc. (Re: Mrs. Prindables)","945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326","945 East Paces Ferry Road, Suite 2500",Atlanta,GA,30326,06-760-5154
WRJ Holdings LLC,"WRJ Holdings LLC, d/b/a Classic Firearms","3305 Westwood Industrial Drive, Monroe, NC 28110",3305 Westwood Industrial Drive,Monroe,NC,28110,06-590-7006
Med-Cert Inc,"Med-Cert, Inc.","3853 Northdale Blvd, #344, Tampa, Florida 33624","3853 Northdale Blvd, #344",Tampa,FL,33624,03-342-6898
Evans Hotels,Evans Hotels,,,,,,01-789-9795
Akira,Akira,"200 N. Fairfield Ave., Chicago, IL 60612",200 N. Fairfield Ave.,Chicago,IL,60612,
Advanced Financial Services Inc,"Gregory Wilt, CPA, Mario Bottoni CPA, Advanced Financial Services, Inc., and Accu-Pay Payroll and Bookkeeping Svcs, Inc.","320 Fayette Street, Manlius, NY 13104",320 Fayette Street,Manlius,NY,13104,
Avanti Markets Inc,Avanti Markets Inc.,,,,,,05-472-3888
Mr Cooper,Mr. Cooper,"8950 Cypress Waters Blvd., Coppell, TX 75019",8950 Cypress Waters Blvd.,Coppell,TX,75019,87-804-6069
Orchards Inn,Orchards Inn,,,,,,
Red Roof Inns Inc,Red Roof Inns,,,,,,06-599-2794
The Domain Hotel,"The Domain Hotel, Sunnyvale, California",,,Sunnyvale,CA,,
The Bicycle Hotel & Casino,"The Bicycle Hotel & Casino, Bell Gardens, California",,,Bell Gardens,CA,,
Sabre Hospitality,The Gallivant Times Square,"NY, NY",,NY,NY,,
The Nathan Hale Inn & Conference Center,The Nathan Hale Inn & Conference Center,,,,,,
The Roosevelt Hotel New York,The Roosevelt Hotel,"NY, NY",,NY,NY,,
CoreLogic Credco LLC,CoreLogic Credco ,,,,,,01-019-9297
CBS Consolidated Inc,"CBS Consolidated, Inc., dba Cornerstone Bus Management Solutions","206 S. 13th Street, Suite 600, Lincoln, NE 68508","206 S. 13th Street, Suite 600",Lincoln,NE,68508,06-204-2673
Fidelity Investments,Fidelity,,,,,,60-452-5241
Mark F. Andrews CPA LLC,"Mark Andrews, CPA, LLC",,,,,,06-114-7103
Aptos Inc,Aptos,"945 East Paces Ferry Road, Sutie 2500, Atlanta, Georgia 30326","945 East Paces Ferry Road, Suite 2500",Atlanta,GA,30326,06-760-5154
GT Distributors Inc,"GT Distributors, Inc.","2545 Brockton Dr., #100, Austin, TX 78758","2545 Brockton Dr., #100",Austin,TX,78758,
Crescent Mortgage Co,Crescent Mortgage Company,"Atlanta, Georgia",,Atlanta,GA,,
Rutherford MacDonald & Olsen PC,"Rutherford, MacDonald & Olson, P.C.",,,,,,
Taylor University,Taylor University,"236 W. Reade Ave, Upland, IN 46989",236 W. Reade Ave,Upland,IN,46989,
Zymo Research Corp,"Zymo Research Corp (""Zymo"")",,,,,,
American Friends Service Committee,American Friends Service Committee,"1502 Cherry Street, Philadelphia, PA 19102",1502 Cherry Street,Philadelphia,PA,19102,
Dutch LLC,"Dutch, LLC","5301 South Santa Fe, Vernon, CA 90058",5301 South Santa Fe,Vernon,CA,90058,
Tax-On-Time LLC,"Tax-On-Time, LLC","55 Park Avenue, Rutherford, NJ 07070",55 Park Avenue,Rutherford,NJ,07070,
All States AG Parts Inc,All States AG Parts Inc,,,,,,
American Blue Ribbon Holdings,American Blue Ribbon Holdings,,,,,,
Catholic Answers,Catholic Answers,,,,,,
Combex D2C,Combex D2C,,,,,,
Comfort Inn Stephens City,Comfort Inn Stephens City,,,,,,
Freshproduceclothes.com,Freshproduceclothes.com,,,,,,
IHG,IHG,,,,,,
Joes Downtown Brewery and Rest,Joes Downtown Brewery and Rest,,,,,,
Read-a-thon Fundraising,Read-a-thon Fundraising,,,,,,
Sportsmemorabilia.com,Sportsmemorabilia.com,,,,,,
Sunstar Americas.com,Sunstar Americas.com,,,,,,
University of Maine System,University of Maine System,,,,,,
#N/A,1 Hotel,,,,,,
Chiznar & Company CPA's LLC,Chiznar & Company CPA's LLC,"98 Cutter Mill Road, Great Neck, NY 11021",98 Cutter Mill Road,Great Neck,NY,11021,
Native Canada Footwear Ltd,Native Canada Footwear Ltd,,,,,,
Denihan Hospitality,"Denihan Hospitality (""Denihan"")",,,,,,
Salina Family Healthcare Center,Salina Family Healthcare Center,,,,,,
Pacifica Hotel Management LLC,Pacifica Hotel Management LLC,,,,,,
Marine Corps Association & Foundation,"Marine Corps Association &Foundation (""MCA"") ",,,,,,
Performant Financial Corporation,Performant Financial Corporation,"333 North Canyons Parkway Livermore, CA 94551",333 North Canyons Parkway,Livermore,CA,94551,
Wooster-Ashland Regional Council of Government,Wooster-Ashland Regional Council of Governments,"538 N. Market Street, Wooster, OH 44691",538 N. Market Street,Wooster,OH,44691,
New Hampshire Retirement System,New Hampshire Retirement System,,,,,,
Shoe Station Inc,"Shoe Station, Inc.","720 Executive Park Drive, Mobile, AL 36606",720 Executive Park Drive,Mobile,AL,36606,11-854-3867
Integrated Clark Monroe LLC,Hyatt Centric The Loop,"Chicago, Illinois",,Chicago,IL,,
Saddle Ridge Partners LLC,"Saddle Ridge Partners, LLC, dba Wizard Labs","927 Fern Street Suite 1000, Altamonte Springs, FL 32701",927 Fern Street Suite 1000,Altamonte Springs,FL,32701,
WNET,WNET,"825 Eighth Ave, New York, NY 10019",825 Eighth Ave,New York,NY,10019,
State Industrial Products Corp,State Industrial Products,"5915 Landerbnrook Drive, Suite 300, Mayfield, OH 44124","5915 Landerbnrook Drive, Suite 300",Mayfield,OH,44124,
Botwinick & Co. LLC,"Botwinick & Co., LLC",,,,,,
Juliska,Juliska,,,,,,
US Residential Group LLC,"US Residential Group, LLC","5001 Spring Valley Road, Suite 1000E, Dallas, TX 75244","5001 Spring Valley Road, Suite 1000E",Dallas,TX,75244,
Northwest Rheumatology,Northwest Rheumatology,,,,,,
Paris Las Vegas Operating Company LLC,"Paris Las Vegas Operating Company, LLC d/b/a ","Paris Las Vegas, NV 89109",Paris,Las Vegas,NV,89109,
Bryan Cave LLP,Bryan Cave LLP,"1155 F Street, N.W. Washington, DC 20004","1155 F Street, N.W.",Washington,DC,20004,
#N/A,21c Museum Hotels LLC,"710 West Main Street, Third Floor, Louisville, Kentucky 40202","710 West Main Street, Third Floor",Louisville,KY,40202,
Salt Hotels LLC,"Salt Hotels, LLC","210 5th Avenue, Ashbury, NJ 07712",210 5th Avenue,Ashbury,NJ,07712,
Westgate Resorts Ltd,Westgate Resorts Ltd,"5601 Windhover Drive, Orlando, FL 32819",5601 Windhover Drive,Orlando,FL,32819,
Stout Street Hospitality,Stout Street Hospitality,"818 17th Street, Denver, CO 80202",818 17th Street,Denver,CO,80202,
Noble House Hotels & Resorts,Noble House Hotels and Resorts,"600 6th Street, South, Kirkland, WA 98033","600 6th Street, South",Kirkland,WA,98033,
Steel Technologies LLC,"Steel Technology LLC, d/b/a Hydro Flask","525 NW York Drive, Bend, OR 97703",525 NW York Drive,Bend,OR,97703,
Directron,Directron,"10402 Harwin Drive, Houston, TX 77036",10402 Harwin Drive,Houston,TX,77036,
Cole Sport,Cole Sport,"1615 Park Ave, P.O. Box 3509, Park City, Utah 84060","1615 Park Ave, P.O. Box 3509",Park City,UT,84060,
Virgin America Inc,Virgin America,"555 Airport Boulevard, Suite 400, Burlingame, CA 94010","555 Airport Boulevard, Suite 400",Burlingame,CA,94010,
#N/A,A1 J. Schneider Company,"140 N. 4th Street, Louisville, KY 40202",140 N. 4th Street,Louisville,KY,40202,
Delek US Holdings Inc,"Delek US Holdings, Inc.","7102 Commerce Way, Brentwood, TN 37027",7102 Commerce Way,Brentwood,TN,37027,
Woodside Hotels and Resorts,Woodside Hotels and Resorts,,,,,,
Hartz Hotel Services Inc,"Hartz Hotel Services, Inc.","400 Plaza Drive, Secaucus, NJ 07094",400 Plaza Drive,Secaucus,NJ,07094,
Island Hotel Company Ltd,Island Hotel Company Limited,"One Casino Drive, Paradise Island, Bahamas",One Casino Drive,Paradise Island,Bahamas,,
Intuit Inc,Intuit Inc.,"2535 Garcia Avenue, Mountain View, CA 94043",2535 Garcia Avenue,Mountain View,CA,94043,
Standard International Management LLC,"Standard International Management, LLC","23 East 4th Street, NY, NY 10003",23 East 4th Street,NY,NY,10003,
TALX Corp,"TALX Corporation, a wholly owned subsidiary of Equifax, Inc.","1550 Peachtree Street, NW, Atlanta, GA 30309",1550 Peachtree Street,NW,GA,30309,
Sabre GLBL Inc,"Sabre GLBL, Inc.","3150 Sabre Drive, Southlake, TX 76092",3150 Sabre Drive,Southlake,TX,76092,
Republic Bank & Trust Co,Republic Bank & Trust Co.,"601 W. Market St., Louisville, KY 40202",601 W. Market St.,Louisville,KY,40202,
Remington Lodging & Hospitality LLC,"Remington, Lodging & Hospitality, LLC & Associates",,,,,,
Whitinger & Company LLC,Whitinger & Company LLC,"1100 W. White River Blvd, Muncie, IN 47303",1100 W. White River Blvd,Muncie,IN,47303,
SportsMem Inc,"SportsMem, Inc.","251 International Parkway, Sunrise, Florida 33325",251 International Parkway,Sunrise,FL,33325,
TALX Corp,"TALX Corporation, a wholly owned subsidiary of Equifax, Inc.","1550 Peachtree Street, NW, Atlanta, GA 30309","1550 Peachtree Street, NW",Atlanta,GA,30309,
SB ENT Holdings LLC,"SB ENT Holdings, LLC","475 10th Ave., 11th Floor, New York, NY 10018","475 10th Ave., 11th Floor",New York,NY,10018,
Ameriprise Financial Inc,"Ameriprise Financial, Inc.","707 2nd Ave A, Minneapolis, MN 55474",707 2nd Ave A,Minneapolis,MN,55474,00-696-1957
Brigham Young University,Brigham Young University,"Office of the General Counsel, A-357 ASB, Provo, Utah 84602","Office of the General Counsel, A-357 ASB",Provo,UT,84602,
Club Quarter Hotels,Club Quarters Hotels,"One Atlantic Street, 5th Floor, Stamford, CT 06901","One Atlantic Street, 5th Floor",Stamford,CT,06901,
CBRE Inc,CBRE,"400 South Hope Street, 25th Floor, Los Angeles, CA 90071","400 South Hope Street, 25th Floor",Los Angeles,CA,90071,
Peachtree Neurological Clinic PC,Peachtree Neurological Clinic PC,"95 Collier Road NW, Suite 4045, Atlanta, GA 30309","95 Collier Road NW, Suite 4045",Atlanta,GA,30309,
Movement Mortgage LLC,Movement Mortgage,"8024 Calvin Hall Road, Indian Land, SC 29707",8024 Calvin Hall Road,Indian Land,SC,29707,
Golf & Ski Warehouse Inc,"Golf & Ski Warehouse, Inc.","290 Plainfield Road, West Lebanon, NH 03784",290 Plainfield Road,West Lebanon,NH,03784,
Hard Rock Cafe International Inc,Hard Rock International,"6100 Old Park Lane, Orlando, FL 32835",6100 Old Park Lane,Orlando,FL,32835,
Signature Hardware Inc,"Signature Hardware, Inc","2700 Crescent Springs Pike, Erlanger KY 41017",2700 Crescent Springs Pike,Erlanger,KY,41017,
Halekulani Corp,Halekulani Corp (thru Sabre Hospitality Solutions),,,,,,
Open Text Corp,Open Text Corporation,"105 Adelaide St. West, Suite 1200, Toronto, Ontario M5H 1P9 Canada","105 Adelaide St. West, Suite 1200",Toronto,Canada,,
Four Seasons Hotels Ltd,Four Seasons Hotels Limited (incident actually occurred at Sabre Hospitality Solutions),,,,,,
Ensign-Bickford Industries Inc,"Ensign-Bickford Industries, Inc.","125 Powder Forest Drive, Simsbury, CT 06070",125 Powder Forest Drive,Simsbury,CT,06070,
Preferred Hotel Group Inc,"Preferred Hotel Group, Inc.","311 South Wacker Drive, Chicago, IL 60606",311 South Wacker Drive,Chicago,IL,60606,
Sabre Hospitality,"Trump Hotels, Sabre Hospitality Solutions is service provider",,,,,,
PVHS-ICM Employee Health and Wellness LLC,PVHS-ICM Employee Health and Wellness LLC,,,,,,
Reverse Mortgage Funding LLC,"Reverse Mortgage Funding, LLC",,,,,,
Paul Stuart Inc,"Paul Stuart, Inc.","NY, NY",,New York,NY,,
Aqua-Aston Hospitality LLC,"Aqua-Aston Hospitality, LLC","2155 Kalakaua Avenue, 5th Floor, Honolulu, HI 96815","2155 Kalakaua Avenue, 5th Floor",Honolulu,HI,96815,
Burdette Smith & Bish LLC,Burdette Smith & Bish LLC,"4035 Ridge Top Road, Suite 550, Fairfax, VA 22030","4035 Ridge Top Road, Suite 550",Fairfax,VA,22030,
Southern Illinois Hospital Services,Southern Illinois Hospital Services,,,,,,
Arby's Restaurant Group Inc,Arby's,,,,,,
Brooks Brothers,Brooks Brothers,,,,,,
Easy Breathe Inc,Easy Breath Inc.,,,,,,
Fun Eats and Drinks,Fun Eats and Drinks,,,,,,
Gold Country Casino & Hotel,Gold Country Casino & Hotel,,,,,,
Horchow Collection CTG,Horchow Collection CTG,,,,,,
Richline Group Inc,Jewelry.com,,,,,,
KURU Footwear,Kuru Footwear,,,,,,
Prana Living,Prana Living ,,,,,,
Rand McNally,Rand McNally,,,,,,
Roberts Hawaii Tours Inc,"Roberts Hawaii Tours Inc.,",,,,,,
Socksaddict.com,Socksaddict.com,,,,,,
Thomas Strauss Inc,"Thomas Strauss, Inc.",,,,,,
Verifone,Verifone,,,,,,
www.therafitshow.com,www.therafitshow.com,,,,,,
Toronto-Dominion Bank,"TD Bank, N.A.","1 Portland Square, Portland, Maine 04101",1 Portland Square,Portland,ME,04101,
