BUSINESS NAME,NOTIFICATION DOCUMENTS,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
GoldKey|PHR,https://media.dojmt.gov/wp-content/uploads/GoldKey-PHR.pdf,2/29/2016,2/29/2016,4/15/2016,1
Staminus Communications,https://media.dojmt.gov/wp-content/uploads/Staminus-Communications.pdf,3/10/2016,3/10/2016,4/15/2016,12
Addus HomeCare,https://media.dojmt.gov/wp-content/uploads/Addus-HomeCare.pdf,3/31/2016,3/31/2016,4/15/2016,1
DealerSocket Inc.,https://media.dojmt.gov/wp-content/uploads/DealerSocket.pdf,4/11/2016,4/11/2016,4/18/2016,1
"doTERRA International, LLC",https://media.dojmt.gov/wp-content/uploads/doTerra-International.pdf,3/1/2016,3/31/2016,4/18/2016,"18,304"
TTI Floor Care North America,https://media.dojmt.gov/wp-content/uploads/TTI-Floor-Care-North-America.pdf,10/1/2015,11/30/2015,4/18/2016,1
FruitfulYield.com; NOW-2-U.com; VitaminExperts.com,https://media.dojmt.gov/wp-content/uploads/Fruitful-Yield-Health-Foods.pdf,1/7/2016,3/21/2016,4/20/2016,15
"LuckyPet, Inc.",https://media.dojmt.gov/wp-content/uploads/LuckyPet.pdf,10/15/2015,3/16/2016,4/22/2016,67
ProSchools,https://media.dojmt.gov/wp-content/uploads/ProSchools.pdf,2/4/2016,3/16/2016,4/22/2016,25
Total Community Options dba InnovAge,https://media.dojmt.gov/wp-content/uploads/Total-Community-Options-dba-InnovAge.pdf,4/8/2016,4/22/2016,4/26/2016,1
Michels Corporation,https://media.dojmt.gov/wp-content/uploads/Michels-Corporation.pdf,4/16/2016,4/16/2016,4/27/2016,34
Intuit (8),https://media.dojmt.gov/wp-content/uploads/Intuit-8.pdf,3/30/2016,4/11/2016,4/28/2016,9
EqualizeRCM Systems (ERCM),https://media.dojmt.gov/wp-content/uploads/EqualizeRCM-Systems-ERCM.pdf,2/25/2016,2/26/2016,4/28/2016,3
Hi-Tec (1) (Magnum Boots),https://media.dojmt.gov/wp-content/uploads/Hi-Tec.pdf,1/24/2016,3/11/2016,4/29/2016,9
"Ken Waterman, CPA",https://media.dojmt.gov/wp-content/uploads/Ken-Waterman-CPA.pdf,3/30/2016,3/30/2016,5/3/2016,1
Leavitt Group,https://media.dojmt.gov/wp-content/uploads/Leavitt-Group.pdf,4/5/2016,4/5/2016,5/3/2016,68
Sanctuary Clothing,https://media.dojmt.gov/wp-content/uploads/Sanctuary-Clothing.pdf,12/30/2015,3/22/2016,5/3/2016,1
Charles Schwab & Co.,https://media.dojmt.gov/wp-content/uploads/Charles-Schwab-Co.-corrected.pdf,3/25/2016,3/25/2016,5/4/2016,6
Brunswick Corporation,https://media.dojmt.gov/wp-content/uploads/Brunswick-Corporation.pdf,4/29/2016,4/29/2016,5/5/2016,1
CertifiKid LLC,https://media.dojmt.gov/wp-content/uploads/CertifiKid-LLC.pdf,1/25/2016,3/19/2016,5/5/2016,2
Intuit (9),https://media.dojmt.gov/wp-content/uploads/Intuit9.pdf,4/6/2016,4/27/2016,5/9/2016,8
Group Benefit Services (GBS),https://media.dojmt.gov/wp-content/uploads/Group-Benefit-Services.pdf,2/8/2016,2/8/2016,5/9/2016,1
Distinct Software Solutions,https://media.dojmt.gov/wp-content/uploads/Distinct-Software-Solutions-dba-Golf-18-Network.pdf,4/19/2016,5/2/2016,5/10/2016,5
MKK Consulting Engineers,https://media.dojmt.gov/wp-content/uploads/MKK-Consulting-Engineers.pdf,2/19/2016,4/6/2016,5/11/2016,10
Medical Colleagues of Texas,https://media.dojmt.gov/wp-content/uploads/Medical-Colleagues-of-Texas.pdf,3/8/2016,3/8/2016,5/11/2016,20
Kalamazoo College,https://media.dojmt.gov/wp-content/uploads/Kalamazoo-College.pdf,4/29/2016,4/29/2016,5/11/2016,1
Hi-Tec (2) (Magnum Boots),https://media.dojmt.gov/wp-content/uploads/Hi-Tec2.pdf,9/22/2014,1/23/2016,5/11/2016,104
"Curse, Inc.",https://media.dojmt.gov/wp-content/uploads/Curse.pdf,4/11/2016,4/11/2016,5/11/2016,1
Renville County Hospital and Clinic,https://media.dojmt.gov/wp-content/uploads/Renville-County-Hospital-Clinics.pdf,4/13/2016,4/13/2016,5/12/2016,1
"MYR Group (L.E. Myers Co., Sturgeon Electric, GSW Construction)",https://media.dojmt.gov/wp-content/uploads/MYR-Group.pdf,4/14/2016,4/14/2016,5/12/2016,28
U. S. Bank,https://media.dojmt.gov/wp-content/uploads/U.-S.-Bank.pdf,2/1/2016,4/19/2016,5/12/2016,5
"San Juan County, New Mexico",https://media.dojmt.gov/wp-content/uploads/San-Juan-County-New-Mexico.pdf,3/18/2016,3/18/2016,5/13/2016,2
Block and Company (MMF Industries) (2),https://media.dojmt.gov/wp-content/uploads/Block-and-Company-MMF-Industries-2.pdf,3/21/2016,3/21/2016,5/13/2016,1
"Batdorf & Bronson Coffee Roasters (Challain, Inc.)",https://media.dojmt.gov/wp-content/uploads/Batdorf-Bronson-Coffee-Roasters.pdf,10/1/2015,4/22/2016,5/17/2016,5
"Metropolitan Jewish Health System, Inc.",https://media.dojmt.gov/wp-content/uploads/Metropolitan-Jewish-Health-System.pdf,4/21/2016,4/21/2016,5/19/2016,1
"Maritz Holdings, Inc.",https://media.dojmt.gov/wp-content/uploads/Maritz-Holdings-Inc..pdf,3/1/2016,4/7/2016,5/23/2016,5
Stamford Podiatry Group,https://media.dojmt.gov/wp-content/uploads/Stamford-Podiarty-Group.pdf,2/22/2016,4/14/2016,5/24/2016,1
Kroger Co.,https://media.dojmt.gov/wp-content/uploads/Kroger-Co..pdf,1/20/2016,4/27/2016,5/25/2016,20
Match-Up Solutions,https://media.dojmt.gov/wp-content/uploads/Match-up-Solutions.pdf,12/7/2015,5/3/2016,5/26/2016,1
Intuit (10),https://media.dojmt.gov/wp-content/uploads/Intuit10.pdf,5/2/2016,5/2/2016,5/26/2016,2
"Shoes West Distribution, Inc dba Taos Footwear",https://media.dojmt.gov/wp-content/uploads/Shoes-West-Distribution-dba-Taos-Footwear.pdf,4/14/2016,4/14/2016,5/27/2016,3
National Network of Abortion Funds (NNAF),https://media.dojmt.gov/wp-content/uploads/National-Network-of-Abortion-Funds-NNAF.pdf,4/7/2016,4/7/2016,5/27/2016,1
"Extraction Oil & Gas, LLC",https://media.dojmt.gov/wp-content/uploads/Extraction-Oil-Gas.pdf,5/23/2016,5/23/2016,5/31/2016,1
Glu Mobile,https://media.dojmt.gov/wp-content/uploads/Glu-Mobile.pdf,5/20/2016,5/21/2016,6/1/2016,1
"Empathia, Inc.",https://media.dojmt.gov/wp-content/uploads/Empathia-Inc..pdf,1/30/2016,3/23/2016,6/3/2016,151
Acer Service Corporation,https://media.dojmt.gov/wp-content/uploads/Acer-Service-Corporation.pdf,5/12/2015,4/28/2016,6/3/2016,110
MEI-GSR (Grand Sierra Resort),https://media.dojmt.gov/wp-content/uploads/MEI-GSR-Grand-Sierra-Resort.pdf,2/14/2014,8/5/2015,6/6/2016,111
Trump Hotel Collection,https://media.dojmt.gov/wp-content/uploads/Trump-Hotel-Collection.pdf,3/21/2016,3/21/2016,6/10/2016,1
Intuit (11),https://media.dojmt.gov/wp-content/uploads/Intuit11.pdf,5/17/2016,5/17/2016,6/10/2016,3
Tiemart,https://media.dojmt.gov/wp-content/uploads/Tiemart.pdf,5/4/2016,5/19/2016,6/13/2016,1
University of Connecticut,https://media.dojmt.gov/wp-content/uploads/Universtiy-of-Connecticut.pdf,9/1/2013,4/1/2015,6/14/2016,19
AmeriPrise Financial (2),https://media.dojmt.gov/wp-content/uploads/Ameriprise-Financial-Services-2.pdf,4/28/2016,4/28/2016,6/14/2016,2
Uber,https://media.dojmt.gov/wp-content/uploads/Uber.pdf,5/13/2014,5/13/2014,6/15/2016,1
Southcentral Foundation (SCF),https://media.dojmt.gov/wp-content/uploads/Southcentral-Foundation-SCF.pdf,3/8/2016,4/4/2016,6/17/2016,1
Intuit (12),https://media.dojmt.gov/wp-content/uploads/Intuit12.pdf,6/2/2016,6/2/2016,6/21/2016,2
"Gamesa Wind US, LLC",https://media.dojmt.gov/wp-content/uploads/Gamesa-Wind.pdf,6/17/2016,6/17/2016,6/27/2016,1
Hard Rock Hotel & Casino Las Vegas,https://media.dojmt.gov/wp-content/uploads/Hard-Rock-Hotel-Casino-Las-Vegas.pdf,10/15/2015,3/21/2016,6/27/2016,Unknown
Jefferson Medical Associates (JMA),https://media.dojmt.gov/wp-content/uploads/Jefferson-Medical-Associates.pdf,3/25/2014,6/1/2016,6/28/2016,1
"Rayner, Foos, Kruse and Irwin, CPAs (RFKI)",https://media.dojmt.gov/wp-content/uploads/Rayner-Foos-Kruse-and-Irwin-CPAs-RFKI-2.pdf,4/18/2016,5/27/2016,6/28/2016,1
Patterson Dental Supply (Massachusetts General Hospital),https://media.dojmt.gov/wp-content/uploads/Patterson-Dental-Supply-MGH.pdf,2/8/2016,2/8/2016,6/29/2016,1
KontrolFreek,https://media.dojmt.gov/wp-content/uploads/KontrolFreek-LLC.pdf,10/21/2015,4/7/2016,6/30/2016,7
"NLU Products, LLC (BGZ Brands)",https://media.dojmt.gov/wp-content/uploads/NLU-Products-LLC-BGZ-Brands.pdf,6/8/2016,6/8/2016,7/5/2016,289
Blue Cross Blue Shield of North Dakota,https://media.dojmt.gov/wp-content/uploads/Blue-Cross-Blue-Shield-of-North-Dakota.pdf,5/20/2016,6/2/2016,7/6/2016,3
Wendy's,https://media.dojmt.gov/wp-content/uploads/Wendys.pdf,11/30/2015,6/8/2016,7/7/2016,Unknown
American Association for Advancement of Science (Comnet Marketing Group),https://media.dojmt.gov/wp-content/uploads/American-Association-for-the-Advancement-of-Science-Comnet-Marketing-Group.pdf,4/18/2015,1/29/2016,7/8/2016,3
North Carolina State University,https://media.dojmt.gov/wp-content/uploads/North-Carolina-State-University.pdf,6/3/2016,6/3/2016,7/8/2016,2
Medtronic,https://media.dojmt.gov/wp-content/uploads/Medtronic.pdf,5/11/2016,5/11/2016,7/8/2016,1
Omni Hotel and Resorts,https://media.dojmt.gov/wp-content/uploads/Omni-Hotels-and-Resorts.pdf,12/23/2015,6/14/2016,7/8/2016,31
Career Education Corporation,https://media.dojmt.gov/wp-content/uploads/Career-Education-Corporation.pdf,6/16/2016,6/16/2016,7/11/2016,1
Comnet Marketing Group,https://media.dojmt.gov/wp-content/uploads/Comnet-Marketing-Group.pdf,4/22/2016,4/24/2016,7/12/2016,1
Primoris Services Corporation,https://media.dojmt.gov/wp-content/uploads/Primoris-Services-Corporation.pdf,4/26/2016,4/26/2016,7/13/2016,1
IAP Worldwide (Ingenuity and Purpose),https://media.dojmt.gov/wp-content/uploads/IAP-Worldwide-Ingenuity-and-Purpose.pdf,5/1/2016,6/14/2016,7/14/2016,15
Project Management Institute (PMI),https://media.dojmt.gov/wp-content/uploads/Project-Management-Institute-PMI.pdf,4/23/2016,4/24/2016,7/14/2016,4
"Matador Recordings, LLC d/b/a Matador Direct",https://media.dojmt.gov/wp-content/uploads/MatadorRecordings-dba-Matador-Direct.pdf,4/28/2015,5/4/2016,7/15/2016,21
"San Antonio Shoemakers, Inc. (SAS)",https://media.dojmt.gov/wp-content/uploads/San-Antonio-Shoemakers-Inc.pdf,4/21/2016,6/13/2016,7/19/2016,23
"Internet Chess Club, Inc.",https://media.dojmt.gov/wp-content/uploads/Internet-Chess-Club-ICC.pdf,5/30/2016,5/30/2016,7/19/2016,2
"CiCi Enterprises, LP",https://media.dojmt.gov/wp-content/uploads/CiCi-Enterprises-Inc-1.pdf,3/1/2016,7/19/2016,7/19/2016,Unknown
Institute of Management Accountants (IMA),https://media.dojmt.gov/wp-content/uploads/Institute-of-Management-Accountants-IMA.pdf,4/23/2016,4/24/2016,7/20/2016,2
Skagit Farmers Supply (SFS),https://media.dojmt.gov/wp-content/uploads/Skagit-Farmers-Supply-SFS.pdf,6/6/2016,6/7/2016,7/20/2016,17
United States Fire Insurance (CoverX Corporation),https://media.dojmt.gov/wp-content/uploads/US-Fire-CoverX-Corporation.pdf,5/16/2016,5/16/2016,7/21/2016,42
"inVentiv Health, Inc.",https://media.dojmt.gov/wp-content/uploads/inVentiv-Health-Inc..pdf,7/7/2016,7/7/2016,7/21/2016,8
American College of Emergency Physicians (ACEP) (ComNet Marketing),https://media.dojmt.gov/wp-content/uploads/American-College-of-Emergency-Physicians-ACEP.pdf,6/23/2016,6/23/2016,7/22/2016,1
Specialty Equipment Market Association (SEMA),https://media.dojmt.gov/wp-content/uploads/Specialty-Equipment-Market-Assoc-SEMA.pdf,4/23/2016,4/24/2016,7/27/2016,2
Academy of Nutrition & Dietetics,https://media.dojmt.gov/wp-content/uploads/Academy-of-Nutrition-Dietetics.pdf,4/22/2016,4/24/2016,7/28/2016,2
"MedAltus, LLC",https://media.dojmt.gov/wp-content/uploads/MedAltus-LLC.pdf,5/3/2016,6/29/2016,7/29/2016,8
"Nordic Consulting Partners, Inc.",https://media.dojmt.gov/wp-content/uploads/Nordic-Consulting-Partners-Inc.pdf,7/21/2016,7/21/2016,7/29/2016,1
"Pro Performance Sports, LLC",https://media.dojmt.gov/wp-content/uploads/Pro-Performance-Sports-LLC.pdf,7/1/2015,7/27/2016,7/30/2016,1
"Green Plains, Inc.",https://media.dojmt.gov/wp-content/uploads/Green-Plains-Inc.pdf,7/27/2016,7/27/2016,8/1/2016,1
Banner Health,https://media.dojmt.gov/wp-content/uploads/Banner-Health.pdf,6/23/2016,7/7/2016,8/3/2016,"2,155"
"Travel Caddy, Inc. dba Travelon",https://media.dojmt.gov/wp-content/uploads/Travel-Caddy-Inc-dba-Travelon.pdf,11/13/2015,6/10/2016,8/4/2016,3
HD Vest Investment Services,https://media.dojmt.gov/wp-content/uploads/HDV-Vest-Investment-Services.pdf,5/23/2016,7/6/2016,8/4/2016,818
EBSCO Sign Group a/k/a OutdoorSigns America,https://media.dojmt.gov/wp-content/uploads/EBSCO-Sign.pdf,7/16/2016,7/22/2016,8/8/2016,2
Rotech Healthcare,https://media.dojmt.gov/wp-content/uploads/Rotech-Healthcare.pdf,6/13/2016,6/13/2016,8/10/2016,1
"Taleff & Murphy, P.C.",https://media.dojmt.gov/wp-content/uploads/Taleff-Murphy.pdf,6/15/2016,6/15/2016,8/10/2016,Unknown
USAA Federal Savings Bank,https://media.dojmt.gov/wp-content/uploads/USAA-Federal-Savings-Bank.pdf,7/23/2016,7/25/2016,8/11/2016,1
PAX Labs,https://media.dojmt.gov/wp-content/uploads/PAX-Labs.pdf,6/25/2016,7/22/2016,8/12/2016,10
HEI Hotels & Resorts,https://media.dojmt.gov/wp-content/uploads/HEI-Hotels-and-Resorts.pdf,12/2/2015,6/12/2016,8/12/2016,Unknown
Bon Secours Health System/R-C Healthcare Management,https://media.dojmt.gov/wp-content/uploads/Bon-Secours-Health-System.pdf,4/18/2016,4/21/2016,8/12/2016,45
Valley Anesthesiology and Pain Consultants (VAPC),https://media.dojmt.gov/wp-content/uploads/Valley-Anesthesiology-Consultants.pdf,3/30/2016,6/13/2016,8/12/2016,586
Schwan's Home Service,https://media.dojmt.gov/wp-content/uploads/Anderson-Tackman-Co..pdf,10/9/2015,8/1/2016,8/15/2016,135
"Precision Pipeline, LLC, subsidiary of MasTec, Inc.",https://media.dojmt.gov/wp-content/uploads/Schwans.pdf,7/25/2016,7/25/2016,8/15/2016,4
"Anderson, Tackman & Co.",https://media.dojmt.gov/wp-content/uploads/Precision-Pipeline.pdf,7/6/2016,7/6/2016,8/15/2016,4
"Presnell Gage, PLLC",https://media.dojmt.gov/wp-content/uploads/Presnell-Gage.pdf,7/16/2016,8/18/2016,8/18/2016,35
DXE Medical,https://media.dojmt.gov/wp-content/uploads/DXE-Medical-1.pdf,3/24/2016,7/29/2016,8/18/2016,7
"Matouk Factory Store, Inc.",https://media.dojmt.gov/wp-content/uploads/Matouk.pdf,6/19/2016,7/22/2016,8/18/2016,1
Newkirk - Symphonix,https://media.dojmt.gov/wp-content/uploads/Newkirk-Symphonix.pdf,5/21/2016,7/6/2016,8/19/2016,"2,072"
Intuit (13),https://media.dojmt.gov/wp-content/uploads/Intuit13.pdf,8/3/2016,8/3/2016,8/19/2016,6
"Eddie Bauer, LLC",https://media.dojmt.gov/wp-content/uploads/Eddie-Bauer.pdf,7/15/2016,7/15/2016,8/19/2016,"8,492"
Toyota Motor Credit Corporation (3),https://media.dojmt.gov/wp-content/uploads/Toyota-Motor-Credit-Corporation3.pdf,6/28/2016,6/28/2016,8/22/2016,19
SCAN Health Plan,https://media.dojmt.gov/wp-content/uploads/SCAN-Health-Plan.pdf,3/4/2016,6/24/2016,8/22/2016,6
KontrolFreek LLC (2),https://media.dojmt.gov/wp-content/uploads/KontrolFreek-LLC2.pdf,10/21/2015,4/7/2016,8/22/2016,59
Noble House Hotels & Resorts (3),https://media.dojmt.gov/wp-content/uploads/Noble-House-3.pdf,4/26/2016,6/8/2016,8/24/2016,1
Michelle A. Pecora CPA,https://media.dojmt.gov/wp-content/uploads/Michelle-Pecora-CPA.pdf,7/27/2016,8/2/2016,8/25/2016,1
Exterran,https://media.dojmt.gov/wp-content/uploads/Exterran.pdf,11/24/2015,11/24/2015,8/26/2016,9
Kimpton Hotels & Restaurants,https://media.dojmt.gov/wp-content/uploads/Gray-Television.pdf,2/16/2016,7/7/2016,8/31/2016,276
Gray Television,https://media.dojmt.gov/wp-content/uploads/CHI-Franciscan-Healthcare-Highline-Medical-Center-R-C-Healthcare-Management.pdf,8/12/2016,8/12/2016,8/31/2016,34
CHI Franciscan Healthcare Highline Medical Center (R-C Healthcare Management),https://media.dojmt.gov/wp-content/uploads/M-Holdings-Securities.pdf,4/21/2016,6/13/2016,8/31/2016,15
M Holdings Securities,https://media.dojmt.gov/wp-content/uploads/Kimpton-Hotels-Restaurants.pdf,8/1/2016,8/1/2016,8/31/2016,7
Noble House Hotels & Resorts (4),https://media.dojmt.gov/wp-content/uploads/Noble-House-4.pdf,4/25/2016,8/3/2016,9/2/2016,50
Burrell Behavioral Health,https://media.dojmt.gov/wp-content/uploads/Burrell-Behavioral-Health.pdf,7/6/2016,7/7/2016,9/6/2016,1
King of Prussia Dental Association (KOP),https://media.dojmt.gov/wp-content/uploads/King-of-Prussia-Dental-Association-KOP.pdf,3/28/2016,6/5/2016,9/8/2016,3
"City of Plummer, Idaho",https://media.dojmt.gov/wp-content/uploads/City-of-Plummer.pdf,4/13/2016,4/14/2016,9/9/2016,7
IAP Worldwide (Ingenuity and Purpose) (2),https://media.dojmt.gov/wp-content/uploads/IAP-Worldwide-Ingenuity-and-Purpose2.pdf,5/1/2016,6/14/2016,9/9/2016,2
Rebecca Minkoff,https://media.dojmt.gov/wp-content/uploads/Rebecca-Minkoff.pdf,8/10/2016,8/10/2016,9/9/2016,4
Asante Health System,https://media.dojmt.gov/wp-content/uploads/Asante-Health-System.pdf,8/18/2014,7/21/2016,9/9/2016,3
"Pratap Kurrar, M.D.",https://media.dojmt.gov/wp-content/uploads/Pratap-Kurra-MD.pdf,8/8/2016,8/9/2016,9/12/2016,1
"Wheeler & Egger, CPAs",https://media.dojmt.gov/wp-content/uploads/Wheeler-Egger-CPAs.pdf,8/3/2016,8/9/2016,9/13/2016,4
Ursus Holdings,https://media.dojmt.gov/wp-content/uploads/Ursus-Holdings-LLC.pdf,4/25/2016,4/25/2016,9/15/2016,6
Capital One,https://media.dojmt.gov/wp-content/uploads/Capital-One.pdf,6/29/2016,7/17/2016,9/15/2016,1
Lulu's Fashion Lounge,https://media.dojmt.gov/wp-content/uploads/Lulus-Fashion-Lounge.pdf,8/11/2016,8/16/2016,9/16/2016,28
ACTIVEOutdoors,https://media.dojmt.gov/wp-content/uploads/ACTIVEOutdoors.pdf,8/22/2016,8/22/2016,9/19/2016,"40,370"
"Stallcup & Associates, CPAs",https://media.dojmt.gov/wp-content/uploads/Stallcup-Associates-CPAs.pdf,7/11/2016,7/11/2016,9/21/2016,1
Central Ohio Urology Group (COUG),https://media.dojmt.gov/wp-content/uploads/Central-Ohio-Urology-Group-COUG.pdf,8/2/2016,8/2/2016,9/22/2016,20
"Napa Valley Dentristry of Napa, California",https://media.dojmt.gov/wp-content/uploads/Napa-Valley-Dentistry.pdf,8/11/2016,8/11/2016,9/22/2016,3
YAHOO,http://consumerfed.org/yahoo-users-face-massive-data-breach/,9/1/2014,10/1/2014,9/22/2016,Unknown
Intuit (14),https://media.dojmt.gov/wp-content/uploads/Intuit14.pdf,9/5/2016,9/12/2016,9/23/2016,4
Novation Settlement Solutions,https://media.dojmt.gov/wp-content/uploads/Novation-Settlement-Solutions.pdf,8/15/2016,9/8/2016,9/23/2016,15
BECU (Boeing Employees' Credit Union),https://media.dojmt.gov/wp-content/uploads/BECU.pdf,8/9/2016,8/9/2016,9/26/2016,1
Santoro CPA and SimpleBooks Corp.,https://media.dojmt.gov/wp-content/uploads/Santora-CPA-and-SimpleBooks-Corp..pdf,7/21/2016,7/21/2016,9/27/2016,1
Thomasville Eye Center,https://media.dojmt.gov/wp-content/uploads/Thomasville-Eye-Center.pdf,8/8/2016,8/8/2016,9/28/2016,1
VF Outlet,https://media.dojmt.gov/wp-content/uploads/VF-Outlet.pdf,4/17/2016,8/26/2016,9/28/2016,12
Hutton Hotel,https://media.dojmt.gov/wp-content/uploads/Hutton-Hotel.pdf,9/19/2012,6/10/2016,9/29/2016,19
"Dale A. Wein, Prof. LLC",https://media.dojmt.gov/wp-content/uploads/Dale-A-Wein-Prof-LLC.pdf,5/1/2016,7/12/2016,10/1/2016,9
"Francisco Jaume, D.O.",https://media.dojmt.gov/wp-content/uploads/Francisco-Jaume-D.O..pdf,8/22/2016,8/22/2016,10/3/2016,2
Vaupell Holdings,https://media.dojmt.gov/wp-content/uploads/Vaupell.pdf,9/12/2016,9/12/2016,10/3/2016,2
Borden Perlman Salisbury & Kelly Insurance,https://media.dojmt.gov/wp-content/uploads/Borden-Perlman-Insurance.pdf,7/6/2016,7/6/2016,10/5/2016,3
HD Vest Investment Services (2),https://media.dojmt.gov/wp-content/uploads/HD-Vest-Investment-Services-2.pdf,7/28/2016,8/1/2016,10/5/2016,2
University of Montana,https://media.dojmt.gov/wp-content/uploads/University-of-Montana.pdf,9/12/2016,9/12/2016,10/6/2016,1
MicroDAQ,https://media.dojmt.gov/wp-content/uploads/MicroDAQ.pdf,9/4/2016,9/22/2016,10/7/2016,2
Vera Bradley,https://media.dojmt.gov/wp-content/uploads/Vera-Bradley.pdf,7/25/2016,9/23/2016,10/12/2016,2
"Curtis F. Robinson, M.D.",https://media.dojmt.gov/wp-content/uploads/Curtis-F.-Robinson-M.D..pdf,7/11/2016,7/26/2016,10/13/2016,3
Integrity Transitional Hospital,https://media.dojmt.gov/wp-content/uploads/Integrity-Transitional-Hospital.pdf,8/15/2016,8/15/2016,10/14/2016,2
Gibson Insurance Agency,https://media.dojmt.gov/wp-content/uploads/Gibson-Insurance-Agency.pdf,7/28/2016,7/28/2016,10/14/2016,1
Intuit (15),https://media.dojmt.gov/wp-content/uploads/Intuit15.pdf,9/13/2016,9/13/2016,10/17/2016,4
Atlanta Falcons Football Club,https://media.dojmt.gov/wp-content/uploads/Atlanta-Falcons-Football-Club.pdf,2/16/2016,8/20/2016,10/17/2016,1
Eastwood Company,https://media.dojmt.gov/wp-content/uploads/Eastwood-Company.pdf,5/29/2016,7/22/2016,10/19/2016,114
Natural Life Collections,https://media.dojmt.gov/wp-content/uploads/Natural-Life-Collections.pdf,9/18/2016,9/23/2016,10/20/2016,3
Rocky Mountain Credit Union,https://media.dojmt.gov/wp-content/uploads/Rocky-Mountain-Credit-Union.pdf,4/15/2016,6/30/2016,10/20/2016,106
State Farm Mutual Automobile Insurance Company,https://media.dojmt.gov/wp-content/uploads/State-Farm-Mutual-Automobile-Insurance-Company.pdf,9/27/2016,9/27/2016,10/20/2016,1
Ameriprise Financial,https://media.dojmt.gov/wp-content/uploads/Ameriprise-Financial-Services.pdf,9/20/2016,9/20/2016,10/21/2016,1
Pacific Concepts Group d/b/a National Satellite Center,https://media.dojmt.gov/wp-content/uploads/Pacific-Concepts-Group-dba-National-Satellite-Center.pdf,9/13/2016,9/13/2016,10/21/2016,1
"National Wholesale Company, Inc.",https://media.dojmt.gov/wp-content/uploads/National-Wholesale,10/14/2016,10/15/2016,11/3/2016,55
Christian Louboutin LLC,https://media.dojmt.gov/wp-content/uploads/Christian-Louboutin.pdf,8/28/2016,10/3/2016,11/3/2016,2
Sentinel Hotel,https://media.dojmt.gov/wp-content/uploads/Sentinel-Hotel.pdf,7/12/2016,10/3/2016,11/4/2016,4
Rebecca Minkoff LLC (2),https://media.dojmt.gov/wp-content/uploads/Rebecca-Minkoff-LLC.pdf,8/10/2016,10/7/2016,11/7/2016,15
"Baker, Overby & Moore, Inc., P.S.",https://media.dojmt.gov/wp-content/uploads/Baker-Overby-Moore-Inc.-P.S..pdf,10/8/2016,10/31/2016,11/8/2016,3
Honig's Whistle Stop,https://media.dojmt.gov/wp-content/uploads/Honigs-Whistle-Stop.pdf,8/4/2016,8/30/2016,11/9/2016,45
"Eileen Fisher, Inc.",https://media.dojmt.gov/wp-content/uploads/Eileen-Fisher.pdf,9/7/2016,10/24/2016,11/9/2016,83
"Politi & Magnifico, LLC",https://media.dojmt.gov/wp-content/uploads/Politi-Magnifico-LLC.pdf,9/13/2016,9/13/2016,11/9/2016,4
UFCW Local 655 Employers Joint Pension Plan,https://media.dojmt.gov/wp-content/uploads/UFCW-Local-655-Food-Employers-Joint-Pension-Plan.pdf,7/14/2016,7/21/2016,11/9/2016,71
Baxter Credit Union,https://media.dojmt.gov/wp-content/uploads/Baxter-Credit-Union.pdf,10/11/2016,10/11/2016,11/10/2016,1
Sirius XM Radio Inc.,https://media.dojmt.gov/wp-content/uploads/Sirius-XM-Radio.pdf,10/31/2016,10/31/2016,11/11/2016,2
Aetna,https://media.dojmt.gov/wp-content/uploads/Aetna.pdf,9/9/2016,9/9/2016,11/16/2016,34
Yummie,https://media.dojmt.gov/wp-content/uploads/Yummie.pdf,10/4/2016,11/1/2016,11/16/2016,5
Eye Institute of Marin,https://media.dojmt.gov/wp-content/uploads/Eye-Institute-of-Marin.pdf,7/26/2016,7/27/2016,11/16/2016,1
NRSC,https://media.dojmt.gov/wp-content/uploads/NRSC.pdf,10/5/2016,10/5/2016,11/17/2016,2
Springfield Armory,https://media.dojmt.gov/wp-content/uploads/Springfield-Armory-1.pdf,10/3/2016,11/9/2016,11/18/2016,83
Springfield Armory,https://media.dojmt.gov/wp-content/uploads/Springfield-Armory.pdf,10/3/2015,10/9/2016,11/18/2016,83
Michigan State University,https://media.dojmt.gov/wp-content/uploads/Michigan-State-University.pdf,11/13/2016,11/13/2016,11/21/2016,460
"Ameriprise Financial Services, Inc.",https://media.dojmt.gov/wp-content/uploads/Ameriprise-Financial-Services-Inc..pdf,10/17/2016,10/17/2016,11/21/2016,2
Madison Square Garden Company,https://media.dojmt.gov/wp-content/uploads/Madison-Square-Garden-Company.pdf,10/24/2016,11/9/2016,11/22/2016,Unknown
Backcountry Gear,https://media.dojmt.gov/wp-content/uploads/Back-Country-Gear.pdf,9/26/2016,11/5/2016,11/23/2016,25
Primerica,https://media.dojmt.gov/wp-content/uploads/Primerica.pdf,9/4/2016,9/12/2016,11/23/2016,4
State Street,https://media.dojmt.gov/wp-content/uploads/State-Street.pdf,7/16/2016,8/5/2016,11/28/2016,6
SwervePoint,https://media.dojmt.gov/wp-content/uploads/Swervepoint.pdf,2/10/2016,6/2/2016,11/29/2016,4
"Lang Companies, Inc.",https://media.dojmt.gov/wp-content/uploads/Lang-Companies-Inc..pdf,9/1/2016,10/19/2016,11/30/2016,53
