Respondent,Notification Sent,Breach Occurred,IN Affected,Total Affected,Status/Disposition
IndianapolisNeighborhoodHousingPartnership-DataBreach,7/24/2018,6/21/2018,5,5,Closed
IndianapolisNeighborhoodHousingPartnership-DataBreach,10/12/2018,10/5/2018,1,1,Open
InnovateHR,2/16/2018,2/15/2018,225,931,Closed
InnovateHR,2/16/2018,2/15/2018,225,931,Closed
InogenInc-DataBreach,4/13/2018,12/9/2017,843,"29,528",Closed
InsightPrivateAdvisorsLLC,3/6/2018,1/23/2018,2,55,Closed
InsightSourcingGroup&SpendHQ,1/23/2018,11/30/2017,2,123,Closed
InsmedInc-DataBreach,9/17/2018,7/16/2018,1,522,Closed
InspireHomeLoansInc-DataBreach,3/29/2018,12/1/2017,1,"5,403",Closed
InstituteforSupplyManagement-DataBreach,4/5/2018,1/25/2018,3,246,Closed
InternationalManagementAdvisorsLtd-DataBreach,5/18/2018,4/26/2018,6,696,Closed
InternationalSocietyofExplosivesEngineers-DataBreach,10/26/2018,8/9/2018,2,133,Open
"InterstatePlastics,Inc.",3/6/2018,10/27/2017,16,"1,031",Closed
IntervalInternationalInc-DataBreach,4/4/2018,1/1/2016,11,"1,413",Closed
IntuitInc-DataBreach,,5/20/2018,1,1,Closed
IntuitInc-DataBreach,,,7,7,Closed
IntuitInc-DataBreach,5/15/2018,4/16/2018,2,2,Closed
IntuitInc,,,1,1,Closed
IntuitInc.,,,8,8,Closed
IntuitInc-DataBreach,,3/15/2018,9,9,Closed
IntuitInc,,,11,11,Closed
IntuitInc.,,,9,9,Closed
IntuitInc.,,2/13/2018,34,34,Closed
InvacareCorporation-DataBreach,3/15/2018,1/12/2018,5,187,Closed
iRemedyHealthcareCompaniesIncformerlyPacquinHealthcareCompaniesInc-DataBreach,6/29/2018,10/1/2017,10,390,Closed
IslandOutdoorLLC-DataBreach,3/15/2018,11/1/2017,29,979,Closed
ISSSolutionsInc,3/7/2018,1/23/2018,10,"2,295",Closed
IthacaCollege-DataBreach,3/14/2018,7/14/2017,2,143,Closed
IthacaCollege-DataBreach,6/13/2018,3/8/2018,2,359,Closed
IUHealthMethodistHospital-DataBreach,,,1,1,Closed
JESandiferFinancialConsultantsInc-DataBreach,8/2/2018,6/27/2018,8,357,Closed
"JemisonInternalMedicine,PC",2/16/2018,12/20/2017,3,"6,229",Closed
JenniferMillerLTD-DataBreach,11/12/2018,2/1/2018,11,1050,Open
JewishFederationofCincinnati-DataBreach,7/9/2018,5/14/2018,3,812,Closed
JoAnnJodyHendryx-DataBreach,11/16/2018,8/24/2018,53,67,Open
Jobscience,,,,,Open
JohnYTrent&AssociatesLLC-DataBreach,4/4/2018,9/29/2017,10,"3,348",Closed
JointCommissionResourcesInc-DataBreach,8/28/2018,5/15/2018,1,191,Closed
JonesLangLaSalle-DataBreach,11/14/2018,5/15/2018,1,106,Open
JulepBeautyInc-DataBreach,11/7/2018,10/12/2018,13,1150,Closed
JulianSurCPA-DataBreach,,,,,Closed
KARAuctionServicesInc-DataBreach,9/4/2018,9/4/2018,2,2,Open
KaskaskiaCollege-DataBreach,6/12/2018,3/12/2018,6,659,Closed
KemcoSystemsCoLLC-DataBreach,11/9/2018,,4,,Open
KHISolutionsInc-DataBreach,3/16/2018,3/16/2018,1,1,Closed
KindredHealthcare-DataBreach,3/29/2018,3/27/2018,1,1,Closed
KindredHospitalNorthwest,1/26/2018,1/11/2018,1,1,Closed
King&AssociatesCPAPC-DataBreach,3/23/2018,7/15/2017,4,2009,Closed
KingstonHealthcareCompany,2/14/2018,1/30/2018,,,Closed
KirbyandAssociatesPC-DataBreach,5/15/2018,2/15/2018,1,494,Closed
KMSFinancialServicesInc-DataBreach,12/3/2018,9/29/2018,2,364,Open
KnapeandVogtManufacturingCompany-DataBreach,5/9/2018,2/10/2017,5,"1,873",Closed
"KPVentures,LLC",2/15/2018,,2,5,Closed
KuligAccountingInc-DataBreach,9/10/2018,5/5/2018,3,2378,Closed
L'OccitaneIncDBAL'OccitaneenProvence-DataBreach,6/22/2018,5/1/2018,4,329,Closed
LAFashionEnterpriseLTD-DataBreach,7/19/2018,12/7/2017,5,"34,097",Closed
LandOLakesInc-DataBreach,10/8/2018,8/27/2018,1,1,Closed
LeadershipPlatformAcquisitionCorporation-DataBreach,3/28/2018,1/31/2018,8,"1,095",Closed
LeafFilterNorthLLC-DataBreach,10/4/2018,4/1/2018,26,2310,Closed
LehmanRobertsCompany-DataBreach,5/31/2018,2/21/2018,3,,Closed
"LendkeyTechnologies,Inc.",2/15/2018,6/27/2016,50,"6,403",Closed
LITaxandPlanningInconbehalfofLITax78Inc-DataBreach,4/16/2018,11/1/2017,5,"3,882",Closed
LibertyMutualInsuranceCompany-DataBreach,11/30/2018,,1,1,Open
LifeTimeInc-DataBreach,1/11/2018,1/9/2018,1,15,Closed
LifeskillsInc-DataBreach,2/5/2018,2/5/2018,1,246,Closed
LifeSpanInc-DataBreach,7/9/2018,7/4/2018,1,91,Closed
LILLEbaby-DataBreach,8/28/2018,6/1/2016,873,"37,000",Open
LincolnFinancialGroup-DataBreach,5/1/2018,4/11/2018,1,18,Closed
LipscombandPittsInsuranceLLC-DataBreach,8/29/2018,3/19/2018,5,1592,Open
LipscombandPittsInsuranceLLC-DataBreach,7/6/2018,1/20/2018,1,457,Open
LiquidityServices-DataBreach,10/12/2018,4/1/2018,274,3000,Open
LiteraMicrosystems-DataBreach,12/20/2018,3/18/2018,2,11,Open
LJCooperCapitalManagementLLCdbaLJCooperWealthAdvisors-DataBreach,10/18/2018,9/18/2018,3,1202,Closed
LogansportMemorialHospital-DataBreach,10/5/2018,9/11/2018,1,1,Closed
LoneStarAgCredit-DataBreach,4/26/2018,,2,"1,500",Closed
LordandTaylor-DataBreach,,,,,Open
LosAngelesPhilharmonic,2/16/2018,2/14/2018,2,"2,442",Closed
LoyolaUniversityofChicago-DataBreach,7/30/2018,7/17/2018,27,,Closed
LPNewburghLLC-DataBreach,8/27/2018,8/6/2018,1,1,Closed
LPLFinancialLLC-DataBreach,11/17/2018,11/1/2018,"4,551","270,000",Open
LPLFinancialLLC-DataBreach,4/10/2018,2/20/2018,1,297,Closed
LundbergFamilyFarms-DataBreach,11/21/2018,3/26/2018,2,201,Open
LutzandCarrCPAsLLC-DataBreach,6/7/2018,,1,"1,657",Closed
LutzandCompanyPC-DataBreach,9/21/2018,7/25/2018,3,1414,Closed
LuxuryRetreats-DataBreach,5/24/2018,9/7/2017,2,345,Closed
LyricOperaofChicago-DataBreach,10/26/2018,9/26/2018,8,302,Open
MacysInc-DataBreach,7/3/2018,4/26/2018,"2,075","162,507",Open
MaestroHealthInc,8/17/2018,7/23/2018,5,57,Closed
MainLineArts-DataBreach,4/26/2018,2/9/2018,1,,Closed
Make-upDesignory,2/2/2018,1/24/2018,7,670,Closed
"MakeupGeek,LLC",1/31/2018,12/4/2017,30,"2,385",Closed
MalleysChocolates-DataBreach,4/30/2018,3/18/2018,29,3486,Closed
Manduka-DataBreach,3/26/2018,2/22/2017,665,"64,270",Closed
MarionCountyBank-DataBreach,6/12/2018,4/5/2018,2,"5,799",Closed
MaronElectricCompany-DataBreach,5/11/2018,10/17/2017,17,274,Closed
MarriottInternationalInc-DataBreach,11/30/2018,,,"500,000,000",Open
MassachusettsMutualLifeInsuranceCompany-DataBreach,10/8/2018,9/24/2018,2,2,Closed
MatrixDesignGroupInc-DataBreach,7/20/2018,,2,700,Closed
MatrixServiceCompany-DataBreach,9/14/2018,4/23/2018,1,321,Closed
McMahanThomsonandAssociates-DataBreach,4/27/2018,12/2/2017,15,"2,677",Closed
MCRInvestorsLLC-DataBreach,4/23/2018,3/11/2018,3,"6,178",Closed
MeadowLakesofMooresvilleLLCdbaMeadowLakes-DataBreach,12/5/2018,1/15/2018,3,3,Open
MedAssociatesInc-DataBreach,6/14/2018,3/22/2018,2,"276,057",Closed
MedSheildInc-DataBreach,,,1,1,Open
MedEvolve-DataBreach,7/10/2018,3/29/2018,99,"204,607",Open
MedProGroupdbaIndianaPatient'sCompensationFund-DataBreach,3/19/2018,12/22/2017,36,36,Closed
Medtronic-DataBreach,11/21/2018,,,,Open
MedWatchLLC-DataBreach,4/13/2018,10/20/2017,41,506,Closed
MemberBusinessServicesLLCdbaCommercialAlliance-DataBreach,5/14/2018,1/26/2018,35,"7,475",Closed
MemberFirstMortgageLLC,1/26/2018,11/25/2017,640,"36,840",Closed
MennoniteDisabilitiesCommitteeIncdbaGoldenrod-DataBreach,6/8/2018,6/5/2018,1,1,Closed
MercyHealthLoveCountyHospitalandClinic,2/26/2018,,4,"14,229",Closed
MetropolitanLifeInsuranceCompany,12/14/2018,9/10/2018,1,104,Open
MiamiCorrectionalFacility,2/8/2018,2/5/2018,465,465,Closed
"Mindlance,Inc.",1/19/2018,12/28/2017,48,"3,085",Closed
MintieCorporation-DataBreach,3/27/2018,2/16/2018,2,349,Closed
MiseEnPlaceRestaurantServicesInc-DataBreach,4/13/2018,3/6/2018,1,"27,997",Closed
MJInsurance-DataBreach,12/26/2018,9/26/2018,2,5375,Open
MondelezGlobalLLC-DataBreach,8/16/2018,7/24/2018,2,105,Closed
"MoneyGramInternational,Inc.",2/23/2018,2/1/2018,1,81,Closed
MonticelloCentralSchoolDistrict,1/12/2018,11/1/2017,1,2598,Closed
"McKenzie, Jessica",,,,,Closed
MooreStephensTillerLLC-DataBreach,7/23/2018,4/6/2018,2,1032,Closed
MorganStanleySmithBarneyLLC,2/2/2018,1/23/2018,1,1,Closed
MountwestCommunityandTechnicalCollege-DataBreach,5/10/2018,3/11/2018,2,"1,154",Closed
MovementMortgageLLC-DataBreach,8/31/2018,10/9/2017,179,"60,064",Closed
MSKGroupPC-DataBreach,7/5/2018,5/7/2018,173,"566,236",Closed
MuellerCPA,2/23/2018,11/8/2017,62,2921,Closed
MunroandCompanyInc-DataBreach,8/20/2018,7/21/2018,5,728,Closed
MutualofOmahaBank-DataBreach,11/1/2018,8/29/2018,1,47,Closed
NampaSchoolDistrict-DataBreach,3/14/2018,1/21/2018,1,"4,054",Closed
NardellaandTaylorLLP-DataBreach,9/7/2018,3/27/2018,12,2987,Closed
NationalRailroadPassengerCorporation(Amtrak)-DataBreach,5/23/2018,10/1/2017,34,"2,853",Closed
NationalRecreationandParkAssociation-DataBreach,5/1/2018,1/14/2018,3,336,Closed
"NationalStores,Inc.",1/22/2018,7/16/2017,TBD,"609,064",Open
NaviauxDubowHarrisLLC-DataBreach,7/3/2018,1/12/2018,4,325,Closed
"Navistar,Inc.",2/13/2018,1/24/2018,17,253,Closed
NeilDDilorenzoCPAPC,3/9/2018,1/13/2018,1,963,Closed
NekoosaCoatedProductsLLC-DataBreach,8/13/2018,7/10/2018,1,720,Closed
Net32Inc-DataBreach,10/25/2018,9/22/2018,119,"10,000",Open
NewHorizonsClinicalResearchLLC-DataBreach,4/2/2018,8/1/2017,3,221,Closed
NewPennFinancialLLCdbaShellpointMortgageServicing-DataBreach,10/2/2018,9/1/2018,1,157,Closed
NewYorkOncologyHematologyPC-DataBreach,11/16/2018,4/20/2018,21,"128,420",Open
NeweggInc-DataBreach,11/15/2018,8/13/2018,"3,017","202,231",Open
"Kindig, Heather",,,,,Closed
NextGenHealthcareInc-DataBreach,11/16/2018,10/16/2018,,,Closed
NFMLending-DataBreach,12/14/2018,5/1/2018,16,7069,Open
NFPProperty&CasualtyServicesInc-DataBreach,3/23/2018,3/13/2018,36,573,Closed
NordstromInc-DataBreach,11/5/2018,10/9/2018,603,"107,106",Open
North40Outfitters,2/23/2018,1/20/2017,194,14734,Closed
NorthAmericanPowerandGasLLC-DataBreach,8/6/2018,,66,"8,690",Closed
NorthAmericanRiskServicesInc-DataBreach,8/31/2018,2/7/2018,368,2693,Closed
NorthTexasMedicalCenter-DataBreach,4/23/2018,2/9/2018,1,"3,350",Closed
NorthbayHealthcareCorporation-DataBreach,10/30/2018,5/8/2018,1,1567,Open
NorthsideAnesthesiaServicesLLC,1/17/2018,11/20/2017,,75,Open
NorthwestSurgicalSpecialistsPCdbaReboundOrthopedicsNeurosurgery-DataBreach,10/5/2018,5/22/2018,1,2245,Open
NorthwestUniversity-DataBreach,6/29/2018,2/12/2018,5,1802,Closed
NotreDameClinicalLawCenter-DataBreach,9/15/2018,7/25/2018,2,2,Closed
NotreDamedeNamurUniversity-DataBreach,6/20/2018,4/23/2018,4,"2,879",Closed
NovareNationalSettlementServiceLLC-DataBreach,6/21/2018,6/19/2018,1,1,Closed
State o. Indiana,12/4/2017,12/3/2017,4,4,Closed
OFDFoodsLLC-DataBreach,6/15/2018,4/13/2018,17,685,Closed
OhnwardBancsharesInc-DataBreach,4/17/2018,2/15/2018,1,125,Closed
OldRARIncformerlyRealAlloyRecyclingInc-DataBreach,7/6/2018,4/11/2018,888,3871,Closed
OldSecondNationalBank-DataBreach,6/11/2018,3/12/2018,18,"2,996",Closed
Onco360andCareMedSpecialtyPharmacy,1/12/2018,4/9/2017,750,"53,173",Open
OneMainFinancial-DataBreach,4/27/2018,4/18/2018,1,1,Closed
OneMainFinancial-DataBreach,6/19/2018,6/6/2018,1,1,Closed
OneMainFinancial-DataBreach,7/17/2018,7/10/2018,1,1,Closed
OneMainFinancial,2/6/2018,,58,1253,Closed
OptomaTechnologyInc-DataBreach,7/26/2018,4/6/2018,7,685,Closed
Orbitz-DataBreach,3/22/2018,10/1/2017,"2,744","382,612",Open
OrrstownBank-DataBreach,8/28/2018,10/2/2017,26,"54,000",Closed
OrthoIndyHospital-DataBreach,9/7/2018,9/7/2018,2,2,Closed
OSNationalLLC-DataBreach,12/7/2018,8/11/2018,6,57,Open
OurHoneymoonWishesInc-DataBreach,8/3/2018,6/16/2018,3,220,Closed
OurPieceofthePie-DataBreach,11/9/2018,3/6/2018,2,"1,836",Open
OXO-DataBreach,11/1/2018,7/1/2018,41,3242,Open
PACCARInc.,2/14/2018,1/22/2018,2,251,Closed
PacificManagementIncandNewFrontierManagementCorp-DataBreach,6/28/2018,1/12/2018,7,1251,Closed
"PARElecrticalContractors,Inc.",2/5/2018,12/22/2017,355,"25,500",Closed
ParadigmEquitiesInc-DataBreach,7/27/2018,7/14/2018,1,"1,131",Closed
ParkviewRegionalMedicalCenter-DataBreach,,8/1/2018,1,1,Open
ParkwayCorporation,3/2/2018,2/14/2018,1,589,Closed
PeacefulValleyFarmSupply-DataBreach,9/12/2018,2/9/2018,234,"20,084",Open
PensionFundoftheChristianChurch,1/16/2018,10/12/2017,1954,"20,996",Closed
PentairAquaticEcoSystemsInc.,1/26/2018,12/19/2017,2,239,Closed
PentegraServicesInc-DataBreach,11/16/2018,10/15/2017,1,301,Open
PerfectCircleCreditUnion-DataBreach,6/29/2018,5/4/2018,62,105,Closed
PerformanceFoodGroupInc-DataBreach,9/19/2018,,"1,071","9,142",Closed
Perry&AssociatesCPA'sA.C.,2/13/2018,7/7/2017,3,2450,Closed
PerryCountyMemorialHospital-DataBreach,,,,,Open
PershingLLC-DataBreach,4/20/2018,1/31/2018,1,86,Closed
PF@ComInc-DataBreach,4/11/2018,2/20/2018,49,"4,423",Closed
PharmacyTimesOfficeofContinuingProfessionalEducationLLC-DataBreach,11/13/2018,7/6/2018,883,"128,211",Open
PhysiciansHomeCare-DataBreach,7/17/2018,6/29/2018,1,1,Closed
PinnacleAdvisoryGroupInc-DataBreach,5/21/2018,3/20/2018,107,"1,706",Closed
PinnacleTrailerSalesInc-DataBreach,7/16/2018,2/21/2018,1,"1,215",Closed
PLAEInc-DataBreach,6/4/2018,3/15/2018,156,"9,627",Closed
PlantTherapy-DataBreach,9/12/2018,7/17/2018,26,2043,Closed
PlantTherapy-DataBreach,7/13/2018,3/29/2018,417,"13,927",Closed
PlatinumPartnersCreditOpportunitiesMasterFundLP-DataBreach,7/16/2018,3/19/2018,2,77,Closed
PleasantSolutions-DataBreach,12/6/2017,9/6/2017,1,134,Closed
PreferredHotels&Resorts,3/5/2018,6/20/2018,40,9182,Open
PremierFixturesLLC-DataBreach,4/19/2018,1/17/2018,3,855,Closed
Presti&Naegele-DataBreach,3/15/2018,4/1/2017,4,"2,079",Closed
PrincipalLifeInsuranceCompany-SecurityBreach,3/14/2018,3/9/2018,6,6,Closed
PrincipalLifeInsuranceCompany-SecurityBreach,11/5/2018,10/30/2018,1,1077,Closed
PrintingCenterUSAcom-DataBreach,5/25/2018,1/1/2018,40,,Closed
ProAssuranceIndemnityCompanyInc,3/9/2018,7/1/2012,45,45,Closed
ProfessionalGolfBallServicesLTD-DataBreach,6/18/2016,5/30/2016,31,2126,Closed
ProfessionalPublicationsInc-DataBreach,10/4/2018,3/9/2017,8,1162,Closed
ProSightSpecialtyInsurance,2/2/2018,2/1/2018,1,5,Closed
ProSightSpecialtyInsurance,2/2/2018,2/1/2018,1,5,Closed
ProsperMarketplaceInc-DataBreach,11/26/2018,10/3/2018,41,3115,Open
PrudentialInsuranceCompanyofAmerica-DataBreach,10/11/2018,9/21/2018,16,1637,Open
PrudentialInsuranceCompanyofAmerica-DataBreach,4/23/2018,3/29/2018,1,1,Closed
PrudentialInsuranceCompanyofAmerica-DataBreach,3/9/2018,1/19/2018,1,1,Closed
PrudentialInsuranceCompanyofAmerica-DataBreach,3/14/2018,1/22/2018,1,1,Closed
PsychiatricSpecialists,1/31/2018,,2,2,Closed
PurdueUniversity-DataBreach,5/25/2018,3/15/2018,110,110,Open
PurdueUniversity-DataBreach,,,,,Closed
PurdueUniversity-DataBreach,7/13/2018,5/17/2018,"26,553","26,598",Closed
QuadAssocLLC-DataBreach,10/18/2018,5/30/2018,"3,548",3855,Open
QualifiedPlansLLC-DataBreach,6/6/2018,1/11/2018,258,"10,878",Closed
QuantaTechnologyLLC,3/3/2018,3/2/2018,1,55,Closed
QuestNutrition-DataBreach,9/28/2018,11/10/2017,7,1552,Closed
RMChin&AssociatesInc-DataBreach,3/21/2018,1/23/2018,1,71,Closed
RRBowkerLLC-DataBreach,11/20/2018,5/1/2018,228,"18,578",Open
RailEuropeNorthAmericaInc-DataBreach,4/30/2018,11/29/2017,173,"18,785",Closed
RailEuropeSAS-DataBreach,5/11/2018,6/15/2017,26,"3,714",Closed
RainforestAllianceHoldingInc-DataBreach,11/12/2018,10/3/2018,1,24,Closed
RamyBrookLLC-DataBreach,4/24/2018,3/18/2018,2,328,Closed
RBCRoyalBank,1/31/2018,10/3/2017,2,"66,000",Closed
RBCWealthManagement-DataBreach,8/8/2018,,2,,Closed
RBCWealthManagement-DataBreach,5/16/2018,,1,,Closed
"Rea.deemingBeauty,Inc.d/b/abeautyblender",1/5/2018,4/23/2015,201,"18,133",Closed
RedhorseCorporation-DataBreach,8/22/2018,2/28/2018,1,73,Closed
REDICOManagementInconbehalfofAmericanHouse-DataBreach,9/19/2018,9/10/2018,4,"3,852",Closed
ReidHealth-DataBreach,10/30/2018,7/9/2018,1,1,Closed
REMIndianaInc-DataBreach,3/20/2018,12/21/2017,4,"7,520",Closed
RemingtonHotelsLLC,3/2/2018,2/1/2018,1,313,Closed
"RemoteDBAExperts,LLC",2/1/2018,1/17/2018,2,281,Closed
RenaissancePhilanthropicSolutionsGroup-DataBreach,10/18/2018,6/5/2018,807,"33,663",Open
ResidentialCareXIIILLCdbaAsterPlace-DataBreach,10/30/2018,2/22/2018,73,73,Open
RevUpGroupLLCDBARevUpSports-DataBreach,6/21/2018,9/19/2017,89,"3,576",Closed
RichardOwenNurseryInc-DataBreach,9/5/2018,9/29/2017,297,"12,397",Closed
RISEWisconsinInc-DataBreach,6/7/2018,4/8/2018,4,"6,470",Closed
RiverCityMediaLLC-DataBreach,,,,,Closed
RiverMendHealthLLC-DataBreach,4/10/2018,3/27/2018,1,563,Closed
RMHFranchiseHoldingsInc,3/2/2018,12/6/2017,,,Open
RoadrunnerTransportationSystemsInc-DataBreach,9/10/2018,4/1/2018,775,9821,Open
RobertGrahamDesignsLLC-DataBreach,12/7/2018,9/27/2018,12,,Open
RoosLangan&McKendreeLLP-DataBreach,3/26/2018,2/15/2018,4,149,Closed
RosewoodHotelGroup-DataBreach,1/19/2018,5/29/2016,41,,Open
RotaryInternational,3/13/2018,6/1/2017,14,"1,775",Closed
RoundPointMortgageServicingCorporation-Data Breach,,11/26/2018,3,75,Open
RushMemorialHospital-DataBreach,,,,,Open
SABICInnovativePlastics-DataBreach,11/14/2018,5/15/2018,3,106,Open
SaginawValleyStateUniversity,1/24/2018,11/26/2017,24,4949,Closed
SaksFifthAvenue-DataBreach,,,,,Open
SalinBankandTrustCompany-DataBreach,7/13/2018,7/11/2018,8,8,Closed
SalterLabs-DataBreach,8/27/2018,4/9/2018,25,584,Closed
SanfordHeislerSharp-DataBreach,7/13/2018,5/9/2018,1,413,Closed
SanibelCaptivaTrustCompany-DataBreach,9/7/2018,7/30/2018,7,605,Closed
"SantaCruzBioTechnology,Inc.",2/22/2018,12/17/2017,1,2657,Closed
SchlageLockCompanyLLC-DataBreach,7/11/2018,7/10/2018,6,18,Closed
Scoppechio,1/26/2018,1/24/2018,27,204,Closed
Scrapbook.comLLC-DataBreach,10/19/2018,9/14/2018,14,728,Closed
SDIInc,3/2/2018,2/12/2018,2,409,Closed
SearsHoldingsManagementCorporation-DataBreach,4/25/2018,9/27/2017,"1,634","95,547",Closed
SecurityNationalMortgageCompany-DataBreach,9/11/2018,5/4/2018,13,1631,Closed
SecurusTechnologiesInc-DataBreach,,5/15/2018,65,"1,700",Closed
SEIULocal32BJ-DataBreach,5/25/2018,11/13/2017,13,"161,040",Closed
SekisuiDiagnostics-DataBreach,4/13/2018,4/6/2018,1,194,Closed
SeniorLifestyleCorporation-DataBreach,12/7/2018,11/7/2018,23,"16,755",Open
SentryInsuranceaMutualCompany-DataBreach,6/6/2018,2/1/2017,1,20,Closed
SESEnvironmental,1/25/2018,5/30/2007,14,14,Closed
Seterus-DataBreach,5/29/2018,,,,Closed
SFCKrumrie/ReadinessNCO,,,,,Closed
SGSNorthAmericaInc-DataBreach,6/29/2018,2/26/2018,4,383,Closed
SheetMetalWorkersNationalPensionFund-DataBreach,6/28/2018,6/6/2018,43,940,Closed
SHEIN-DataBreach,9/21/2018,6/1/2018,"10,000","6,420,000",Open
ShoeStationInc-DataBreach,10/3/2018,7/14/2018,2,216,Closed
shopPOPdisplaysInc-DataBreach,6/11/2018,4/8/2018,26,1690,Closed
ShutterflyInc-DataBreach,3/27/2018,1/11/2018,13,"9,428",Closed
SierraNevadaBrewingCo-DataBreach,8/28/2018,6/12/2018,8,630,Closed
SignatorInvestorsInc-DataBreach,8/30/2018,8/16/2018,1,21,Closed
SignatureSystemsGroupLLC-DataBreach,4/24/2018,2/2/2018,2,228,Closed
SimeonSPatestas-DataBreach,11/9/2018,,1,353,Open
SirchieAcquisitionCompany-DataBreach,11/5/2018,10/5/2018,1,95,Closed
SJGorowitzAccountingandTaxServicesPC-DataBreach,7/9/2018,5/1/2018,1,513,Closed
SkillsoftCorporation-DataBreach,12/21/2018,12/10/2018,3,325,Open
SmithandNephew-DataBreach,11/16/2018,10/30/2018,1,22,Open
SniderFleetSolutions-DataBreach,10/1/2018,4/1/2018,11,2566,Open
SoleraNationalBank-DataBreach,6/25/2018,1/18/2018,12,858,Closed
SOSIntlLLC-DataBreach,6/28/2018,2/5/2018,13,172,Closed
SouthernNationalBancorpofVirginiad/b/aSonabank,10/31/2017,6/4/2017,8,"24,999",Closed
SouthportFamilyandSportsMedicine-DataBreach,5/29/2018,1/1/2017,15,15,Closed
SouthwestAirlinesCo-DataBreach,4/20/2018,10/1/2017,618,"36,485",Closed
SPIndustriesInc-DataBreach,5/13/2018,2/9/2018,1,495,Closed
SpringstoneFinancial-DataBreach,12/14/2018,7/27/2018,99,"47,721",Open
SprintCorporation-DataBreach,3/30/2018,3/2/2018,2,29,Closed
SquirePattonBoggs(US)LLP-DataBreach,3/12/2018,1/31/2018,1,256,Closed
StMarysHealthIncdbaStVincentEvansville-DataBreach,5/31/2018,2/15/2018,"3,010","5,649",Closed
StMarysMedicalGroupLLCdbaStVincentEvansvilleMedicalGroup-DataBreach,11/30/2018,10/19/2018,1,1,Open
StVincentDunnHospital-DataBreach,,,,,Open
State o. Indiana,1/10/2018,12/15/2017,1,1,Closed
StVincentWomensHospital-DataBreach,,,2,2,Closed
StaffQuick-DataBreach,4/27/2018,12/12/2017,23,108,Closed
StandardInsuranceCompany-DataBreach,5/10/2018,1/30/2017,2,89,Closed
StarTitlePartnersofPalmHarborLLC-DataBreach,10/26/2018,6/4/2018,11,2059,Open
StataCorpLLC-DataBreach,9/21/2018,9/13/2018,8,1680,Closed
SteinEriksenLodgeHotel-DataBreach,6/7/2018,9/9/2017,2,"1,992",Closed
SteinMartInc-DataBreach,11/13/2018,12/28/2017,"2,240","108,322",Open
STLInternationalIncdbaTeeter-DataBreach,10/22/2018,4/11/2018,273,"12,561",Open
STPNuclearOperatingCompany,12/20/2017,12/12/2017,,844,Closed
StrategicAnalysisInc-DataBreach,4/19/2018,4/20/2015,15,"2,074",Closed
SunspireHealth-DataBreach,7/27/2018,3/1/2018,3,"6,737",Closed
SunTrustBanksInc-DataBreach,,,342,"1,500,000",Closed
SVAMInternationalInc-DataBreach,7/26/2018,4/24/2018,1,193,Open
SwensonSaurerGerberAndersonandCo.Ltd.,3/6/2018,1/15/2018,1,1664,Closed
SynchronyFinancial-DataBreach,12/3/2018,12/28/2017,615,"28,732",Open
SystemeSoftwareInc-DataBreach,6/8/2018,5/7/2018,111,"17,618",Closed
TacoJohnsofIowa-DataBreach,5/10/2018,7/14/2017,1,"6,012",Closed
"talentReef,Inc.",1/9/2018,10/16/2017,30,"11,603",Closed
TallahasseeMemorialHealthcareInc-DataBreach,10/17/2018,5/8/2018,1,5988,Closed
Target-DataBreach,,,,,Closed
TargetDirectMarketingLLC-DataBreach,5/30/2018,,2,439,Closed
TaskRabbitInc-DataBreach,5/10/2018,4/11/2018,"10,159","3,030,925,",Closed
TaylorUniversity-DataBreach,4/4/2018,1/31/2018,9,9,Closed
TCMBankNA-DataBreach,8/3/2018,3/5/2017,257,"9,549",Closed
TealBecker&ChiaramonteCPAsPC-DataBreach,3/29/2018,11/29/2017,3,5576,Closed
"Tech Rabbit, LLC",9/21/2018,2/22/2017,825,"54,637",Open
TeenSafe-DataBreach,,,,,Open
TelestreamLLC-DataBreach,4/4/2018,2/8/2018,3,262,Closed
TemeculaMotorsportsInc-DataBreach,5/31/2018,2/9/2018,17,"1,456",Closed
TempTationsHomeLLCdbaTaraatHome-DataBreach,4/16/2018,8/1/2017,113,"7,028",Closed
TempurSealyInternationalInc-DataBreach,4/25/2018,4/10/2018,1,17,Closed
TheAffiliatedGroup-DataBreach,9/18/2018,11/20/2017,131,6201,Open
TheBoardofCommissionersoftheCountyofLaGrange-DataBreach,4/17/2018,11/8/2017,23,23,Closed
TheCityofBakersfield-DataBreach,11/12/2018,8/11/2018,2,2180,Closed
TheCityofBozemanMontana-DataBreach,7/16/2018,7/1/2017,1,"2,962",Closed
TheCocaColaCompany,1/22/2018,,2,"2,181",Closed
TheCocaColaCompany,5/21/2018,8/7/2015,21,"7,967",Closed
TheConlanCompany-DataBreach,8/21/2018,8/13/2018,1,597,Closed
TheFruitfulYieldInc-DataBreach,7/11/2018,5/29/2018,14,632,Closed
TheHanoverInsuranceCompany-DataBreach,3/26/2018,12/6/2017,174,"15,422",Closed
"The Information and Referral Federation of Los Angeles County, Inc. dba 211 LA County",7/5/2018,3/14/2018,42,"26,678",Closed
TheInternationalMissionBoard-DataBreach,7/6/2018,2/14/2018,986,"187,749",Open
TheKraftHeinzCompany,2/27/2018,,1,177,Closed
TheLincolnNationalLifeInsuranceCompany-DataBreach,4/2/2018,1/29/2018,644,"5,876",Closed
