Raw Data,Data Pulled
"Clearview Realty Ventures LLC d/b/a Lake Opechee Inn and Spa, December 24, 2018 ",1/18/2019
"Client Network Services, Inc., April 18, 2016 ",1/18/2019
"Clif Bar Familty Winery & Farm, LLC., June 12, 2015 ",1/18/2019
"CliftonLarsonAllen LLP, September 20, 2017 ",1/18/2019
"Clinical Pathology Laboratories Southeast, Inc., March 21, 2018 ",1/18/2019
"Clinical Reference Laboratory, Inc. (CRL), October 07, 2013 ",1/18/2019
"Clinical Reference Laboratory, Inc. (CRL), October 03, 2013 ",1/18/2019
"Clinton Health Access Initiative, April 05, 2016 ",1/18/2019
"Clinton Health Access Initiative, March 29, 2013 ",1/18/2019
"Clysar, LLC, May 26, 2017 ",1/18/2019
"CNG Financial Corporation, Inc. (CNG), August 3, 2018 ",1/18/2019
"CNU of New Hampshire, LLC dba CashNetUSA, April 23, 2018 ",1/18/2019
"CNU Online Holdings, LLC, March 13, 2018 ",1/18/2019
"COA Network, Inc., June 19, 2015 ",1/18/2019
"Cobra Electronics, November 09, 2009 ",1/18/2019
"Coca-Cola Bottling Company of Northern New England (""CCNNE""), October 01, 2018 ",1/18/2019
"Coca-Cola Company, The, January 19, 2018 ",1/18/2019
"Coca-Cola Company, The, January 23, 2014 ",1/18/2019
"Coca-Cola Company Family Federal Credit Union, February 22, 2012 ",1/18/2019
"Cohen & Grieb, P.A., June 02, 2016 ",1/18/2019
"Coincafe, October 18, 2017 ",1/18/2019
"Cole Sport, July 27, 2017 ",1/18/2019
"College Board, January 13, 2012 ",1/18/2019
"College of the Holy Cross, October 18, 2017 ",1/18/2019
"Collier Heggerness & Bronk CPA's PS Inc., November 12, 2018 ",1/18/2019
"College of the Holy Cross, October 07, 2011 ",1/18/2019
"Colonial Properties Trust, September 30, 2013 ",1/18/2019
"Colorado Bankers Life Insurance Company, August 03, 2018 ",1/18/2019
"Colorado Springs Utility, January 14, 2011 ",1/18/2019
"Colt Express Outsourcing Services, June 19, 2008 ",1/18/2019
"Columbia Capital, April 21, 2008 ",1/18/2019
"Columbia Threadneedle Investments, November 11, 2015 ",1/18/2019
"Columbia University, April 23, 2012 ",1/18/2019
"Columbia University, February 01, 2010 ",1/18/2019
"Columbia University Medical Center of Columbia University, May 06, 2013 ",1/18/2019
"Columbian Financial Group, April 17, 2015 ",1/18/2019
"Combat Brands LLC, April 14, 2017 ",1/18/2019
"CommonBond, December 29, 2016 ",1/18/2019
"Commonwealth Health Corporation, March 24, 2017 ",1/18/2019
"Community College System of NH, April 24, 2008 ",1/18/2019
"Community Health Plan of Washington, January 03, 2017 ",1/18/2019
"Comnet Marketing Group, December 29, 2016 ",1/18/2019
"Comnet Marketing Group, Inc., July 11, 2016 ",1/18/2019
"Complete Medical Homecare, January 21, 2014 ",1/18/2019
"ComplyRight, July 13, 2018 ",1/18/2019
"Computer Sciences Corporation, April 03, 2013 ",1/18/2019
"Concept Title Services, Inc., August 14, 2018 ",1/18/2019
"Concord Hospital, June 07, 2011 ",1/18/2019
"Concord Hospital Security, June 08, 2007 ",1/18/2019
"Concord Orthopaedics, March 13, 2018 ",1/18/2019
"Concord Regional Visiting Nurse Association, April 18, 2008 ",1/18/2019
"Concur Technologies, Inc., December 08, 2010 ",1/18/2019
"Concur Technologies, Inc., December 15, 2010 ",1/18/2019
"Connecticut Airport Authority, February 09, 2018 ",1/18/2019
"Connecticut College, April 10, 2017 ",1/18/2019
"Connecticut Parent Advocacy Center, July 26, 2017 ",1/18/2019
"Connecticut Players Foundation, Inc. dba Long Wharf Theatre, December 18, 2017 ",1/18/2019
"Connecticut Store, The , January 30, 2013 ",1/18/2019
"Continental Airlines, January 12, 2009 ",1/18/2019
"Continental American Insurance Company, January 17, 2014 ",1/18/2019
"Control Technologies, Inc., April 09, 2018 ",1/18/2019
"ConvaTec, Inc., March 09, 2016 ",1/18/2019
"Convey Health Solutions, Inc., March 21, 2016 ",1/18/2019
"Conway Group, Inc., May 16, 2016 ",1/18/2019
"Cooper University Hospital, September 09, 2010 ",1/18/2019
"Coordinated Transportation Solutions, November 28, 2017 ",1/18/2019
"Copart, Inc., May 27, 2015 ",1/18/2019
"CoPilot Provider Support Services, Inc., January 18, 2017 ",1/18/2019
"Coral Springs, FL, City of, September 25, 2008 ",1/18/2019
"COR Clearing LLC, December 11, 2018 ",1/18/2019
"Cord Blood Registry, February 25, 2011 ",1/18/2019
"CoreLogic Credco, February 07, 2013 ",1/18/2019
"CoreLogic SafeRent, June 04, 2014 ",1/18/2019
"Corporate Employment Resources, Inc., February 08, 2018 ",1/18/2019
"Corporation Service Company, June 11, 2018 ",1/18/2019
"Corporation Service Company, May 17, 2018 ",1/18/2019
"Cortland Partners, August 23, 2018 ",1/18/2019
"Costco Photo Center, September 22, 2015 ",1/18/2019
"Coty, Inc., July 06, 2018 ",1/18/2019
"CoWorx Staffing Services, August 17, 2015 ",1/18/2019
"CP Franchising, LLC dba Cruise Planners, February 25, 2015 ",1/18/2019
"CPT Group, Inc., June 21, 2018 ",1/18/2019
"CPT Group, Inc., April 27, 2018 ",1/18/2019
"Crafts Americana Group, February 08, 2013 ",1/18/2019
"Crane Co., June 08, 2016 ",1/18/2019
"Creative Banner Assemblies, August 13, 2013 ",1/18/2019
"Cresent Healthcare, Inc., February 22, 2013 ",1/18/2019
"Crescent Mortgage Company, August 24, 2017 ",1/18/2019
"Crimson Trace Corporation, June 01, 2017 ",1/18/2019
"Cross Country Staffing, February 18, 2008 ",1/18/2019
"Cross Road Health Ministries, Inc., March 30, 2018 ",1/18/2019
"Crotched Mountain Foundation, Inc, March 07, 2017 ",1/18/2019
"Crothall Services Group, August 04, 2014 ",1/18/2019
"Crowne Plaza Columbus, Ohio, May 18, 2012 ",1/18/2019
"Cruzstar LLC., March 06, 2018 ",1/18/2019
"Crystal & Company, September 11, 2013 ",1/18/2019
"CS Stars, June 02, 2009 ",1/18/2019
"CSA Group, January 21, 2008 ",1/18/2019
"CSX Transportation, October 03, 2013 ",1/18/2019
"Curian Capital, LLC, January 29, 2010 ",1/18/2019
"Cushman and Wakefield, July 05, 2018 ",1/18/2019
"Custom Personalization Solutions, LLC, April 09, 2018 ",1/18/2019
"CuttersSorts, May 01, 2017 ",1/18/2019
"CVS Pharmacy Inc., September 10, 2015 ",1/18/2019
"Cyberswim, Inc., October 14, 2014 ",1/18/2019
"Daedalus Books Inc., February 04, 2010 ",1/18/2019
"Dairy Queen, Inc., October 09, 2014 ",1/18/2019
"Dallas County Community College District, September 24, 2018 ",1/18/2019
"Dallas County Community College District, August 21, 2018 ",1/18/2019
"Danner, December 19, 2013 ",1/18/2019
"Darden Restaurants, October 26, 2010 ",1/18/2019
"Dartmouth College, March 14, 2012 ",1/18/2019
"Dartmouth College, November 22, 2010 ",1/18/2019
"Dartmouth-Hitchcock, Feburary 10, 2015 ",1/18/2019
"Dartmouth-Hitchcock, January 28, 2015 ",1/18/2019
"Dartmouth-Hitchcock, January 20, 2014 ",1/18/2019
"Data Intensity, October 01, 2018 ",1/18/2019
"Database Designs Associates, Inc., August 28, 2012 ",1/18/2019
"Datapak Services Corporation, November 06, 2013 ",1/18/2019
"Datapak Services Corporation, October 02, 2013 ",1/18/2019
"DataXu, Inc., March 03, 2016 ",1/18/2019
"Davidson Hotel Company LLC dba Davidson Hotels & Resorts, July 14, 2014 ",1/18/2019
"Davis Companies, Inc., The, August 03, 2015 ",1/18/2019
"Davita, August 25, 2009 ",1/18/2019
"Davita, March 03, 2008 ",1/18/2019
"Dawson, March 03, 2017 ",1/18/2019
"Daymon Worldwide Inc., October 05, 2007 ",1/18/2019
"Daytona State College, March 28, 2017 ",1/18/2019
"DC International, November 08, 2018 ",1/18/2019
"Dead River Company, April 10, 2013 ",1/18/2019
Dead River Company March 22 2013,1/18/2019
"DealerBuilt, January 09, 2017 ",1/18/2019
"DealerSocket, Inc., April 18, 2016 ",1/18/2019
"DecisionDesk, Inc., December 10, 2013 ",1/18/2019
"Defense Contracts South FCU, September 16, 2013 ",1/18/2019
"Delaware River & Bay Authority, October 30, 2014 ",1/18/2019
"Delek US Holdings, Inc., July 26, 2017 ",1/18/2019
"Dell Inc., March 20, 2013 ",1/18/2019
"Deli Management, Inc. dba Jason's Deli, Inc., May 23, 2018 ",1/18/2019
"Deli Management, Inc. dba Jason's Deli, Inc., January 11, 2018 ",1/18/2019
"Delicato Vineyards, August 17, 2018 ",1/18/2019
"Deloitte and Touche, December 05, 2007 ",1/18/2019
"Delta Air Lines, Inc., April 11, 2018 ",1/18/2019
"Delta Career Education Corporation, April 14, 2017 ",1/18/2019
"Delta Career Education Corporation, October 13, 2016 ",1/18/2019
"Delta Dental of Minnesota, May 16, 2011 ",1/18/2019
"Delta Global Services, July 18, 2018 ",1/18/2019
"Deltek, April 10, 2014 ",1/18/2019
"Dennis East International, LLC, July 01, 2014 ",1/18/2019
"Dennis Group, Inc., The, August 12, 2016 ",1/18/2019
"Dental Center of Northwest Ohio, January 2, 2019 ",1/18/2019
"DenteMax, April 30, 2009 ",1/18/2019
"Denver Art Museum, October 03, 2017 ",1/18/2019
"Depository Trust & Clearing Corporation, The, July 02, 2012 ",1/18/2019
"Derry Medical Center & Londonderry Family Practice Center, April 09, 2012 ",1/18/2019
"Destination Hotels & Resorts, August 06, 2010 ",1/18/2019
"Developers Diversified Realty Corp, February 27, 2009 ",1/18/2019
"DHI Mortgage Company, Ltd., February 17, 2012 ",1/18/2019
"Dialogic Inc., August 04, 2011 ",1/18/2019
"Diamond Institute for Infertility and Menopause, April 28, 2017 ",1/18/2019
"DiCicco, Gulman & Company LLC, June 21, 2018 ",1/18/2019
"DiFilippo Corporate Finance Group, Inc., February 02, 2018 ",1/18/2019
"Digilant, May 06, 2016 ",1/18/2019
"DigiPen Institute of Technology, May 07, 2018 ",1/18/2019
"Digital Theatre, LLC, October 28, 2015 ",1/18/2019
"Diman Regional Vocational Technical High School, May 21, 2015 ",1/18/2019
"Directron, July 28, 2017 ",1/18/2019
"Dixie Group, Inc., The March 21, 2016 ",1/18/2019
"DJI Technology, Inc., December 19, 2017 ",1/18/2019
"DJO, December 12, 2008 ",1/18/2019
"Dollar Shave Club, Inc., June 27, 2018 ",1/18/2019
"Donaldson Company, Inc., April 24, 2017 ",1/18/2019
"Dorian Business Systems, LLC, August 27, 2018 ",1/18/2019
"doTerra Ineternational, LLC, April 18, 2016 ",1/18/2019
"Dover Corporation and Towers Perrin, February 05, 2007 ",1/18/2019
"Dow Corning Corporation, October 30, 2015 ",1/18/2019
"Dow Jones, October 09, 2015 ",1/18/2019
"Dracut Public Schools, January 27, 2017 ",1/18/2019
"Draper James, LLC, April 26, 2016 ",1/18/2019
"Drew University, November 22, 2013 ",1/18/2019
"Driveline Retail Merchandising, Inc., February 14, 2017 ",1/18/2019
"DSCI, LLC dba TPx Communications, July 17, 2018 ",1/18/2019
"DuaneMorris, October 12, 2007 ",1/18/2019
"Duluth Pack, October 24, 2014 ",1/18/2019
"Dunkin Brands Inc. (DBI), November 28, 2018 ",1/18/2019
"Dun & Bradstreet, October 25, 2013 ",1/18/2019
"Dutch, LLC., August 17, 2017 ",1/18/2019
"Dutch Bros Coffee, December 22, 2014 ",1/18/2019
Dutch Gardens USA August 30 2018 ,1/18/2019
"DXE Medical, Inc., August 19, 2016 ",1/18/2019
"E&J Gallo Winery, September 15, 2017 ",1/18/2019
"Eagle Ridge Resort & Spa, May 20, 2011 ",1/18/2019
"Easter Seals New Hampshire, Inc., November 12, 2014 ",1/18/2019
"Eastern Bank, April 16, 2018 ",1/18/2019
"Eastern Bank, March 082018 ",1/18/2019
"Eastern Bank, May 23, 2016 ",1/18/2019
"Eastern Benefits Group, April 21, 2016 ",1/18/2019
"Eastern Salt, February 02, 2018 ",1/18/2019
"Easton-Bell Sports, Inc., February 14, 2014 ",1/18/2019
"Easton-Bell Sports, Inc., January 17, 2014 ",1/18/2019
"Eastwood Company, October 19, 2016 ",1/18/2019
"Easybakeware, October 19, 2009 ",1/18/2019
"Easy Breathe, Inc., March 27, 2017 ",1/18/2019
"Eaton Vance, February 08, 2012 ",1/18/2019
"Ebara Technologies, June 18, 2008 ",1/18/2019
"EBSCO Industries, Inc., September 14, 2016 ",1/18/2019
"EBSCO Industries, Inc., August 09, 2016 ",1/18/2019
"EBSCO Sign Group, Inc., July 16, 2018 ",1/18/2019
"eClinical Works, LLC, March 07, 2016 ",1/18/2019
"E-conolight, December 04, 2014 ",1/18/2019
"ECMC Group, April 16, 2010 ",1/18/2019
"ECMC Group, March 27, 2010 ",1/18/2019
"ECS Learning Systems, Inc., November 08, 2010 ",1/18/2019
"ECS Tuning, Inc., June 19, 2012 ",1/18/2019
"Eddie Bauer, LLC, August 18, 2016 ",1/18/2019
"Edgepark Medical Supplies, January 10, 2014 ",1/18/2019
"Edgewood Centre, The, May 20, 2013 ",1/18/2019
"Edmund Optics, Inc., March 13, 2012 ",1/18/2019
"EDS, March 19, 2007 ",1/18/2019
"Education Management Corp., December 15, 2010 ",1/18/2019
"Educational Employees' Supplementary Retirement System of Fairfax County, June 12, 2018 ",1/18/2019
"Educents Inc., November 22, 2016 ",1/18/2019
"Edwards, Jr. MD, Leo, February 28, 2017 ",1/18/2019
"eHealthInsurance Services, Inc., January 27, 2017 ",1/18/2019
"Eileen Fisher, Inc., November 09, 2016 ",1/18/2019
"Eisai Inc., November 16, 2009 ",1/18/2019
"Ektron, Inc., September 03, 2013 ",1/18/2019
"Elbit Systems of America, April 03, 2017 ",1/18/2019
"Elizabethtown Community Hospital, December 17, 2018 ",1/18/2019
"Elliot Health System (EHS), December 03, 2018 ",1/18/2019
"Elliot Health System, May 20, 2014 ",1/18/2019
"Elliot Health System, March 03, 2008 ",1/18/2019
"Elliot Hospital, April 03, 2007 ",1/18/2019
"Elmcroft Senior Living, Inc., June 08, 2018 ",1/18/2019
"Ember Corporation, January 19, 2011 ",1/18/2019
"Emblem Health, May 29, 2012 ",1/18/2019
"EMC, March 3, 2014 ",1/18/2019
"Emergency Healthcare Physicians, April 28, 2010 ",1/18/2019
"Emergency Medical Associates, November 04, 2008 ",1/18/2019
"Empathia, Inc., June 06, 2016 ",1/18/2019
"Employee Benefits Corporation, May 22, 2018 ",1/18/2019
"Employer Leasing Company, January 18, 2018 ",1/18/2019
"EnChroma, Inc., July 11, 2018 ",1/18/2019
"Endologix Inc., March 09, 2016 ",1/18/2019
"Energy Federation, Inc., July 27, 2011 ",1/18/2019
"Engelberth Construction, Inc., July 05, 2017 ",1/18/2019
"Engle Martin & Associates, February 14, 2018 ",1/18/2019
"Enservio, Inc., January 9, 2019 ",1/18/2019
"Entercom Portland, LLC, May 08, 2014 ",1/18/2019
"Enterprise Bank, December 29, 2014 ",1/18/2019
"Entrust Energy (Entrust), November 13, 2018  ",1/18/2019
"Envelopes Unlimited, March 31, 2017 ",1/18/2019
"Envision Healthcare, October 11, 2018 ",1/18/2019
"EODT, November 12, 2010 ",1/18/2019
"EPTAM Plastics, May 27, 2016 ",1/18/2019
"EqualizeRCM Systems, April 28, 2016 ",1/18/2019
"Equian, LLC, May 05, 2017 ",1/18/2019
"Equian, LLC, February 27, 2017 ",1/18/2019
"Equifax, October 12, 2017 ",1/18/2019
"Equifax, September 07, 2017 ",1/18/2019
"Equifax, February 08, 2017 ",1/18/2019
"Equifax, April 02, 2015 ",1/18/2019
"Equifax, March 05, 2014 ",1/18/2019
"Equifax, June 25, 2010 ",1/18/2019
"Equifax, February 10, 2010 ",1/18/2019
"Equity Concepts LLC, November 30, 2018 ",1/18/2019
"eReplacementParts.com, September 26, 2013 ",1/18/2019
"ESM, March 26, 2008 ",1/18/2019
"Essex Property Trust, Inc., April 01, 2015 ",1/18/2019
"Estee Lauder, July 13, 2011 ",1/18/2019
"ETS, January 30, 2009 ",1/18/2019
"Evening Post Industries, March 03, 2016 ",1/18/2019
"Evolution Nature Corp. d/b/a The Evolution Store, November 07, 2014 ",1/18/2019
"Evolution Nature Corp. d/b/a The Evolution Store, October 09, 2014 ",1/18/2019
"Examination Management Services, Inc., April 21, 2016 ",1/18/2019
"Excelitas Technologies Corp., June 19, 2014 ",1/18/2019
"Excellus Blue Cross, October 28, 2015 ",1/18/2019
"Executive Accounting Services, Inc. (EAS), October 04, 2013 ",1/18/2019
"Experian, October 08, 2015 ",1/18/2019
"Experian, November 20, 2014 ",1/18/2019
"Experian, November 03, 2014 ",1/18/2019
"Experian, February 14, 2014 ",1/18/2019
"Experian, November 08, 2013 ",1/18/2019
"Experian, April 02, 2013 ",1/18/2019
"Experian, May 18, 2012 ",1/18/2019
"Experian, May 17, 2012 ",1/18/2019
"Experian, May 04, 2012 ",1/18/2019
"Experian, April 05, 2012 ",1/18/2019
"Experian, January 16, 2012 ",1/18/2019
"Experian, September 29, 2011 ",1/18/2019
"Experian, September 16, 2011 ",1/18/2019
"Experian, August 31, 2011 ",1/18/2019
"Experian, July 28, 2011 ",1/18/2019
"Experian, July 20, 2011 ",1/18/2019
"Experian, May 27, 2011 ",1/18/2019
"Experian, May 18, 2011 ",1/18/2019
"Experian, May 10, 2011 ",1/18/2019
"Experian, March 23, 2011 ",1/18/2019
"Experian, January 12, 2011 ",1/18/2019
"Experian, December 29, 2010 ",1/18/2019
"Experian, December 22, 2010 ",1/18/2019
"Experian, December 10, 2010 ",1/18/2019
"Experian, November 18, 2010 ",1/18/2019
"Express Scripts, Inc., September 14, 2009 ",1/18/2019
"Exterran, August 25, 2016 ",1/18/2019
"Extreme Reach, Inc., April 28, 2017 ",1/18/2019
"EyeBuyDirect, Inc., October13, 2015 ",1/18/2019
"Eye Institute of Corpus Christie, February 26, 2016 ",1/18/2019
"Eye Safety Systems, Inc., July 28, 2011 ",1/18/2019
"EZ Prints, Inc., November 10, 2014 ",1/18/2019
"EZ Yield, December 06, 2013 ",1/18/2019
"Fabric Depot, March 04, 2013 ",1/18/2019
"Fairbanks North Star Borough, July 19, 2018 ",1/18/2019
"Family Service Rochester, February 17, 2017 ",1/18/2019
"Famous Dave's, April 16, 2010 ",1/18/2019
"Fannie Mae, April 16, 2013 ",1/18/2019
"Fannie Mae, October 28, 2011 ",1/18/2019
"Farmer Bros. Co., December 07, 2018 ",1/18/2019
"Farmgirl Flowers, Inc., May 09, 2018 ",1/18/2019
"Fast Forward Academy, LLC, December 30, 2014 ",1/18/2019
"FastHealth Corporation, February 27, 2018 ",1/18/2019
"FastHealth Corporation, May 26, 2017 ",1/18/2019
"FCI USA, LLC, November 19, 2009 ",1/18/2019
"FCP, December 24, 2018 ",1/18/2019
"Federal Network Systems LLC, January 16, 2013 ",1/18/2019
"FedEx, June 24, 2011 ",1/18/2019
"FEI Company, September 18, 2012 ",1/18/2019
"Ferris State University, August 14, 2013 ",1/18/2019
"Fidelity Investments, May 22, 2018 ",1/18/2019
"Fdelity Investments, January 11, 2018 ",1/18/2019
"Fidelity Investments, January 16, 2015 ",1/18/2019
"Fidelity Investments, March 20, 2012 ",1/18/2019
"Fidelity Investments, September 23, 2011 ",1/18/2019
"Fidelity Investments, November 30, 2007 ",1/18/2019
"Fidelity Investments, on behalf of Benefit Strategies, LLC, April 14, 2015 ",1/18/2019
"Fidelity Investments - Apria Healthcare Group, Inc., June 17, 2013 ",1/18/2019
"Fidelity Investments - Citrix Systems, Inc., June 18, 2013 ",1/18/2019
"Fidelity Investments - Group 1 Automotive, Inc., June 21, 2013 ",1/18/2019
"Fidelity Investments - Power Advocate, Inc., June 28, 2013 ",1/18/2019
"Fidelity Management Trust Company - Publishers Circulation Fulfillment, Inc., January 25, 2013 ",1/18/2019
"Fidelity National Financial, Inc., May 04, 2017 ",1/18/2019
"Fidelity National Information Services, December 19, 2007 ",1/18/2019
"Fidelity National Information Services, September 27, 2007 ",1/18/2019
"Fiduciary Management, Inc., September 06, 2017 ",1/18/2019
"Finish Line, March 15, 2013 ",1/18/2019
"FireKeepers Casino Hotel, July 02, 2015 ",1/18/2019
"First Advantage Security Breach Notice, February 27, 2007 ",1/18/2019
"First Command Financial Services, Inc., May 05, 2015 ",1/18/2019
"First Federal Bank of Florida, August 22, 2011 ",1/18/2019
"First Home Mortgage Corp., August 12, 2016 ",1/18/2019
"First National Bank of Pennsylvania, May 26, 2017 ",1/18/2019
"First State Bank of Pinedale, August 20, 2008 ",1/18/2019
"First Transit, Inc., November 30, 2015 ",1/18/2019
"First Transit, Inc., February 04, 2011 ",1/18/2019
"Firstmark Services, April 09, 2018 ",1/18/2019
"Fiserv, December 12, 2008 ",1/18/2019
"Five Below, Inc., October 08, 2018 ",1/18/2019
"Five Guys Holdings, Inc., December 03, 2018 ",1/18/2019
"Five Guys Holdings, Inc., November 06, 2018 ",1/18/2019
"Flex Compensation, Inc., February 25, 2007 ",1/18/2019
"FlexShopper, LLC, October 03, 2017 ",1/18/2019
"Flinn Scientific, Inc., October 01, 2014 ",1/18/2019
"Florida Hospital, March 23, 2015 ",1/18/2019
"Florida Hospital, October 13, 2011 ",1/18/2019
"Fora Financial, LLC, July 30, 2018 ",1/18/2019
"Forest City Trading Group, Inc., April 03, 2017 ",1/18/2019
"Forever 21, December 28, 2017 ",1/18/2019
"Forever 21, September 16, 2008 ",1/18/2019
"Form I-9 Compliance, June 09, 2014 ",1/18/2019
"Forte Interactive, Inc., March 14, 2012 ",1/18/2019
"Fort Campbell Federal Credit Union, May 04, 2015 ",1/18/2019
"Foss Manufacturing Company, LLC, March 11, 2016 ",1/18/2019
"Foundations Recovery Network, August 08, 2013 ",1/18/2019
"Fox Entertainment Group, April 09, 2009 ",1/18/2019
"Francesca's Services Corporation, November 20, 2018 ",1/18/2019
"Franciscan University of Steubenville, December 03, 2018 ",1/18/2019
"Franklin & Marshall College, April 02, 2015 ",1/18/2019
"Franklin Templeton Services, LLC, March 09, 2016 ",1/18/2019
"Franklin University, January 07, 2008 ",1/18/2019
"Freddie Mac, September 19, 2016 ",1/18/2019
"Freedom Management Group, LLC dba The Natural, August 19, 2014 ",1/18/2019
"Freedom Smokes, Inc., April 22, 2015 ",1/18/2019
"Free Speech Systems, LLC, December 17, 2018 ",1/18/2019
"French Lick Resort, January 31, 2015 ",1/18/2019
"Fresenius Medical Care, February 08, 2007 ",1/18/2019
"Fresh Formats LLC, February 22, 2017 ",1/18/2019
"Freshology, Inc., July 17, 2014 ",1/18/2019
"Frontier Airlines, May 19, 2017 ",1/18/2019
"Frontier Natural Products Co-op, September 11, 2017 ",1/18/2019
"Frontier Natural Products Co-op, March 06, 2013 ",1/18/2019
"Fruitful Yield, Inc., The, July 11, 2018 ",1/18/2019
"Fruitful Yield, Inc., The, April 20, 2016 ",1/18/2019
"FSC Securities Corporation, August 10, 2016 ",1/18/2019
"Fujifilm Recording Media U.S.A., Inc., September 17, 2012 ",1/18/2019
"Fujitsu Computer Products of America, December 14, 2016 ",1/18/2019
"Fujitsu Consulting Inc., April 02, 2009 ",1/18/2019
"Funding Circle USA, Inc., March 23, 2018 ",1/18/2019
"Galeton, February 08, 2010 ",1/18/2019
"Gallagher NA ""GNAC"", November 13, 2017 ",1/18/2019
"GameStop, Inc., June 06, 2017 ",1/18/2019
"GameStop, Inc., June 05, 2017 ",1/18/2019
"Gannett Company, Inc., April 28, 2017 ",1/18/2019
"Gap Inc., October 05, 2015 ",1/18/2019
"Gap Inc., October 04, 2010 ",1/18/2019
"Gap Inc., September 28, 2007 ",1/18/2019
"Gardiner & Appel Group, Inc., February 20, 2017 ",1/18/2019
"Garretson Resolution Group, Inc., (""GRG""), August 31, 2018 ",1/18/2019
"GEB Computer TRaining limited dba New Horizons Computer Learning Centers South Florida, October 06, 2016 ",1/18/2019
"GE Money, December 28, 2007 ",1/18/2019
"Geekface LLC, August 25, 2014 ",1/18/2019
"Genentech, September 29, 2011 ",1/18/2019
"General Dynamics/Axsys Technologies, October 05, 2011 ",1/18/2019
"General Dynamics Information Technology, January 3, 2019 ",1/18/2019
"Genesco, December 09, 2010 ",1/18/2019
"Genesis Rehabilitation Services, November 22, 2013 ",1/18/2019
"Genius Central, June 24, 2015 ",1/18/2019
"Genocea, February 10, 2017 ",1/18/2019
"Genpact, May 05, 2017 ",1/18/2019
"Gentle Giant Studios, Inc. dba Gentle Giant Ltd., September 26, 2017 ",1/18/2019
"Genworth, November 25, 2013 ",1/18/2019
"Genworth Financia, March 26, 2008 ",1/18/2019
"Genworth Life Insurance Company, March 21, 2008 ",1/18/2019
"Geoff Gray Corporation, July 05, 2011 ",1/18/2019
"George R. LaRoque, Jr., July 26, 2010 ",1/18/2019
"GFK Custom Research North America, June 29, 2007 ",1/18/2019
"Giant Eagle, June 13, 2014 ",1/18/2019
"Gilead Sciences, Inc., July 11, 2008 ",1/18/2019
"GlamGlow, LLC, October 08, 2015 ",1/18/2019
"Glastonbury Public Schools, March 10, 2017 ",1/18/2019
"Global Care Delivery, Inc., June 12, 2015 ",1/18/2019
"Global Financial Aid Services, May 23, 2011 ",1/18/2019
"Global Payments, Inc., June 22, 2012 ",1/18/2019
"Gloria Jean Coffee, September 17, 2008 ",1/18/2019
"Goal Financial, March 02, 2007 ",1/18/2019
"Godiva Chocolatier, Inc., November 25, 2014 ",1/18/2019
"Godiva Chocolatier, Inc., May 28, 2013 ",1/18/2019
"GoGrid, April 01, 2011 ",1/18/2019
"Goldenvoice, March 23, 2017 ",1/18/2019
"Goldleaf Parnters Services, Inc., January 26, 2018 ",1/18/2019
"Goldner Associates, Inc., May 31, 2013 ",1/18/2019
"GoldSilver LLC, December 20, 2018 ",1/18/2019
"Golf & Ski Warehouse, Inc., July 07, 2017 ",1/18/2019
"Good News Garage - LSS Inc., December 14, 2011 ",1/18/2019
"Goode Compliance International, February 15, 2017 ",1/18/2019
"Goodyear, City of, June 12, 2018 ",1/18/2019
"Google, Inc., June 29, 2017 ",1/18/2019
"Google, June 24, 2008 ",1/18/2019
"Gorilla Glue Company, December 14, 2016 ",1/18/2019
"gotickets.com, September 04, 2012 ",1/18/2019
"gotickets.com, August 03, 2012 ",1/18/2019
"gotickets.com, June 20, 2012 ",1/18/2019
"GrafTech International, January 20, 2010 ",1/18/2019
"Grand Sierra Resort, June 20, 2016 ",1/18/2019
"Granite State College, November 14, 2013 ",1/18/2019
"Granite State College, December 19, 2008 ",1/18/2019
"Granite State Management and Resources, November 26, 2018  ",1/18/2019
"Graphik Dimensions, December 28, 2016 ",1/18/2019
"Grass Advantage, LLC dba Amazing Grass, November 30, 2017 ",1/18/2019
"GreatBanc, June 15, 2018 ",1/18/2019
"Great Falls Holdings, Inc., March 24, 2017 ",1/18/2019
"Great River Entertainment, October 01, 2012 ",1/18/2019
"Great Wolf Resorts, Inc., July 10, 2017 ",1/18/2019
"Greater Florida Anesthesiologists, October 21, 2016 ",1/18/2019
"Green Energy Training Academy, October 27, 2014 ",1/18/2019
"Green Valley Mountain School, August 08, 2016 ",1/18/2019
"Green Wave Scientific, Inc., August 10, 2015 ",1/18/2019
"GreyHealth Group, March 01, 2018 ",1/18/2019
"Griffin Electric, March 21, 2008 ",1/18/2019
"Groton Public Schools, March 20, 2017 ",1/18/2019
"Gryphon Technologies, LC, March 21, 2016 ",1/18/2019
"GS1 US, Inc., October 25, 2018 ",1/18/2019
"GT Distrubtors, Inc., August 25, 2017 ",1/18/2019
"Guardant , October 25, 2018  ",1/18/2019
"Guaranteed Rate, Inc., January 12, 2018 ",1/18/2019
"Guide Publishing Group, Inc., December 07, 2011 ",1/18/2019
"Guilmartin, DiPiro & Sokolowski, LLC, December 02, 2016 ",1/18/2019
"Gustafson & Wargo, CPAs, LLP, December 02, 2016 ",1/18/2019
"Gyft, Inc., February 05, 2016 ",1/18/2019
"H&R Block, May 16, 2016 ",1/18/2019
"HAECO Americas, April 29, 2016 ",1/18/2019
