Org Name,Original Text,Reported Date,URL
Ceridian Corporation,"Ceridian Corporation, February 01, 2010 ",2/1/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/ceridian-20100201.pdf
Certegy,"Certegy, July 19, 2007 ",7/19/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-20070919.pdf
Certegy,"Certegy, July 05, 2007 ",7/5/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-20080705.pdf
Certegy – FIS,"Certegy – FIS, July 30, 2007 ",7/30/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/certegy-fis-20080730.pdf
CertifiKid LLC,"CertifiKid LLC, May 05, 2016 ",5/5/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/certifikid-20160505.pdf
Cetera Advisors LLC,"Cetera Advisors LLC, April 26, 2018 ",4/26/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cetera-20180426.pdf
Cetera Advisors LLC,"Cetera Advisors LLC, January 08, 2018 ",1/8/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cetera-20180108.pdf
Challenger Sports Inc (Challenger),"Challenger Sports Inc (Challenger), October 23, 2018 ",10/23/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/challenger-sports-20181023.pdf
Chamberlain Group,"Chamberlain Group, May 28, 2019 ",5/28/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/chamberlain-group-20190528.pdf
Chamberlain Group Inc,"Chamberlain Group Inc, November 27, 2018  ",11/27/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/chamberlain-group-20181127.pdf
Champlain College,"Champlain College, July 02, 2013 ",7/2/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/champlain-college-20130702.pdf
Champlain College,"Champlain College, May 31, 2013 ",5/31/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/champlain-college-20130531.pdf
Chapman,"Chapman, August 20, 2018 ",8/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/chapman-20180820.pdf
Chapman University,"Chapman University, April 11, 2013 ",4/11/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/chapman-university-20130411.pdf
Chapman University,"Chapman University, February 22, 2011 ",2/22/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/chapman-university-20110222.pdf
Char-Broil LLC,"Char-Broil LLC, May 24, 2017 ",5/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/char-broil-20170524.pdf
Charles Schaw & Co Inc,"Charles Schaw & Co Inc, May 03, 2016 ",5/3/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/charles-schwab-20160503.pdf
Charles Schwab & Co Inc,"Charles Schwab & Co Inc, June 12, 2009 ",6/12/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/charles-schwab-20090612.pdf
Charlottesville City of,"Charlottesville City of, September 30, 2019 ",9/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/city-of-charlottesville-20190930.pdf
Chart Industries Inc,"Chart Industries Inc, August 10, 2009 ",8/10/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/chart-industries-20090810.pdf
Charter Communications,"Charter Communications, August 05, 2008 ",8/5/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/charter-communications-20080805.pdf
Cheddar's Casual Cafe Inc dba Cheddar's Scratch Kitchen,"Cheddar's Casual Cafe Inc dba Cheddar's Scratch Kitchen, November 15, 2017 ",11/15/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cheddars--casual-cafe-20171115.pdf
Cheddar's Casual Cafe Inc dba Cheddar's Scratch Kitchen,"Cheddar's Casual Cafe Inc dba Cheddar's Scratch Kitchen, September 29, 2017 ",9/29/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cheddars-casual-cafe-20170929.pdf
Cheddar's Scratch Kitchen,"Cheddar's Scratch Kitchen, August 24, 2018 ",8/24/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cheddars-scratch-kitchen-20180824.pdf
Cherrydale Fundraising,"Cherrydale Fundraising, March 19, 2019 ",3/19/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/cherrydale-20190319.pdf
Chevron USA Inc,"Chevron USA Inc, October 12, 2016 ",10/12/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/chevron-20161012.pdf
Chicago IL City of,"Chicago IL City of, March 16, 2009 ",3/16/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/chicago-20080316.pdf
Child and Family Services of New Hampshire,"Child and Family Services of New Hampshire, April 22, 2013 ",4/22/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/child-family-services-20130422.pdf
Child Support Services NH Department of Helath and Human Services,"Child Support Services NH Department of Helath and Human Services, January 17, 2019 ",1/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/child-support-services-20190117.pdf
Children's Place Inc The,"Children's Place Inc The, April 04, 2017 ",4/4/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-place-20170404.pdf
Children's Hope Alliance,"Children's Hope Alliance, September 30, 2019 ",9/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-hope-allicance-20190930.pdf
Children's Hospital Boston,"Children's Hospital Boston, February 12, 2009 ",2/12/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-hospital-20090212.pdf
Children's Mercy Hospital,"Children's Mercy Hospital, April 30, 2018 ",4/30/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/childrens-mercy-hospital-20180430.pdf
Chipolte Mexican Grill Inc,"Chipolte Mexican Grill Inc, May 26, 2017 ",5/26/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/chipolte-mexican-grill-20170526.pdf
Chipotle Mexican Grill,"Chipotle Mexican Grill, April 15, 2008 ",4/15/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/chipolte-mexican-grilll-20080415.pdf
Choice Hotels International,"Choice Hotels International, April 25, 2012 ",4/25/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/choice-hotels-20120425.pdf
ChoiceOne Urgent Care,"ChoiceOne Urgent Care, August 08, 2018 ",8/8/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/choiceone-urgent-care-20180808.pdf
Choices Inc,"Choices Inc, July 31, 2012 ",7/31/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/choices-20120731.pdf
Chopra Enterprises LLC,"Chopra Enterprises LLC, March 07, 2018 ",3/7/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/chopra--enterprises-20180307.pdf
Christian Investors Financial Inc,"Christian Investors Financial Inc, August 23, 2019 ",8/23/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/christian-investors-financial-20190823.pdf
Christiansburg Virginia (Town of),"Christiansburg Virginia (Town of), November 30, 2018 ",11/30/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/christiansburg-20181130.pdf
Christies Inc,"Christies Inc, March 24, 2017 ",3/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/christies-20170324.pdf
CHRISTUS St. John Hospital,"CHRISTUS St. John Hospital, November 16, 2012 ",11/16/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/christus-st-john-20121116.pdf
CHS,"CHS, December 21, 2010 ",12/21/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/chs-20101221.pdf
CiCi Enterprises LP,"CiCi Enterprises LP, July 19, 2016 ",7/19/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/cici-enterprises-20160719.pdf
CICS Employment Services Inc,"CICS Employment Services Inc, February 04, 2015 ",2/4/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/cics-employment-services-20150204.pdf
CIN Legal Data Services,"CIN Legal Data Services, December 27, 2011 ",12/27/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/cin-legal-20111227.pdf
Cincinnati Reds (the Reds),"Cincinnati Reds (the Reds), November 19, 2018 ",11/19/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cincinnati-reds-20181119.pdf
Cisco Systems Inc,"Cisco Systems Inc, April 09, 2012 ",4/9/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/cisco-20120409.pdf
CITGO,"CITGO, December 06, 2013 ",12/6/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/citgo-20131206.pdf
Citi,"Citi, January 20, 2015 ",1/20/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/citi-20150120.pdf
Citi,"Citi, March 28, 2013 ",3/28/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/citi-20130328.pdf
Citibank,"Citibank, February 02, 2017 ",2/2/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20170202.pdf
Citibank,"Citibank, April 11, 2017 ",4/11/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20170411.pdf
Citibank,"Citibank, Feburary 10, 2015 ",2/10/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20150210.pdf
Citibank,"Citibank, January 27, 2015 ",1/27/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20150127.pdf
Citibank,"Citibank, November 26, 2013 ",11/26/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20131126.pdf
Citibank,"Citibank, November 13, 2013 ",11/13/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20131113.pdf
Citibank,"Citibank, June 26, 2013 ",6/26/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20130626.pdf
Citibank,"Citibank, Feburary 10, 2015 ",2/10/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20150210.pdf
Citibank,"Citibank, March 13, 2012 ",3/13/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20120313.pdf
Citibank (South Dakota),"Citibank (South Dakota), June 09, 2011 ",6/9/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/citibank-20110609.pdf
Cities Services LLC,"Cities Services LLC, April 29, 2015 ",4/29/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/cities-services-20150429.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, November 7, 2019 ",11/7/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-group-20191107.pdf
Citizens Financial Group,"Citizens Financial Group, October 2, 2019 ",10/2/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20191002.pdf
Citizens Finalcial Group Inc,"Citizens Finalcial Group Inc, June 14, 2018 ",6/14/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20180614.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, March 06, 2018 ",3/6/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20180306.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, February 02, 2018 ",2/2/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20180202.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, October 04, 2017 ",10/4/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20171004.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, August 29, 2017 ",8/29/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-20170829.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, August 01, 2017 ",8/1/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20170801.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, July 07, 2017 ",7/7/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20170707.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, July 03, 2017 ",7/3/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20170703.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, June 07, 2017 ",6/7/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20170607.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, June 06, 2017 ",6/6/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20170606.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, May 05, 2017 ",5/5/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-financial-20170505.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, April 13, 2017 ",4/13/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-20170413.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, April 05, 2017 ",4/5/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-20170405.pdf
Citizens Financial Group Inc,"Citizens Financial Group Inc, December 02, 2015 ",12/2/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/citizens-20151202.pdf
Citrix Systems Inc,"Citrix Systems Inc, April 30, 2019 ",4/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/citrix-systems-20190430.pdf
City Abstract LLC,"City Abstract LLC, July 31, 2019 ",7/31/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/city-abstract-20190731.pdf
City Furniture Inc,"City Furniture Inc, October 2, 2019 ",10/2/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/city-furniture-20191002.pdf
City Furniture Inc,"City Furniture Inc, September 11, 2019 ",9/11/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/city-furniture-20190911.pdf
City Harvest Inc,"City Harvest Inc, July 03, 2007 ",7/3/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/city-harvest-20070703.pdf
Claire's Stores,"Claire's Stores, April 26, 2012 ",4/26/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/claires-20120426.pdf
ClamCase LLC,"ClamCase LLC, August 28, 2014 ",8/28/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/clamcase-20140828.pdf
ClamCase LLC,"ClamCase LLC, August 22, 2014 ",8/22/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/clamcase-20140822.pdf
Clarfeld Financial Advisors,"Clarfeld Financial Advisors, March 16, 2018 ",3/16/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/clarfeld-financial-20180316.pdf
Clarity Media Group Inc,"Clarity Media Group Inc, November 07, 2013 ",11/7/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/clarity-media-20131107.pdf
Clark Friel and Joyce PA,"Clark Friel and Joyce PA, December 28, 2012 ",12/28/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/clark-friel-joyce-20121228.pdf
Clark-Neitzel Charlotte Dr.,"Clark-Neitzel Charlotte Dr., September 06, 2012 ",9/6/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/clark-neitzel-20120906.pdf
Clarkson PLC,"Clarkson PLC, July 30, 2018 ",7/30/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/clarksons-20180730.pdf
Clarksville-Montgomery County School System,"Clarksville-Montgomery County School System, August 08, 2012 ",8/8/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/clarksville-montgomery-school-20120808.pdf
Clearview Realty Ventures LLC d/b/a Lake Opechee Inn and Spa,"Clearview Realty Ventures LLC d/b/a Lake Opechee Inn and Spa, December 24, 2018 ",12/24/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/clearview-realty-20181224.pdf
Cleveland Clinic Foundation,"Cleveland Clinic Foundation, August 20, 2019 ",8/20/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/cleveland-clinic-foundation-20190820.pdf
Client Network Services Inc,"Client Network Services Inc, April 18, 2016 ",4/18/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/client-network-20160418.pdf
Clif Bar Familty Winery & Farm LLC.,"Clif Bar Familty Winery & Farm LLC., June 12, 2015 ",6/12/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/clif-bar-winery-20150612.pdf
CliftonLarsonAllen LLP,"CliftonLarsonAllen LLP, September 20, 2017 ",9/20/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cliftonlarsonallen-20170920.pdf
Clinical Pathology Laboratories Southeast Inc,"Clinical Pathology Laboratories Southeast Inc, March 21, 2018 ",3/21/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/clinical-pathology-20180321.pdf
Clinical Reference Laboratory Inc (CRL),"Clinical Reference Laboratory Inc (CRL), October 07, 2013 ",10/7/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/clinical-reference-20131007.pdf
Clinical Reference Laboratory Inc (CRL),"Clinical Reference Laboratory Inc (CRL), October 03, 2013 ",10/3/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/clinical-reference-20131003.pdf
Clinton Health Access Initiative,"Clinton Health Access Initiative, April 05, 2016 ",4/5/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/clinton-health-20160405.pdf
Clinton Health Access Initiative,"Clinton Health Access Initiative, March 29, 2013 ",3/29/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/clinton-health-access-20130329.pdf
Clysar LLC,"Clysar LLC, May 26, 2017 ",5/26/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/clysar-20170526.pdf
CM Group Holdings Inc,"CM Group Holdings Inc, April 5, 2019 ",4/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/cm-group-holdings-20190405.pdf
CNG Financial Corporation Inc (CNG),"CNG Financial Corporation Inc (CNG), August 3, 2018 ",8/3/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cng-financial-20180830.pdf
CNU of New Hampshire LLC dba CashNetUSA,"CNU of New Hampshire LLC dba CashNetUSA, April 23, 2018 ",4/23/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cnu-20180423.pdf
CNU Online Holdings LLC,"CNU Online Holdings LLC, March 13, 2018 ",3/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/cnu-20180313.pdf
COA Network Inc,"COA Network Inc, June 19, 2015 ",6/19/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/coa-network-20160619.pdf
Coastal Truck & Auto Body Inc,"Coastal Truck & Auto Body Inc, July 15, 2019 ",7/15/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/coastal-truck-20190715.pdf
Cobra Electronics,"Cobra Electronics, November 09, 2009 ",11/9/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/cobra-electronics-20091109.pdf
"Coca-Cola Bottling Company of Northern New England (""CCNNE"")","Coca-Cola Bottling Company of Northern New England (""CCNNE""), October 01, 2018 ",10/1/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/coca-cola-bottling-20181001.pdf
Coca-Cola Company The,"Coca-Cola Company The, January 19, 2018 ",1/19/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/coca-cola-20180119.pdf
Coca-Cola Company The,"Coca-Cola Company The, January 23, 2014 ",1/23/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/coca-cola-20140123.pdf
Coca-Cola Company Family Federal Credit Union,"Coca-Cola Company Family Federal Credit Union, February 22, 2012 ",2/22/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/coca-cola-credit-union-20120222.pdf
Cohen & Grieb P.A.,"Cohen & Grieb P.A., June 02, 2016 ",6/2/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/cohen-grieb-20160602.pdf
Coincafe,"Coincafe, October 18, 2017 ",10/18/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/coincafe-20171018.pdf
Cole Sport,"Cole Sport, July 27, 2017 ",7/27/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/cole-sport-20170727.pdf
Colgate University,"Colgate University, May 30, 2019 ",5/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/colgate-university-20190530.pdf
Colgate University,"Colgate University, April 10, 2019 ",4/10/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/colgate-university-20190410.pdf
College Board,"College Board, January 13, 2012 ",1/13/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/college-board-20120113.pdf
College of the Holy Cross,"College of the Holy Cross, October 18, 2017 ",10/18/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/college-holy-cross-20171018.pdf
Collier Heggerness & Bronk CPA's PS Inc,"Collier Heggerness & Bronk CPA's PS Inc, November 12, 2018 ",11/12/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/collier-heggerness-bronk-20181112.pdf
College of the Holy Cross,"College of the Holy Cross, October 07, 2011 ",10/7/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/college-holy-cross-20111007.pdf
Colonial Properties Trust,"Colonial Properties Trust, September 30, 2013 ",9/30/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/colonial-properties-20130930.pdf
Colorado Bankers Life Insurance Company,"Colorado Bankers Life Insurance Company, August 03, 2018 ",8/3/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/colorado-bankers-20180803.pdf
Colorado Springs Utility,"Colorado Springs Utility, January 14, 2011 ",1/14/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/colorado-springs-utility-20110114.pdf
Colt Express Outsourcing Services,"Colt Express Outsourcing Services, June 19, 2008 ",6/19/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/colt-express-20080619.pdf
Columbia Capital,"Columbia Capital, April 21, 2008 ",4/21/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/columbia-capital-20080421.pdf
Columbia Forest Products,"Columbia Forest Products, April 10, 2019 ",4/10/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/columbia-forest-products-20190401.pdf
Columbia Threadneedle Investments,"Columbia Threadneedle Investments, November 11, 2015 ",11/11/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/columbia-threadneedle-20151110.pdf
Columbia University,"Columbia University, April 23, 2012 ",4/23/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/columbia-university-20120423.pdf
Columbia University,"Columbia University, February 01, 2010 ",2/1/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/columbia-university-20100201.pdf
Columbia University Medical Center of Columbia University,"Columbia University Medical Center of Columbia University, May 06, 2013 ",5/6/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/columbia-university-medical-center-20130506.pdf
Columbian Financial Group,"Columbian Financial Group, April 17, 2015 ",4/17/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/columbian-financial-group-20150417.pdf
Combat Brands LLC,"Combat Brands LLC, April 14, 2017 ",4/14/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/combat-brands-20170414.pdf
Combe Incorporated,"Combe Incorporated, March 1, 2019 ",3/1/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/combe-20190301.pdf
CommonBond,"CommonBond, December 29, 2016 ",12/29/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/commonbond-20161229.pdf
Commonwealth Health Corporation,"Commonwealth Health Corporation, March 24, 2017 ",3/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/commonwealth-health-20170324.pdf
Communities Connected for Kids Inc,"Communities Connected for Kids Inc, August 28, 2019 ",8/28/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/communities-connected-kids-20190829.pdf
Community College of Allegheny County,"Community College of Allegheny County, April 8, 2019 ",4/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/community-college-allegheny-county-20190408.pdf
Community College System of NH,"Community College System of NH, April 24, 2008 ",4/24/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/community-college-nh-20080424.pdf
Community Health Plan of Washington,"Community Health Plan of Washington, January 03, 2017 ",1/3/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/community-health-plan-20170103.pdf
Community Healthlink,"Community Healthlink, September 16, 2019 ",9/16/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/community-healthlink-20190916.pdf
Comnet Marketing Group,"Comnet Marketing Group, December 29, 2016 ",12/29/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/comnet-marketing-20161229.pdf
Comnet Marketing Group Inc,"Comnet Marketing Group Inc, July 11, 2016 ",7/11/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/comnet-marketing-20160711.pdf
Complete Medical Homecare,"Complete Medical Homecare, January 21, 2014 ",1/21/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/complete-medical-homecare-20140121.pdf
ComplyRight,"ComplyRight, July 13, 2018 ",7/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/complyright-20180713.pdf
Compu Link Corporation Celink,"Compu Link Corporation Celink, June 3, 2019 ",6/3/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/compu-link-celink-20190603.pdf
Computer Sciences Corporation,"Computer Sciences Corporation, April 03, 2013 ",4/3/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/computer-sciences-20130403.pdf
Concept Title Services Inc,"Concept Title Services Inc, August 14, 2018 ",8/14/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/concept-title-20180814.pdf
Concord NH City of,"Concord NH City of, May 5, 2019 ",5/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/concord-nh-20190509.pdf
Concord Hospital,"Concord Hospital, June 07, 2011 ",6/7/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/concord-hospital-security-20110607.pdf
Concord Hospital Security,"Concord Hospital Security, June 08, 2007 ",6/8/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/concord-hospital-20070608.pdf
Concord Massachusetts,"Concord Massachusetts, February 07, 2019 ",2/7/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/concord-massachusetts-20190207.pdf
Concord Orthopaedics,"Concord Orthopaedics, March 13, 2018 ",3/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/concord-orthopaedics-20180313.pdf
Concord Regional Visiting Nurse Association,"Concord Regional Visiting Nurse Association, April 18, 2008 ",4/18/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/concord-visting-nurse-20080418.pdf
Concur Technologies Inc,"Concur Technologies Inc, December 08, 2010 ",12/8/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/concur-technologies-20101208.pdf
Concur Technologies Inc,"Concur Technologies Inc, December 15, 2010 ",12/15/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/concur-technologies-20101215.pdf
Condé Nast,"Condé Nast, May 17, 2019 ",5/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/conde-nast-20190517.pdf
Connecticut Airport Authority,"Connecticut Airport Authority, February 09, 2018 ",2/9/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/connecticut-airport-authority-20180209.pdf
Connecticut College,"Connecticut College, April 10, 2017 ",4/10/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/connecticut-college-20170410.pdf
Connecticut Laborers Fund Office,"Connecticut Laborers Fund Office, August 27, 2019 ",8/27/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/connecticut-laborers-fund-20190827.pdf
Connecticut Parent Advocacy Center,"Connecticut Parent Advocacy Center, July 26, 2017 ",7/26/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/connecticut-parent-advocacy-20170726.pdf
Connecticut Players Foundation Inc dba Long Wharf Theatre,"Connecticut Players Foundation Inc dba Long Wharf Theatre, December 18, 2017 ",12/18/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/connecticut-players-20171218.pdf
Connecticut Store The ,"Connecticut Store The , January 30, 2013 ",1/30/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/connecticut-store-20130130.pdf
Continental Airlines,"Continental Airlines, January 12, 2009 ",1/12/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/continental-airlines-20090102.pdf
Continental American Insurance Company,"Continental American Insurance Company, January 17, 2014 ",1/17/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/continental-american-insurance-20140117.pdf
Control Technologies Inc,"Control Technologies Inc, April 09, 2018 ",4/9/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/control-technologies-20180409.pdf
ConvaTec Inc,"ConvaTec Inc, March 09, 2016 ",3/9/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/convatec-20160309.pdf
