Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
SanAntonioWineryInc,2/26/2019,11/13/2018,2,565
SarkTechnologiesLLC,,9/23/2018,821,"43,250"
SaveDayInc,8/2/2019,,14,"3,744"
ScienceApplicationsInternationalCorporation,4/22/2019,,2,35
ScrapbookcomLLC,7/23/2019,6/14/2019,28,"1,679"
SecuritiesTrainingCorporation,9/23/2019,4/16/2019,10,994
SecurityNationalMortgageCompany,2/15/2019,12/4/2018,69,310
SelectHealthNetwork,11/1/2019,5/22/2019,"4,471","4,471"
SensataTechnologies,1/31/2019,1/2/2019,6,2379
ServiceLinkLLC,7/22/2019,7/12/2019,1,1
SheaffBrockInvestmentAdvisorsLLC,8/15/2019,5/17/2019,2,6
SheetMetalWorkersLocalUnionNo104,3/19/2019,2/5/2019,3,5047
ShelterInsuranceCompanies,6/18/2019,4/4/2019,2,108
ShelteredWingsInc,10/17/2019,6/4/2019,1,45
ShowMeCables,6/19/2019,4/12/2019,9,247
SiebertReynoldsCPA,9/5/2019,,3,"1,181"
SigmaFinancialCorporation,,,1,
SignatureSystemsGroup,8/30/2019,4/30/2019,1,239
SimonPearceUSInc,5/7/2019,1/23/2019,4,433
SkinSolutionsMDLLC,7/3/2019,4/19/2019,125,"9,113"
SMLPLLCdbaStatLab,7/1/2019,1/26/2019,1,103
"SmoothOn,IncandReynoldsAdvancedMaterials",5/9/2019,2/24/2019,81,4300
SNCLavalinInc,9/18/2019,8/19/2019,24,"5,000"
SolaraMedicalSuppliesLLC,11/13/2019,4/2/2019,87,"114,227"
SouthCentralBankInc,12/17/2018,10/18/2018,10,1573
SouthFloridaPBS?DataEntry,11/1/2019,5/14/2019,2,528
SouthPacificFinancialCorporation,10/11/2019,3/24/2019,9,"16,166"
SoutheasternPennsylvaniaTransportationAuthority,9/5/2019,6/21/2019,1,761
SouthernTitleInc,7/26/2019,10/7/2018,3,1450
SouthwestGastroenterology,6/28/2019,1/1/2012,17,
SouthwestWisconsinTechnicalCollege,3/21/2019,1/19/2019,1,16
SouthwireCompanyLLC,5/10/2019,1/18/2019,1,449
SpanglerCandyCompany,5/8/2019,1/26/2019,7,281
SpecialOlympicsKentucky,12/17/2018,4/17/2018,40,2567
SpecialtyPhysiciansofIllinoisLLC?DataPrivacy,9/13/2019,12/15/2017,1,4
SpectrumBusinessResources,3/20/2019,11/6/2018,4,326
SprintCorporation,3/27/2019,3/14/2019,241,"25,909"
SprintCorporation,6/25/2019,6/8/2019,478,"26,801"
StElizabethHealthcare,3/7/2019,2/5/2019,283,"9,727"
StFrancisCollege,5/16/2019,10/16/2018,8,"28,100"
StJosephRegionalMedicalCenter,,,,
StVincentMedicalGroupUrology,,,1,1
StairGalleriesandRestorationInc,3/11/2019,6/5/2018,1,450
StanadyneLLC,2/15/2019,9/22/2018,18,1142
StandardInsuranceCompany,7/12/2019,5/1/2019,30,3956
StandardInsuranceCompany,9/27/2019,3/1/2019,6,35
StanwichMortgageLoanTrustACandD,2/12/2019,2/1/2018,1433,"53,829"
StateFarmMutualAutomobileInsuranceCompany,4/5/2019,2/28/2019,2,2
StateFarmMutualAutomobileInsuranceCompany,6/24/2019,6/7/2019,2,2
StatePersonnelBenefitsDivision,4/17/2019,4/15/2019,2,2
SteppenwolfTheatreCompany,6/14/2019,11/28/2018,7,1014
SterlingSterlingLLCdbaSterlingRisk,7/23/2019,4/3/2019,6,"8,639"
StewardHealthCareSystemLLC,6/4/2019,3/5/2019,5,2665
StifelNicolausCompanyIncorporated,8/16/2019,8/8/2019,1,1
StraubSeamanAllenPC,7/22/2019,2/26/2019,1,9
StrongRockChristianSchool,3/7/2019,8/24/2018,1,927
SullivanPalatekInc,4/30/2019,12/12/2018,19,39
SummaHealth,6/28/2019,8/1/2018,1,
SunquestInformationSystemsInc,12/6/2018,11/6/2018,2,600
SuperiorDentalCare,3/25/2019,12/21/2018,778,"38,300"
SymantecCorporation,12/14/2018,3/8/2018,2,30
SymmetryMedicalDBATecometDataFactsInc,1/18/2019,10/19/2018,34,40
SysmexAmericaInc,5/24/2019,1/31/2019,6,13
T3MicroInc,5/17/2019,7/13/2018,277,"20,881"
TaconicBiosciencesInc,5/22/2019,1/24/2019,1,26
TaconyCorporation,4/30/2019,6/7/2018,39,1687
TalleyMedicalSurgicalEyeCareAssociatesPC,,,,
TBIMortgageCompany,8/5/2019,,15,"11,696"
TecumsehAreaPartnershipInc,12/28/2018,11/19/2018,1985,2003
TEMPTUInc,3/4/2019,11/1/2018,24,1268
TenXSystemsLLCdbaResiDexSoftware,6/7/2019,4/2/2019,29,"95,500"
TesseraTechnologiesInc,5/31/2019,3/11/2019,1,502
TheAmericanKennelClub,7/5/2019,11/1/2018,1,1048
TheArchdioceseofIndianapolis,6/11/2019,,219,221
TheArchdioceseofIndianapolis,3/11/2019,11/9/2018,2,2
TheBaptistFoundationofOklahoma,8/16/2019,6/25/2019,2,370
TheChamberlainGroupInc,5/28/2019,11/2/2018,3,137
CincinnatusSavingsandLoanCo,4/25/2019,12/28/2017,168,1861
TheCityofTopeka,12/17/2018,10/31/2018,1,"10,000"
TheClevelandClinicFoundation,12/14/2018,2/23/2018,2,104
TheCrichtonGrouponbehalfofGreshamSmith,5/29/2019,11/19/2018,2,371
TheCuratorsoftheUniversityofMissouri,7/29/2019,4/16/2019,1,92
TheDamienCenter,,,,
TheGeilerCompany,1/10/2019,12/10/2018,13,158
TheGeorgiaInstituteofTechnology,5/22/2019,12/14/2018,5651,"1,265,883"
TheGuardianLifeInsuranceCompanyofAmerica,4/10/2019,2/4/2019,1,1
TheGuidanceCenter,10/28/2019,3/15/2019,6,"1,622"
TheHartfordFinancialServicesGroupInc,,2/7/2019,1258,"43,000"
TheIFHGroupInc,8/8/2019,1/21/2019,1,"1,245"
TheLincolnNationalLifeInsuranceCompany,7/1/2019,6/25/2019,1,1
TheMcKeoghCompany,10/9/2019,,7,
TheMethodistHospitalsInc,10/4/2019,3/13/2019,"62,494","68,039"
TheMotzCorporation,9/23/2019,8/22/2019,8,365
TheNationalWorldWarIIMuseumInc,6/21/2019,10/6/2018,42,"2,285"
TheNorthwesternMutualLifeInsuranceCompany,1/17/2019,1/8/2019,2,2
TheOklahomaDepartmentofSecurities,5/10/2019,11/29/2018,"3,042","293,492"
TheOneidaGroupInc,5/2/2019,4/16/2019,2,1586
ThePartySourceInc,7/9/2019,4/19/2019,14,"1,028"
TheProfessionalGolfersAssociationofAmerica,10/4/2019,12/7/2018,28,576
ThePrudentialInsuranceCompanyofAmerica,3/18/2019,1/26/2019,1,1
ThePrudentialInsuranceCompanyofAmerica,5/28/2019,4/16/2019,1,1
ThePrudentialInsuranceCompanyofAmerica,11/27/2018,10/19/2018,4,113
TheRevenueOptimizationCompanies,,,,
TheRyanCompanies,3/28/2019,2/8/2019,3,1124
TheSalvationArmy,5/9/2019,3/19/2019,1,14
TheSalvationArmy,3/18/2019,6/1/2015,1,133
TheShubertOrganizationInc,4/12/2019,2/8/2019,1,2358
TheSoutheasternCouncilonAlcoholismandDrugDependence,4/19/2019,2/18/2019,3,"25,148"
TheToppsCompanyInc,2/22/2019,11/19/2018,122,"5,700"
TheUnionLaborLifeInsuranceCompany,7/11/2019,4/1/2019,746,"87,400"
TheUnionLaborLifeInsuranceCompany,2/14/2019,1/14/2019,4,32
TheUniversityofAlabama,7/17/2019,10/24/2009,1,"1,368"
TheUPSStoreInc,11/27/2019,10/11/2019,550,"6,400"
ThesyLLC,11/2/2018,12/6/2017,"8,946","226,000"
ThornappleCreditUnion,11/6/2019,9/16/2019,1,277
ThriventFinancialforLutherans,7/29/2019,7/28/2019,3,3
TimeandPayInc,2/12/2019,1/30/2019,2,186
TitanManufacturingandDistributingInc,12/7/2018,11/23/2017,"1,497","65,498"
Tom Ford,10/4/2019,9/5/2019,1,21
TowerLegalSolutions,3/22/2019,,1,1559
ToyotaandLexusFinancialServices,6/27/2019,5/24/2019,37,1793
TransamericaLLC,6/7/2019,2/8/2017,11,145
TravelLeadersGroup,1/11/2019,6/14/2018,1,2479
TriBikeTransportLLC,3/25/2019,11/19/2018,44,2495
TribunePublishingCompany,4/4/2019,11/1/2018,39,242
TribunePublishingCompany,10/18/2019,11/1/2018,38,"3,476"
TrustedToursAttractionsLLC,7/29/2019,3/24/2019,935,"50,743"
TrustmarkCompanies,11/18/2019,7/30/2018,2,191
TrustpointRehabilitationHospitalofLubbock,4/15/2019,10/8/2018,1,7037
TwinLakesSchoolCorporation,5/24/2019,5/6/2019,2,2
TysonFoodsInc,1/21/2019,10/14/2018,45,450
UnknownRespondent,,,,
USXpressEnterprisesInc,11/14/2019,7/1/2019,400,
USXpressInc,8/1/2019,5/28/2019,3,112
UnionAssociatedPhysiciansClinicLLC,1/14/2019,12/27/2018,1,1
UnionBenefitPlanners,3/29/2019,11/6/2018,1,2764
UnitedServicesAutomobileAssociation,7/9/2019,3/12/2019,1,1
UnityHealthcare,,,,
UniversalBearingsLLC,11/29/2018,6/2/2018,91,97
UniversityofAlaska,6/5/2019,1/31/2018,18,7445
UniversityofMary,3/12/2019,1/9/2019,1,146
UniversityofNebraska,7/10/2019,6/10/2019,5,896
UniversityofVermontHealthNetworkElizabethCommunityHospital,12/17/2018,10/9/2018,10,"32,000"
UnumGroupColonialLifeandAccidentInsuranceCompany,1/18/2019,6/1/2018,2,2927
UrbanOneInc,3/28/2019,2/28/2019,906,"18,012"
USOncologyInc,5/9/2019,6/7/2018,22,5168
ValleyHopeAssociation,1/18/2019,10/9/2018,67,"70,799"
ValleyProfessionalsCommunityHealthCenter,1/25/2019,10/26/2018,"11,651","12,029"
VegaUSLLC,12/5/2018,10/31/2017,6,135
VeritivCorporation,11/19/2019,,48,"3,493"
VirginiaGayHospital,8/16/2019,12/4/2018,11,"29,285"
VitageneInc,8/6/2019,1/1/2015,33,"2,614"
VitalizeLLC,4/24/2019,7/1/2018,5,4001
VNSFederalServicesLLC,5/21/2019,4/12/2019,1,675
VoltInformationSciencesInc,2/15/2019,8/6/2018,35,"9,064"
WallStreetGreetings,9/12/2019,7/30/2019,6,412
WashingtonDepartmentofHealth,6/3/2019,2/1/2018,1,1481
WausauMedMalManagementServicesLLC,12/20/2018,11/4/2018,3,1432
WaysideTechnologyGroupInc,11/15/2019,6/12/2019,4,"1,228"
WeichertCompanies,7/17/2019,11/5/2017,5,"6,126"
WeldallManufacturingInc,10/21/2019,6/27/2019,1,209
WeldersSupplyCompany,1/7/2019,11/14/2018,22,883
WelkResortGroupInc,2/22/2019,7/24/2018,7,1872
WellsFargoBankNA,7/19/2019,7/3/2019,2,2
WennerGroup,3/21/2019,2/15/2019,2,3062
WentworthInstituteofTechnology,2/19/2019,9/8/2018,3,3926
WesternTechnicalCollege,3/21/2019,5/10/2018,33,"28,835"
WestminsterFinancial,11/22/2019,10/8/2019,26,"2,981"
WieseUSAInc,8/1/2019,4/8/2019,5,14
WilliamLyonHomesInc,5/30/2019,2/25/2019,1,397
UnknownRespondent,,,,
WilliamsSomomaInc,11/18/2018,9/20/2018,1,10
WillitsMaddenPC,10/17/2019,7/1/2019,2,76
WilmingtonUniversity,6/24/2019,4/13/2019,1,136
WilsonDavisandCoInc,3/27/2019,12/4/2018,4,116
WindhamProfessionalsInc,2/8/2019,12/19/2018,3,298
WiseHealthSystem,7/12/2019,3/14/2019,12,"35,946"
WolffShoeCompany,10/31/2019,3/11/2019,48,"5,084"
WomensClinicofIndianapolis,,,,
WoodRanchMedical,9/18/2019,8/10/2019,10,"5,827"
WorWicCommunityCollege,6/19/2019,3/12/2019,1,"10,682"
WorldReliefCorporationofNationalAssociationofEvangelicals,9/19/2019,4/4/2019,5,"2,059"
WrightFoodsGroupLLCdbaCarolinaDairy,7/26/2019,3/25/2019,7,89
XTRALeaseLLC,9/11/2019,,14,837
YaleNewHavenHealth,11/8/2019,7/3/2019,8,"27,007"
YoungMensChristianAssociationofGreaterIndianapolis,3/6/2019,1/25/2019,"4,128","4,216"
YouthForChristUSAInc,10/16/2019,6/24/2019,58,873
YouthVillagesDataFactsInc,1/18/2019,10/19/2018,2,316
ZeroTechnologiesLLC,7/12/2019,11/4/2018,198,"11,727"
ZippyShellIncorporated,7/24/2019,12/6/2018,1,442
ZollServicesLLC,3/18/2019,11/8/2018,91,"277,319"
ZoomInformationInc,,,,
ZurichAmericanInsuranceCompany,1/22/2019,8/1/2018,2,850
1800ContactsInc,11/13/2018,10/10/2018,2,150
1873349OntarioInc,11/30/2018,6/1/2016,114,"74,548"
1stMarinerBank,2/5/2018,9/21/2017,6,1500
44North,9/25/2018,5/9/2018,8,242
4AsBenefitsonBehalfofEntitiesListedinExhibit1?Data Breach,12/26/2018,12/6/2017,109,4711
9WHaloOpCoLPdbaAngelica,6/7/2018,4/3/2018,2,201
A.S.K.ServicesInc.,1/25/2018,1/24/2018,34,229
ABCBusCompaniesInc,3/2/2018,2/16/2018,47,741
Abeles&Hoffman,2/13/2018,9/26/2017,1,237
AcademyMortgageCorporation,8/31/2018,5/21/2018,3,357
ACECashExpressInc,12/14/2018,10/27/2018,5,4360
ACTIVENetwork,2/23/2018,12/13/2016,8,207
AdelmanTravelSystemsInc,10/18/2018,6/14/2018,1,48
AdjutantGeneralsOfficeofIndiana,,,,
AdoptaHighwayMaintenanceCorporation,12/6/2018,10/23/2018,2,405
"AdvancedGraphicProducts,Inc.dbaAdvanced?Online",2/2/2018,4/29/2017,10,22.182
AdvancedMedicalReviewsLLC,10/8/2018,9/1/2013,1,
AdvancedTechnologyGroup,6/1/2018,10/1/2017,5,1020
AEIFundManagementInc,9/28/2018,7/5/2018,9,833
Aetna,1/30/2018,,1,20
AetnaInc,8/17/2018,3/7/2018,4,178
AffiliatedServiceProvidersofIndianaInc,8/27/2018,6/6/2018,21,25
Aflac,9/28/2018,9/8/2017,5,7366
AimbridgeHospitalityHoldingsLLC,6/7/2018,1/8/2018,"1,129","77,587"
AirCanada,8/29/2018,8/22/2018,3,"20,000"
AkinDohertyKlein&FeugePC,5/8/2018,1/1/2018,1,334
AlabamaFarmCreditACA,5/1/2018,,1,574
AlaskaAirlinesInc,5/4/2018,10/1/2017,12,"4,102"
Allconnect,4/2/2018,2/14/2018,2,"1,854"
AllStarDriverEducation,4/4/2018,3/29/2018,4,37
AltonLane,1/11/2018,11/23/2016,4,1208
AmericanEsotericLaboratories,4/20/2018,10/15/2017,36,"61,701"
AmericanHospitalityManagement,2/14/2018,11/6/2015,126,244
AmericanInstituteofAeronauticsandAstronautics,8/7/2018,6/4/2018,13,671
AmericanNationalInsuranceCompany,5/25/2018,3/27/2018,69,"3,790"
AmericanSocietyofAnesthesiologists,4/23/2018,3/8/2018,6,819
AmeriFirstFinancialCorporation,5/1/2018,,1,1
AmeriFirstHomeMortgage,3/28/2018,,26,887
AmeripriseFinancialInc,1/17/2018,11/1/2017,1,56
AmeripriseFinancialInc,12/12/2018,11/11/2018,13,1513
AmeripriseFinancialInc,8/30/2018,,1,11
AmeripriseFinancialInc,6/5/2018,,1,1
AnchorFundLLC,3/9/2018,2/7/2018,1,485
ANEWRealty,3/12/2018,3/8/2018,1,1
AngelesEquityPartnersLLC,3/30/2018,3/1/2018,1,1
AnotherPlanetEntertainment,9/27/2018,4/9/2018,6,3142
ApexBenefitsGroupInc,8/30/2018,7/23/2018,5,6
AppliedPlanAdministrators,3/29/2018,2/10/2018,313,"22,661"
AquaFinanceInc,8/16/2018,4/23/2018,17,569
ArcadisUSInc,4/16/2018,2/20/2018,4,47
ArcherDanielsMidlandCompany,,10/10/2018,1,37
ArkansasChildrensHospital,6/28/2018,11/7/2016,3,4075
ArrowElectricCompany,5/25/2018,2/22/2018,39,251
ASCD,2/22/2018,2/20/2018,1,192
AscensusInc,3/21/2018,2/14/2018,31,36
AscensusInc,4/12/2018,3/19/2018,1,1
ASIConstructorsInc.,3/2/2018,1/31/2018,2,336
AthensFederalCommunityBank,11/30/2018,8/21/2018,7,1093
ATIHoldingsLLC,3/27/2018,1/9/2018,78,"34,665"
AtriumHospitality,4/24/2018,4/1/2016,1,182
AustinFoamPlasticsInc,8/3/2018,11/17/2017,1,66
AustinNicholsCoIncorporated,4/9/2018,3/14/2018,1,37
AutismNewJerseyInc,3/16/2018,1/12/2018,1,26
AutomatedPetCareProductsInc,7/17/2018,11/9/2017,42,2693
AveannaHealthcare,8/27/2018,8/14/2018,20,20
AXA Equitable Life Insurance Company,11/21/2018,11/1/2018,185,"33,700"
BackcountryEdgeInc,12/11/2018,11/24/2018,7,643
BadgerDaylightingLtd.,3/5/2018,1/31/2018,7,92
BallStateUniversity,,,,
BankersInsuranceGroupInc,8/15/2018,,3,1075
BankersLife,10/25/2018,5/30/2018,"32,308","799,563"
BankofHope,7/30/2018,6/28/2018,7,"11,362"
BannerEngineeringInc,6/27/2018,3/18/2018,2,1229
BaptistHealthMedicalGroup,8/15/2018,8/3/2018,1,1
BaptistHealthMedicalGroup,4/4/2018,3/19/2018,1,1
BarnesandThornburgLLP,6/29/2018,4/20/2018,2,3
BauerMediaGroupUSA,5/4/2018,3/29/2018,1,410
BCSFinancialCorporation,12/14/2018,10/29/2018,2,39
BeachbodyLLC,3/2/2018,2/2/2018,17,854
BeaconHealthSystem,6/1/2018,4/2/2018,27,141
BearingDistributorsInc,4/6/2018,3/30/2018,19,857
BedBath&BeyondInc.,2/26/2018,11/8/2017,1,153
BedBath&BeyondInc.,2/12/2018,,2,139
BeechGroveMeadows,5/11/2018,5/11/2018,1,1
BeiGeneLTD,9/21/2018,5/22/2018,2,145
BellPartnersInc,5/23/2018,11/21/2017,1,523
BellwetherEnterpriseRealEstateCapitalLLC,5/25/2018,1/30/2018,1,355
BenchmadeKnifeCo,12/21/2018,9/1/2018,42,2702
BenefitOutsourcingSolutions,6/7/2018,8/20/2015,142,"1,144"
BestBuyCoInc,4/13/2018,9/26/2017,,
BeveragesandMoreIncdbaBevMo,12/17/2018,8/2/2018,6,14519
BigfootGunBelts,3/23/2018,10/31/2017,151,"4,141"
BiodesixInc,8/24/2018,,5,92
Bio?RadLaboratories,4/5/2018,6/1/2017,2,362
BlattnerEnergyInc,4/30/2018,2/2/2018,6,248
BLD,12/19/2018,11/14/2018,15,187
BlueBeaconInternational,4/6/2018,1/29/2018,"1,872","33,644"
BlueSpringsFamilyCarePC,7/16/2018,5/11/2018,11,"44,977"
BluewaterThermalSolutionsLLC,1/19/2018,1/4/2018,5,225
BMWBankofNorthAmerica,8/17/2018,7/19/2018,2,54
BombasLLC,5/21/2018,9/1/2013,771,"41,000"
BoysTownNationalResearchHospital,7/20/2018,5/23/2018,1,"105,626"
BrinkerInternationalInc,5/11/2018,3/1/2018,,
BritishAirwaysPLC,9/7/2018,8/21/2018,176,"429,000"
BronsonNutritionalsLLC,3/19/2018,5/15/2017,350,"25,450"
BrowardCollege,1/10/2018,7/18/2017,63,"44,000"
BrownsburgMeadows,5/2/2018,4/10/2018,2,2
BrunetteandAssociatesLLC,11/7/2018,2/27/2018,2,4
BTCEIncdbaHomeBrewit.com,4/10/2018,9/26/2017,207,"1,024"
BuehlersFreshFoodsLLC,10/12/2018,2/1/2016,5,2040
ByramHealthcare,10/22/2018,6/1/2016,2,52
CableHillPartnersLLC,5/15/2018,1/10/2018,2,989
CactusWellheadLLC,5/17/2018,5/9/2018,1,"1,086"
CaliforniaCollegeoftheArts,2/26/2018,1/19/2018,1,2709
"CaliforniaStateUniversity,Fresno",3/6/2018,12/1/2017,27,"10,777"
CaliforniaStateUniversityEastBay,10/5/2018,3/27/2018,4,9941
CambridgeDentalConsultingGroup,5/9/2018,3/13/2018,1,"3,840"
CambridgeHealthAlliance,3/28/2018,,1,"2,527"
CameronMemorialCommunityHospital,12/1/2017,8/15/2017,8,8
CameronMemorialCommunityHospital,11/15/2017,11/8/2017,2,2
CameronWoods,,,,
CampbellsvilleUniversityInc,10/19/2018,7/19/2018,7,
CandJFinancialLLC,9/11/2018,5/4/2018,1,372
CapitalDigestiveCareLLC,4/23/2018,2/23/2018,7,"13,572"
CapitalFarmCredit,4/25/2018,,2,"5,167"
CapitalIntegrationSystemsLLC,6/22/2018,2/1/2018,6,"2,321"
CareerTechnologyCentersofLickingCounty,7/6/2018,2/12/2018,31,"9,578"
CariteInc.,1/23/2018,1/17/2018,30,346
"CaryE.Williams,CPA",3/2/2018,1/5/2018,8,"7,690"
CastlightHealth,12/27/2018,,5,120
CathayPacificAirwaysLimited,10/25/2018,,1,"9,400,000"
CBIZMHMLLC,7/19/2018,5/21/2018,1,1246
CBTX,12/21/2018,5/30/2018,4,7703
CCRMSanFrancisco,8/10/2018,6/8/2018,1,366
CedarvilleUniversity,2/15/2018,1/31/2018,6,241
CenderaFundingInc,10/25/2018,9/29/2018,3,5328
CenlarFSB,3/20/2018,5/19/2016,1,100
CenterstoneofIndiana,,,,
CentralChristianCollegeofKansas,6/15/2018,7/11/2017,9,631
CentrisFederalCreditUnion,3/1/2018,11/1/2015,10,"12,049"
CeresPartnersLLC,10/25/2018,5/1/2018,2,8
CeteraAdvisorsLLC,1/8/2018,11/8/2017,19,1260
CeteraAdvisorsLLC,4/25/2018,11/8/2017,8,"2,299"
ChallengerSportsInc,10/22/2018,8/26/2018,138,"11,123"
ChamberlainGroupInc,11/20/2018,10/16/2018,13,580
ChapmanandChapmanInc,8/16/2018,3/7/2018,6,2545
"CharlesKomar&Sons,Inc.",2/5/2018,11/23/2017,1,99
CharmsOfficeAssistant,8/24/2018,,238,"17,017"
ChattanoogaClothingCompany,5/31/2018,10/26/2017,59,835
CheddarsScratchKitchen,8/22/2018,11/3/2017,"13,604","567,000"
ChicagoPropertyManagementandInvestments,10/16/2018,2/1/2017,2,79
ChildrensMercyHospital,1/31/2018,12/2/2017,17,"38,873"
ChilisGrillandBar,,,,
ChipotleMexicanGrillInc,8/22/2018,7/21/2018,1,33
ChopraEnterprisesLLC,3/6/2018,,3,614
ChosenHealthcare,7/27/2018,5/8/2018,310,310
CHROMEFederalCreditUnion,3/6/2018,6/14/2017,2,3122
CitiBankNA,,,,
CitibankNA,4/18/2018,4/1/2015,1,410
CityofGoodyearArizona,6/4/2018,6/13/2017,11,"11,247"
CityofHopkinsville,6/8/2018,5/8/2018,2,120
CityofMidwestCityOklahoma,7/23/2018,12/11/2017,1,"4,559"
ClinicalPathologyLaboratoriesSoutheastInc,3/21/2018,9/20/2017,19,"42,720"
ClubSoda,,,1,1
CNGFinancialCorporationInc,8/15/2018,7/11/2018,9,"104,649"
CNOFinancial,,,,
CNUofIndianaLLCdbaCashNetUSA,4/27/2018,2/20/2018,28,"3,265"
CNUOnlineHoldingsLLC,3/8/2018,2/19/2018,39,"3,011"
CollierHeggernessandBronkCPAs,11/7/2018,,1,2354
ColoradoBankersLifeInsuranceCompany,8/3/2018,3/28/2018,"1,155","99,797"
ColumbiaCollegeChicago,2/28/2018,2/15/2018,2,93
ColumbiaHealthcareCenter,5/21/2018,5/21/2018,1,1
ColumbusRegionalHealth,4/25/2018,4/23/2018,1,1
CommunityFirstBank,3/21/2018,1/19/2018,3,"2,837"
CommunityHealthNetwork,2/15/2018,5/2/2017,1,1
CommunityHealthNetwork,1/30/2018,1/13/2018,25,25
CommunityHealthNetwork,,,,
CommunityHealthNetwork,2/2/2018,7/10/2017,11,11
CommunityHealthNetwork*,1/31/2018,1/2/2018,1,1
CommunityHospitalofBremen,1/17/2018,1/17/2018,115,115
CommunityHospitalSouth,11/1/2018,7/26/2018,1,1
CommunityPhysiciansofIndianaInc,3/22/2018,2/14/2018,1,1
CommunityPhysiciansofIndianaInc,1/11/2018,11/29/2017,1,1
CommunityRehabilitationHospital,3/29/2018,3/19/2018,2,2
CommunityRehabilitationHospitalSouth,8/2/2018,7/30/2018,9,9
ComplyRightInc,7/13/2018,4/20/2018,"12,056","662,475"
ConcannonMillerandCoPC,7/13/2018,2/9/2018,3,292
"CorporateEmploymentResources,Inc.",2/9/2018,1/26/2018,107,"4,086"
CorporationServiceCompany,5/17/2018,11/25/2017,698,"94,148"
CortlandPartners,8/15/2018,4/26/2018,1,588
CotyInc,7/6/2018,1/12/2018,41,"4,753"
CountryMutualInsuranceCompany,2/19/2018,1/15/2018,4,1390
CPTGroupInc?Data Breach,4/27/2018,11/22/2017,36,"76,299"
CRISF,10/15/2018,6/25/2018,1,118
CrossRoadHealthMinistriesInc,3/30/2018,10/10/2017,3,245
CruzstarLLC,2/19/2018,11/5/2017,401,"28,740"
CurtinMaritimeCorp.,3/5/2018,1/22/2018,1,191
CVSHealth,7/27/2018,6/11/2018,1,12
"CyrusOne,Inc.",1/8/2018,10/18/2017,10,402
DanaIncorporated,3/23/2018,3/9/2018,3,24
DaneStreetLLC,,,100,
DardenRestaurants,3/14/2018,10/23/2017,1,48
DataIntensity,10/1/2018,7/9/2018,5,266
DCInternational,,7/21/2018,,
Deaconess DeaconessClinic?Data Breach,12/19/2018,11/16/2018,1,1
DeaconessHospital,,,,
DeaconessHospital,2/15/2018,1/31/2018,1,1
DeaconessHospital,1/12/2018,12/6/2017,4,4
DeaconessHospital,12/27/2018,11/13/2018,1,1
DecaturCountyMemorialHospital,,,,
DecaturCountyMemorialHospital,5/9/2018,1/31/2018,2,2
DecisionHRHoldingsInc,10/8/2018,,2,4938
DeephavenMortgageLLC,5/8/2018,1/10/2018,48,"5,593"
DelawareLifeInsuranceCo,8/31/2018,8/13/2018,1,
DelicatoVineyards,8/15/2018,4/26/2018,2,1087
"DeliManagement,Inc.d/b/aJason'sDeli,Inc.",1/11/2018,6/8/2017,,"2,000,000,000"
DeloitteTaxLLP,4/10/2018,4/6/2018,1,1
DeltaAirLinesInc,4/11/2018,9/26/2017,"10,088","825,000"
DeltaDentalofMissouri,4/26/2018,3/21/2018,4,297
DeltaSteelInc,7/27/2018,2/2/2018,8,443
DentalCenterofNorthwestOhio,12/28/2018,8/16/2018,477,85874
DepartmentofChildServices,8/13/2018,8/7/2018,3,3
DiCiccoGulmanandCompanyLLP,6/21/2018,5/10/2018,87,"1,354"
DollarGeneralCorporation,2/15/2018,1/18/2018,1,43
DollarShaveClubInc,6/20/2018,5/26/2018,18,1035
DoralCorporation,2/2/2018,1/23/2018,9,335
DoyleandAssociatesPC,8/1/2018,2/21/2018,2,489
DrAmyWoodruff,10/5/2018,,2,
"DraperandKramer,Inc.",2/23/2018,,11,37
Driscoll'sInc.,2/9/2018,7/17/2017,1,1530
DrRobertCarpenter,10/5/2018,,1,
DunkinBrandsInc,11/28/2018,,2118,"175,221"
EbbsRobertsHeadDawInc,9/18/2018,6/26/2017,6,4200
EBSCOSignGroupInc,7/16/2018,9/12/2017,25,871
ElkhartCountyProsecutorAttorneyOfficeIVDChildSupport,9/5/2018,7/27/2018,0,2
ElmcroftSeniorLivingInc,6/11/2018,5/10/2018,"2,894","168,490"
ElPasoLosAngelesLimousineExpressInc,11/2/2018,12/9/2016,35,"68,647"
ElwoodStaffingServicesInc,12/7/2018,12/6/2018,1,1
EmployeeBenefitsCorporation,,,,
EmployeeBenefitsCorporation,3/20/2018,3/7/2018,16,16
EmployeeBenefitsCorporationForefront Dermatology,5/22/2018,3/7/2018,138,"1,298"
EmployeeBenefitsCorporationForeFrontManagement,5/22/2018,3/7/2018,67,455
EmployeeBenefitsCorporationInterVarsityChristianFellowship,5/22/2018,3/7/2018,16,855
EmployIndy,1/19/2018,1/10/2018,1,1
EmployIndy,,5/31/2018,1,1
EnchromaInc,6/26/2018,5/15/2018,1,149
EngleMartin&Associates,2/14/2018,,11,2508
EntrustEnergy,11/12/2018,5/26/2018,8,4782
EnvisionHealthcareCorporation,10/10/2018,7/17/2018,244,"21,757"
EquiasAllianceLLC,5/8/2018,1/10/2018,565,"2,264"
EquityConceptsLLC,11/29/2018,4/20/2018,6,3794
